Date,Open,High,Low,Close
20151127,39.91,40.25,39.33,40.06
20151130,40.70,40.84,40.10,40.35
20151201,40.69,41.26,40.25,41.22
20151202,41.55,41.66,40.79,40.87
20151203,40.99,41.09,39.06,39.17
20151204,39.16,39.79,39.10,39.57
20151207,39.59,39.90,38.57,38.83
20151208,38.59,38.92,38.36,38.83
20151209,38.63,38.71,37.41,37.49
20151210,37.68,38.19,37.33,37.77
20151211,38.53,39.03,37.91,38.12
20151214,38.05,38.49,37.23,37.49
20151215,37.75,38.63,37.48,38.50
20151216,38.66,39.17,38.17,38.99
20151217,39.17,39.20,38.37,38.40
20151218,38.18,39.00,38.18,38.58
20151221,38.63,39.00,38.30,38.93
20151222,39.03,39.11,38.35,38.79
20151223,38.87,38.87,38.20,38.84
20151224,38.84,39.30,38.70,39.08
20151228,38.88,39.33,38.74,39.30
20151229,39.49,39.94,39.42,39.55
20151230,39.40,39.70,39.29,39.34
20151231,39.14,39.34,38.50,38.69
20160104,38.38,38.51,37.52,37.83
20160105,37.83,38.08,37.43,37.92
20160106,37.50,38.78,37.26,38.42
20160107,37.87,38.00,37.19,37.37
20160108,37.62,37.77,36.46,36.55
20160111,36.60,36.81,35.64,36.08
20160112,36.25,36.67,35.97,36.65
20160113,36.73,37.21,35.41,35.47
20160114,35.23,35.57,34.63,35.36
20160115,34.61,34.99,33.95,34.96
20160119,35.17,35.38,34.35,34.48
20160120,33.98,35.29,33.37,34.79
20160121,34.82,35.03,33.77,33.91
20160122,34.44,35.33,34.00,35.21
20160125,35.03,36.01,34.56,35.69
20160126,35.90,36.48,35.53,36.44
20160127,36.21,36.58,35.63,35.77
20160128,34.24,34.24,32.41,33.07
20160129,33.20,34.20,33.02,33.94
20160201,34.02,35.67,33.85,35.38
20160202,35.15,35.62,34.52,34.83
20160203,35.14,35.49,34.26,35.10
20160204,35.16,35.78,34.84,35.21
20160205,35.02,35.43,33.16,33.27
20160208,32.95,32.98,31.99,32.75
20160209,32.43,33.64,32.12,32.89
20160210,33.21,33.69,32.32,32.79
20160211,32.46,32.92,32.17,32.42
20160212,33.00,33.03,31.84,32.60
20160216,33.10,34.29,32.62,33.83
20160217,34.07,34.68,33.84,34.47
20160218,34.46,34.98,34.17,34.40
20160219,34.43,34.80,34.29,34.49
20160222,34.73,34.93,34.30,34.50
20160223,34.35,34.57,34.17,34.39
20160224,34.16,34.82,34.07,34.61
20160225,34.77,35.24,34.69,35.15
20160226,35.36,35.46,34.90,35.08
20160229,35.00,35.23,34.62,34.63
20160301,34.79,35.67,34.57,35.64
20160302,35.56,36.07,35.30,36.04
20160303,35.95,36.08,35.65,35.95
20160304,35.68,35.76,34.48,34.75
20160307,34.38,34.88,34.12,34.79
20160308,34.72,34.93,34.59,34.64
20160309,34.79,34.99,34.50,34.59
20160310,34.72,34.99,34.24,34.50
20160311,34.76,35.47,34.70,35.14
20160314,34.95,35.57,34.79,35.35
20160315,34.99,35.25,34.24,34.34
20160316,34.28,34.52,34.10,34.48
20160317,34.39,34.49,33.78,33.94
20160318,33.76,34.84,33.75,34.48
20160321,34.37,34.78,34.37,34.45
20160322,34.40,35.10,34.30,34.99
20160323,34.80,34.90,33.68,34.00
20160324,33.80,34.43,33.69,34.35
20160328,34.75,35.09,34.07,34.57
20160329,34.66,35.20,34.41,34.50
20160330,34.84,34.92,34.42,34.50
20160331,34.41,34.70,34.35,34.50
20160401,34.40,34.82,34.34,34.60
20160404,34.69,35.45,34.52,35.21
20160405,35.15,35.22,34.63,34.78
20160406,34.71,35.76,34.70,35.75
20160407,35.52,35.71,35.00,35.25
20160408,35.42,35.58,35.14,35.37
20160411,35.50,35.71,34.95,35.02
20160412,35.31,35.31,34.91,35.23
20160413,35.45,36.10,35.15,36.00
20160414,36.06,36.54,35.84,36.25
20160415,36.18,36.27,35.87,36.17
20160418,36.02,36.80,36.00,36.79
20160419,36.89,36.93,36.34,36.62
20160420,36.64,37.38,36.45,37.31
20160421,37.41,38.09,37.25,37.50
20160422,37.50,37.70,37.29,37.44
20160425,37.42,37.85,37.33,37.79
20160426,37.64,38.00,37.49,37.70
20160427,37.46,38.05,37.43,37.83
20160428,36.00,36.25,33.74,33.92
20160429,33.57,33.86,33.03,33.59
20160502,33.70,34.02,33.32,34.00
20160503,33.79,34.33,33.50,34.26
20160504,34.13,34.50,33.84,33.89
20160505,33.92,34.12,33.58,33.75
20160506,33.62,34.17,33.49,33.72
20160509,33.68,34.07,33.68,33.88
