Date,Open,High,Low,Close
20151127,58.27,58.27,56.96,57.36
20151130,58.77,58.90,57.18,58.25
20151201,57.85,58.68,57.25,58.51
20151202,57.71,58.07,54.86,55.10
20151203,55.78,56.13,54.84,55.61
20151204,54.78,55.30,53.15,53.38
20151207,51.94,52.18,49.97,50.79
20151208,49.84,51.90,49.71,50.17
20151209,50.82,53.06,50.57,51.73
20151210,51.70,53.06,51.45,52.62
20151211,51.89,52.39,51.07,51.37
20151214,51.19,52.76,50.90,51.96
20151215,52.82,54.98,52.78,54.77
20151216,54.29,55.62,53.03,54.36
20151217,54.09,54.49,51.67,51.80
20151218,51.80,51.99,49.85,49.88
20151221,50.03,50.62,48.82,50.00
20151222,50.19,53.42,49.95,52.92
20151223,54.29,56.22,53.20,55.94
20151224,56.03,57.00,54.99,56.04
20151228,54.89,55.32,53.07,53.38
20151229,54.83,55.37,53.08,54.13
20151230,53.42,54.15,52.35,52.76
20151231,52.60,54.05,52.52,53.55
20160104,53.31,54.55,52.61,54.18
20160105,53.76,54.33,52.79,53.56
20160106,51.93,52.25,49.99,50.48
20160107,49.32,49.99,48.26,48.51
20160108,48.44,49.09,46.82,47.80
20160111,48.03,48.20,44.98,45.74
20160112,46.75,47.31,44.40,46.03
20160113,46.96,47.37,44.89,44.94
20160114,45.21,47.25,44.37,46.63
20160115,44.62,45.37,43.66,45.15
20160119,45.35,45.36,42.30,43.15
20160120,41.58,43.50,40.02,42.85
20160121,42.42,46.28,42.30,45.28
20160122,48.03,49.16,45.80,47.03
20160125,45.73,46.62,43.90,43.93
20160126,45.44,46.53,44.05,45.84
20160127,45.31,48.26,45.06,46.07
20160128,46.54,50.97,46.52,49.48
20160129,49.65,50.97,48.80,50.80
20160201,49.52,50.16,48.52,49.93
20160202,48.47,48.81,46.29,46.63
20160203,47.92,49.41,45.90,49.37
20160204,49.94,52.02,49.91,51.32
20160205,50.86,51.73,49.05,50.28
20160208,49.08,49.87,48.18,49.64
20160209,50.56,51.06,46.74,48.02
20160210,46.67,48.08,46.22,46.26
20160211,45.46,46.42,44.30,45.75
20160212,47.08,48.54,46.37,47.41
20160216,48.29,48.75,47.45,48.64
20160217,49.66,53.16,49.51,52.92
20160218,53.22,53.65,50.18,51.90
20160219,50.78,51.59,50.00,51.58
20160222,53.06,54.32,52.70,53.89
20160223,53.48,54.00,50.56,51.08
20160224,49.94,51.50,49.04,51.32
20160225,51.53,51.70,49.65,51.50
20160226,53.15,54.25,52.11,53.14
20160229,53.19,54.29,52.31,52.97
20160301,53.94,55.05,52.66,54.76
20160302,53.99,57.37,53.57,57.34
20160303,57.17,59.26,56.77,58.98
20160304,59.43,63.54,58.44,61.96
20160307,61.01,63.48,61.01,62.95
20160308,62.27,62.39,60.02,60.70
20160309,62.02,63.31,60.53,62.22
20160310,61.82,62.31,59.93,61.96
20160311,62.39,63.72,62.32,63.39
20160314,61.96,62.94,60.58,61.13
20160315,60.05,61.55,58.57,61.52
20160316,62.43,63.11,61.43,62.44
20160317,62.75,63.75,61.46,63.13
20160318,63.52,64.06,60.57,60.83
20160321,60.41,61.39,59.62,60.98
20160322,59.95,61.40,59.40,59.86
20160323,59.59,60.66,57.70,57.84
20160324,56.58,58.19,56.35,58.10
20160328,58.47,58.77,57.48,58.40
20160329,57.14,58.46,56.18,58.11
20160330,59.15,59.85,57.46,58.31
20160331,58.06,59.74,57.88,58.72
20160401,57.02,57.55,55.96,56.63
20160404,56.93,57.94,55.96,56.79
20160405,56.05,57.84,56.00,56.78
20160406,57.40,58.28,56.22,57.17
20160407,56.81,57.57,55.75,56.17
20160408,57.75,58.83,56.99,57.23
20160411,57.62,58.99,57.37,57.90
20160412,58.49,61.08,58.28,60.10
20160413,60.38,60.63,58.89,60.14
20160414,60.71,60.86,59.06,59.69
20160415,58.80,58.80,56.71,58.16
20160418,56.01,60.03,55.83,59.87
20160419,60.58,63.47,60.20,63.06
20160420,62.74,64.33,62.37,63.57
20160421,63.91,64.34,62.94,63.71
20160422,63.74,65.55,63.25,64.08
20160425,63.44,64.28,62.50,62.95
20160426,63.68,63.81,62.37,63.05
20160427,63.96,65.00,63.53,64.95
20160428,64.64,66.09,63.83,64.92
20160429,64.24,66.26,64.16,66.12
20160502,65.70,65.70,61.85,63.05
20160503,61.84,62.27,60.64,61.68
20160504,62.20,62.42,59.25,60.03
20160505,61.67,61.76,59.52,60.09
20160506,59.70,61.60,59.63,60.69
20160509,60.48,60.58,57.83,58.27
20160510,58.82,59.89,58.48,59.70
20160511,58.62,60.23,57.97,59.49
20160512,60.03,60.64,58.29,58.65
20160513,58.38,59.65,57.98,58.08
20160516,59.40,60.33,59.21,59.33
20160517,59.12,60.97,58.92,59.94
20160518,59.85,60.35,57.66,57.88
20160519,57.10,57.82,56.35,57.45
20160520,57.66,59.40,57.61,58.81
20160523,58.23,58.52,57.42,58.26
20160524,58.00,58.68,57.31,58.53
20160525,59.24,60.96,58.53,60.38
20160526,61.11,61.35,59.71,60.62
20160527,60.41,60.66,59.82,60.59
20160531,60.76,61.75,60.46,61.15
20160601,59.85,60.06,58.29,59.81
20160602,59.30,59.59,58.41,58.87
20160603,58.91,59.71,58.09,58.79
20160606,60.16,64.93,59.81,64.74
20160607,65.00,67.70,64.99,67.35
20160608,67.63,69.14,66.59,67.36
20160609,66.47,67.60,65.40,67.24
20160610,66.22,66.39,64.53,64.77
20160613,64.56,65.78,63.89,64.24
20160614,63.86,64.86,63.39,64.83
20160615,64.31,66.20,63.80,65.36
20160616,64.28,64.70,62.44,64.54
20160617,65.10,66.50,64.91,66.22
20160620,67.21,67.84,65.62,65.63
20160621,65.92,67.51,65.26,66.98
20160622,67.51,68.13,66.82,66.93
20160623,68.18,69.20,67.61,69.17
20160624,66.28,67.25,65.72,66.09
20160627,65.11,65.54,62.24,62.66
20160628,64.15,64.74,63.63,64.00
20160629,65.04,66.64,64.96,66.22
20160630,66.11,67.13,65.16,67.13
20160701,67.13,68.98,67.02,68.55
20160705,66.96,67.44,64.47,65.25
20160706,64.92,65.44,63.92,65.02
20160707,65.89,67.80,64.62,65.18
20160708,66.20,66.98,65.44,66.45
20160711,66.92,68.08,66.02,66.17
20160712,67.94,70.00,67.77,69.77
20160713,69.70,70.00,67.67,68.72
20160714,69.79,70.28,68.36,68.37
20160715,68.99,69.97,68.36,68.72
20160718,68.34,68.52,67.23,68.19
20160719,67.49,68.27,66.29,66.58
20160720,65.99,66.80,64.68,65.73
20160721,65.77,66.63,63.88,64.10
20160722,64.51,64.96,63.37,64.87
20160725,64.15,64.50,62.89,62.92
20160726,62.61,64.31,62.46,64.23
20160727,64.30,64.76,62.27,62.97
20160728,61.99,63.51,60.42,61.15
20160729,60.46,62.17,60.41,61.97
20160801,61.62,61.70,60.12,60.75
20160802,61.59,62.29,59.93,61.73
20160803,61.67,63.29,61.35,63.03
20160804,62.97,63.83,62.25,62.37
20160805,62.43,63.49,62.11,63.22
20160808,64.01,65.19,63.78,64.72
20160809,64.85,64.85,63.15,63.80
20160810,63.88,64.09,62.91,63.08
20160811,62.52,63.09,62.01,62.46
20160812,62.76,62.76,61.56,61.87
20160815,62.04,63.33,61.93,62.60
20160816,62.78,63.50,62.18,62.95
20160817,62.81,62.89,61.59,62.37
20160818,62.84,65.32,62.84,64.67
20160819,64.00,64.56,63.37,64.24
20160822,63.38,63.38,62.08,62.58
20160823,62.56,63.64,62.21,63.26
20160824,62.67,63.52,62.67,63.17
20160825,63.25,63.68,62.45,62.61
20160826,62.78,63.40,61.86,62.43
20160829,62.06,63.47,62.00,62.57
20160830,62.57,63.46,61.02,61.36
20160831,61.00,61.47,60.09,60.46
20160901,60.00,60.48,59.46,60.30
20160902,61.01,61.82,60.08,60.19
20160906,61.38,62.87,60.79,62.68
