Date,Open,High,Low,Close
20151127,8.21,8.51,8.17,8.34
20151130,8.27,8.72,8.24,8.64
20151201,8.65,9.23,8.63,9.07
20151202,8.93,9.03,8.64,8.69
20151203,8.72,8.92,8.47,8.50
20151204,8.36,8.89,8.28,8.85
20151207,8.72,9.00,8.67,8.98
20151208,8.77,8.89,8.50,8.82
20151209,8.71,8.94,8.53,8.63
20151210,8.60,8.61,8.44,8.56
20151211,8.71,8.95,8.22,8.24
20151214,8.31,8.43,8.09,8.39
20151215,8.43,8.71,8.42,8.46
20151216,8.50,8.61,8.46,8.54
20151217,8.49,8.56,8.26,8.32
20151218,8.29,8.36,8.14,8.23
20151221,8.21,8.37,8.06,8.15
20151222,8.16,8.22,8.09,8.17
20151223,8.25,8.70,8.17,8.67
20151224,8.61,8.82,8.60,8.73
20151228,8.65,8.88,8.61,8.85
20151229,8.89,8.97,8.82,8.83
20151230,8.89,9.00,8.81,8.88
20151231,8.85,8.90,8.78,8.83
20160104,8.70,8.81,8.57,8.79
20160105,8.79,8.86,8.68,8.74
20160106,8.50,8.72,8.43,8.60
20160107,8.43,8.46,7.93,7.97
20160108,8.00,8.15,7.74,7.87
20160111,7.81,7.97,7.60,7.71
20160112,7.76,7.80,7.61,7.71
20160113,7.76,7.76,7.28,7.41
20160114,7.41,7.65,7.35,7.56
20160115,7.32,7.44,7.26,7.29
20160119,7.37,7.43,7.09,7.16
20160120,6.97,7.09,6.76,7.01
20160121,6.97,7.29,6.87,7.21
20160122,7.38,7.81,7.35,7.76
20160125,7.72,7.88,7.63,7.75
20160126,7.76,7.98,7.76,7.90
20160127,7.86,7.91,7.53,7.78
20160128,7.82,7.96,7.60,7.67
20160129,7.79,8.07,7.76,8.00
20160201,7.95,8.07,7.86,8.01
20160202,7.96,8.12,7.76,7.82
20160203,7.94,8.00,7.62,7.77
20160204,7.74,8.07,7.74,8.05
20160205,7.96,7.99,7.58,7.67
20160208,7.56,7.58,7.19,7.27
20160209,7.19,7.47,7.15,7.39
20160210,7.42,7.60,7.39,7.47
20160211,7.31,7.36,6.98,7.21
20160212,7.27,7.43,7.08,7.14
20160216,7.21,7.26,7.13,7.17
20160217,7.20,7.64,7.19,7.57
20160218,7.58,7.96,7.57,7.86
20160219,7.85,7.99,7.70,7.95
20160222,7.99,8.07,7.89,8.02
20160223,7.97,8.03,7.46,7.61
20160224,7.56,7.89,7.45,7.86
20160225,7.82,7.97,7.70,7.95
20160226,8.01,8.02,7.64,7.81
20160229,7.74,7.83,7.67,7.71
20160301,7.80,7.83,7.61,7.72
20160302,7.78,8.17,7.76,8.08
20160303,8.08,8.11,7.72,7.90
20160304,8.66,9.21,8.61,8.97
20160307,8.79,9.29,8.75,9.28
20160308,9.15,9.18,8.84,8.85
20160309,8.92,9.20,8.89,9.00
20160310,9.04,9.42,9.02,9.24
20160311,9.30,9.56,9.30,9.49
20160314,9.42,9.63,9.32,9.54
20160315,9.51,9.81,9.44,9.75
20160316,9.71,10.01,9.65,9.99
20160317,9.96,10.07,9.86,9.97
20160318,9.98,10.22,9.93,10.07
20160321,10.07,10.43,10.05,10.29
20160322,10.12,10.51,10.08,10.18
20160323,10.18,10.21,9.93,10.15
20160324,10.12,10.25,9.94,10.21
20160328,10.16,10.27,10.01,10.18
20160329,10.10,10.28,10.01,10.26
20160330,10.30,10.41,10.25,10.40
20160331,10.37,10.44,10.18,10.30
20160401,10.24,10.78,10.21,10.69
20160404,10.72,10.72,10.42,10.48
20160405,10.39,10.41,10.21,10.24
20160406,10.26,10.45,10.15,10.44
20160407,10.34,10.48,10.24,10.31
20160408,10.37,10.63,10.35,10.40
20160411,10.43,10.50,10.26,10.30
20160412,10.29,10.32,9.99,10.02
20160413,10.05,10.18,9.97,10.17
20160414,10.09,10.11,9.92,10.03
20160415,10.12,10.16,9.79,10.11
20160418,10.00,10.16,9.96,10.14
20160419,10.15,10.16,9.97,10.02
20160420,9.92,10.17,9.92,10.11
20160421,10.08,10.31,10.07,10.15
20160422,10.14,10.29,10.07,10.17
20160425,10.09,10.12,9.78,10.00
20160426,10.03,10.15,10.01,10.09
20160427,10.05,10.18,10.03,10.06
20160428,9.98,10.10,9.83,9.90
20160429,9.82,9.83,9.60,9.68
20160502,9.68,9.74,9.46,9.53
20160503,9.43,9.44,9.17,9.26
20160504,9.18,9.30,9.11,9.26
20160505,9.27,9.28,9.09,9.14
20160506,9.08,9.22,9.04,9.17
20160509,9.13,9.28,9.11,9.22
20160510,9.24,9.24,9.07,9.24
20160511,9.24,9.51,9.23,9.31
20160512,9.35,9.38,9.21,9.24
20160513,9.24,9.37,9.12,9.17
20160516,9.16,9.35,9.13,9.28
20160517,9.23,9.42,9.12,9.19
20160518,9.18,9.26,9.02,9.11
20160519,9.01,9.18,8.94,9.17
20160520,9.16,9.29,9.10,9.22
20160523,9.23,9.46,9.22,9.34
20160524,9.36,9.50,9.29,9.44
20160525,10.65,10.75,9.95,10.08
20160526,9.88,10.28,9.79,10.11
20160527,10.15,10.66,10.15,10.61
20160531,10.46,10.73,10.32,10.73
20160601,10.64,10.68,10.54,10.63
20160602,10.54,10.77,10.52,10.75
20160603,10.69,10.75,10.62,10.67
20160606,10.62,11.03,10.62,10.98
20160607,10.95,11.19,10.91,11.14
20160608,11.20,11.40,11.16,11.25
20160609,11.27,11.42,11.23,11.36
20160610,11.22,11.23,10.98,11.11
20160613,11.05,11.13,10.80,10.81
20160614,10.73,10.83,10.59,10.64
20160615,10.71,11.08,10.70,10.93
20160616,10.86,10.94,10.80,10.85
20160617,10.80,11.05,10.75,11.01
20160620,11.17,11.40,11.14,11.26
20160621,11.28,11.54,11.19,11.48
20160622,11.43,11.48,11.15,11.16
20160623,11.26,11.44,11.24,11.42
20160624,10.82,11.09,10.53,10.55
20160627,10.46,10.47,9.86,10.00
20160628,10.17,10.22,9.94,10.11
20160629,10.31,10.41,10.23,10.33
20160630,10.42,10.75,10.39,10.62
20160701,10.73,10.83,10.55,10.75
20160705,10.69,10.71,10.43,10.58
20160706,10.46,10.71,10.42,10.69
20160707,10.66,10.87,10.66,10.73
20160708,10.90,11.07,10.80,11.07
20160711,11.13,11.31,11.12,11.24
20160712,11.29,11.57,11.29,11.44
20160713,11.44,11.48,11.22,11.33
20160714,11.40,11.72,11.40,11.62
20160715,11.67,11.72,11.44,11.49
20160718,11.46,11.61,11.42,11.50
20160719,11.44,11.59,11.44,11.50
20160720,11.51,11.67,11.46,11.66
20160721,11.64,11.72,11.45,11.48
20160722,11.52,11.65,11.47,11.65
20160725,11.83,11.91,11.73,11.75
20160726,11.73,11.89,11.71,11.89
20160727,11.91,12.01,11.77,11.83
20160728,11.80,11.87,11.71,11.80
20160729,11.81,12.73,11.68,12.22
20160801,12.29,12.55,11.99,12.25
20160802,12.22,12.26,12.00,12.07
20160803,12.07,12.51,12.02,12.50
20160804,12.48,12.74,12.47,12.65
20160805,12.69,12.90,12.65,12.73
20160808,12.79,12.89,12.54,12.58
20160809,12.63,12.71,12.57,12.61
20160810,12.63,12.64,12.46,12.53
20160811,12.55,12.71,12.51,12.66
20160812,12.60,12.76,12.49,12.72
20160815,12.75,12.90,12.73,12.79
20160816,12.73,12.89,12.68,12.82
20160817,12.82,12.90,12.48,12.58
20160818,12.52,12.72,12.52,12.71
20160819,12.66,12.76,12.64,12.72
20160822,12.68,12.77,12.57,12.75
20160823,12.80,12.83,12.71,12.75
20160824,12.74,12.82,12.59,12.61
20160825,12.57,12.75,12.47,12.69
20160826,12.73,12.84,12.56,12.66
20160829,12.65,12.86,12.63,12.69
20160830,12.69,12.76,12.47,12.54
20160831,12.52,12.60,12.30,12.48
20160901,12.46,12.97,12.25,12.88
20160902,12.89,12.96,12.75,12.91
20160906,12.89,12.89,12.64,12.71
20160907,12.79,12.97,12.50,12.84
20160908,12.79,12.90,12.39,12.43
20160909,12.29,12.48,12.16,12.16
20160912,12.04,12.45,11.99,12.37
20160913,12.26,12.42,12.23,12.30
20160914,12.28,12.45,12.26,12.41
20160915,12.39,12.87,12.37,12.86
20160916,12.83,12.97,12.76,12.94
20160919,13.00,13.37,13.00,13.18
20160920,13.23,13.34,13.15,13.15
20160921,13.14,13.44,13.12,13.44
20160922,13.45,13.68,13.45,13.51
20160923,13.44,13.52,13.32,13.36
20160926,13.29,13.35,13.16,13.25
20160927,13.19,13.38,13.11,13.32
20160928,13.37,13.48,13.26,13.39
20160929,13.34,13.55,13.30,13.31
20160930,13.41,13.54,13.13,13.22
20161003,13.13,13.27,13.11,13.16
20161004,13.18,13.33,12.94,13.01
20161005,13.05,13.29,13.05,13.25
20161006,13.22,13.28,13.15,13.18
20161007,13.18,13.19,12.89,12.98
