Date,Open,High,Low,Close
20151127,12.54,12.88,12.51,12.61
20151130,12.58,12.69,12.39,12.54
20151201,12.63,12.77,12.52,12.74
20151202,12.61,12.61,11.90,11.95
20151203,11.97,12.37,11.86,12.15
20151204,12.15,12.56,12.12,12.32
20151207,12.21,12.47,12.07,12.15
20151208,11.92,12.36,11.89,12.19
20151209,12.08,12.45,12.05,12.11
20151210,12.12,12.38,12.12,12.36
20151211,12.14,12.28,12.04,12.21
20151214,12.30,12.47,12.01,12.16
20151215,12.22,12.47,12.20,12.21
20151216,12.27,12.40,12.18,12.26
20151217,12.28,12.35,11.89,11.90
20151218,11.83,11.91,11.45,11.51
20151221,11.60,11.63,11.31,11.43
20151222,11.40,11.76,11.30,11.66
20151223,11.75,11.79,11.66,11.75
20151224,11.75,11.89,11.72,11.73
20151228,11.70,11.72,11.58,11.63
20151229,11.67,11.93,11.67,11.86
20151230,11.91,11.96,11.81,11.84
20151231,11.83,11.99,11.76,11.84
20160104,11.58,11.66,11.45,11.60
20160105,11.65,11.78,11.58,11.71
20160106,11.52,11.52,11.20,11.29
20160107,11.05,11.05,10.72,10.77
20160108,10.83,10.92,10.55,10.58
20160111,10.66,10.75,10.50,10.65
20160112,10.76,10.89,10.57,10.82
20160113,10.83,10.93,10.44,10.58
20160114,10.60,10.82,10.54,10.62
20160115,10.18,10.38,9.99,10.11
20160119,10.27,10.28,9.70,9.76
20160120,9.55,9.63,9.24,9.55
20160121,9.61,10.01,9.51,9.94
20160122,10.13,10.24,9.73,9.80
20160125,9.79,9.81,9.45,9.49
20160126,9.54,9.80,9.51,9.64
20160127,9.64,9.89,9.57,9.62
20160128,9.75,9.77,9.42,9.48
20160129,9.58,9.72,9.40,9.71
20160201,9.65,10.01,9.59,9.97
20160202,9.83,9.97,9.73,9.88
20160203,9.81,9.85,9.33,9.65
20160204,9.60,9.94,9.60,9.86
20160205,9.83,10.12,9.76,9.91
20160208,9.76,9.81,9.21,9.37
20160209,9.29,9.42,9.15,9.19
20160210,9.24,9.47,9.19,9.28
20160211,9.14,9.20,8.91,9.02
20160212,9.09,9.44,9.03,9.42
20160216,9.56,9.85,9.45,9.81
20160217,9.88,10.10,9.87,10.08
20160218,10.13,10.67,10.10,10.52
20160219,10.49,10.49,10.05,10.32
20160222,10.44,10.75,10.42,10.68
20160223,10.61,10.63,10.25,10.31
20160224,10.28,10.86,10.10,10.82
20160225,10.16,10.46,9.95,10.34
20160226,10.44,10.99,10.38,10.64
20160229,10.64,10.85,10.60,10.69
20160301,10.84,11.02,10.67,10.93
20160302,10.93,11.06,10.77,10.90
20160303,10.97,11.30,10.96,11.11
20160304,11.15,11.32,11.10,11.18
20160307,10.99,11.40,10.95,11.31
20160308,11.20,11.27,10.96,11.05
20160309,11.09,11.45,11.09,11.36
20160310,11.39,11.56,11.15,11.42
20160311,11.52,11.70,11.45,11.70
20160314,11.63,11.71,11.36,11.47
20160315,11.43,11.45,11.20,11.40
20160316,11.41,11.67,11.35,11.62
20160317,11.62,12.25,11.59,11.72
20160318,11.78,12.22,11.78,12.18
20160321,12.14,12.24,11.98,12.21
20160322,12.09,12.30,12.06,12.26
20160323,12.24,12.28,11.97,12.02
20160324,11.98,12.10,11.72,12.07
20160328,12.06,12.14,11.96,12.07
20160329,12.03,12.35,11.92,12.28
20160330,12.34,12.39,12.16,12.30
20160331,12.30,12.36,12.20,12.32
20160401,12.21,12.29,12.03,12.26
20160404,12.24,12.30,12.09,12.10
20160405,12.10,12.14,11.93,11.95
20160406,12.03,12.29,11.89,12.28
20160407,12.21,12.29,11.93,11.99
20160408,12.09,12.28,12.05,12.06
20160411,12.10,12.44,12.10,12.13
20160412,12.20,12.31,11.78,12.22
20160413,12.34,12.74,12.26,12.64
20160414,12.56,12.69,12.34,12.55
20160415,12.57,12.71,12.50,12.52
20160418,12.48,12.96,12.45,12.67
20160419,12.70,12.92,12.59,12.78
20160420,12.82,12.96,12.73,12.80
20160421,12.78,12.84,12.58,12.59
20160422,12.52,12.73,12.52,12.61
20160425,12.55,12.64,12.37,12.57
20160426,12.59,12.79,12.58,12.73
20160427,12.66,12.79,12.49,12.76
20160428,12.74,12.80,12.52,12.57
20160429,12.49,12.51,12.13,12.27
20160502,12.26,12.33,12.02,12.12
20160503,12.05,12.11,11.61,11.71
20160504,11.65,11.80,11.52,11.59
20160505,11.67,11.74,11.40,11.45
20160506,11.40,11.64,11.37,11.59
20160509,11.58,11.63,11.38,11.43
20160510,11.48,11.72,11.41,11.61
20160511,11.62,11.76,11.53,11.69
20160512,11.78,11.80,11.45,11.56
20160513,11.53,11.69,11.43,11.50
20160516,11.53,11.68,11.49,11.64
20160517,11.59,11.79,11.48,11.53
20160518,11.58,11.68,11.47,11.57
20160519,11.47,11.55,11.31,11.44
20160520,11.48,11.68,11.40,11.66
20160523,11.66,11.87,11.62,11.67
20160524,11.68,11.93,11.62,11.91
20160525,12.24,12.34,12.11,12.20
20160526,12.50,13.15,12.45,13.04
20160527,13.02,13.31,12.96,13.17
20160531,13.12,13.38,13.07,13.38
20160601,13.32,13.49,13.21,13.44
20160602,13.39,13.65,13.38,13.54
20160603,13.47,13.53,13.32,13.44
20160606,13.43,13.70,13.43,13.67
20160607,13.70,13.80,13.61,13.69
20160608,13.69,13.90,13.66,13.87
20160609,13.78,13.89,13.62,13.84
20160610,13.71,13.72,13.39,13.50
20160613,13.27,13.29,13.02,13.03
20160614,13.01,13.20,12.89,13.05
20160615,13.09,13.20,12.96,13.00
20160616,12.94,13.02,12.71,12.98
20160617,12.98,13.18,12.96,13.12
20160620,13.28,13.38,13.06,13.07
20160621,13.13,13.36,13.06,13.33
20160622,12.81,12.97,12.60,12.61
20160623,12.83,12.97,12.79,12.95
20160624,12.41,12.63,12.15,12.26
20160627,12.11,12.12,11.48,11.55
20160628,11.67,11.80,11.51,11.79
20160629,11.97,12.23,11.84,12.18
20160630,12.27,12.55,12.14,12.55
20160701,12.55,12.76,12.51,12.73
20160705,12.62,12.71,12.26,12.36
20160706,12.26,12.62,12.04,12.60
20160707,12.66,12.88,12.59,12.85
20160708,13.05,13.16,12.95,13.08
20160711,13.17,13.30,13.03,13.16
20160712,13.47,13.83,13.42,13.72
20160713,13.73,13.85,13.63,13.81
20160714,13.89,13.94,13.75,13.80
20160715,13.89,13.93,13.77,13.85
20160718,13.85,14.00,13.85,13.94
20160719,13.93,14.11,13.92,14.05
20160720,14.15,14.25,14.04,14.16
20160721,14.13,14.18,13.93,14.00
20160722,14.01,14.14,13.91,14.11
20160725,14.10,14.20,14.09,14.16
20160726,14.16,14.27,14.12,14.18
20160727,14.26,14.26,13.90,13.99
20160728,13.95,13.98,13.82,13.94
20160729,13.91,14.13,13.79,14.01
20160801,14.06,14.24,14.02,14.18
20160802,13.92,14.18,13.85,14.06
20160803,14.05,14.35,14.04,14.31
20160804,14.33,14.38,14.10,14.15
20160805,14.24,14.36,14.19,14.28
20160808,14.30,14.34,14.20,14.26
20160809,14.29,14.34,14.24,14.25
20160810,14.28,14.30,14.14,14.19
20160811,14.20,14.33,14.15,14.30
20160812,14.29,14.38,14.25,14.28
20160815,14.31,14.59,14.31,14.52
20160816,14.46,14.52,14.38,14.41
20160817,14.40,14.51,14.33,14.50
20160818,14.52,14.60,14.46,14.51
20160819,14.46,14.51,14.39,14.42
20160822,14.36,14.39,14.26,14.37
20160823,14.43,14.65,14.43,14.57
20160824,14.67,14.73,14.39,14.40
20160825,13.64,14.48,13.55,14.37
20160826,14.37,14.69,14.37,14.39
20160829,14.41,14.58,14.39,14.43
20160830,14.43,14.46,14.28,14.38
20160831,14.34,14.42,14.21,14.37
20160901,14.39,14.50,14.28,14.50
20160902,14.61,14.70,14.45,14.49
20160906,14.54,14.67,14.53,14.63
20160907,14.63,14.75,14.51,14.69
20160908,14.60,14.69,14.55,14.63
20160909,14.52,14.53,14.07,14.07
20160912,13.85,14.57,13.78,14.49
20160913,14.35,14.44,14.06,14.18
20160914,14.18,14.35,14.09,14.27
20160915,14.19,14.60,14.14,14.50
20160916,14.74,14.80,14.49,14.53
20160919,14.58,14.74,14.54,14.56
20160920,14.64,14.67,14.52,14.54
20160921,14.63,15.00,14.62,14.99
20160922,14.98,15.17,14.93,15.12
20160923,15.10,15.19,15.03,15.09
20160926,15.00,15.12,14.93,15.02
20160927,15.00,15.37,14.95,15.34
20160928,15.40,15.49,15.17,15.49
