Date,Open,High,Low,Close
20151127,37.02,37.02,36.69,36.73
20151130,36.85,36.96,36.49,36.69
20151201,36.97,37.22,36.64,37.22
20151202,37.19,37.33,36.84,36.93
20151203,36.85,37.35,36.60,36.68
20151204,36.70,37.35,36.52,37.09
20151207,37.10,37.25,36.63,36.89
20151208,35.19,35.53,33.17,34.31
20151209,34.12,34.25,32.53,32.66
20151210,32.57,33.36,32.44,33.17
20151211,32.76,32.98,32.05,32.25
20151214,32.23,33.02,32.15,32.82
20151215,32.98,33.10,32.44,32.64
20151216,32.91,33.61,32.74,33.54
20151217,33.61,33.92,33.34,33.68
20151218,33.40,33.57,33.21,33.22
20151221,33.38,33.69,33.17,33.23
20151222,33.28,33.41,32.97,33.33
20151223,33.52,33.72,33.34,33.48
20151224,33.42,33.42,33.14,33.33
20151228,33.34,33.51,33.16,33.44
20151229,33.70,34.04,33.43,33.50
20151230,33.48,33.85,33.40,33.42
20151231,33.24,33.52,33.17,33.31
20160104,32.73,32.98,32.34,32.95
20160105,33.03,33.37,32.71,33.25
20160106,32.82,33.20,32.71,33.01
20160107,32.49,32.99,32.36,32.72
20160108,32.89,33.00,32.15,32.29
20160111,32.38,32.53,32.07,32.39
20160112,32.63,32.63,31.91,32.32
20160113,32.51,33.01,31.50,31.55
20160114,31.59,32.49,31.49,32.33
20160115,31.65,31.98,31.51,31.87
20160119,32.12,32.42,31.65,31.92
20160120,31.49,32.32,31.00,32.13
20160121,32.24,32.65,31.97,32.26
20160122,32.71,32.78,32.32,32.69
20160125,32.66,32.74,32.34,32.47
20160126,32.70,32.91,32.39,32.83
20160127,32.85,33.19,32.50,32.73
20160128,33.11,33.11,32.63,32.99
20160129,33.03,34.07,32.92,34.05
20160201,33.80,34.57,33.70,34.47
20160202,34.12,34.42,33.89,34.05
20160203,34.25,34.34,33.70,34.07
20160204,33.99,34.65,33.82,34.62
20160205,34.62,35.08,34.57,34.98
20160208,34.63,34.88,34.08,34.50
20160209,34.20,34.69,33.91,34.18
20160210,34.52,34.76,33.97,34.02
20160211,33.52,33.66,32.77,33.16
20160212,33.45,33.85,33.20,33.72
20160216,34.00,34.68,33.61,34.59
20160217,34.92,35.14,34.63,34.68
20160218,34.62,34.78,34.18,34.20
20160219,34.25,34.25,33.70,33.96
20160222,34.35,34.67,33.84,34.03
20160223,33.79,33.91,33.43,33.65
20160224,33.39,33.56,32.73,33.49
20160225,33.63,33.87,33.38,33.71
20160226,33.84,34.00,33.64,33.73
20160229,33.68,33.70,32.85,32.88
20160301,33.17,33.25,32.40,32.81
20160302,32.71,32.81,32.40,32.59
20160303,32.62,32.99,32.45,32.90
20160304,29.27,29.81,26.93,27.76
20160307,27.54,28.30,27.30,28.11
20160308,28.02,28.16,27.33,27.88
20160309,28.00,28.20,27.37,27.41
20160310,27.56,28.10,27.52,28.07
20160311,28.07,28.61,28.01,28.17
20160314,28.20,28.32,27.78,27.92
20160315,27.71,27.76,27.20,27.23
20160316,27.08,27.18,26.75,27.09
20160317,27.10,27.23,26.89,27.01
20160318,26.95,27.39,26.77,27.37
20160321,27.39,27.73,27.38,27.58
20160322,27.16,27.28,26.77,26.97
20160323,26.96,27.11,26.76,26.99
20160324,26.84,27.09,26.60,26.61
20160328,26.66,26.74,26.19,26.42
20160329,26.46,26.77,26.17,26.72
20160330,26.79,26.95,26.33,26.41
20160331,26.45,26.57,26.22,26.42
20160401,26.38,26.42,25.94,26.23
20160404,26.24,26.59,26.20,26.33
20160405,26.22,26.23,25.20,25.42
20160406,25.49,25.57,25.31,25.42
20160407,25.31,25.38,24.61,24.76
20160408,24.89,24.92,24.21,24.35
20160411,24.40,24.77,23.96,23.99
20160412,23.99,24.38,23.83,24.21
20160413,24.33,25.12,24.21,25.01
20160414,25.03,25.07,23.98,24.02
20160415,23.97,24.02,23.43,23.87
20160418,23.78,24.16,23.70,24.15
20160419,24.20,24.27,23.90,24.00
20160420,24.08,24.09,23.77,23.77
20160421,23.87,24.01,23.60,23.76
20160422,23.67,23.98,23.64,23.83
20160425,23.77,24.34,23.76,24.04
20160426,24.03,24.12,23.80,23.82
20160427,21.84,21.84,19.75,20.59
20160428,20.60,21.30,20.51,21.01
20160429,20.87,20.93,20.19,20.24
20160502,20.38,20.50,20.01,20.22
20160503,20.01,20.39,19.82,20.29
20160504,20.13,20.25,19.96,20.21
20160505,20.24,20.33,19.95,20.03
