Date,Open,High,Low,Close
20151127,36.87,37.60,36.62,37.51
20151130,37.69,37.72,37.20,37.46
20151201,37.81,38.22,37.64,37.76
20151202,37.72,38.04,37.70,37.74
20151203,37.81,38.51,37.66,37.88
20151204,37.95,38.84,37.90,38.79
20151207,38.80,38.90,38.42,38.73
20151208,38.50,38.96,38.24,38.86
20151209,38.98,39.33,38.32,38.51
20151210,38.54,38.79,38.39,38.51
20151211,38.22,38.90,38.19,38.72
20151214,38.26,39.06,38.09,38.99
20151215,39.19,39.37,38.72,39.01
20151216,39.36,39.99,39.17,39.92
20151217,39.87,40.10,39.45,39.74
20151218,39.51,39.71,39.26,39.40
20151221,39.65,39.90,39.46,39.83
20151222,39.96,40.26,39.53,40.26
20151223,40.33,40.39,39.35,39.88
20151224,39.93,40.08,39.78,39.91
20151228,39.81,40.01,39.66,40.01
20151229,40.12,40.32,39.97,40.25
20151230,40.01,40.17,39.53,39.83
20151231,39.74,39.85,39.47,39.54
20160104,39.12,39.17,38.79,39.11
20160105,39.28,39.95,39.10,39.90
20160106,39.51,40.28,39.22,40.04
20160107,39.55,39.70,38.90,39.31
20160108,39.47,39.92,39.01,39.08
20160111,39.22,39.28,38.53,39.02
20160112,39.38,39.87,39.21,39.76
20160113,39.81,40.12,39.15,39.22
20160114,39.24,39.67,39.07,39.42
20160115,38.95,38.98,37.75,38.06
20160119,38.60,38.88,38.13,38.45
20160120,38.11,38.30,36.87,37.78
20160121,37.90,38.18,36.97,37.24
20160122,37.63,38.06,37.45,37.99
20160125,38.00,38.24,37.68,37.76
20160126,37.83,38.73,37.76,38.42
20160127,38.42,38.83,38.14,38.30
20160128,38.46,39.50,38.40,39.17
20160129,39.42,40.26,39.35,40.21
20160201,40.29,41.18,40.09,41.01
20160202,40.94,40.94,40.50,40.67
20160203,41.27,41.31,39.81,39.96
20160204,39.90,39.90,39.12,39.22
20160205,39.35,39.90,39.06,39.47
20160208,39.45,40.87,39.26,40.70
20160209,40.45,41.54,40.35,41.43
20160210,41.41,42.10,41.30,41.67
20160211,41.43,41.93,40.67,41.69
20160212,41.81,42.20,41.10,41.50
20160216,43.46,45.72,43.10,44.44
