Date,Open,High,Low,Close
20151127,61.02,61.60,60.81,61.42
20151130,61.71,61.71,60.70,61.36
20151201,61.91,62.75,61.83,62.40
20151202,62.23,62.73,62.00,62.39
20151203,62.48,62.53,61.07,61.29
20151204,61.42,62.13,61.31,62.10
20151207,62.07,62.51,62.07,62.43
20151208,62.09,62.20,61.43,61.87
20151209,61.52,62.05,60.53,60.84
20151210,60.81,61.20,60.51,60.70
20151211,59.98,60.38,59.77,60.07
20151214,60.30,60.60,59.76,60.31
20151215,60.77,60.97,59.89,60.17
20151216,60.77,61.26,59.84,60.75
20151217,60.85,61.30,60.75,60.86
20151218,60.51,60.88,59.65,59.66
20151221,60.11,60.69,59.96,60.35
20151222,60.76,61.00,59.87,60.69
20151223,60.92,61.78,60.68,61.74
20151224,61.73,61.87,61.30,61.60
20151228,61.32,62.29,61.32,62.15
20151229,62.66,63.17,62.62,62.94
20151230,62.94,63.38,62.65,62.71
20151231,62.40,62.93,62.01,62.04
20160104,61.15,61.28,60.39,60.89
20160105,61.08,61.57,60.75,61.09
20160106,60.34,60.82,59.91,60.47
20160107,59.40,60.41,59.27,59.48
20160108,59.73,59.73,58.83,58.93
20160111,59.02,59.57,57.21,57.40
20160112,57.84,58.39,57.04,57.43
20160113,57.52,57.81,56.50,56.73
20160114,56.99,57.76,56.72,57.49
20160115,55.94,57.80,55.94,57.54
20160119,58.31,63.16,57.37,58.18
20160120,57.51,57.86,55.97,57.42
20160121,57.45,57.49,56.38,56.53
20160122,57.12,57.89,56.74,57.48
20160125,57.40,57.64,56.69,56.75
20160126,56.84,58.42,56.45,58.38
20160127,58.42,59.06,57.44,57.84
20160128,58.09,58.48,57.11,57.45
20160129,57.76,59.48,57.65,59.39
20160201,58.98,60.50,58.88,60.32
20160202,59.87,60.38,58.99,59.16
20160203,59.62,60.36,58.06,59.09
20160204,59.12,59.53,58.42,58.87
20160205,58.83,58.88,57.78,57.99
20160208,57.67,57.94,56.33,57.38
20160209,57.02,58.48,56.81,57.89
20160210,59.03,62.45,58.33,61.47
20160211,60.56,62.06,60.49,61.93
20160212,62.32,62.51,61.41,62.35
20160216,62.75,63.73,62.52,63.47
20160217,63.71,64.51,63.14,64.32
20160218,64.09,64.87,63.82,64.11
20160219,64.07,65.26,63.73,65.19
20160222,65.70,66.04,65.23,65.47
20160223,65.05,65.63,64.84,65.33
20160224,64.85,65.93,64.43,65.76
20160225,66.10,66.45,65.36,66.41
20160226,66.67,66.67,65.51,65.70
20160229,65.80,66.22,64.85,64.88
20160301,65.08,66.76,64.56,66.73
20160302,66.45,66.75,65.69,66.25
20160303,65.90,66.20,65.37,65.76
20160304,65.95,66.09,65.20,65.87
20160307,65.75,66.13,65.07,65.54
20160308,65.42,65.98,64.81,65.69
20160309,65.89,66.01,65.50,65.62
20160310,65.68,66.46,65.45,65.95
20160311,66.29,66.59,65.85,66.57
20160314,66.56,66.65,65.54,66.01
20160315,65.61,66.26,65.22,65.72
20160316,65.42,65.92,64.91,65.65
20160317,65.53,65.58,64.49,64.97
20160318,65.24,66.04,64.95,65.73
20160321,65.44,65.85,65.04,65.55
20160322,65.52,66.50,64.95,66.35
20160323,66.14,66.65,65.98,66.11
20160324,66.00,66.45,65.43,65.87
20160328,66.04,66.39,65.58,66.21
20160329,66.20,67.42,65.69,67.37
20160330,67.64,68.07,67.47,67.79
20160331,67.65,67.97,67.22,67.70
20160401,67.43,67.98,67.07,67.80
20160404,67.72,67.90,67.36,67.55
20160405,67.31,67.56,66.42,66.45
20160406,66.33,67.26,66.27,67.22
20160407,67.01,67.18,65.82,66.12
20160408,66.26,66.53,65.86,65.88
20160411,66.26,66.35,65.14,65.33
20160412,65.47,66.19,64.96,66.04
20160413,66.46,66.62,65.95,66.43
20160414,66.46,66.72,66.08,66.51
20160415,66.58,66.69,66.19,66.66
20160418,66.47,67.64,66.47,67.59
20160419,67.89,67.89,67.17,67.33
20160420,67.38,67.73,66.32,67.38
20160421,67.26,67.51,66.33,66.68
20160422,66.73,67.11,66.40,66.99
20160425,67.45,67.55,66.80,67.51
20160426,67.53,68.22,67.29,67.55
20160427,67.73,68.46,67.16,68.27
20160428,68.03,68.53,66.58,66.87
20160429,66.42,66.62,65.71,66.16
20160502,66.22,67.14,66.17,67.06
20160503,66.26,67.40,65.74,66.09
20160504,65.73,65.82,64.77,65.37
20160505,65.41,66.18,65.41,65.93
20160506,65.58,66.97,65.12,66.67
20160509,66.51,67.48,66.13,66.95
20160510,67.11,67.57,66.74,67.54
20160511,67.22,67.67,66.82,67.21
20160512,67.44,67.77,66.93,67.55
20160513,67.45,68.23,66.99,67.44
20160516,67.31,68.41,67.22,68.29
20160517,68.27,68.36,66.58,66.88
20160518,66.82,67.54,66.49,67.04
20160519,66.70,67.31,66.31,67.02
20160520,67.07,67.45,66.53,66.96
20160523,67.07,67.10,66.28,66.36
20160524,66.77,67.76,66.53,67.74
20160525,67.79,67.97,67.15,67.27
20160526,67.20,67.87,66.68,67.73
20160527,68.02,68.58,67.90,68.16
20160531,68.23,68.33,67.57,68.13
20160601,67.98,68.22,67.57,67.88
20160602,67.98,69.20,67.71,69.08
20160603,69.01,69.14,68.63,68.97
20160606,68.94,69.49,68.68,69.30
20160607,69.17,69.34,68.71,68.97
20160608,69.08,70.32,68.80,70.25
20160609,70.19,70.97,70.11,70.87
20160610,70.16,70.60,69.70,69.94
20160613,69.93,70.33,69.39,69.40
20160614,69.39,69.61,68.73,69.28
20160615,69.30,69.47,68.39,68.50
20160616,68.32,68.55,67.59,68.51
20160617,68.55,68.55,67.38,67.80
20160620,68.42,68.98,68.24,68.56
20160621,68.71,68.78,68.33,68.51
20160622,68.55,68.96,68.51,68.61
20160623,69.02,69.66,68.84,69.65
20160624,67.22,68.08,66.79,67.01
20160627,66.66,66.96,65.30,65.78
20160628,66.18,67.32,66.18,67.16
20160629,67.44,68.90,67.33,68.83
20160630,69.05,69.34,68.44,69.33
20160701,69.38,69.60,68.97,69.49
20160705,69.45,69.68,69.07,69.51
20160706,69.37,69.97,69.02,69.86
20160707,70.00,70.34,69.40,69.80
20160708,70.20,70.95,69.97,70.87
20160711,71.27,71.63,70.95,71.29
20160712,71.53,71.76,70.90,70.94
20160713,71.25,71.26,70.79,71.02
20160714,71.22,71.26,70.89,71.16
20160715,71.49,71.64,70.64,70.82
20160718,70.97,71.08,70.64,70.95
20160719,70.83,71.08,70.32,70.79
20160720,70.83,71.15,70.78,70.93
20160721,70.77,70.91,70.25,70.48
20160722,70.76,70.98,70.31,70.85
20160725,70.94,71.15,70.29,70.52
20160726,70.62,71.04,70.32,70.94
20160727,70.85,70.85,70.01,70.20
20160728,70.15,70.67,69.93,70.31
20160729,70.54,71.09,70.20,70.97
20160801,70.88,71.06,70.59,70.64
20160802,70.63,70.68,70.13,70.57
20160803,70.60,70.71,70.02,70.46
20160804,67.10,68.24,63.98,64.13
20160805,64.52,65.56,64.15,65.47
20160808,65.47,65.70,64.75,65.11
20160809,64.91,65.18,64.39,64.53
20160810,64.54,65.76,64.38,65.18
20160811,65.35,65.81,65.06,65.67
20160812,65.39,65.45,64.85,64.89
