Date,Open,High,Low,Close
20151127,16.54,16.75,16.49,16.62
20151130,16.65,16.69,16.43,16.60
20151201,16.73,16.91,16.66,16.85
20151202,16.81,16.92,16.39,16.40
20151203,16.41,16.52,15.99,15.99
20151204,16.04,16.37,15.99,16.34
20151207,16.24,16.28,15.84,15.91
20151208,15.86,16.05,15.80,16.00
20151209,15.85,16.23,15.76,15.87
20151210,15.91,16.24,15.89,16.13
20151211,15.92,16.15,15.71,15.81
20151214,15.83,15.88,15.42,15.71
20151215,15.86,15.95,15.68,15.87
20151216,16.00,16.07,15.67,16.02
20151217,15.97,16.01,15.69,15.75
20151218,15.64,15.76,15.28,15.33
20151221,15.47,15.66,15.10,15.20
20151222,15.30,15.65,15.18,15.43
20151223,15.48,15.96,15.41,15.96
20151224,16.00,16.06,15.89,15.95
20151228,15.90,15.97,15.63,15.78
20151229,15.71,15.94,15.68,15.93
20151230,15.90,16.10,15.72,15.76
20151231,15.72,15.74,15.33,15.34
20160104,15.08,15.27,14.90,15.16
20160105,15.21,15.41,15.03,15.39
20160106,15.16,15.22,14.92,15.07
20160107,14.90,15.10,14.53,14.55
20160108,14.56,14.78,14.49,14.51
20160111,14.47,14.84,14.45,14.75
20160112,14.92,15.00,14.23,14.33
20160113,14.34,14.36,13.38,13.46
20160114,13.53,13.88,13.17,13.78
20160115,13.36,13.45,12.86,13.16
20160119,13.28,13.50,12.80,12.82
20160120,12.63,13.00,12.17,12.83
20160121,12.92,13.89,12.79,13.50
20160122,13.75,14.31,13.58,13.80
20160125,13.81,13.93,13.49,13.57
20160126,13.63,14.12,13.59,13.87
20160127,13.81,14.09,13.40,13.55
20160128,13.73,13.82,13.11,13.19
20160129,13.39,14.08,13.27,13.85
20160201,13.72,13.88,13.55,13.71
20160202,13.53,13.53,13.02,13.23
20160203,13.33,13.68,12.98,13.64
20160204,13.59,14.29,13.54,14.20
20160205,14.12,14.54,13.91,14.15
20160208,14.04,14.05,13.41,13.76
20160209,13.56,14.34,13.56,13.85
20160210,13.90,14.54,13.87,14.08
20160211,13.83,14.04,13.66,13.88
20160212,14.07,14.48,13.98,14.42
20160216,14.64,14.89,14.53,14.84
20160217,15.57,16.00,14.60,14.97
20160218,15.04,15.52,14.89,15.32
20160219,15.17,15.27,14.89,15.06
20160222,15.21,15.59,15.14,15.32
20160223,15.23,15.46,14.93,14.96
20160224,14.86,15.12,14.64,15.05
20160225,15.14,15.51,14.99,15.51
20160226,15.54,15.74,15.34,15.39
20160229,15.42,15.54,15.24,15.31
20160301,15.48,15.88,15.46,15.85
20160302,15.82,16.00,15.78,15.95
20160303,15.99,16.23,15.95,16.11
20160304,16.18,16.58,16.13,16.49
20160307,16.39,16.85,16.30,16.84
20160308,16.73,16.84,16.22,16.27
20160309,16.32,16.37,15.99,16.17
20160310,16.32,16.50,15.73,16.05
20160311,16.29,16.67,16.17,16.63
20160314,16.80,17.17,16.65,16.87
20160315,16.65,16.73,16.37,16.56
20160316,16.45,16.97,16.45,16.91
20160317,16.98,16.98,16.12,16.75
20160318,16.81,17.08,16.76,16.97
20160321,16.99,17.26,16.67,16.82
20160322,16.73,16.77,16.34,16.48
20160323,16.48,16.51,16.01,16.18
20160324,16.07,16.25,15.77,16.18
20160328,16.22,16.44,16.02,16.34
20160329,16.20,16.54,15.95,16.46
20160330,16.55,16.77,16.45,16.46
20160331,16.45,16.73,16.36,16.70
20160401,16.47,16.47,16.00,16.06
20160404,16.00,16.04,15.59,15.68
20160405,15.55,15.58,15.20,15.44
20160406,15.38,15.58,15.19,15.48
20160407,15.38,15.47,15.15,15.29
20160408,15.38,15.67,15.25,15.26
20160411,15.39,15.73,15.34,15.53
20160412,15.63,15.89,15.55,15.86
20160413,15.98,16.12,15.87,16.10
20160414,16.13,16.29,16.04,16.09
20160415,16.10,16.38,16.09,16.21
20160418,16.08,16.14,15.82,15.86
20160419,15.96,16.01,15.74,15.86
20160420,15.85,15.91,15.53,15.54
20160421,15.45,15.86,15.45,15.59
20160422,15.66,15.81,15.00,15.34
20160425,15.25,15.40,15.17,15.27
20160426,15.33,15.64,15.28,15.51
20160427,15.47,15.98,15.42,15.94
20160428,15.77,16.15,15.75,15.82
20160429,15.37,16.10,15.14,15.82
20160502,15.90,16.14,15.82,16.01
20160503,15.83,16.13,15.76,16.11
20160504,15.94,16.27,15.93,16.16
20160505,16.16,16.38,16.04,16.18
20160506,16.14,16.42,16.10,16.36
20160509,16.39,16.52,16.27,16.41
20160510,16.53,16.72,16.50,16.67
20160511,16.65,16.69,15.98,16.07
20160512,16.14,16.28,15.69,15.89
20160513,15.87,15.94,15.56,15.61
20160516,15.63,15.79,15.60,15.63
20160517,15.58,15.79,15.44,15.49
20160518,15.57,15.57,14.81,15.00
