Date,Open,High,Low,Close
20151127,86.79,87.72,86.50,87.00
20151130,86.97,87.32,86.30,86.31
20151201,86.35,86.86,85.23,85.62
20151202,85.82,86.35,84.85,85.21
20151203,85.30,85.67,84.00,84.56
20151204,84.81,86.79,84.81,86.50
20151207,86.44,87.28,86.22,87.14
20151208,86.95,88.32,86.69,87.86
20151209,87.18,87.99,86.51,86.61
20151210,86.50,87.52,86.37,86.77
20151211,85.85,88.54,85.65,87.43
20151214,87.61,90.19,87.51,89.91
20151215,90.25,90.89,88.67,89.35
20151216,89.82,92.00,89.60,91.42
20151217,91.45,91.58,89.43,89.83
20151218,89.09,89.11,87.85,88.76
20151221,89.13,89.40,88.49,89.18
20151222,89.50,89.79,88.15,89.73
20151223,89.86,90.42,89.12,90.34
20151224,90.28,90.52,89.98,90.32
20151228,90.20,90.43,89.70,90.39
20151229,90.69,91.24,90.56,90.98
20151230,90.86,91.13,90.47,90.60
20151231,90.10,90.10,89.09,89.27
20160104,88.16,88.41,87.12,87.99
20160105,88.48,88.88,87.23,87.67
20160106,86.71,88.04,86.21,87.73
20160107,86.71,87.18,85.42,85.70
20160108,85.98,86.23,84.75,84.92
20160111,84.29,84.94,83.52,84.25
20160112,84.99,85.20,84.01,85.01
20160113,85.24,85.30,83.42,83.60
20160114,84.09,85.07,83.48,84.57
20160115,83.20,83.74,82.62,83.32
20160119,83.67,84.74,83.52,84.61
20160120,83.88,85.58,82.65,84.99
20160121,84.96,85.28,83.82,84.66
20160122,85.23,86.19,84.88,85.25
20160125,84.91,85.21,83.03,83.77
20160126,84.13,85.49,83.64,85.08
20160127,85.16,86.05,84.29,84.43
20160128,85.72,88.23,82.42,87.00
20160129,87.25,88.28,86.64,88.11
20160201,88.19,90.32,87.95,89.36
20160202,88.47,89.93,88.14,89.50
20160203,89.43,89.84,88.51,88.78
20160204,88.72,89.64,88.20,88.64
20160205,88.89,89.40,87.40,87.70
20160208,87.45,90.41,87.38,90.01
20160209,89.05,90.35,88.36,89.82
20160210,89.82,91.33,89.54,89.75
20160211,89.02,89.10,87.92,88.49
20160212,88.99,89.87,88.77,89.70
20160216,90.00,90.56,89.05,90.39
20160217,90.59,92.47,90.39,91.61
20160218,91.41,91.41,90.01,90.49
20160219,90.58,91.44,90.14,91.03
20160222,91.75,91.75,90.01,90.35
20160223,89.73,90.32,88.93,89.91
20160224,89.64,90.93,89.36,90.67
20160225,90.66,91.96,90.18,91.94
20160226,92.00,92.00,90.25,90.62
20160229,90.49,91.71,90.29,90.89
20160301,91.71,92.31,91.42,91.86
20160302,91.99,92.46,91.29,92.27
20160303,92.20,93.41,92.00,93.36
20160304,93.05,93.79,92.72,93.18
20160307,92.52,93.30,92.05,92.44
20160308,91.77,92.61,91.69,92.04
20160309,92.38,93.22,91.96,92.57
20160310,93.00,93.00,91.79,91.95
20160311,92.19,92.96,92.17,92.72
20160314,92.48,92.82,92.07,92.32
20160315,92.00,92.74,91.35,92.54
20160316,92.42,93.12,91.75,92.79
20160317,93.01,93.26,92.50,92.64
20160318,92.69,92.79,90.55,90.98
20160321,90.70,91.19,90.05,90.88
20160322,90.63,90.89,89.29,89.35
20160323,89.35,90.38,89.25,89.92
20160324,89.40,90.35,89.36,90.07
20160328,90.13,91.00,90.12,90.32
20160329,90.20,91.92,90.15,91.86
20160330,92.00,92.04,91.16,91.85
