Date,Open,High,Low,Close
20151127,168.91,169.98,168.17,168.90
20151130,169.25,170.32,168.24,168.66
20151201,168.92,173.61,168.92,173.55
20151202,173.50,175.66,172.50,173.13
20151203,173.17,173.62,168.24,168.60
20151204,169.65,172.62,169.05,170.77
20151207,170.90,171.01,169.02,169.47
20151208,168.98,170.60,168.35,170.04
20151209,168.86,171.25,168.62,170.73
20151210,170.77,173.14,170.24,172.02
20151211,170.37,174.24,170.26,172.78
20151214,173.26,175.10,172.05,174.89
20151215,174.93,176.96,174.48,175.66
20151216,177.20,178.30,175.69,176.36
20151217,176.35,177.83,175.31,176.88
20151218,176.14,177.12,174.86,175.38
20151221,175.65,176.75,174.47,176.10
20151222,177.04,177.37,174.22,176.10
20151223,176.58,179.49,171.35,179.14
20151224,178.82,180.31,178.11,178.30
20151228,177.73,178.33,176.01,177.86
20151229,178.00,180.13,177.81,179.11
20151230,179.53,179.62,177.51,179.00
20151231,178.40,179.75,178.40,178.51
20160104,177.67,179.88,176.44,179.75
20160105,180.22,181.46,178.50,179.63
20160106,177.80,179.24,175.05,176.61
20160107,175.08,176.66,173.81,175.15
20160108,174.56,176.33,172.44,172.91
20160111,173.08,173.42,166.71,169.01
20160112,169.55,172.00,167.62,168.83
20160113,168.93,170.11,163.52,163.89
20160114,163.89,167.75,162.77,167.23
20160115,166.34,166.50,160.47,162.16
20160119,162.16,167.36,162.16,164.00
20160120,162.84,166.20,157.45,164.74
20160121,165.64,167.24,163.30,166.11
20160122,167.44,168.23,165.64,166.22
20160125,166.22,166.81,163.11,163.29
20160126,163.25,165.54,163.01,164.66
20160127,165.35,165.53,159.74,161.30
20160128,161.31,162.70,158.81,159.79
20160129,160.62,163.45,158.12,162.79
20160201,162.71,168.36,162.69,167.58
20160202,166.13,167.59,164.26,166.87
20160203,167.54,167.98,164.75,166.78
20160204,166.56,169.87,164.87,168.65
20160205,167.97,169.32,163.32,164.78
20160208,164.13,164.73,156.04,156.96
20160209,157.04,161.30,155.24,159.53
20160210,161.17,165.52,160.75,161.07
20160211,158.91,160.92,157.01,158.02
20160212,158.34,160.47,157.41,160.37
20160216,161.00,166.74,160.55,166.64
20160217,167.33,169.59,166.00,168.31
20160218,168.00,169.00,166.61,167.75
