Date,Open,High,Low,Close
20151127,120.23,120.87,119.15,119.85
20151130,120.34,121.03,119.46,120.01
20151201,117.89,122.20,117.89,122.00
20151202,121.56,122.21,120.10,120.41
20151203,120.42,120.80,118.26,119.14
20151204,119.48,121.53,119.48,121.25
20151207,120.81,121.69,120.08,121.28
20151208,120.57,121.64,119.71,121.03
20151209,121.18,122.64,119.72,120.72
20151210,120.57,120.98,118.04,118.31
20151211,116.69,117.80,115.64,116.12
20151214,116.23,117.38,115.20,116.32
20151215,117.64,119.00,117.52,118.18
20151216,119.19,121.16,118.85,120.95
20151217,120.81,121.09,118.08,118.09
20151218,117.75,118.41,115.84,115.88
20151221,116.60,117.41,116.13,117.23
20151222,117.91,119.80,117.08,119.51
20151223,119.88,120.05,118.65,119.66
20151224,119.45,120.31,119.24,119.97
20151228,119.08,120.40,118.88,120.35
20151229,121.34,122.08,120.47,121.12
20151230,121.03,122.09,120.36,120.62
20151231,120.26,121.06,119.60,119.64
20160104,118.31,118.36,116.94,118.03
20160105,118.40,119.12,117.73,118.93
20160106,117.15,118.01,116.37,117.17
20160107,115.61,116.99,114.38,116.59
20160108,116.99,117.35,116.18,116.34
20160111,117.28,118.14,116.60,117.62
20160112,118.67,119.57,117.35,118.33
20160113,118.85,118.92,115.82,116.05
20160114,116.09,117.80,115.65,117.20
20160115,114.93,115.73,112.53,115.31
20160119,116.08,117.30,112.24,113.48
20160120,111.43,112.66,109.73,111.78
20160121,112.10,113.90,111.10,111.75
20160122,113.46,114.96,112.87,114.07
20160125,110.14,111.31,108.08,110.40
20160126,110.49,112.48,110.49,111.87
20160127,111.69,112.43,110.65,111.52
20160128,112.43,113.04,110.69,112.19
20160129,113.15,117.00,112.77,116.96
20160201,116.39,119.04,115.36,118.46
20160202,117.12,117.75,116.23,117.22
20160203,117.76,120.60,116.89,120.60
20160204,119.99,122.38,119.89,121.28
20160205,121.28,121.69,117.75,119.38
20160208,117.96,118.40,115.60,116.61
20160209,115.21,117.29,115.18,116.83
20160210,116.81,119.75,114.32,115.33
20160211,100.50,105.30,97.24,100.49
20160212,101.00,107.81,101.00,106.75
20160216,105.68,108.04,104.48,106.54
20160217,107.50,108.84,105.89,106.08
20160218,106.30,107.01,104.35,105.39
20160219,105.34,105.55,104.04,105.40
20160222,106.27,107.54,105.20,105.28
20160223,104.36,105.14,102.77,103.42
20160224,102.64,106.82,102.31,106.21
20160225,106.25,106.73,104.20,105.02
20160226,105.50,105.75,103.85,104.12
20160229,104.15,105.39,103.26,103.29
20160301,104.32,107.29,104.06,106.62
20160302,105.81,106.48,104.59,105.82
20160303,105.94,106.09,104.60,105.15
20160304,105.54,106.85,104.93,106.41
20160307,105.93,107.40,105.70,106.43
20160308,105.27,109.18,104.93,107.17
20160309,107.26,107.98,106.11,107.50
20160310,108.00,108.99,106.59,107.68
20160311,109.07,110.62,108.27,109.98
20160314,109.36,111.33,109.18,110.33
20160315,110.05,110.76,109.53,110.30
20160316,109.70,111.96,109.70,111.45
20160317,111.57,113.03,110.91,112.88
20160318,113.16,115.12,112.84,113.68
20160321,113.68,114.13,112.81,113.94
20160322,113.86,115.33,111.83,114.90
20160323,113.91,114.49,112.81,113.63
20160324,112.59,113.78,111.74,113.24
20160328,113.40,114.12,113.31,113.84
20160329,113.36,114.90,112.91,114.79
20160330,115.42,116.18,114.21,114.58
20160331,114.67,115.11,113.39,113.77
20160401,113.19,116.51,112.95,116.38
20160404,116.44,116.44,114.65,115.85
20160405,115.04,116.28,114.76,115.34
20160406,115.60,118.14,115.41,118.07
20160407,117.25,118.07,116.37,116.64
20160408,117.75,118.94,117.17,117.70
20160411,118.20,118.47,117.18,117.39
20160412,117.63,118.89,117.38,118.53
20160413,119.36,120.05,118.78,119.98
20160414,120.13,120.31,119.09,119.31
20160415,119.31,120.28,119.10,119.99
20160418,119.23,121.49,118.97,121.24
20160419,121.90,123.43,121.33,122.28
20160420,121.75,122.40,119.32,120.00
20160421,120.44,120.73,119.25,120.15
20160422,120.30,120.96,119.41,120.82
20160425,120.22,120.33,119.32,120.11
20160426,120.17,121.24,119.64,120.37
20160427,120.52,120.91,119.78,120.27
20160428,119.25,120.54,118.92,119.48
20160429,119.28,119.68,118.30,119.47
20160502,119.76,120.35,119.34,119.81
20160503,118.78,119.61,118.27,119.36
20160504,118.92,120.43,118.48,118.64
20160505,119.28,119.85,118.36,118.62
20160506,118.20,118.69,117.07,118.59
20160509,118.68,119.98,118.42,119.89
20160510,122.00,127.53,121.02,126.24
20160511,126.02,126.64,123.57,123.62
20160512,124.24,126.33,123.77,126.16
20160513,125.89,126.79,125.51,126.25
20160516,126.17,128.13,126.16,127.80
20160517,127.09,127.69,126.38,127.50
20160518,127.00,127.81,126.21,126.63
20160519,126.50,128.13,125.76,128.00
20160520,128.64,129.18,127.46,128.03
20160523,127.79,128.09,126.80,127.92
20160524,128.15,128.47,126.54,128.25
20160525,128.31,129.34,128.31,129.00
20160526,129.05,129.30,128.64,128.93
20160527,128.92,129.37,128.16,129.34
20160531,129.21,129.45,128.03,129.00
20160601,129.00,129.42,128.21,128.92
20160602,128.82,128.82,127.68,128.71
20160603,128.49,128.71,127.28,128.33
20160606,128.88,129.64,128.28,128.84
20160607,129.10,130.17,128.57,129.53
20160608,129.76,131.30,128.84,131.01
20160609,130.16,130.60,129.50,129.80
20160610,129.02,129.23,127.50,128.76
20160613,128.49,128.58,127.29,127.34
20160614,126.55,127.70,124.48,127.37
20160615,128.09,128.09,126.10,126.21
20160616,125.82,126.18,124.42,125.93
20160617,125.95,126.00,124.26,125.50
20160620,126.21,127.53,126.16,127.00
20160621,127.59,127.93,127.05,127.28
20160622,127.54,127.75,126.42,126.86
20160623,127.49,128.47,126.77,127.23
20160624,123.74,126.20,121.69,122.14
20160627,121.11,121.55,117.82,119.56
20160628,120.00,121.23,119.11,121.15
20160629,122.41,124.14,122.13,123.81
20160630,124.50,126.10,123.77,126.07
