Date,Open,High,Low,Close
20151127,115.63,118.18,115.19,116.75
20151130,116.61,117.62,111.86,114.24
20151201,114.99,114.99,109.15,112.21
20151202,112.46,115.64,111.38,113.85
20151203,113.15,113.44,105.50,106.83
20151204,107.37,109.98,106.15,109.11
20151207,109.19,109.33,105.11,107.72
20151208,106.05,110.36,105.00,110.10
20151209,109.81,110.32,107.05,108.21
20151210,107.96,110.92,107.02,110.20
20151211,108.77,111.10,106.10,106.50
20151214,107.25,111.60,106.00,109.41
20151215,110.51,115.40,110.24,114.73
20151216,115.72,118.00,113.38,117.79
20151217,114.25,118.49,114.19,114.81
20151218,114.88,115.99,111.19,113.23
20151221,114.22,114.99,111.74,112.90
20151222,113.78,113.78,108.51,108.99
20151223,109.21,111.70,108.17,110.52
20151224,110.26,111.07,108.40,108.92
20151228,108.98,109.93,108.29,109.68
20151229,109.98,111.20,108.93,110.72
20151230,110.27,111.19,108.67,109.11
20151231,108.24,109.92,108.24,108.45
20160104,106.50,106.81,101.73,103.32
20160105,102.14,105.98,101.90,103.80
20160106,101.44,103.62,100.27,102.26
20160107,100.10,100.79,95.62,95.76
20160108,97.08,97.99,93.06,94.78
20160111,95.90,96.22,90.70,92.19
20160112,93.62,96.75,84.57,88.09
20160113,88.52,89.65,78.23,78.42
20160114,79.76,82.59,74.73,80.98
20160115,74.48,79.05,73.22,76.95
20160119,79.19,79.26,70.17,73.31
20160120,71.63,75.99,69.73,74.25
20160121,73.87,76.72,71.00,73.78
20160122,75.50,80.32,75.28,79.40
20160125,78.48,84.20,78.12,78.31
20160126,78.06,78.67,74.24,76.04
20160127,76.54,79.57,73.84,74.99
20160128,70.01,70.57,64.51,67.81
20160129,68.24,70.88,67.81,70.56
20160201,70.00,73.55,68.80,72.58
20160202,71.85,71.85,67.11,68.94
20160203,69.54,70.41,65.51,69.17
20160204,68.92,73.00,66.56,72.03
20160205,70.68,71.56,68.00,71.00
20160208,69.50,71.70,65.61,70.91
20160209,68.97,74.54,68.31,72.26
20160210,73.57,76.33,71.71,72.31
20160211,58.60,66.28,55.00,65.51
20160212,65.54,68.50,63.51,68.36
20160216,70.30,71.94,68.78,71.67
20160217,72.67,77.29,71.62,74.45
20160218,74.86,75.36,70.96,71.02
20160219,70.84,73.59,68.56,72.70
20160222,73.57,75.20,72.40,73.90
20160223,73.47,74.83,71.07,72.01
20160224,71.29,74.43,69.50,74.32
20160225,74.00,76.78,73.31,74.28
20160226,75.00,76.39,73.56,74.34
20160229,74.76,75.38,72.81,73.50
20160301,74.01,75.06,71.93,75.05
20160302,74.79,76.50,73.03,73.60
20160303,74.00,74.00,71.27,72.56
20160304,73.51,73.95,70.73,71.99
20160307,71.64,74.66,69.88,73.29
20160308,73.18,74.22,70.82,71.17
20160309,71.28,71.96,67.83,68.85
20160310,69.89,71.62,67.88,68.65
20160311,69.53,70.92,68.40,70.89
20160314,70.98,71.99,68.93,68.98
20160315,68.37,68.49,65.25,65.64
20160316,65.15,67.01,62.53,63.77
20160317,64.03,64.79,60.30,63.05
20160318,63.82,66.05,62.63,65.07
20160321,64.98,69.25,64.77,68.61
20160322,67.87,70.80,67.35,69.11
20160323,70.81,71.33,67.22,67.43
20160324,67.07,72.71,65.50,69.76
20160328,70.40,70.91,68.37,68.45
20160329,68.59,69.90,67.52,69.25
20160330,70.64,71.99,67.94,68.35
20160331,68.58,74.19,68.51,72.47
20160401,73.20,74.09,71.07,73.30
20160404,73.28,74.02,72.42,73.49
20160405,73.07,75.24,72.24,73.35
20160406,73.41,82.04,73.41,81.87
20160407,81.50,84.42,78.64,79.40
20160408,80.70,80.84,75.79,77.47
20160411,77.00,77.67,75.00,75.81
20160412,75.71,77.53,75.26,77.37
20160413,77.64,79.49,76.57,79.22
20160414,79.30,79.80,78.03,78.54
20160415,79.37,79.41,76.08,77.78
20160418,77.79,78.41,74.70,77.89
20160419,77.51,78.36,75.84,76.77
20160420,77.18,79.25,77.00,78.49
20160421,78.06,79.03,76.02,77.56
20160422,77.11,77.87,74.84,76.77
20160425,76.82,77.89,75.84,76.55
20160426,76.56,76.96,73.77,74.43
20160427,73.99,74.05,72.01,73.19
20160428,73.21,74.55,71.32,72.34
20160429,71.46,73.17,70.01,72.27
20160502,72.03,74.47,71.02,74.36
20160503,73.45,74.40,71.55,72.09
20160504,71.40,72.00,68.52,68.69
20160505,68.97,71.01,68.03,70.41
20160506,69.77,72.38,68.60,70.69
20160509,70.40,74.42,69.11,72.86
20160510,73.51,73.62,70.22,73.49
20160511,73.62,73.74,70.48,70.62
20160512,70.80,71.35,68.31,70.54
20160513,70.27,73.31,69.95,73.21
20160516,73.08,76.81,73.08,76.47
20160517,76.07,76.68,74.25,75.55
20160518,75.18,79.00,74.90,77.53
20160519,76.99,78.95,74.92,76.04
20160520,76.34,78.99,74.99,77.65
20160523,77.97,82.07,77.69,80.68
20160524,81.10,81.77,80.32,81.27
20160525,81.31,83.50,80.64,83.16
20160526,82.63,83.02,81.05,81.78
20160527,81.69,85.68,80.95,84.53
20160531,84.99,86.20,83.84,84.41
20160601,83.92,86.19,82.34,85.18
20160602,85.17,87.88,84.90,87.71
20160603,87.44,87.48,84.43,84.96
20160606,84.85,86.00,82.52,85.49
20160607,85.50,86.22,82.20,82.44
20160608,82.91,83.64,81.55,82.90
20160609,83.59,83.87,81.58,81.61
20160610,80.64,81.43,78.35,80.41
20160613,80.08,82.47,79.48,80.01
20160614,80.15,80.87,78.56,79.78
20160615,80.30,80.89,79.28,79.45
20160616,78.78,80.26,78.37,80.00
20160617,80.18,81.55,76.92,77.11
20160620,77.82,79.98,77.50,78.49
20160621,78.84,79.40,76.04,77.60
20160622,77.52,79.85,75.50,78.50
20160623,79.30,81.79,78.12,81.66
20160624,76.84,80.89,76.41,76.98
20160627,76.52,77.74,71.75,72.44
20160628,73.41,76.75,73.41,76.58
20160629,77.15,79.49,75.82,78.74
20160630,78.88,80.43,77.85,79.98
20160701,79.61,82.86,79.34,81.27
20160705,80.97,80.97,78.40,79.71
20160706,80.00,83.45,79.51,82.48
20160707,82.53,84.06,82.18,83.53
20160708,83.29,85.88,82.97,85.70
20160711,86.39,86.90,84.97,85.00
20160712,85.63,86.11,84.90,84.97
20160713,85.99,86.28,82.45,82.56
20160714,83.31,83.80,81.27,82.14
20160715,82.85,84.69,82.83,83.83
20160718,84.19,84.46,83.01,84.13
20160719,83.74,84.79,82.72,82.82
20160720,82.91,87.19,82.76,86.88
20160721,87.18,89.27,86.29,87.79
20160722,88.47,88.99,86.37,86.41
20160725,86.60,86.89,84.99,86.43
20160726,86.01,87.53,85.58,86.96
20160727,87.67,89.15,87.24,88.72
20160728,88.69,88.94,86.89,88.12
20160729,88.52,90.35,86.67,90.21
20160801,90.62,92.82,89.45,90.00
20160802,89.74,89.81,86.02,88.95
20160803,89.09,90.99,88.66,90.81
20160804,91.47,92.05,89.75,90.12
20160805,90.83,92.74,90.32,90.84
20160808,90.68,91.60,87.90,88.04
20160809,90.01,90.14,84.52,86.48
20160810,86.96,87.19,83.05,83.49
20160811,83.50,83.73,80.49,81.21
20160812,81.08,81.48,80.50,81.05
20160815,81.05,81.56,80.50,80.55
20160816,80.58,80.59,77.70,77.86
20160817,78.22,78.56,76.40,76.48
20160818,76.50,77.20,75.87,76.16
20160819,75.69,77.65,75.52,76.11
20160822,79.80,84.39,79.11,81.98
20160823,82.73,83.25,80.48,81.90
20160824,81.55,87.98,81.55,82.44
20160825,82.45,85.07,78.70,80.10
20160826,80.06,82.19,79.36,81.04
20160829,81.10,81.88,80.09,81.33
20160830,81.08,81.78,80.49,80.98
20160831,81.11,82.16,80.15,81.10
20160901,81.61,81.73,79.89,80.81
20160902,81.14,82.65,80.50,82.02
20160906,82.34,83.95,81.75,83.75
20160907,83.59,85.12,81.99,82.45
20160908,82.20,82.57,81.19,81.56
20160909,80.70,82.05,79.04,79.13
20160912,78.77,81.38,78.21,81.16
20160913,80.17,80.17,77.58,79.21
20160914,79.22,81.75,79.22,80.05
20160915,80.03,80.84,78.04,80.36
20160916,80.35,82.57,79.75,82.15
20160919,82.35,84.43,81.49,83.51
20160920,83.51,85.50,83.35,85.06
20160921,85.29,87.26,83.93,86.71
20160922,87.81,89.48,86.44,89.27
20160923,88.39,91.26,88.39,88.98
20160926,88.63,89.04,86.96,88.76
20160927,88.56,89.24,86.91,89.07
20160928,94.98,95.39,91.39,93.20
20160929,94.14,95.14,91.08,92.29
20160930,92.71,94.66,90.57,94.29
20161003,93.72,95.69,93.33,95.54
20161004,95.80,96.18,93.33,94.17
20161005,94.45,96.38,94.26,95.69
20161006,94.80,95.10,92.16,94.78
20161007,96.00,98.08,95.00,97.83
20161010,98.69,99.48,95.94,95.95
20161011,95.41,96.35,89.80,92.11
20161012,92.46,93.34,89.77,89.97
20161013,88.99,90.25,88.43,89.53
20161014,89.83,90.78,86.99,87.10
20161017,86.77,87.89,84.02,86.70
20161018,87.63,89.79,87.45,88.78
20161019,88.55,88.55,87.16,87.96
20161020,88.07,90.11,87.10,88.49
20161021,88.09,88.64,86.15,87.72
20161024,87.99,88.52,87.01,88.18
20161025,87.86,88.35,86.60,87.20
20161026,87.50,89.25,86.70,87.25
20161027,88.10,90.91,86.68,87.01
20161028,86.05,88.34,84.42,87.13
20161031,87.52,87.80,85.93,86.97
20161101,90.00,91.33,86.97,90.03
20161102,90.00,90.09,87.09,87.19
20161103,87.53,87.89,83.09,83.28
20161104,84.30,89.18,83.01,87.57
20161107,89.46,92.83,88.74,92.15
20161108,92.16,93.98,90.38,92.16
20161109,95.68,109.95,95.03,104.13
20161110,105.00,107.99,101.65,104.71
20161111,103.88,105.73,102.29,104.51
20161114,104.88,107.09,101.64,104.89
20161115,104.27,105.02,101.58,103.16
20161116,102.71,103.99,100.61,100.74
20161117,106.90,108.20,102.15,105.55
20161118,105.30,105.92,103.37,103.63
20161121,103.66,109.03,103.00,108.10
20161122,107.91,108.34,104.48,106.80
20161123,104.88,107.33,103.90,106.80
20161125,107.51,108.61,105.95,107.73
20161128,107.13,107.70,104.80,105.17
20161129,105.44,106.50,103.41,105.07
20161130,105.33,106.43,101.90,102.29
20161201,102.53,103.31,99.56,99.93
20161202,100.22,104.23,98.49,102.02
20161205,102.66,105.89,102.16,104.76
20161206,104.37,107.47,104.15,107.21
20161207,104.76,106.53,99.72,101.96
20161208,101.43,103.17,98.56,102.88
20161209,103.85,105.48,100.02,100.63
20161212,100.12,101.15,99.50,100.86
20161213,101.23,102.69,100.55,101.54
20161214,101.50,103.35,101.01,102.42
20161215,103.14,105.39,101.31,104.58
20161216,104.85,107.20,102.43,103.00
20161219,102.88,103.85,100.28,100.79
20161220,101.31,102.62,101.01,102.21
20161221,101.84,102.39,99.30,99.76
20161222,100.64,101.52,98.73,101.47
20161223,100.84,103.16,99.95,102.94
20161227,103.10,105.28,102.22,102.53
20161228,102.35,103.22,100.91,101.10
20161229,100.88,102.17,100.72,101.96
20161230,101.93,102.35,99.25,100.27
20170103,101.14,103.20,100.41,102.32
20170104,103.10,104.63,102.28,102.84
20170105,102.82,104.99,102.24,104.81
20170106,105.42,109.30,104.92,108.31
20170109,113.55,119.89,112.83,118.53
20170110,119.09,121.18,117.80,119.30
20170111,118.80,119.93,113.77,115.29
20170112,114.43,118.25,112.88,117.55
20170113,117.97,119.80,116.72,117.75
20170117,115.70,116.75,113.24,113.64
20170118,114.51,115.24,113.12,115.09
20170119,115.50,117.62,113.00,117.53
20170120,118.32,122.68,117.08,117.22
20170123,118.27,119.26,116.68,117.42
20170124,117.55,118.57,115.56,118.30
20170125,119.13,121.35,118.17,120.91
20170126,120.51,124.87,119.02,120.64
20170127,121.44,123.53,120.62,121.72
20170130,121.83,122.24,117.82,118.23
20170131,117.95,121.31,117.10,121.21
20170201,121.12,124.65,119.86,124.27
20170202,123.03,123.70,119.23,120.92
20170203,121.76,122.46,119.62,120.34
20170206,120.28,121.31,118.81,119.68
20170207,120.09,120.43,117.25,118.18
20170208,117.32,123.59,117.18,122.73
20170209,121.92,124.19,121.68,122.96
20170210,123.01,123.10,121.26,121.70
20170213,122.27,122.27,120.26,121.15
20170214,119.94,125.49,119.62,123.32
20170215,122.39,122.61,119.01,120.94
20170216,121.39,122.23,118.53,120.18
20170217,120.18,120.85,119.16,120.49
20170221,121.09,122.67,119.77,122.36
20170222,121.70,122.90,121.25,121.36
20170223,121.40,122.14,118.79,121.95
20170224,128.27,131.89,127.56,131.21
20170227,131.88,134.97,130.24,134.02
20170228,133.59,134.05,131.24,133.10
20170301,133.90,135.48,131.91,133.22
20170302,134.70,135.79,132.12,132.80
20170303,133.19,137.76,132.65,136.91
20170306,136.95,136.98,133.14,134.38
20170307,133.13,134.85,131.48,133.39
20170308,133.39,137.88,133.06,136.00
20170309,135.43,138.34,134.23,138.02
20170310,138.81,150.42,138.54,149.24
