Date,Open,High,Low,Close
20151127,29.11,29.48,28.92,29.11
20151130,29.11,29.59,29.11,29.50
20151201,29.31,29.98,29.29,29.90
20151202,29.67,29.85,29.13,29.33
20151203,29.46,29.50,28.83,28.95
20151204,28.38,29.60,28.38,29.57
20151207,29.39,29.74,29.35,29.44
20151208,29.59,29.75,29.20,29.55
20151209,29.36,29.58,29.00,29.24
20151210,29.21,29.30,28.70,28.89
20151211,28.62,29.03,28.56,28.90
20151214,29.03,29.14,28.61,28.84
20151215,29.07,29.37,28.83,28.89
20151216,29.06,29.30,28.88,29.21
20151217,29.37,29.62,29.20,29.48
20151218,29.46,29.61,28.98,29.08
20151221,29.16,29.30,28.84,29.18
20151222,29.34,29.34,29.08,29.14
20151223,29.13,29.62,29.13,29.54
20151224,29.50,29.87,29.31,29.85
20151228,29.81,29.91,29.60,29.88
20151229,29.96,30.22,29.85,30.12
20151230,30.15,30.50,30.14,30.35
20151231,30.31,30.48,30.13,30.17
20160104,29.90,30.30,29.12,29.54
20160105,29.45,29.90,29.43,29.75
20160106,29.66,29.66,29.10,29.33
20160107,29.00,29.24,28.70,28.90
20160108,29.07,29.13,28.04,28.51
20160111,28.51,28.79,27.76,28.21
20160112,28.51,28.84,28.11,28.41
20160113,28.48,28.59,27.75,27.91
20160114,27.84,28.08,27.72,27.93
20160115,27.58,27.87,27.27,27.40
20160119,27.67,27.75,27.03,27.08
20160120,26.81,27.11,26.01,26.72
20160121,26.54,27.41,26.54,27.04
20160122,27.28,28.37,27.28,28.30
20160125,28.13,28.42,27.84,27.97
20160126,28.00,28.63,28.00,28.41
20160127,28.43,28.92,28.24,28.58
20160128,28.67,29.00,28.32,28.47
20160129,28.62,28.63,28.35,28.36
20160201,28.34,28.93,28.29,28.83
20160202,28.45,28.81,28.35,28.74
20160203,28.92,28.98,28.13,28.39
20160204,28.29,28.68,28.19,28.30
20160205,28.33,28.63,27.83,27.89
20160208,27.69,27.87,27.22,27.48
20160209,27.08,27.54,26.90,27.13
20160210,27.81,28.87,26.90,27.00
20160211,26.51,27.91,26.29,26.51
20160212,26.91,27.32,26.37,27.15
20160216,27.56,28.00,26.96,27.38
20160217,27.38,28.10,27.29,27.92
20160218,27.73,28.19,27.69,28.08
20160219,27.85,28.35,27.81,28.19
20160222,28.50,28.61,27.81,27.82
20160223,27.82,28.04,27.47,27.53
20160224,26.99,27.71,26.99,27.61
20160225,27.64,28.01,27.41,27.81
20160226,27.68,27.96,27.55,27.94
20160229,27.94,28.04,27.55,27.82
20160301,27.95,28.34,27.52,28.23
20160302,28.15,28.42,27.75,28.22
20160303,28.31,28.54,27.71,28.50
20160304,28.53,28.65,28.30,28.57
20160307,28.34,28.65,28.27,28.59
20160308,28.39,28.66,28.30,28.59
20160309,28.60,28.79,28.42,28.72
20160310,28.78,29.02,28.65,28.97
20160311,29.24,29.33,28.57,28.99
20160314,29.05,29.23,28.94,29.03
20160315,29.00,29.13,28.65,29.07
20160316,28.89,29.35,28.53,29.25
20160317,29.15,29.68,28.57,29.58
20160318,29.73,29.76,28.70,29.49
20160321,30.69,33.75,30.64,33.51
20160322,32.82,34.50,32.82,34.29
20160323,33.60,33.69,33.01,33.58
20160324,33.24,34.55,33.08,34.31
20160328,34.26,34.80,34.25,34.63
20160329,34.50,35.02,34.38,34.95
20160330,35.22,35.24,34.61,35.01
20160331,35.06,35.35,34.97,35.35
20160401,35.19,35.42,34.78,35.25
20160404,35.21,35.42,35.07,35.24
20160405,34.92,34.92,33.72,34.32
20160406,34.24,34.60,33.74,34.50
20160407,34.60,34.74,34.08,34.18
20160408,34.25,34.43,33.91,34.21
20160411,34.32,34.77,34.10,34.66
20160412,34.43,34.99,34.40,34.61
20160413,34.70,35.11,34.51,35.07
20160414,34.94,35.35,34.73,35.26
20160415,35.41,35.70,35.05,35.52
20160418,35.39,35.69,35.25,35.61
20160419,35.60,35.70,35.47,35.53
20160420,35.58,35.76,34.89,35.03
20160421,35.04,35.37,34.89,35.15
20160422,35.09,35.54,35.09,35.32
20160425,35.33,35.65,34.95,35.07
20160426,35.26,35.38,35.00,35.08
20160427,35.00,35.30,34.74,34.86
20160428,34.70,35.07,34.70,34.89
20160429,34.77,34.99,34.51,34.89
20160502,35.00,35.43,34.89,35.37
20160503,35.00,35.05,34.44,34.64
20160504,34.57,35.06,34.43,34.93
20160505,34.93,35.10,34.33,34.41
20160506,34.10,34.90,34.00,34.50
20160509,34.50,34.71,34.27,34.40
20160510,34.05,34.72,33.68,34.49
20160511,34.27,34.64,34.16,34.16
20160512,33.88,34.05,33.26,33.89
20160513,33.62,34.00,33.13,33.70
20160516,32.97,33.92,32.96,33.65
20160517,33.42,33.75,33.35,33.50
