Date,Open,High,Low,Close
20151127,34.54,34.68,34.40,34.46
20151130,34.55,34.90,34.43,34.77
20151201,35.00,35.20,34.71,35.09
20151202,35.09,35.41,34.81,34.83
20151203,34.97,34.99,34.00,34.04
20151204,34.11,35.03,34.00,34.94
20151207,34.79,35.17,34.75,34.99
20151208,34.67,34.95,34.42,34.75
20151209,34.88,35.22,34.51,34.81
20151210,34.85,35.07,34.66,34.77
20151211,34.31,34.65,34.20,34.27
20151214,34.38,34.48,33.88,34.47
20151215,34.65,35.35,34.64,35.18
20151216,35.36,35.47,34.77,35.30
20151217,35.32,35.37,34.76,34.91
20151218,34.73,34.75,33.86,33.87
20151221,34.11,34.30,33.82,34.24
20151222,34.36,34.78,34.27,34.73
20151223,34.95,35.05,34.78,35.00
20151224,35.07,35.26,34.96,34.98
20151228,34.95,35.00,34.57,34.93
20151229,35.01,35.59,35.01,35.44
20151230,35.38,35.45,34.95,34.99
20151231,34.82,34.96,34.44,34.45
20160104,33.88,34.01,33.46,33.99
20160105,33.96,34.00,33.53,33.83
20160106,33.25,33.52,32.80,33.08
20160107,32.28,33.01,31.84,31.84
20160108,32.09,32.22,31.43,31.51
20160111,31.81,32.22,31.68,32.06
20160112,32.76,32.89,32.27,32.68
20160113,32.76,32.93,31.83,31.91
20160114,31.97,32.87,31.80,32.74
20160115,29.73,30.50,29.45,29.76
20160119,29.98,30.06,29.48,29.80
20160120,29.35,29.87,29.21,29.59
20160121,29.65,30.03,29.24,29.66
20160122,30.12,30.24,29.51,29.93
20160125,29.99,30.22,29.57,29.60
20160126,29.61,30.05,29.61,29.94
20160127,29.88,30.22,29.64,29.81
20160128,30.02,30.18,29.75,29.97
20160129,30.21,31.03,30.10,31.02
20160201,30.72,31.12,30.64,30.82
20160202,30.45,30.49,29.63,29.80
20160203,29.72,29.72,28.52,29.34
20160204,29.14,29.88,29.11,29.77
20160205,29.58,29.76,28.91,29.04
20160208,28.74,28.98,28.30,28.82
20160209,28.49,29.15,28.41,28.81
20160210,28.88,29.00,28.19,28.23
20160211,27.83,28.41,27.68,28.22
20160212,28.57,28.70,28.14,28.64
20160216,28.75,28.95,28.36,28.78
20160217,28.86,29.62,28.73,29.47
20160218,29.53,29.76,29.38,29.42
20160219,29.20,29.33,28.71,28.71
20160222,29.11,29.54,29.00,29.35
20160223,29.30,29.35,28.60,28.80
