Date,Open,High,Low,Close
20151127,100.09,100.76,99.65,100.18
20151130,100.38,100.76,99.01,100.20
20151201,100.94,102.58,100.61,101.79
20151202,101.33,101.80,99.26,99.50
20151203,99.46,99.91,95.94,96.38
20151204,97.94,98.86,96.73,98.63
20151207,98.72,99.02,98.24,98.83
20151208,97.82,99.00,97.50,98.32
20151209,98.11,99.69,97.34,97.72
20151210,98.02,98.55,96.96,96.99
20151211,95.86,96.91,95.85,96.12
20151214,96.36,96.93,94.93,96.30
20151215,97.47,99.36,96.89,97.98
20151216,98.46,99.14,97.00,99.05
20151217,99.31,99.99,97.87,97.87
20151218,97.20,97.64,94.86,95.57
20151221,96.02,96.69,94.68,95.68
20151222,96.47,97.27,95.55,97.21
20151223,97.76,98.21,97.26,98.00
20151224,97.90,98.06,97.30,97.59
20151228,97.10,98.25,96.92,98.22
20151229,98.63,99.99,98.63,99.34
20151230,99.11,99.41,98.22,98.28
20151231,97.83,98.33,96.48,96.50
20160104,94.19,94.89,93.14,94.38
20160105,95.34,96.12,94.58,95.95
20160106,94.43,96.48,94.16,96.29
20160107,94.50,96.43,93.24,94.44
20160108,94.94,96.00,93.02,93.14
20160111,93.82,94.26,93.14,94.00
20160112,94.69,95.16,93.56,94.85
20160113,95.11,95.60,91.57,91.70
20160114,92.31,95.47,91.14,94.32
20160115,91.43,92.93,90.58,91.49
20160119,92.84,93.14,90.04,90.88
20160120,89.53,92.88,88.66,91.99
20160121,92.80,93.67,91.21,91.95
20160122,93.07,94.00,92.20,93.61
20160125,93.47,93.66,91.59,91.73
20160126,91.94,92.71,91.03,92.64
20160127,92.41,93.26,90.45,90.77
20160128,91.73,92.22,90.70,92.03
20160129,92.72,95.63,92.09,95.51
20160201,95.28,96.97,94.36,96.37
20160202,95.31,95.66,93.97,94.15
20160203,95.00,96.41,94.00,95.89
20160204,95.78,96.93,94.85,96.75
20160205,96.09,96.25,91.24,91.79
20160208,90.91,91.23,88.88,90.92
20160209,90.08,92.14,89.49,90.13
20160210,91.28,92.41,89.95,90.26
20160211,88.17,92.07,88.17,91.41
20160212,92.97,94.70,91.50,94.56
20160216,93.70,95.81,93.68,95.36
20160217,95.82,98.68,95.41,98.36
20160218,97.79,98.66,96.10,96.47
20160219,96.52,97.61,95.31,97.19
20160222,98.18,98.71,97.00,98.25
20160223,97.54,98.12,96.24,97.36
20160224,96.35,98.98,95.41,98.83
20160225,99.10,100.16,97.94,100.07
20160226,100.91,101.00,94.10,95.75
20160229,95.37,97.32,94.96,96.64
20160301,97.67,98.86,96.58,98.86
20160302,98.53,99.64,98.06,98.63
20160303,98.06,98.48,96.39,97.71
20160304,98.11,99.26,97.05,99.18
