Date,Open,High,Low,Close
20151127,41.68,42.11,41.50,41.85
20151130,42.04,42.37,41.66,41.83
20151201,41.92,42.12,40.90,41.22
20151202,41.05,41.17,39.91,40.07
20151203,40.05,40.45,39.38,39.61
20151204,39.65,40.33,39.34,40.23
20151207,39.95,40.06,39.47,39.78
20151208,39.36,39.92,39.16,39.30
20151209,39.11,39.93,39.09,39.40
20151210,39.34,39.51,38.72,38.76
20151211,38.50,38.60,38.02,38.13
20151214,38.07,38.18,37.29,37.57
20151215,37.97,38.45,37.82,38.16
20151216,38.38,38.66,37.76,38.58
20151217,38.69,38.75,37.72,37.72
20151218,37.54,37.58,36.76,36.80
20151221,37.20,37.61,36.95,37.30
20151222,37.39,37.87,37.10,37.65
20151223,37.94,38.35,37.73,38.33
20151224,38.38,38.72,38.27,38.52
20151228,38.35,38.44,37.96,38.12
20151229,38.36,38.75,38.21,38.65
20151230,38.52,38.79,38.16,38.20
20151231,38.08,38.20,37.69,37.70
20160104,37.16,37.67,36.86,37.67
20160105,37.79,38.00,37.42,37.99
20160106,37.47,37.58,37.12,37.39
20160107,36.79,37.22,36.18,36.29
20160108,36.30,36.78,35.78,35.90
20160111,36.18,36.54,35.95,36.40
20160112,36.72,36.88,35.95,36.35
20160113,36.55,37.05,35.98,36.05
20160114,36.17,36.79,35.69,36.54
20160115,35.49,36.80,35.49,36.42
20160119,36.76,36.83,35.02,35.64
20160120,35.07,35.61,34.03,35.29
20160121,35.45,35.99,34.94,35.46
20160122,36.03,36.80,36.03,36.45
20160125,34.98,35.01,32.50,32.58
20160126,32.81,33.29,32.58,32.87
20160127,32.77,33.67,32.53,32.91
20160128,33.10,33.24,32.56,32.65
20160129,32.88,34.22,32.83,34.21
20160201,34.03,34.33,33.51,34.09
20160202,34.08,34.09,33.48,33.86
20160203,34.70,35.48,33.06,34.17
20160204,34.23,35.39,33.90,35.07
20160205,35.06,35.36,34.81,34.97
20160208,34.50,34.61,33.72,34.36
20160209,34.01,35.20,33.75,35.13
20160210,35.27,36.12,34.70,34.78
20160211,33.85,34.13,32.86,33.12
20160212,33.57,35.15,33.52,34.16
20160216,34.55,35.14,34.22,35.10
20160217,35.30,36.17,35.26,35.58
20160218,35.54,35.61,35.03,35.32
20160219,34.81,34.81,33.43,34.01
20160222,34.43,34.50,34.08,34.35
20160223,34.18,34.31,33.76,34.19
20160224,33.99,34.86,33.80,34.71
20160225,34.78,34.95,34.31,34.79
20160226,35.00,35.50,34.97,35.24
20160229,35.20,36.20,35.16,35.70
20160301,36.02,36.91,35.93,36.64
20160302,36.45,37.05,36.42,36.78
20160303,36.80,38.37,36.78,38.31
20160304,38.23,39.17,38.13,38.73
20160307,38.65,39.09,38.55,38.92
20160308,38.74,38.90,37.77,37.83
20160309,38.09,38.62,37.88,38.55
20160310,38.78,39.36,38.46,39.25
20160311,39.80,40.05,39.71,39.90
20160314,39.98,40.43,39.86,40.01
20160315,39.82,39.94,39.13,39.47
20160316,39.35,40.57,39.29,40.39
20160317,40.31,41.70,40.24,41.27
20160318,41.91,41.91,40.51,40.94
20160321,40.95,42.09,40.95,41.46
20160322,41.22,41.80,40.96,41.28
20160323,41.18,41.38,40.65,40.71
20160324,40.50,40.82,40.22,40.79
20160328,40.90,41.01,40.54,40.86
20160329,40.77,41.36,40.34,41.34
20160330,41.45,41.55,40.87,41.00
20160331,41.00,41.16,40.61,41.04
20160401,40.75,41.02,40.38,40.97
20160404,41.02,41.12,40.50,40.56
20160405,40.09,40.33,39.63,39.87
20160406,39.80,40.24,39.35,40.20
20160407,39.85,40.15,39.37,39.60
20160408,39.93,40.47,39.90,40.22
20160411,40.41,40.70,40.11,40.18
20160412,40.35,40.60,39.99,40.52
20160413,40.86,41.37,40.80,41.32
20160414,41.40,41.45,40.72,40.99
20160415,40.90,41.79,40.86,41.72
20160418,41.54,42.09,41.40,42.02
20160419,42.08,43.46,42.05,42.92
20160420,42.96,43.09,42.51,42.55
20160421,42.92,43.50,42.52,42.57
20160422,42.73,43.49,42.70,43.36
20160425,42.86,43.04,42.35,42.85
20160426,42.95,43.48,42.93,43.37
20160427,44.06,44.60,43.57,44.18
20160428,43.65,44.26,43.11,43.57
20160429,43.50,43.75,43.00,43.27
20160502,43.28,43.69,42.88,43.46
20160503,42.72,42.82,41.62,42.18
20160504,42.00,42.24,41.52,41.77
20160505,41.95,42.09,41.47,41.50
20160506,41.46,42.37,41.28,42.10
20160509,42.19,42.78,42.03,42.52
20160510,42.62,43.21,42.58,43.09
20160511,43.08,43.33,42.81,42.81
20160512,43.31,43.44,42.40,42.60
20160513,42.51,42.65,41.89,41.97
20160516,42.01,42.40,41.68,42.21
20160517,41.75,41.76,40.80,41.19
20160518,41.08,41.32,40.18,40.29
20160519,40.20,40.30,39.52,40.26
20160520,40.50,40.63,40.23,40.43
20160523,40.53,41.52,40.49,40.93
20160524,41.24,41.54,41.14,41.42
20160525,41.18,42.42,41.18,42.13
20160526,42.11,42.26,41.71,41.84
20160527,41.92,42.22,41.80,42.09
20160531,42.30,42.50,41.79,42.16
20160601,41.95,42.12,41.70,42.11
20160602,42.15,43.09,42.07,42.90
20160603,42.90,42.98,42.40,42.93
20160606,43.00,43.25,42.93,43.12
20160607,43.29,44.11,43.20,43.91
20160608,44.12,44.18,43.87,44.11
20160609,43.90,43.99,43.36,43.59
20160610,43.35,43.39,42.90,43.18
20160613,42.92,43.04,41.93,41.98
20160614,41.78,41.94,41.31,41.73
20160615,42.00,42.26,41.55,41.59
20160616,41.37,41.76,40.89,41.73
20160617,41.72,42.04,41.45,41.96
20160620,42.45,43.11,42.42,42.68
20160621,42.85,42.87,42.43,42.45
20160622,42.53,42.69,42.37,42.37
20160623,43.02,43.29,42.88,43.29
20160624,41.52,42.38,41.25,41.37
20160627,41.00,41.07,39.24,39.64
20160628,40.00,40.27,39.51,40.26
20160629,40.83,41.34,40.63,41.17
20160630,41.31,42.38,41.00,42.38
20160701,42.70,42.82,42.19,42.71
20160705,42.30,42.42,41.53,41.76
20160706,41.69,42.00,41.08,41.96
20160707,41.95,42.48,41.67,41.90
20160708,42.27,42.86,42.20,42.75
20160711,42.72,43.11,42.48,43.03
20160712,43.32,44.22,43.28,44.17
20160713,44.19,44.40,43.85,44.24
20160714,44.50,44.68,43.98,44.05
20160715,44.41,45.97,44.41,45.47
20160718,45.47,45.63,45.11,45.53
20160719,45.44,45.65,44.81,44.97
20160720,45.01,45.47,44.89,45.01
20160721,45.07,45.32,44.73,44.88
20160722,44.94,45.22,44.75,45.12
20160725,45.04,45.13,44.70,45.12
20160726,45.19,45.71,45.05,45.68
20160727,45.68,45.86,45.10,45.59
20160728,45.50,46.28,44.93,45.73
20160729,45.57,45.89,45.28,45.81
20160801,45.76,45.88,45.17,45.50
20160802,45.39,45.65,45.22,45.39
20160803,45.38,45.82,45.17,45.74
20160804,45.85,46.38,45.73,45.82
20160805,46.11,46.47,45.89,45.98
20160808,45.93,46.34,45.84,46.18
20160809,46.20,46.50,46.02,46.06
20160810,46.07,47.39,46.07,46.79
20160811,46.46,47.02,46.46,46.93
20160812,46.84,47.02,46.30,46.50
20160815,46.50,46.88,46.32,46.32
20160816,46.45,47.48,46.43,46.66
20160817,46.76,47.33,46.72,47.31
20160818,47.29,47.70,47.25,47.61
20160819,47.33,47.58,46.86,47.46
20160822,47.14,47.14,46.08,46.56
20160823,46.98,47.23,46.70,46.96
20160824,47.00,47.00,46.48,46.56
20160825,46.54,48.71,46.35,48.39
20160826,48.64,49.70,48.55,48.89
20160829,48.80,49.43,48.77,48.90
20160830,48.90,49.33,48.80,48.99
20160831,48.80,48.89,48.17,48.49
20160901,48.59,48.99,48.30,48.71
20160902,49.00,49.23,48.77,49.12
20160906,49.25,49.48,48.92,49.35
20160907,49.15,49.63,49.05,49.48
20160908,49.26,49.46,48.96,49.07
20160909,48.77,48.88,47.65,47.71
20160912,47.30,48.44,47.17,48.21
20160913,47.88,48.39,47.39,47.73
20160914,47.57,47.96,47.30,47.53
20160915,47.52,48.41,47.44,48.25
20160916,49.04,49.86,48.71,49.19
20160919,49.31,49.90,48.99,48.99
20160920,49.18,49.47,48.02,48.02
20160921,48.31,48.73,47.89,48.49
20160922,48.77,49.04,47.72,47.91
20160923,47.98,48.71,47.94,48.41
20160926,48.25,48.30,47.32,47.36
20160927,47.36,47.69,47.08,47.50
20160928,47.63,48.14,47.30,48.11
20160929,48.00,48.09,47.08,47.32
20160930,47.50,48.25,47.32,47.98
20161003,47.98,48.24,47.62,47.80
20161004,47.89,48.16,46.87,47.09
20161005,47.38,47.47,45.76,46.71
20161006,46.82,47.96,46.79,47.30
20161007,47.49,47.68,46.52,46.82
20161010,47.14,47.34,46.31,46.78
20161011,46.56,46.56,45.40,45.72
20161012,45.95,46.52,45.95,46.39
20161013,45.95,46.07,45.25,45.82
20161014,46.14,47.03,46.13,46.73
20161017,46.96,47.83,46.93,47.20
