Date,Open,High,Low,Close
20151127,23.05,23.20,22.90,23.15
20151130,23.22,23.31,22.92,23.00
20151201,23.14,23.40,23.04,23.34
20151202,23.28,23.30,23.01,23.05
20151203,23.17,23.27,22.79,22.95
20151204,23.03,23.59,23.02,23.44
20151207,23.44,23.66,23.41,23.52
20151208,23.37,23.67,23.28,23.55
20151209,23.38,23.59,23.02,23.15
20151210,23.21,23.46,23.11,23.29
20151211,22.94,22.95,22.23,22.39
20151214,22.48,22.66,22.21,22.47
20151215,22.66,22.79,22.36,22.39
20151216,22.60,22.88,22.43,22.83
20151217,22.86,22.92,22.49,22.49
20151218,22.61,23.03,22.49,22.68
20151221,22.81,22.94,22.70,22.93
20151222,23.06,23.38,22.86,23.29
20151223,23.45,23.64,23.34,23.46
20151224,23.59,23.69,23.47,23.55
20151228,23.38,23.51,23.24,23.50
20151229,23.66,23.74,23.50,23.65
20151230,23.61,23.80,23.51,23.55
20151231,23.47,23.51,23.04,23.28
20160104,22.89,22.89,22.35,22.82
20160105,22.89,23.39,22.87,23.26
20160106,22.96,23.16,22.68,22.87
20160107,22.38,22.70,22.10,22.16
20160108,22.31,22.43,21.99,22.05
20160111,22.17,22.21,21.73,21.93
20160112,22.08,22.24,21.80,22.05
20160113,22.05,22.19,21.56,21.68
20160114,21.76,22.36,21.65,22.31
20160115,21.77,22.00,21.51,21.72
20160119,21.99,22.02,21.57,21.69
20160120,21.35,21.57,20.64,21.10
20160121,21.10,21.90,20.96,21.65
20160122,22.00,22.28,21.86,22.14
20160125,21.98,22.10,21.68,21.73
20160126,21.86,22.37,21.79,22.35
20160127,22.25,22.65,21.96,22.06
20160128,22.31,22.31,21.91,22.00
20160129,22.12,22.51,22.12,22.44
20160201,22.31,22.64,22.14,22.47
20160202,22.20,22.26,21.72,21.81
20160203,21.98,22.10,21.69,22.04
20160204,22.03,22.24,21.80,21.91
20160205,21.80,21.90,21.00,21.08
20160208,20.78,20.78,19.83,20.30
20160209,20.04,20.66,19.79,20.50
20160210,20.51,20.83,20.36,20.42
20160211,20.08,20.55,19.97,20.36
20160212,20.55,20.64,19.93,20.40
20160216,20.56,20.85,20.32,20.70
20160217,20.90,21.14,20.79,20.88
20160218,20.89,21.05,20.70,20.87
20160219,20.82,21.19,20.67,21.14
20160222,21.14,21.39,21.04,21.23
20160223,21.20,21.58,21.12,21.38
20160224,21.13,21.41,20.93,21.37
20160225,21.49,21.68,21.30,21.58
20160226,21.59,21.71,21.31,21.36
20160229,21.38,21.75,21.33,21.39
20160301,21.52,21.74,21.37,21.65
20160302,21.60,21.66,21.13,21.34
20160303,21.39,21.47,21.15,21.44
20160304,21.49,21.64,21.32,21.48
20160307,21.32,21.54,21.09,21.38
20160308,21.32,21.39,21.10,21.11
20160309,21.24,21.38,21.06,21.17
20160310,21.29,21.37,20.82,21.02
20160311,21.21,21.39,21.16,21.28
20160314,21.22,21.42,21.19,21.34
20160315,21.21,21.29,21.05,21.20
20160316,21.16,21.42,21.07,21.38
20160317,21.38,21.64,21.33,21.53
20160318,21.58,21.72,21.44,21.46
20160321,21.43,21.53,21.34,21.50
20160322,21.48,21.65,21.32,21.53
20160323,21.53,21.70,21.42,21.64
20160324,21.57,21.62,21.44,21.52
20160328,21.68,22.05,21.65,21.99
20160329,21.95,22.58,21.80,22.53
20160330,22.60,22.92,22.55,22.88
20160331,22.88,23.11,22.78,22.95
20160401,22.79,23.08,22.70,23.07
20160404,23.16,23.27,22.87,22.90
20160405,22.74,22.95,22.62,22.78
20160406,22.82,23.21,22.76,23.19
20160407,23.02,23.06,22.72,22.76
20160408,22.94,23.00,22.69,22.75
20160411,22.89,22.98,22.69,22.70
20160412,22.76,22.99,22.64,22.79
20160413,22.90,23.49,22.84,23.46
20160414,23.53,23.75,23.41,23.44
20160415,23.45,23.59,23.37,23.58
20160418,23.47,23.84,23.40,23.81
20160419,23.90,23.96,23.36,23.41
20160420,23.41,23.52,23.19,23.27
20160421,23.30,23.51,23.21,23.43
20160422,24.18,24.27,23.32,23.43
20160425,23.43,23.50,22.87,23.44
20160426,23.50,23.79,23.28,23.43
20160427,23.36,23.44,23.12,23.36
20160428,23.22,23.42,23.00,23.05
20160429,23.05,23.08,22.74,22.94
20160502,23.11,23.38,23.08,23.34
20160503,23.15,23.32,23.06,23.31
20160504,23.15,23.43,23.15,23.31
20160505,23.31,23.44,23.22,23.32
20160506,23.26,23.66,23.16,23.58
20160509,23.54,23.71,23.42,23.56
20160510,23.60,23.86,23.52,23.83
20160511,23.68,23.87,23.63,23.75
20160512,23.80,23.87,23.59,23.86
20160513,23.84,24.02,23.78,23.80
20160516,23.77,23.95,23.73,23.83
20160517,23.81,23.92,23.57,23.63
20160518,23.57,23.64,23.32,23.48
20160519,23.40,23.63,23.22,23.60
20160520,23.70,23.84,23.58,23.64
20160523,23.65,23.77,23.36,23.38
20160524,23.45,23.76,23.45,23.68
20160525,23.78,23.84,23.42,23.54
20160526,23.54,23.59,23.47,23.49
20160527,23.46,23.72,23.41,23.71
20160531,23.72,23.95,23.59,23.90
20160601,23.90,23.90,23.60,23.82
20160602,23.77,24.01,23.74,23.97
20160603,23.90,23.94,23.45,23.51
20160606,23.51,23.73,23.39,23.72
20160607,23.70,24.08,23.57,23.96
20160608,24.00,24.31,23.89,24.24
20160609,24.14,24.32,24.07,24.19
20160610,24.03,24.29,23.91,24.02
20160613,23.88,24.12,23.71,23.71
20160614,23.68,23.77,23.46,23.60
20160615,23.60,23.72,23.52,23.64
20160616,23.58,23.78,23.38,23.76
20160617,23.75,23.77,23.48,23.55
20160620,23.86,24.11,23.73,24.06
20160621,24.06,24.21,23.89,24.18
20160622,24.22,24.58,24.17,24.53
20160623,24.78,24.82,24.45,24.60
20160624,23.79,23.86,23.33,23.55
20160627,23.36,23.36,22.20,22.26
20160628,22.42,22.45,22.18,22.45
20160629,22.50,23.04,22.45,22.99
20160630,23.16,23.21,22.98,23.10
20160701,23.16,23.34,23.05,23.19
20160705,23.10,23.16,22.80,22.97
20160706,22.82,23.11,22.70,23.09
20160707,23.14,23.47,23.12,23.29
20160708,23.43,23.76,23.33,23.73
20160711,23.92,24.12,23.83,24.01
20160712,24.05,24.16,23.85,24.09
20160713,24.28,24.34,24.09,24.16
20160714,24.06,24.06,23.56,23.85
20160715,24.01,24.01,23.56,23.79
20160718,23.76,24.10,23.74,23.85
20160719,23.80,23.95,23.70,23.85
20160720,23.88,24.31,23.74,24.23
20160721,22.63,23.45,22.34,22.81
20160722,22.82,23.39,22.74,23.13
20160725,23.16,23.23,22.91,23.05
20160726,23.05,23.31,22.99,23.29
20160727,23.41,23.41,22.98,23.09
20160728,23.06,23.20,22.90,23.05
20160729,22.98,23.10,22.78,23.06
20160801,23.11,23.19,22.89,23.08
20160802,23.13,23.13,22.49,22.60
20160803,22.56,22.70,22.44,22.60
20160804,22.58,22.86,22.49,22.78
20160805,22.87,23.25,22.83,23.11
20160808,23.04,23.17,22.71,22.80
20160809,22.80,22.87,22.63,22.64
20160810,22.68,22.86,22.61,22.75
20160811,22.85,23.10,22.85,23.03
20160812,22.99,23.26,22.95,23.20
20160815,23.27,23.61,23.27,23.44
20160816,23.32,23.37,23.15,23.25
20160817,23.29,23.33,23.00,23.09
20160818,23.07,23.27,22.99,23.07
20160819,23.03,23.22,22.93,23.16
20160822,23.09,23.22,23.01,23.16
20160823,23.25,23.32,23.10,23.20
20160824,23.29,23.32,22.84,23.02
20160825,23.00,23.16,22.73,22.78
