Date,Open,High,Low,Close
20151127,27.93,28.35,27.88,28.06
20151130,28.13,28.26,27.73,27.78
20151201,27.97,28.16,27.79,28.04
20151202,28.00,28.15,27.46,27.49
20151203,27.50,28.25,27.24,27.37
20151204,27.43,27.93,27.33,27.60
20151207,27.54,27.67,27.13,27.30
20151208,27.28,27.29,26.87,26.98
20151209,26.87,27.38,26.78,27.07
20151210,27.05,27.50,26.64,26.84
20151211,26.58,26.84,26.48,26.75
20151214,26.73,26.90,25.99,26.13
20151215,26.34,26.83,26.23,26.72
20151216,26.82,27.56,26.78,27.50
20151217,27.49,27.67,27.10,27.16
20151218,27.09,27.14,26.77,26.77
20151221,26.97,27.25,26.64,26.96
20151222,27.03,27.33,26.90,27.10
20151223,27.22,27.68,27.05,27.54
20151224,27.57,27.71,27.27,27.34
20151228,27.29,27.49,27.16,27.41
20151229,27.54,28.34,27.54,28.26
20151230,27.92,28.07,27.52,27.58
20151231,27.53,27.57,26.99,27.01
20160104,26.80,26.88,26.31,26.84
20160105,26.91,27.37,26.75,27.33
20160106,27.08,27.26,26.93,27.12
20160107,26.73,26.81,26.11,26.22
20160108,26.38,26.62,25.51,25.62
20160111,25.71,26.04,25.44,25.91
20160112,26.07,26.14,25.17,25.37
20160113,25.41,25.78,25.04,25.06
20160114,25.09,25.39,24.71,25.11
20160115,24.70,24.99,24.32,24.84
20160119,25.11,25.15,24.54,24.83
20160120,24.57,24.84,23.64,24.56
20160121,24.67,25.34,24.39,24.87
20160122,25.17,25.70,25.15,25.51
20160125,25.48,25.49,25.16,25.27
20160126,25.46,25.82,25.35,25.81
20160127,25.71,26.21,25.60,25.83
20160128,26.13,26.38,25.87,26.10
20160129,26.40,27.65,26.21,27.54
20160201,27.24,27.41,26.92,27.08
20160202,26.90,26.99,26.35,26.62
20160203,26.81,27.16,26.29,27.10
20160204,27.13,27.55,26.91,27.35
20160205,27.02,27.15,26.72,27.00
20160208,26.76,26.81,26.08,26.67
20160209,26.41,26.76,26.27,26.56
20160210,26.59,27.00,26.45,26.73
20160211,26.24,26.75,26.16,26.61
20160212,26.79,27.43,26.73,27.40
20160216,27.72,28.64,27.49,28.63
20160217,28.70,29.18,28.29,29.06
20160218,28.86,29.47,28.67,29.27
20160219,29.09,29.19,28.57,28.95
20160222,29.26,29.53,28.95,29.45
20160223,29.37,29.64,29.13,29.26
20160224,29.11,29.17,28.80,29.13
20160225,29.32,29.95,28.79,29.93
20160226,29.85,30.00,29.43,29.56
20160229,29.60,29.97,29.27,29.38
20160301,29.52,30.03,29.51,29.97
20160302,29.89,30.00,29.52,29.99
20160303,29.50,30.29,29.16,30.20
20160304,30.19,30.56,29.86,29.99
20160307,29.77,30.84,29.69,30.83
20160308,30.70,31.05,30.54,30.94
20160309,31.04,31.57,30.72,31.46
20160310,31.50,31.61,30.32,30.60
20160311,30.93,31.83,30.67,31.79
20160314,31.77,31.96,31.13,31.68
20160315,31.44,31.62,31.07,31.19
20160316,31.07,31.59,30.91,31.48
20160317,31.62,32.68,31.51,32.62
20160318,32.66,33.17,32.38,32.78
20160321,32.57,32.60,31.93,32.39
20160322,32.26,32.99,32.18,32.96
20160323,32.89,32.99,32.64,32.85
20160324,32.70,32.82,32.38,32.77
20160328,32.83,33.36,32.81,33.09
20160329,33.00,33.52,32.47,33.50
20160330,33.59,33.85,33.40,33.61
20160331,33.58,34.15,33.50,33.91
20160401,33.26,33.55,32.27,32.73
20160404,32.72,32.80,32.48,32.72
20160405,32.61,32.81,32.35,32.62
20160406,32.59,32.59,32.12,32.51
20160407,32.39,32.54,32.21,32.28
20160408,32.50,32.85,32.46,32.68
20160411,32.80,33.08,32.68,32.80
20160412,32.92,33.21,32.75,33.16
20160413,33.32,33.32,32.95,33.20
20160414,33.10,33.28,32.92,33.27
20160415,33.19,33.71,32.90,33.57
20160418,34.04,35.07,33.91,34.75
20160419,34.75,35.23,34.48,35.01
20160420,35.10,35.48,35.02,35.05
20160421,35.10,35.25,34.51,35.21
20160422,35.17,35.88,35.10,35.57
20160425,35.44,35.52,35.25,35.50
20160426,35.68,36.00,35.52,35.97
20160427,35.97,36.28,35.76,36.02
20160428,35.85,36.62,35.84,36.24
20160429,36.31,36.55,36.15,36.53
20160502,37.36,37.61,36.50,36.60
20160503,36.52,36.56,36.12,36.50
20160504,36.36,37.29,36.36,37.10
20160505,37.27,37.38,36.95,37.27
20160506,37.19,38.08,37.12,38.00
20160509,37.93,38.64,37.93,38.15
20160510,38.15,38.25,37.69,38.09
20160511,38.05,38.05,37.30,37.49
20160512,37.50,38.21,37.50,38.08
20160513,38.02,38.12,37.58,37.89
20160516,37.95,38.23,37.81,38.05
20160517,37.98,38.15,37.45,37.70
20160518,37.56,37.58,36.26,36.60
20160519,36.32,36.50,35.76,36.33
20160520,36.54,36.67,36.03,36.19
20160523,36.16,36.20,35.71,36.00
20160524,36.22,36.73,36.10,36.62
20160525,36.79,36.88,36.41,36.55
20160526,36.65,37.00,36.65,36.82
20160527,36.82,37.31,36.54,36.80
20160531,36.80,36.89,36.35,36.74
20160601,36.55,36.84,36.46,36.65
20160602,36.12,36.65,36.10,36.62
20160603,36.81,37.08,36.43,36.71
20160606,36.78,36.90,36.40,36.43
20160607,36.66,36.85,36.60,36.70
20160608,36.69,37.09,36.63,37.03
20160609,36.98,37.15,36.67,37.11
20160610,36.88,37.27,36.72,37.19
20160613,37.22,38.14,37.15,37.94
20160614,37.79,38.23,37.58,38.04
20160615,38.06,38.60,37.93,38.56
20160616,38.36,38.47,38.04,38.35
20160617,38.25,38.41,37.91,38.25
20160620,38.25,38.49,38.06,38.11
20160621,38.26,38.40,38.05,38.23
20160622,38.20,38.41,38.17,38.27
20160623,38.55,38.74,38.45,38.60
20160624,37.36,37.94,37.36,37.73
20160627,37.60,38.05,37.28,37.98
20160628,38.24,38.72,38.18,38.57
20160629,38.76,39.61,38.76,39.55
20160630,39.55,39.84,39.34,39.83
20160701,39.92,40.00,39.72,39.94
20160705,39.91,40.56,39.91,40.44
20160706,40.32,40.61,39.69,40.00
20160707,40.02,40.07,39.23,39.28
20160708,39.60,40.09,39.25,39.85
20160711,40.00,40.33,39.86,40.31
