Date,Open,High,Low,Close
20151127,92.05,93.24,91.87,92.88
20151130,93.25,93.96,92.76,93.30
20151201,93.77,94.82,93.36,93.87
20151202,93.67,94.01,92.22,92.40
20151203,92.79,92.86,90.57,90.88
20151204,90.92,91.78,90.66,91.44
20151207,91.36,91.64,90.49,90.81
20151208,90.34,91.43,89.82,91.26
20151209,92.67,92.78,89.49,89.72
20151210,89.63,90.61,89.26,89.94
20151211,89.11,89.46,87.55,87.99
20151214,88.23,88.76,87.55,88.46
20151215,89.03,89.86,88.27,89.73
20151216,90.20,91.09,89.88,90.85
20151217,91.02,91.45,89.96,90.49
20151218,90.49,90.79,88.89,88.94
20151221,89.41,89.78,87.97,87.97
20151222,88.43,89.91,88.28,89.89
20151223,90.15,90.94,89.76,90.83
20151224,90.54,91.61,90.35,91.15
20151228,90.69,91.53,90.44,91.50
20151229,92.00,92.66,91.38,92.12
20151230,92.04,92.39,91.56,91.60
20151231,91.33,92.16,90.66,90.70
20160104,89.73,89.73,87.41,88.13
20160105,88.13,89.23,87.82,89.04
20160106,87.84,88.74,87.67,88.41
20160107,86.92,87.58,85.94,86.25
20160108,86.61,86.94,85.59,85.71
20160111,85.93,86.28,84.98,85.72
20160112,86.40,86.85,86.04,86.65
20160113,87.47,87.47,84.03,84.08
20160114,84.23,85.89,83.33,85.41
20160115,83.59,86.07,83.59,86.04
20160119,86.86,86.86,83.76,84.73
20160120,83.36,84.06,81.51,83.04
20160121,83.02,84.03,82.23,82.58
20160122,83.23,84.20,82.74,84.12
20160125,84.68,85.94,83.06,83.28
20160126,83.56,85.01,83.04,84.97
20160127,84.58,85.13,83.40,83.59
20160128,84.39,85.58,83.49,85.25
20160129,85.48,87.90,85.16,87.89
20160201,87.05,89.10,86.68,88.41
20160202,87.81,87.81,85.87,86.26
20160203,87.10,87.31,85.06,86.34
20160204,83.00,85.03,80.00,83.99
20160205,83.57,83.97,82.43,82.82
20160208,81.71,82.08,77.80,80.06
20160209,79.00,81.67,79.00,80.94
20160210,81.33,83.00,80.91,81.13
20160211,80.03,80.78,79.21,79.86
20160212,80.87,80.87,79.18,80.00
20160216,81.13,82.59,80.80,81.50
20160217,82.22,82.84,81.74,82.78
20160218,82.72,83.33,81.63,81.80
20160219,81.75,83.27,81.26,82.78
20160222,83.49,84.11,82.33,82.82
20160223,82.71,83.17,81.89,82.36
20160224,81.65,81.83,80.82,81.27
20160225,81.31,83.06,81.31,82.89
20160226,83.21,83.33,82.14,82.70
20160229,82.59,83.53,82.21,82.40
20160301,83.25,84.07,83.10,84.01
20160302,83.99,84.06,83.21,83.99
20160303,83.77,84.21,83.30,84.21
20160304,84.41,85.68,83.97,85.57
20160307,85.14,85.81,84.77,85.31
20160308,84.75,84.80,84.06,84.15
20160309,84.34,85.19,83.54,83.72
20160310,84.08,84.26,82.27,82.70
20160311,83.52,83.72,82.92,83.68
20160314,83.45,84.14,82.94,83.98
20160315,83.48,84.16,83.48,83.72
20160316,83.58,84.66,83.33,84.43
20160317,84.66,85.61,83.83,85.16
20160318,85.24,86.31,85.24,85.75
20160321,85.42,86.62,85.20,86.56
20160322,86.40,87.18,86.40,86.84
20160323,86.63,86.81,86.03,86.28
20160324,85.75,86.26,85.06,86.17
20160328,86.27,87.16,85.96,86.95
20160329,87.02,88.16,87.02,87.90
20160330,88.38,89.07,88.14,88.30
20160331,88.10,89.59,87.06,89.35
20160401,89.04,90.65,88.30,90.58
20160404,90.64,90.97,90.14,90.41
20160405,89.66,89.79,88.70,89.25
20160406,89.14,89.63,88.36,88.93
20160407,88.71,88.71,87.58,88.15
20160408,88.66,88.66,87.45,87.90
20160411,88.35,88.37,87.08,87.18
20160412,87.26,87.60,86.51,87.45
20160413,87.88,88.30,87.39,88.16
20160414,88.01,88.13,86.97,87.22
20160415,87.22,88.51,87.07,88.49
20160418,88.03,89.01,87.86,88.89
20160419,89.22,89.29,88.32,89.03
20160420,88.78,89.53,87.46,89.34
20160421,89.15,89.88,88.02,88.20
20160422,87.85,88.50,87.49,88.15
20160425,87.69,88.23,87.01,87.84
20160426,88.05,88.69,87.41,88.15
20160427,88.09,88.57,87.33,88.05
20160428,87.89,88.39,87.06,87.26
20160429,87.05,87.46,86.65,87.17
20160502,87.07,88.62,86.82,88.32
20160503,87.88,88.31,86.32,87.11
20160504,86.62,87.89,86.17,87.59
20160505,89.33,96.40,89.33,95.16
20160506,95.65,97.78,94.91,97.41
20160509,97.05,97.98,95.89,95.91
20160510,96.40,98.08,95.74,97.97
20160511,97.81,97.94,96.92,97.25
20160512,97.50,98.44,96.77,98.08
20160513,97.97,98.57,97.15,97.60
20160516,97.44,98.44,97.44,98.10
20160517,97.82,98.44,97.06,97.18
20160518,97.08,98.51,96.67,97.78
20160519,97.32,98.46,96.76,98.13
20160520,98.42,99.51,98.31,99.16
20160523,99.23,99.23,98.43,98.84
20160524,99.40,101.31,99.39,101.24
20160525,101.47,101.99,100.95,101.52
20160526,101.39,102.43,100.96,102.02
20160527,101.86,102.55,101.45,102.35
20160531,102.71,103.00,101.59,101.62
20160601,100.94,101.59,100.66,101.50
20160602,101.51,102.54,100.10,102.53
20160603,102.19,102.32,101.23,102.24
20160606,102.62,102.89,102.16,102.23
20160607,102.37,102.40,101.63,102.08
20160608,101.84,102.00,101.52,101.70
20160609,101.14,101.67,100.98,101.16
20160610,100.62,101.01,100.25,100.52
20160613,100.26,101.57,100.26,100.52
20160614,100.38,101.44,100.10,100.81
20160615,100.75,101.51,100.46,100.59
20160616,100.28,101.01,99.42,100.14
20160617,100.00,100.43,98.58,98.65
20160620,99.84,100.43,99.30,99.47
20160621,99.87,99.94,98.58,98.60
20160622,99.08,99.23,98.30,98.41
20160623,99.26,99.84,98.86,99.82
20160624,97.20,98.00,96.05,96.09
20160627,95.03,95.24,91.99,92.37
20160628,93.37,94.35,93.29,93.78
20160629,94.35,95.32,93.88,95.08
20160630,95.10,97.45,94.61,97.41
20160701,97.29,97.87,97.18,97.40
20160705,97.08,98.04,96.80,97.14
20160706,96.80,97.59,95.97,97.59
20160707,97.58,98.00,97.01,97.32
20160708,97.87,98.67,97.65,98.33
20160711,98.61,99.29,98.42,98.52
20160712,99.20,99.72,98.91,99.06
20160713,99.12,99.59,98.35,98.74
20160714,99.23,99.81,98.74,99.03
20160715,99.09,99.42,97.87,98.52
20160718,98.28,98.70,97.53,97.77
20160719,97.69,98.14,97.53,97.89
20160720,98.24,99.18,97.87,99.04
20160721,98.73,99.00,98.36,98.51
20160722,98.72,99.70,98.30,99.50
20160725,99.44,99.59,98.89,99.04
20160726,99.14,100.20,98.98,100.13
20160727,99.95,100.01,99.05,99.38
20160728,99.55,99.55,98.40,98.90
20160729,98.85,100.42,98.58,100.25
20160801,99.98,100.74,99.65,100.04
20160802,99.85,100.04,98.46,99.04
20160803,98.94,99.54,98.55,99.39
20160804,96.45,97.69,94.58,95.34
20160805,95.62,97.34,94.90,94.95
20160808,94.94,95.55,94.19,94.24
20160809,94.25,94.39,93.90,94.25
20160810,94.52,94.54,94.04,94.48
20160811,94.60,94.72,93.93,94.47
20160812,94.38,94.61,93.32,93.32
20160815,93.73,93.83,93.13,93.32
20160816,92.95,93.05,91.72,91.72
20160817,91.43,91.96,90.09,90.95
20160818,90.88,91.28,90.59,90.99
20160819,90.66,91.54,90.43,91.22
20160822,90.96,91.39,90.74,90.99
20160823,91.21,91.50,90.89,90.91
20160824,90.98,91.27,89.92,90.11
20160825,90.26,91.09,90.20,90.82
20160826,91.10,92.22,90.90,90.98
20160829,90.97,91.76,90.97,91.75
20160830,91.82,92.06,91.56,91.96
20160831,91.68,92.03,90.60,91.00
20160901,90.75,91.20,90.45,90.79
20160902,91.51,92.08,91.14,91.43
20160906,91.43,91.60,90.98,91.34
20160907,91.44,91.93,90.76,91.33
