Date,Open,High,Low,Close
20151127,93.29,93.69,93.00,93.20
20151130,93.38,94.13,93.11,93.98
20151201,94.30,95.00,93.56,94.16
20151202,93.84,94.36,93.33,93.38
20151203,93.47,93.89,91.75,92.36
20151204,92.36,94.37,92.36,94.32
20151207,93.59,93.79,92.98,93.40
20151208,92.65,92.99,91.91,92.29
20151209,91.90,93.45,91.63,92.39
20151210,92.39,94.02,92.22,93.29
20151211,92.08,92.93,91.24,91.46
20151214,91.75,92.94,91.43,92.89
20151215,93.14,93.50,92.09,92.24
20151216,92.53,94.07,92.21,93.97
20151217,93.95,94.17,92.54,92.55
20151218,92.08,92.20,90.87,90.92
20151221,91.69,92.02,90.96,91.84
20151222,92.58,92.99,91.75,92.82
20151223,93.44,94.35,93.15,94.21
20151224,94.00,94.44,93.97,94.13
20151228,93.83,94.02,93.15,93.73
20151229,94.10,94.43,93.85,94.25
20151230,94.10,94.42,93.16,93.19
20151231,92.79,93.42,92.41,92.68
20160104,92.68,92.68,89.91,91.06
20160105,91.08,91.50,89.13,89.73
20160106,87.92,88.67,86.91,87.52
20160107,85.33,85.99,84.51,84.73
20160108,85.18,85.49,83.83,84.02
20160111,84.37,84.37,81.81,83.19
20160112,84.09,84.52,82.57,83.79
20160113,84.49,84.88,82.24,82.48
20160114,82.83,83.98,81.82,82.83
20160115,80.77,81.99,80.63,81.25
20160119,81.94,82.29,80.69,81.69
20160120,80.28,82.16,79.15,81.34
20160121,81.83,82.51,80.58,81.65
20160122,82.76,83.21,81.51,82.16
20160125,84.05,84.05,80.95,81.05
20160126,82.08,84.34,81.91,84.31
20160127,87.50,88.00,84.62,86.21
20160128,87.11,88.77,86.61,88.76
20160129,89.26,90.07,88.70,90.07
20160201,88.48,90.28,88.42,89.92
20160202,89.30,89.70,88.20,88.60
20160203,89.76,90.00,88.00,89.98
20160204,89.57,92.71,89.52,91.46
20160205,91.00,91.37,89.94,90.41
20160208,89.33,90.57,88.67,90.26
20160209,89.48,91.04,89.25,90.36
20160210,90.63,91.86,90.10,90.42
20160211,88.93,90.37,88.32,89.60
20160212,90.44,92.10,90.06,91.88
20160216,93.01,93.71,91.68,93.54
20160217,94.00,95.21,93.79,94.93
20160218,95.10,95.85,94.76,95.57
20160219,95.14,95.89,94.32,95.86
20160222,96.25,97.34,96.21,96.43
20160223,96.19,96.56,94.68,94.75
20160224,93.62,94.56,92.99,94.21
20160225,94.64,95.10,93.97,94.98
20160226,95.50,95.73,94.76,94.93
20160229,95.13,95.67,94.25,94.25
20160301,95.13,97.12,94.71,96.84
20160302,96.40,97.08,96.10,97.02
20160303,96.88,97.06,95.85,96.57
20160304,96.76,98.11,96.22,97.73
20160307,97.00,98.04,97.00,97.78
20160308,97.31,97.56,96.44,97.10
20160309,97.40,97.73,96.57,96.88
20160310,97.25,97.63,96.13,97.06
20160311,97.97,98.67,97.79,98.17
20160314,97.78,98.50,97.46,98.04
20160315,97.10,97.99,96.74,97.98
20160316,97.82,98.76,97.57,98.32
20160317,98.45,101.04,98.41,100.68
20160318,100.88,101.32,100.31,101.32
20160321,101.03,101.91,100.64,101.75
20160322,101.44,102.47,101.19,102.28
20160323,102.30,102.45,101.68,102.10
