Date,Open,High,Low,Close
20151127,33.57,33.64,33.22,33.60
20151130,33.65,33.85,33.49,33.69
20151201,33.86,34.22,33.56,33.90
20151202,33.97,34.10,33.47,33.61
20151203,33.78,35.00,33.02,33.17
20151204,33.31,34.02,33.07,33.83
20151207,33.75,33.77,33.33,33.56
20151208,33.08,33.16,32.70,32.85
20151209,32.68,33.28,32.26,32.37
20151210,32.51,33.19,32.26,32.79
20151211,32.24,32.50,31.39,31.42
20151214,31.45,31.67,30.12,30.39
20151215,30.77,31.44,30.50,31.34
20151216,31.68,31.96,31.05,31.90
20151217,32.09,32.12,31.16,31.19
20151218,31.00,31.05,30.68,30.74
20151221,31.05,31.66,30.94,31.65
20151222,31.78,31.99,31.31,31.73
20151223,32.01,33.22,31.94,33.12
20151224,33.07,33.19,32.73,32.92
20151228,32.75,33.00,32.58,32.96
20151229,33.21,33.61,33.17,33.57
20151230,33.36,33.78,33.27,33.38
20151231,33.13,33.69,33.06,33.48
20160104,32.59,33.21,32.37,33.19
20160105,33.34,33.54,32.68,33.10
20160106,32.28,32.78,32.18,32.53
20160107,31.51,31.89,31.32,31.51
20160108,31.78,31.83,30.06,30.13
20160111,30.23,30.31,29.27,29.93
20160112,30.25,30.38,29.20,29.80
20160113,30.01,30.12,28.88,29.09
20160114,29.16,29.96,28.38,29.63
20160115,28.57,29.25,28.34,28.76
20160119,29.13,29.30,28.53,28.82
20160120,28.20,28.54,27.36,28.21
20160121,28.48,29.00,28.10,28.43
20160122,28.96,29.54,28.89,29.48
20160125,29.27,29.35,28.53,28.65
20160126,28.77,29.28,28.76,29.18
20160127,29.13,29.88,28.76,28.98
20160128,29.27,29.85,28.28,28.55
20160129,28.87,30.02,28.75,29.93
20160201,29.68,29.69,28.81,29.12
20160202,28.40,28.40,27.63,27.79
20160203,28.03,28.11,26.75,27.57
20160204,27.57,28.51,27.49,27.96
20160205,27.97,28.27,26.93,27.08
20160208,26.42,26.42,25.43,25.78
20160209,25.03,25.94,24.92,25.65
20160210,25.89,26.73,25.76,26.31
20160211,25.40,25.60,24.90,25.38
20160212,26.20,26.83,25.46,26.50
20160216,26.80,27.00,26.41,26.70
20160217,27.20,27.72,27.03,27.45
20160218,27.44,27.49,26.79,27.04
20160219,26.75,26.89,26.10,26.30
20160222,26.79,27.29,26.67,27.18
20160223,27.10,27.16,26.20,26.34
20160224,25.95,26.22,25.31,26.17
20160225,26.23,26.91,26.04,26.88
20160226,27.17,27.46,26.96,27.10
20160229,26.96,27.21,26.70,26.74
20160301,27.07,27.88,26.99,27.88
20160302,27.95,28.23,27.73,28.22
20160303,28.20,28.65,28.10,28.60
20160304,28.75,29.39,28.46,29.09
20160307,28.75,29.21,28.60,29.01
20160308,28.66,28.82,28.09,28.20
20160309,28.48,28.50,27.67,28.19
20160310,28.49,28.61,27.68,28.33
20160311,29.12,30.08,28.86,30.00
20160314,29.74,30.09,29.54,29.96
20160315,29.62,29.71,29.15,29.60
20160316,29.41,30.25,29.27,30.13
20160317,30.12,31.17,30.11,30.92
20160318,31.12,31.46,30.62,31.01
20160321,31.07,31.14,30.68,30.97
20160322,30.60,30.98,30.37,30.82
20160323,30.82,30.82,30.19,30.40
20160324,30.02,30.34,29.82,30.33
20160328,30.33,30.64,30.07,30.49
20160329,30.25,30.93,29.93,30.87
20160330,31.22,31.55,31.03,31.26
20160331,31.19,31.41,30.49,30.77
20160401,30.49,31.46,30.39,31.38
20160404,31.34,31.56,30.99,31.09
20160405,30.47,30.86,30.18,30.69
20160406,30.54,31.13,30.49,30.76
20160407,30.43,30.84,29.50,29.60
20160408,29.96,30.08,29.51,29.60
20160411,29.88,30.18,29.59,29.62
20160412,29.84,30.23,29.51,30.08
20160413,30.58,31.22,30.52,31.22
20160414,31.19,31.55,30.98,31.31
20160415,31.29,31.38,31.07,31.24
20160418,31.07,31.66,30.99,31.53
20160419,31.71,31.99,31.55,31.79
20160420,31.92,32.51,31.77,32.38
20160421,32.35,32.58,32.04,32.31
20160422,32.40,32.70,32.14,32.36
20160425,32.17,32.34,31.68,31.82
