Date,Open,High,Low,Close
20151127,43.25,43.83,43.15,43.47
20151130,43.60,44.14,43.05,44.14
20151201,44.11,45.13,43.99,44.96
20151202,44.93,45.41,43.95,44.14
20151203,44.35,45.08,44.08,44.73
20151204,44.54,45.15,44.09,44.60
20151207,44.26,44.64,43.72,43.90
20151208,43.20,43.45,42.64,43.02
20151209,42.99,43.74,42.55,42.77
20151210,42.85,43.10,42.66,42.75
20151211,42.17,42.61,41.79,41.87
20151214,41.82,41.87,41.23,41.70
20151215,42.10,42.44,41.82,42.15
20151216,42.37,42.77,41.85,42.57
20151217,42.60,42.60,41.49,41.60
20151218,41.39,41.67,40.78,40.78
20151221,40.98,41.37,40.64,40.94
20151222,41.12,42.13,40.92,41.98
20151223,42.44,43.48,42.13,43.36
20151224,43.28,43.59,43.14,43.30
20151228,42.99,43.26,42.36,42.67
20151229,42.95,43.34,42.68,43.07
20151230,42.78,43.18,42.42,42.42
20151231,42.21,42.60,41.95,41.95
20160104,41.35,41.94,41.04,41.92
20160105,41.75,42.12,41.04,41.33
20160106,40.48,40.90,40.30,40.53
20160107,39.89,40.30,39.27,39.44
20160108,39.60,39.95,38.59,38.75
20160111,38.86,39.16,38.00,38.40
20160112,38.90,39.17,38.29,39.06
20160113,39.39,39.63,37.83,38.25
20160114,38.55,38.81,37.59,38.38
20160115,37.13,37.79,36.75,37.64
20160119,38.00,38.20,36.26,36.44
20160120,35.87,37.19,35.20,36.78
20160121,36.87,37.44,36.37,36.62
20160122,37.41,38.41,36.90,37.41
20160125,37.12,37.70,36.65,36.72
20160126,36.89,37.47,36.54,37.46
20160127,37.40,38.33,36.99,37.46
20160128,37.89,38.09,37.39,37.72
20160129,37.82,39.23,37.45,39.23
20160201,38.79,39.22,38.15,39.13
20160202,38.13,38.91,38.11,38.66
20160203,38.84,38.84,36.19,37.35
20160204,37.22,38.27,37.11,37.40
20160205,37.26,37.97,36.82,37.05
20160208,36.48,36.62,34.97,35.71
20160209,35.35,35.78,35.10,35.50
20160210,35.67,36.02,35.39,35.40
20160211,34.91,35.58,34.76,35.06
20160212,35.37,36.17,34.95,36.08
20160216,36.79,37.23,36.04,37.21
20160217,37.69,38.84,37.69,38.43
20160218,38.67,38.80,37.58,38.00
20160219,37.43,38.12,36.69,37.99
20160222,38.46,39.19,38.46,38.63
20160223,38.43,39.13,38.05,38.23
20160224,37.68,38.55,37.27,38.51
20160225,38.69,38.99,37.92,38.47
20160226,38.86,39.16,38.59,38.86
20160229,38.84,39.10,38.26,38.65
20160301,38.88,39.74,38.76,39.66
20160302,39.48,40.10,39.32,39.98
20160303,40.04,40.70,39.97,40.58
20160304,40.70,40.85,40.16,40.73
20160307,40.58,41.92,40.58,41.75
20160308,41.41,41.61,40.40,40.76
20160309,41.09,41.09,40.48,40.75
20160310,40.82,40.97,39.88,40.60
20160311,40.92,41.93,40.88,41.75
20160314,41.48,41.68,40.93,41.49
20160315,41.04,41.55,40.86,41.36
20160316,41.22,42.65,41.14,42.38
20160317,42.38,43.98,42.31,43.86
20160318,43.98,44.57,43.73,44.08
20160321,43.91,44.18,43.66,44.14
20160322,44.12,44.77,43.91,44.59
20160323,44.30,44.40,43.63,43.66
20160324,43.35,43.40,42.92,43.27
20160328,43.50,43.55,42.76,43.02
20160329,42.87,43.53,42.53,43.53
20160330,43.96,43.99,43.49,43.77
20160331,43.72,43.79,43.40,43.55
20160401,43.08,43.77,42.50,43.76
20160404,43.72,43.77,42.94,43.04
20160405,42.57,42.87,42.24,42.43
20160406,42.51,42.70,41.92,42.28
20160407,41.83,41.98,40.93,40.99
20160408,41.49,42.03,41.03,41.20
20160411,41.46,41.89,41.19,41.47
20160412,41.44,42.09,41.36,41.80
20160413,41.96,43.06,41.94,42.95
20160414,43.07,43.10,42.29,42.38
20160415,42.23,42.52,41.99,42.16
20160418,41.88,42.68,41.77,42.60
20160419,42.80,43.27,42.70,42.96
20160420,43.12,43.61,42.92,43.38
20160421,43.34,43.67,43.28,43.38
20160422,43.53,44.05,43.50,43.77
20160425,43.53,43.98,43.34,43.61
