Date,Open,High,Low,Close
20151127,77.95,79.14,77.84,79.00
20151130,79.25,79.63,78.13,78.24
20151201,78.34,79.33,77.70,79.23
20151202,78.82,79.73,77.44,78.01
20151203,77.99,78.03,76.42,77.01
20151204,76.84,78.51,76.16,77.63
20151207,77.66,77.88,75.35,75.70
20151208,74.91,75.12,73.52,73.70
20151209,72.94,74.69,72.89,74.21
20151210,73.98,74.81,73.53,73.79
20151211,73.03,73.64,72.70,73.17
20151214,73.47,73.62,72.26,73.56
20151215,74.05,74.74,72.80,72.96
20151216,73.38,74.06,72.28,73.99
20151217,74.21,74.97,72.42,72.58
20151218,71.65,72.24,69.69,70.62
20151221,70.74,71.73,70.62,71.07
20151222,71.48,72.26,70.91,72.17
20151223,72.70,73.25,71.82,72.67
20151224,72.49,73.49,72.18,72.97
20151228,72.60,73.28,71.83,72.88
20151229,73.28,73.58,72.68,73.51
20151230,73.40,73.40,72.74,73.03
20151231,72.83,74.20,72.59,73.36
20160104,71.85,72.28,70.58,71.32
20160105,71.35,72.15,71.08,72.06
20160106,70.99,71.73,70.48,70.92
20160107,69.87,69.93,68.42,68.92
20160108,68.98,69.51,68.05,68.19
20160111,68.87,69.42,66.97,67.35
20160112,69.09,70.41,67.36,67.71
20160113,67.90,70.49,65.41,65.73
20160114,66.25,66.75,64.60,65.56
20160115,64.02,65.52,63.58,65.19
20160119,66.03,66.26,64.54,65.27
20160120,64.37,66.22,63.99,65.72
20160121,67.99,68.63,66.01,66.99
20160122,67.68,68.96,67.47,68.22
20160125,68.69,69.87,68.02,68.83
20160126,68.90,71.85,68.90,71.39
20160127,71.48,72.29,69.58,69.97
20160128,70.39,70.94,69.19,70.25
20160129,70.25,72.73,70.25,72.70
20160201,72.05,73.44,71.98,73.30
20160202,73.16,73.76,71.39,71.66
20160203,72.03,72.62,71.07,72.30
20160204,72.27,75.18,72.27,75.02
20160205,74.64,75.08,74.01,74.76
20160208,74.37,75.34,73.05,75.20
20160209,74.53,76.07,74.50,75.12
20160210,75.39,76.41,73.13,73.29
20160211,72.67,73.46,71.54,72.97
20160212,73.84,74.68,73.77,74.43
20160216,75.04,75.99,73.89,75.55
20160217,75.87,77.54,75.64,77.09
20160218,77.09,77.61,76.60,77.36
20160219,76.83,77.46,75.58,76.76
20160222,77.79,78.81,77.01,77.33
20160223,77.27,77.51,76.00,76.14
20160224,75.70,76.09,74.46,75.80
20160225,75.98,77.18,75.64,77.15
20160226,77.50,78.57,77.39,78.05
20160229,78.06,78.08,76.29,76.29
20160301,76.63,78.07,76.54,77.69
20160302,77.72,78.10,77.00,77.32
20160303,77.42,78.72,77.42,78.52
20160304,78.65,80.12,77.71,79.39
20160307,78.74,80.00,78.55,79.95
20160308,79.38,79.53,78.09,78.29
