Date,Open,High,Low,Close
20151127,78.58,78.81,78.26,78.78
20151130,78.99,79.51,78.60,79.38
20151201,79.63,79.91,79.20,79.58
20151202,79.49,79.92,78.87,79.14
20151203,79.15,79.23,78.33,78.94
20151204,78.92,79.72,78.63,79.00
20151207,78.99,79.28,78.23,78.87
20151208,78.29,78.56,77.79,78.22
20151209,77.75,78.22,76.88,77.68
20151210,77.74,78.30,77.50,77.93
20151211,77.14,77.77,76.99,77.40
20151214,77.48,78.04,76.94,77.83
20151215,78.25,78.41,77.62,78.13
20151216,78.45,78.85,77.33,77.74
20151217,77.69,78.03,76.77,77.22
20151218,77.22,77.84,76.69,77.53
20151221,77.86,78.15,76.88,77.51
20151222,77.66,77.84,76.79,77.76
20151223,78.18,78.48,77.69,77.92
20151224,78.07,78.37,77.66,78.14
20151228,77.81,78.44,77.69,78.42
20151229,78.62,79.44,78.47,79.25
20151230,79.32,79.64,78.93,78.99
20151231,78.77,79.09,78.03,78.06
20160104,76.82,76.83,76.08,76.53
20160105,76.57,77.83,76.46,77.65
20160106,76.92,78.01,76.82,77.71
20160107,76.58,77.26,76.00,76.88
20160108,77.07,77.28,76.34,76.45
20160111,76.94,77.18,76.35,76.73
20160112,77.12,78.08,76.80,77.90
20160113,78.05,78.05,75.64,75.78
20160114,75.94,77.45,75.56,77.12
20160115,75.64,77.88,74.03,74.53
20160119,75.37,76.03,74.56,75.62
20160120,74.68,75.56,73.19,75.14
20160121,75.28,77.00,74.92,76.55
20160122,77.51,78.74,76.99,78.32
20160125,77.88,78.29,77.17,77.38
20160126,77.51,78.11,76.03,77.98
20160127,77.87,78.80,75.00,77.92
20160128,78.88,78.96,77.53,78.15
20160129,78.57,81.28,78.39,81.18
20160201,81.22,82.16,80.85,81.34
20160202,80.88,81.54,80.32,80.71
20160203,80.79,82.89,78.62,79.88
20160204,79.44,79.80,76.07,79.75
20160205,79.75,79.89,78.02,78.61
20160208,77.98,78.18,76.09,76.57
20160209,75.61,77.11,75.00,76.60
20160210,77.04,78.25,76.55,77.30
20160211,76.06,77.45,75.87,77.01
20160212,77.50,79.44,77.05,79.29
20160216,80.54,81.32,80.54,80.97
20160217,81.23,81.70,79.58,80.02
20160218,80.45,82.13,80.04,82.11
20160219,82.01,83.29,81.79,83.01
20160222,83.68,84.70,83.62,84.30
20160223,84.13,84.66,83.54,83.57
20160224,83.18,84.15,82.38,83.91
20160225,83.99,84.42,83.30,84.41
20160226,84.75,85.03,82.80,83.24
20160229,83.17,83.75,82.14,82.24
20160301,82.63,83.04,81.83,82.75
20160302,82.82,82.83,81.28,82.10
20160303,81.92,82.30,81.49,82.12
20160304,82.08,82.43,81.01,82.20
20160307,81.79,82.17,81.39,81.94
20160308,81.44,81.82,80.90,80.99
20160309,81.31,81.59,80.83,81.02
20160310,81.20,82.14,80.71,81.09
20160311,81.14,82.10,80.94,81.38
20160314,80.95,81.40,80.66,81.23
20160315,80.87,82.09,80.87,81.20
20160316,80.96,82.23,80.85,82.07
20160317,81.84,83.26,81.84,82.86
20160318,82.48,82.99,81.82,82.83
20160321,82.69,83.22,82.30,82.77
20160322,82.55,83.19,82.30,82.92
20160323,82.94,83.34,82.56,82.97
20160324,82.58,83.11,82.42,82.99
20160328,82.90,83.40,82.72,83.02
20160329,82.66,84.56,82.58,84.46
20160330,84.62,86.23,84.62,85.96
20160331,85.71,86.14,84.43,84.57
20160401,84.22,85.38,84.13,85.13
20160404,85.08,85.20,83.98,84.10
20160405,83.50,84.07,83.29,83.50
20160406,83.33,84.52,83.31,84.41
20160407,83.88,83.96,83.04,83.74
20160408,84.14,84.50,83.35,83.49
20160411,84.10,84.61,82.60,82.66
20160412,82.92,82.92,81.50,82.17
20160413,82.70,82.96,81.87,82.55
20160414,82.41,82.78,81.82,82.25
20160415,82.35,82.70,81.99,82.41
20160418,81.91,82.65,81.91,82.47
20160419,83.16,83.52,82.30,83.33
20160420,83.13,83.70,82.57,83.09
20160421,83.15,83.15,82.08,82.10
20160422,82.05,82.48,81.26,81.88
20160425,81.78,82.35,80.98,81.89
20160426,81.90,82.61,81.33,82.23
20160427,82.09,82.82,81.30,82.13
20160428,82.02,82.99,81.72,81.94
20160429,81.84,81.86,80.66,81.03
20160502,81.05,82.39,81.05,82.35
20160503,81.57,82.70,80.68,81.45
20160504,80.49,84.13,80.44,83.08
20160505,83.37,83.89,82.76,82.81
20160506,82.69,83.81,82.23,83.60
20160509,83.54,84.51,82.60,84.10
20160510,84.17,84.89,83.97,84.75
20160511,84.60,84.88,83.50,83.59
20160512,84.10,84.58,83.73,84.43
20160513,84.04,84.46,83.23,83.69
20160516,83.86,85.28,83.79,84.71
20160517,84.55,85.10,83.60,83.82
20160518,83.57,84.16,82.94,83.57
20160519,83.40,83.73,81.96,82.85
20160520,83.34,83.54,82.79,83.06
20160523,82.86,83.05,82.02,82.21
20160524,82.59,84.16,82.59,84.01
20160525,84.45,84.45,83.48,83.63
20160526,83.59,83.90,83.03,83.49
20160527,83.66,84.35,83.29,84.34
20160531,84.57,84.81,83.84,84.43
20160601,83.80,84.67,83.68,84.55
20160602,84.17,85.27,83.92,85.27
20160603,85.17,85.17,84.15,84.81
20160606,85.05,85.13,84.58,84.99
20160607,85.01,85.21,84.70,85.01
20160608,85.04,85.60,84.92,85.44
