Date,Open,High,Low,Close
20151127,102.28,102.62,101.79,102.37
20151130,102.48,102.48,101.24,101.24
20151201,101.73,102.49,101.12,102.36
20151202,102.50,102.93,101.99,102.05
20151203,102.27,102.37,100.31,100.79
20151204,101.40,103.00,101.28,102.95
20151207,102.61,103.49,102.60,103.32
20151208,102.98,103.24,101.91,102.42
20151209,102.14,103.34,101.67,102.15
20151210,102.30,103.34,101.80,102.64
20151211,102.37,102.37,101.43,101.68
20151214,101.65,102.29,100.78,102.15
20151215,102.65,104.69,102.65,104.13
20151216,104.64,105.49,103.52,105.25
20151217,105.16,105.26,103.63,103.64
20151218,103.08,103.08,101.95,101.95
20151221,102.34,102.92,100.85,101.58
20151222,101.91,102.88,101.15,102.71
20151223,103.11,103.67,102.74,103.49
20151224,103.12,103.91,103.01,103.72
20151228,103.18,103.47,102.93,103.22
20151229,103.34,104.19,103.34,104.03
20151230,104.11,104.34,103.53,103.78
20151231,103.37,103.62,102.69,102.72
20160104,101.71,101.81,99.45,100.48
20160105,100.58,101.44,100.57,100.90
20160106,99.82,100.97,99.60,100.39
20160107,99.31,100.09,98.88,99.22
20160108,99.88,99.94,97.85,98.16
20160111,98.24,98.63,96.08,97.57
20160112,97.99,98.63,97.24,98.24
20160113,98.49,98.98,96.84,97.02
20160114,97.10,99.47,97.00,98.89
20160115,96.37,98.00,96.25,97.00
20160119,97.93,98.41,96.90,97.50
20160120,96.11,97.28,94.53,95.75
20160121,95.77,96.64,94.28,95.94
20160122,97.02,97.09,95.95,96.75
20160125,96.72,97.69,96.04,96.40
20160126,97.26,101.34,97.14,101.18
20160127,100.49,103.38,100.49,102.16
20160128,102.50,103.04,101.85,102.27
20160129,102.89,104.75,102.63,104.44
20160201,103.61,104.79,103.22,104.37
20160202,103.30,104.26,103.00,103.41
20160203,103.65,104.38,102.01,104.14
20160204,103.61,104.09,102.73,103.90
20160205,102.66,102.77,99.78,100.54
20160208,100.31,103.51,100.22,102.00
20160209,101.31,102.24,100.97,101.97
20160210,102.05,102.91,101.37,101.73
20160211,100.46,102.02,99.98,101.70
20160212,101.82,101.98,100.72,101.82
20160216,102.37,103.05,101.65,102.32
20160217,102.75,103.24,102.23,102.50
20160218,102.83,104.68,102.50,104.24
20160219,103.58,104.68,103.38,104.16
20160222,104.16,104.75,104.05,104.75
20160223,104.65,104.79,103.96,104.08
20160224,103.34,105.08,102.97,104.96
20160225,104.95,106.39,104.77,106.38
20160226,106.82,106.92,105.42,105.78
20160229,105.28,106.20,105.04,105.21
20160301,105.90,107.24,105.44,107.22
20160302,106.91,107.41,106.43,107.04
20160303,106.82,107.00,105.63,106.65
20160304,106.51,106.98,106.07,106.50
20160307,106.00,106.92,105.49,106.74
20160308,106.52,106.77,105.97,106.22
20160309,106.84,107.02,106.09,106.84
20160310,106.99,107.48,106.07,107.14
20160311,107.50,107.99,107.21,107.71
20160314,107.92,108.30,107.31,107.66
20160315,107.62,108.35,106.76,107.76
20160316,107.73,107.78,106.88,107.41
20160317,107.47,107.60,106.45,106.74
20160318,106.99,107.84,106.36,107.50
20160321,107.41,107.75,106.55,107.28
20160322,107.28,107.63,107.05,107.38
20160323,107.29,108.83,107.20,108.50
20160324,108.22,108.61,107.75,108.31
20160328,108.41,108.90,108.06,108.23
20160329,108.30,109.25,107.74,109.14
20160330,109.45,109.56,108.93,108.98
20160331,108.86,108.98,108.04,108.20
20160401,108.00,109.29,107.69,109.19
20160404,108.82,109.10,108.26,108.59
20160405,108.23,109.84,108.01,108.95
20160406,108.72,109.50,107.88,109.42
20160407,109.00,109.62,108.63,109.27
20160408,109.37,109.64,108.76,109.10
20160411,109.15,109.62,108.65,108.97
20160412,109.00,110.24,108.75,109.60
20160413,110.00,110.35,109.31,109.87
20160414,110.00,110.29,109.45,109.84
20160415,110.07,110.40,109.50,110.18
20160418,110.00,111.10,109.67,110.93
20160419,111.65,113.95,111.48,112.68
20160420,113.19,114.19,113.05,113.58
20160421,113.31,113.73,112.77,113.57
20160422,113.43,113.75,112.83,113.32
20160425,113.31,113.55,112.48,113.51
20160426,113.45,113.56,112.65,112.91
20160427,112.96,113.20,112.46,112.77
20160428,112.10,112.71,111.64,112.48
20160429,112.06,112.22,111.51,112.08
20160502,112.22,112.79,111.93,112.75
20160503,112.56,113.10,112.12,112.69
20160504,112.04,112.54,111.70,112.22
20160505,112.08,113.10,112.04,112.88
20160506,112.58,113.05,112.28,112.74
20160509,112.98,113.99,112.73,113.72
20160510,114.00,115.00,113.92,114.67
20160511,114.57,114.76,114.31,114.37
20160512,114.50,114.76,113.54,114.23
20160513,113.90,114.09,113.36,113.56
20160516,113.39,114.63,113.31,114.44
20160517,114.54,114.56,113.24,113.83
20160518,113.61,114.03,112.88,113.59
20160519,112.99,113.04,112.20,112.85
20160520,112.20,112.92,111.76,112.64
20160523,112.77,112.82,112.04,112.16
20160524,112.52,113.50,112.52,112.69
20160525,113.18,113.73,112.85,113.35
20160526,113.11,113.32,112.85,112.90
20160527,113.04,113.34,112.69,113.06
20160531,113.26,113.63,112.32,112.69
20160601,112.69,113.06,112.07,112.78
20160602,112.87,114.65,112.86,114.49
20160603,114.47,115.39,114.12,114.76
20160606,114.97,116.00,114.93,115.77
20160607,116.01,116.23,115.45,115.73
20160608,115.52,115.95,115.41,115.80
20160609,115.78,117.19,115.61,117.00
20160610,116.74,117.23,116.36,117.01
20160613,117.13,117.64,116.79,116.79
20160614,116.45,117.18,116.30,117.12
20160615,117.64,117.74,116.34,116.41
20160616,115.69,116.89,115.22,116.64
20160617,116.62,116.67,115.01,115.48
20160620,116.60,117.14,116.43,116.54
20160621,116.99,117.15,116.18,116.18
20160622,116.54,117.21,116.31,116.46
20160623,117.20,117.38,116.68,117.38
20160624,115.07,117.12,115.00,115.63
20160627,115.00,116.64,115.00,116.55
20160628,117.17,118.37,116.55,118.23
20160629,118.84,119.41,118.10,119.33
20160630,119.18,121.41,119.16,121.30
20160701,121.30,121.54,120.79,121.29
20160705,121.36,123.23,121.34,122.27
20160706,121.93,122.66,121.54,122.64
20160707,122.59,122.81,122.01,122.51
20160708,123.00,123.10,121.96,122.85
20160711,122.71,123.45,122.41,122.93
20160712,122.65,123.20,122.61,122.92
20160713,122.68,123.40,122.30,123.00
20160714,122.98,123.74,122.91,123.18
20160715,123.77,124.30,122.71,123.00
20160718,123.00,123.22,122.44,123.14
20160719,124.78,125.75,123.34,125.25
20160720,125.84,126.07,125.04,125.14
20160721,125.21,125.74,124.89,125.15
20160722,125.12,125.35,124.65,125.03
20160725,125.07,125.13,124.14,124.89
20160726,125.03,125.55,124.75,125.15
20160727,125.10,125.23,124.34,124.77
20160728,124.98,125.00,124.41,124.46
20160729,124.34,125.32,124.34,125.23
20160801,125.31,125.71,125.10,125.40
20160802,125.65,125.90,124.48,124.85
20160803,125.00,125.00,123.69,123.90
20160804,124.24,124.39,123.64,123.86
20160805,124.38,124.38,123.76,124.24
20160808,124.00,124.15,123.23,123.65
20160809,123.91,124.00,123.33,123.43
20160810,123.59,123.78,123.24,123.36
20160811,123.85,124.14,123.47,123.77
20160812,123.47,123.77,122.95,123.22
20160815,123.12,123.27,122.28,122.31
20160816,122.11,122.32,120.06,120.33
20160817,120.50,121.33,119.85,121.31
20160818,121.17,121.39,119.90,120.72
20160819,119.91,119.99,119.32,119.92
20160822,119.90,119.90,118.95,119.13
20160823,119.67,119.96,119.02,119.44
20160824,119.48,119.61,118.62,118.71
20160825,118.86,119.21,118.33,118.57
20160826,118.84,119.74,118.56,119.04
20160829,119.30,120.13,119.06,119.92
20160830,120.67,120.67,119.26,119.47
20160831,119.54,119.62,119.01,119.34
20160901,119.19,119.39,118.60,119.08
20160902,119.36,119.81,118.90,119.32
20160906,119.78,119.97,119.36,119.75
20160907,119.84,119.95,119.44,119.61
20160908,119.37,119.82,119.14,119.47
20160909,119.03,119.16,118.18,118.23
20160912,117.76,119.45,117.38,119.16
20160913,118.42,118.83,117.49,117.61
20160914,117.85,118.33,117.46,117.86
20160915,117.81,118.94,117.32,118.63
20160916,118.51,119.14,118.12,118.25
20160919,118.36,118.66,117.64,117.66
20160920,118.17,118.24,117.69,117.95
20160921,117.95,119.00,117.64,118.91
20160922,119.25,119.84,119.14,119.46
20160923,119.41,119.60,118.71,118.81
20160926,118.63,118.64,117.56,117.78
20160927,118.39,119.22,117.72,119.22
20160928,119.05,119.52,118.81,119.39
20160929,118.88,119.27,117.04,117.27
20160930,117.78,118.62,117.39,118.13
20161003,118.00,119.01,117.43,118.81
20161004,118.84,119.48,118.28,118.82
20161005,119.22,119.44,118.60,119.18
20161006,118.50,118.85,117.92,118.75
20161007,119.17,119.57,118.69,119.24
20161010,119.51,120.20,119.35,119.80
20161011,119.41,119.63,117.06,117.64
20161012,117.96,118.43,117.50,117.97
20161013,117.54,119.20,117.28,118.26
20161014,118.50,118.80,117.56,117.56
20161017,117.50,118.55,117.50,118.49
20161018,117.38,118.48,115.16,115.41
20161019,115.57,115.89,114.46,114.59
20161020,114.83,115.70,114.59,114.87
20161021,114.11,114.24,112.99,113.44
20161024,113.93,114.19,113.44,113.61
20161025,113.64,114.16,113.09,113.96
20161026,113.64,115.22,113.60,114.56
20161027,114.98,116.55,114.79,115.70
20161028,115.82,115.91,114.57,115.33
20161031,115.28,116.23,114.50,115.99
20161101,114.76,115.94,114.63,115.34
20161102,115.52,115.76,114.83,114.86
20161103,114.88,115.44,114.75,115.03
20161104,115.04,115.94,115.04,115.11
20161107,115.89,116.72,115.84,116.66
20161108,116.48,117.57,116.47,117.05
20161109,120.00,122.50,118.10,120.31
20161110,120.77,121.10,119.02,119.54
20161111,119.49,119.49,118.13,118.47
20161114,118.58,118.99,116.50,116.60
20161115,116.40,116.69,115.82,116.32
20161116,116.65,116.78,116.08,116.36
20161117,116.68,116.68,116.12,116.57
20161118,115.79,115.92,114.81,115.36
20161121,115.44,115.68,114.80,115.00
20161122,114.59,115.00,112.27,112.74
20161123,112.25,113.43,111.56,113.07
20161125,113.60,114.23,113.38,114.13
20161128,113.79,114.12,113.05,113.13
20161129,112.95,113.41,112.17,112.48
20161130,112.19,112.52,111.30,111.30
20161201,111.36,111.54,111.00,111.38
20161202,111.72,112.53,111.44,111.96
20161205,112.40,112.42,111.73,111.94
20161206,112.24,113.20,111.85,112.06
20161207,111.89,111.89,109.32,111.10
20161208,110.54,111.20,109.93,110.99
20161209,111.41,112.43,111.20,112.26
20161212,112.69,115.40,112.58,115.36
20161213,115.53,115.97,115.01,115.89
20161214,116.12,117.30,114.58,114.99
20161215,115.33,115.92,114.89,115.89
20161216,116.41,116.46,115.46,115.88
20161219,116.07,116.66,115.94,116.02
20161220,115.98,116.25,114.91,115.66
20161221,116.20,116.20,114.74,115.31
20161222,115.00,115.53,113.88,115.44
20161223,115.40,116.32,115.30,115.96
20161227,115.89,116.00,115.38,115.91
20161228,115.88,116.16,115.05,115.10
20161229,115.23,115.87,115.01,115.49
20161230,115.80,115.99,114.98,115.21
20170103,115.78,116.00,115.23,115.84
20170104,115.50,116.23,115.31,115.65
20170105,116.00,116.97,115.44,116.86
20170106,116.67,117.00,115.76,116.30
20170109,116.35,116.61,115.89,116.28
20170110,116.03,117.00,115.87,116.16
20170111,116.08,116.25,114.02,114.73
20170112,114.27,114.73,113.37,114.62
20170113,114.94,115.02,114.44,114.60
20170117,113.94,115.05,113.67,114.87
20170118,114.87,115.10,114.41,114.70
20170119,114.68,114.90,113.92,114.20
20170120,114.49,115.03,114.08,114.15
20170123,114.51,114.77,113.80,113.91
20170124,112.91,113.30,111.15,111.76
20170125,111.93,112.80,110.76,112.80
20170126,112.00,112.84,111.60,111.84
20170127,112.00,113.54,111.90,113.38
20170130,113.40,113.60,112.85,113.13
20170131,112.79,113.40,112.43,113.25
20170201,112.48,113.32,112.47,113.23
20170202,112.82,113.62,112.77,113.57
20170203,113.50,113.66,112.66,113.64
20170206,113.46,113.59,112.62,113.40
20170207,113.60,113.62,113.05,113.48
20170208,113.30,113.69,113.15,113.40
20170209,113.40,114.65,113.40,114.08
20170210,114.32,115.99,114.23,115.24
20170213,115.28,116.12,115.22,115.88
20170214,115.44,116.40,115.32,116.36
20170215,115.90,117.46,115.59,117.20
