Date,Open,High,Low,Close
20151127,67.00,67.33,66.64,67.17
20151130,67.28,67.52,66.68,66.68
20151201,67.34,67.83,66.99,67.61
20151202,67.83,67.88,66.48,66.66
20151203,66.83,67.03,65.58,65.80
20151204,66.10,68.00,66.03,67.89
20151207,67.66,67.75,66.40,67.00
20151208,66.25,66.96,65.70,65.96
20151209,65.61,66.58,65.04,65.46
20151210,65.54,66.50,65.08,65.61
20151211,64.80,65.16,63.51,64.07
20151214,64.23,64.76,63.60,64.27
20151215,65.07,66.65,65.07,66.10
20151216,66.91,67.74,65.91,67.53
20151217,67.90,68.00,66.08,66.28
20151218,65.97,65.97,64.40,64.40
20151221,65.02,65.56,64.83,65.54
20151222,65.92,66.00,64.98,65.68
20151223,66.12,66.85,66.05,66.73
20151224,66.62,66.89,66.32,66.60
20151228,66.29,66.45,65.71,66.38
20151229,66.84,67.30,66.74,67.07
20151230,67.04,67.05,66.45,66.59
20151231,66.19,66.78,66.00,66.03
20160104,63.95,64.06,63.01,63.62
20160105,63.70,64.13,63.04,63.73
20160106,62.72,63.13,62.34,62.81
20160107,61.46,62.00,60.08,60.27
20160108,61.13,61.27,58.85,58.92
20160111,58.83,59.22,58.04,58.83
20160112,59.45,59.56,58.10,58.96
20160113,59.46,59.68,56.91,57.34
20160114,58.16,59.38,57.29,58.20
20160115,56.45,57.57,56.22,57.04
20160119,57.73,57.97,56.51,57.01
20160120,55.63,56.18,54.66,55.51
20160121,55.74,56.52,55.06,55.25
20160122,56.44,57.16,56.30,56.95
20160125,56.48,56.85,55.60,55.66
20160126,55.85,57.15,55.81,57.08
20160127,57.08,58.27,56.56,57.04
20160128,57.52,57.97,56.63,57.28
20160129,57.83,59.54,57.51,59.50
20160201,59.16,59.65,58.44,58.86
20160202,57.88,57.98,56.75,57.03
20160203,57.37,57.80,55.02,57.41
20160204,57.06,58.52,57.06,58.40
20160205,58.58,59.14,57.42,57.75
20160208,56.69,56.92,55.54,56.54
20160209,55.29,56.69,55.13,56.20
20160210,56.57,57.41,55.47,55.52
20160211,53.90,53.91,52.50,53.07
20160212,55.65,57.57,55.17,57.49
20160216,58.23,58.60,57.64,58.35
20160217,58.85,59.25,58.39,58.77
20160218,58.84,58.86,57.25,57.81
20160219,57.50,58.17,57.08,57.82
20160222,58.51,58.88,58.42,58.57
20160223,57.90,58.09,55.96,56.12
20160224,55.20,56.21,54.33,56.14
20160225,56.13,57.03,56.04,57.01
20160226,57.64,58.11,57.14,57.54
20160229,57.41,57.61,56.29,56.30
20160301,56.76,59.20,56.67,59.20
20160302,59.20,59.90,58.96,59.76
20160303,59.58,59.96,59.10,59.96
20160304,60.10,60.55,59.53,60.05
20160307,59.54,60.05,59.32,59.94
20160308,59.21,59.50,58.68,58.78
20160309,59.15,59.54,58.68,59.12
20160310,59.59,59.67,57.81,58.61
20160311,59.39,59.51,58.65,59.34
20160314,59.15,59.31,58.60,59.12
20160315,58.54,59.21,58.43,59.20
20160316,58.98,59.75,58.47,58.92
20160317,58.77,59.13,57.99,58.75
20160318,60.05,60.97,59.66,60.48
20160321,60.22,60.82,59.96,60.46
20160322,59.99,60.58,59.62,60.24
20160323,60.34,60.51,59.86,59.94
20160324,59.30,59.51,58.87,59.48
20160328,59.53,59.75,59.18,59.40
20160329,59.33,59.33,58.53,59.03
20160330,59.46,60.23,59.38,59.71
20160331,59.45,59.93,59.11,59.22
20160401,59.02,60.06,58.56,59.87
20160404,59.44,59.57,58.96,59.20
20160405,58.59,58.83,58.21,58.36
20160406,58.18,58.88,57.95,58.81
20160407,58.26,58.43,57.07,57.32
20160408,57.71,58.58,57.69,57.74
20160411,57.91,58.88,57.91,58.20
20160412,58.34,59.39,58.20,59.28
20160413,60.48,62.16,60.38,61.79
20160414,61.69,62.91,61.61,62.59
20160415,62.88,62.90,61.45,61.87
20160418,61.64,62.58,61.53,62.27
20160419,62.55,63.48,62.55,63.32
20160420,63.48,64.31,63.15,64.24
20160421,64.26,64.66,63.34,63.60
20160422,63.64,64.38,63.64,63.97
20160425,63.60,63.95,63.15,63.60
20160426,63.81,64.07,63.33,63.93
20160427,63.86,64.64,63.60,64.11
20160428,63.64,64.42,63.35,63.60
20160429,63.09,63.61,62.70,63.20
20160502,63.69,64.00,63.14,63.79
20160503,62.90,62.91,61.80,62.56
20160504,61.75,62.26,61.27,61.57
20160505,61.60,62.00,61.06,61.24
20160506,60.70,61.68,60.59,61.60
20160509,61.37,61.89,61.05,61.21
20160510,61.55,62.26,61.35,62.04
20160511,61.97,62.60,61.81,61.81
20160512,62.27,62.56,61.37,61.77
20160513,61.70,62.40,61.02,61.20
20160516,61.21,61.99,61.00,61.66
20160517,61.43,62.16,61.15,61.66
20160518,61.70,64.17,61.69,64.04
20160519,63.53,64.22,62.90,63.39
20160520,63.86,64.19,63.37,63.51
20160523,63.45,63.87,63.16,63.46
20160524,63.94,64.77,63.81,64.54
20160525,64.94,66.20,64.92,65.52
20160526,65.57,65.58,64.91,65.03
20160527,65.21,65.46,65.05,65.43
20160531,65.73,65.82,64.96,65.27
20160601,64.76,65.92,64.26,65.69
20160602,65.52,65.81,65.16,65.81
20160603,64.25,64.86,63.55,64.64
20160606,64.64,65.76,64.60,65.28
20160607,65.45,65.74,65.04,65.06
20160608,64.93,65.48,64.92,65.25
20160609,64.79,64.90,64.27,64.75
20160610,63.93,64.07,63.58,63.84
20160613,63.48,64.34,63.26,63.27
20160614,62.68,63.47,61.68,62.08
20160615,62.41,62.98,61.91,61.97
20160616,61.45,62.30,60.90,62.22
20160617,62.30,62.71,61.93,62.28
20160620,63.45,63.85,62.34,62.37
20160621,62.73,63.00,62.14,62.95
20160622,62.95,63.71,62.68,62.71
20160623,63.70,64.15,63.53,64.05
20160624,60.48,61.70,59.34,59.60
20160627,58.71,58.75,57.05,57.61
20160628,59.19,59.55,58.26,59.52
20160629,60.36,61.21,60.00,61.20
20160630,61.63,62.19,61.02,62.14
20160701,61.66,62.01,61.16,61.26
20160705,60.45,60.60,59.10,59.55
20160706,59.01,60.29,58.76,60.19
20160707,60.52,61.14,60.16,60.58
20160708,61.33,62.17,61.33,61.83
20160711,62.42,62.95,62.14,62.27
20160712,63.03,63.56,62.89,63.20
20160713,63.08,63.43,62.64,63.16
20160714,64.74,64.98,64.05,64.12
20160715,64.75,64.80,63.61,64.18
20160718,64.13,64.40,63.90,63.96
20160719,63.61,64.10,63.46,63.86
20160720,64.11,64.23,63.71,63.93
20160721,64.00,64.18,63.63,63.69
20160722,63.90,64.09,63.60,64.04
20160725,63.98,64.17,63.68,63.87
20160726,63.98,64.26,63.71,64.13
20160727,64.08,64.69,64.06,64.33
20160728,64.00,64.19,63.72,64.10
20160729,63.80,64.29,63.75,63.97
20160801,64.15,64.31,63.61,63.80
20160802,63.59,64.01,63.38,63.65
20160803,63.69,64.67,63.65,64.66
20160804,64.49,64.82,64.27,64.56
20160805,65.14,66.37,65.07,66.30
20160808,66.07,66.49,65.84,66.10
20160809,66.18,66.28,65.69,65.87
20160810,65.92,66.07,65.16,65.28
20160811,65.27,65.69,65.02,65.46
20160812,64.97,65.35,64.86,65.32
20160815,65.56,65.83,65.46,65.72
20160816,65.36,65.96,65.24,65.71
20160817,65.80,65.98,65.54,65.89
20160818,65.62,65.99,65.53,65.95
20160819,65.72,65.91,65.22,65.86
20160822,65.75,65.88,65.41,65.80
20160823,66.07,66.34,65.76,65.77
20160824,65.99,66.23,65.77,65.95
20160825,65.91,66.14,65.79,66.07
20160826,66.33,66.88,65.85,66.22
20160829,66.49,67.10,66.46,66.95
20160830,66.95,67.60,66.95,67.50
20160831,67.46,67.77,66.86,67.50
20160901,67.64,67.72,66.65,67.21
20160902,67.40,67.58,66.98,67.49
20160906,67.50,67.55,66.71,67.44
20160907,67.16,67.59,66.96,67.16
20160908,67.22,67.68,67.00,67.25
20160909,67.03,67.43,66.64,66.65
20160912,66.14,67.30,65.76,67.06
20160913,66.11,66.86,65.82,66.53
20160914,66.27,67.25,66.21,66.40
20160915,66.29,66.93,66.09,66.64
20160916,66.09,66.26,65.44,65.82
20160919,66.15,66.64,65.85,66.19
20160920,66.75,66.85,66.24,66.46
20160921,66.84,67.13,66.31,66.84
20160922,66.99,67.42,66.84,67.39
20160923,67.39,67.90,67.18,67.25
20160926,66.60,66.80,65.54,65.78
20160927,65.41,66.41,65.11,66.36
20160928,66.58,66.77,65.99,66.71
20160929,66.70,67.21,65.35,65.65
20160930,66.08,67.06,66.08,66.59
20161003,66.35,66.92,66.26,66.51
20161004,66.21,67.18,66.10,66.60
20161005,66.89,68.07,66.80,67.69
20161006,67.73,67.97,67.05,67.87
20161007,67.79,68.18,67.40,68.11
20161010,68.34,69.06,68.23,68.64
20161011,68.50,68.82,67.93,68.31
20161012,68.26,68.59,68.05,68.13
20161013,67.46,67.87,66.82,67.74
20161014,68.80,69.03,67.30,67.52
20161017,67.42,67.79,66.74,67.17
20161018,67.85,68.21,67.54,67.70
20161019,67.81,68.50,67.81,68.35
20161020,68.08,68.68,67.94,68.26
20161021,67.81,68.53,67.70,68.49
20161024,68.97,69.05,68.50,68.87
20161025,68.88,68.93,68.38,68.80
20161026,68.37,69.25,68.37,69.13
20161027,69.49,69.77,69.10,69.23
20161028,69.53,69.55,68.47,69.11
20161031,69.43,69.58,69.23,69.26
20161101,69.48,69.78,68.33,68.97
20161102,68.65,68.85,68.01,68.68
20161103,68.86,69.19,68.22,68.38
20161104,68.49,68.56,67.64,67.76
20161107,69.08,69.97,69.00,69.88
20161108,69.70,70.55,69.24,70.03
20161109,71.46,74.15,71.32,73.25
20161110,74.22,77.25,74.22,76.65
20161111,76.30,76.72,75.77,76.69
20161114,77.25,80.44,77.25,79.51
20161115,78.37,79.41,77.78,79.36
20161116,78.22,78.35,76.88,77.40
20161117,77.93,78.46,77.60,78.02
20161118,77.96,78.42,77.55,77.71
20161121,78.00,78.17,77.29,78.05
20161122,78.35,78.56,77.76,78.53
20161123,78.87,79.24,77.89,78.86
20161125,79.10,79.45,78.47,78.83
20161128,78.18,78.87,78.02,78.32
20161129,78.39,79.16,78.39,78.92
20161130,79.92,80.53,79.70,80.17
20161201,80.65,82.28,80.65,81.79
20161202,81.80,81.83,80.90,81.60
20161205,82.30,83.29,82.29,83.26
20161206,83.60,83.81,82.43,83.69
20161207,83.55,84.09,82.85,84.07
20161208,84.23,85.50,83.94,85.12
20161209,85.02,85.50,84.14,85.49
20161212,85.36,85.79,84.29,84.73
20161213,84.98,85.67,83.82,84.76
20161214,83.88,86.12,83.76,84.73
20161215,85.40,86.49,84.90,86.00
20161216,86.29,86.29,84.89,84.94
20161219,84.80,85.44,84.19,85.43
20161220,85.79,86.54,85.55,86.53
20161221,86.43,86.81,86.03,86.75
20161222,86.44,87.17,86.21,86.89
20161223,87.00,87.15,86.40,87.05
20161227,87.05,87.16,86.75,87.13
20161228,87.16,87.39,86.35,86.50
20161229,86.58,86.67,85.04,85.89
20161230,86.10,86.42,85.66,86.29
20170103,87.34,87.76,85.98,87.23
20170104,86.96,87.18,86.40,86.91
20170105,86.81,87.11,85.26,86.11
20170106,86.39,86.62,85.94,86.12
20170109,85.73,86.77,85.52,86.18
20170110,86.07,86.90,85.72,86.43
20170111,86.43,87.08,85.91,87.08
20170112,86.76,87.27,86.02,86.24
20170113,87.11,88.17,86.10,86.70
20170117,84.93,85.22,83.28,83.55
20170118,83.63,84.23,83.03,83.94
20170119,84.06,84.67,83.12,83.30
20170120,83.43,83.83,83.29,83.67
20170123,83.30,84.00,83.21,83.71
20170124,83.92,85.00,83.56,84.72
20170125,85.84,86.17,85.17,86.03
20170126,85.95,86.95,85.95,86.75
20170127,86.66,86.98,86.27,86.93
20170130,86.19,86.50,85.32,86.03
20170131,85.60,86.15,84.09,84.63
20170201,85.54,86.10,84.68,84.95
20170202,84.34,84.91,84.16,84.59
20170203,86.19,87.31,85.87,87.18
20170206,86.79,87.45,86.61,86.77
20170207,87.14,87.40,86.48,86.72
20170208,86.18,86.31,85.37,85.96
20170209,85.96,87.33,85.96,87.20
20170210,87.48,87.48,86.89,87.00
20170213,87.44,88.74,87.43,88.15
20170214,88.30,89.70,88.11,89.56
20170215,90.08,90.87,89.35,90.59
20170216,90.40,91.04,89.77,90.53
20170217,89.82,90.47,89.69,90.23
20170221,90.51,91.15,90.46,91.01
20170222,90.52,91.30,90.42,91.06
20170223,91.18,91.34,90.52,91.13
20170224,90.18,90.54,89.73,90.33
20170227,90.32,90.73,90.02,90.43
20170228,89.85,90.82,89.59,90.62
20170301,92.79,93.98,92.61,93.60
20170302,93.87,93.92,92.03,92.14
20170303,92.14,93.11,92.14,92.80
20170306,92.25,92.32,91.10,91.92
20170307,91.64,92.09,91.21,91.41
20170308,92.68,92.85,91.10,91.21
20170309,91.60,92.14,91.15,91.57
20170310,91.95,92.00,90.53,91.28
20170313,91.31,91.78,90.93,91.36
20170314,91.02,91.65,90.77,91.51
20170315,91.80,92.55,91.13,91.73
20170316,92.03,92.81,91.57,91.64
20170317,91.83,92.04,90.65,90.68
20170320,90.27,91.17,89.79,90.03
20170321,90.36,90.64,87.06,87.39
20170322,86.89,88.07,86.01,87.53
20170323,87.21,88.50,87.09,87.39
20170324,87.79,88.09,86.77,87.29
20170327,85.53,87.40,85.23,87.24
20170328,87.02,89.02,86.98,88.60
20170329,88.60,88.82,88.08,88.27
20170330,88.20,89.46,88.12,89.03
20170331,88.71,88.74,87.75,87.84
20170403,87.99,88.17,86.60,87.52
20170404,86.89,87.67,86.72,87.31
20170405,88.42,88.54,86.13,86.19
20170406,85.98,86.91,85.25,86.48
20170407,85.93,86.81,85.71,86.18
20170410,86.08,86.69,85.40,85.88
20170411,85.54,85.79,84.80,85.73
20170412,85.93,85.95,85.03,85.40
20170413,85.50,86.99,84.40,84.40
20170417,84.44,86.08,84.37,85.86
20170418,85.36,85.63,84.74,85.16
20170419,85.50,85.92,84.36,84.46
20170420,84.98,85.78,84.55,85.55
20170421,85.50,85.68,84.51,84.52
20170424,86.55,88.05,86.42,87.50
20170425,88.55,89.13,88.26,88.26
20170426,88.35,89.05,88.14,88.43
20170427,88.37,88.37,87.01,87.61
