Date,Open,High,Low,Close
20151127,68.93,69.45,68.74,69.27
20151130,69.36,69.45,68.72,68.77
20151201,69.39,69.99,69.04,69.38
20151202,69.19,69.59,68.81,68.89
20151203,68.86,69.53,68.20,68.53
20151204,68.68,70.38,68.55,70.18
20151207,70.10,70.90,69.91,70.51
20151208,70.25,71.01,69.89,70.82
20151209,70.19,71.20,70.01,70.60
20151210,70.60,71.39,70.07,70.73
20151211,70.26,70.56,69.75,70.13
20151214,70.16,71.18,70.16,71.08
20151215,71.24,71.74,70.87,71.51
20151216,71.52,72.07,70.87,71.97
20151217,71.63,72.26,70.90,71.61
20151218,71.27,71.36,70.76,70.78
20151221,71.25,71.39,70.52,71.05
20151222,71.03,72.50,70.87,72.19
20151223,72.39,73.20,72.19,73.07
20151224,72.89,73.13,72.62,72.87
20151228,72.83,73.00,72.58,72.87
20151229,73.28,73.60,73.24,73.51
20151230,73.58,73.68,73.11,73.19
20151231,72.79,72.90,71.98,72.27
20160104,71.59,71.68,70.86,71.61
20160105,72.07,72.68,71.54,71.87
20160106,71.29,72.30,71.15,72.01
20160107,71.09,71.28,70.26,70.37
20160108,71.34,72.39,70.38,71.48
20160111,71.67,71.92,71.03,71.55
20160112,71.96,72.14,70.68,71.47
20160113,71.54,72.24,70.87,70.90
20160114,70.95,72.30,70.78,71.67
20160115,70.31,71.18,70.29,70.67
20160119,71.02,71.56,70.81,71.24
20160120,70.77,70.99,68.73,70.10
20160121,70.12,70.53,69.07,69.96
20160122,70.66,71.82,70.28,71.61
20160125,71.20,71.65,70.44,70.51
20160126,70.34,71.50,70.10,71.20
20160127,71.42,72.33,71.14,71.57
20160128,72.14,73.24,71.72,72.79
20160129,73.10,73.89,72.75,73.44
20160201,73.32,74.14,73.04,73.59
20160202,73.04,73.26,72.27,72.38
20160203,72.47,73.05,71.52,72.34
20160204,72.02,72.25,71.40,71.83
20160205,72.16,72.60,71.57,71.84
20160208,71.28,71.95,70.74,71.31
20160209,70.63,71.69,70.33,71.40
20160210,71.79,72.50,70.56,70.86
20160211,72.50,74.52,72.23,73.69
20160212,74.33,75.01,73.70,74.97
20160216,74.34,75.33,73.83,75.19
20160217,75.10,76.24,75.01,75.75
20160218,75.84,76.00,74.81,75.79
20160219,75.61,75.76,74.99,75.52
20160222,75.52,75.52,73.40,73.82
20160223,73.55,74.58,73.54,74.12
20160224,73.92,74.25,73.53,73.91
20160225,74.14,74.97,74.04,74.91
20160226,74.58,74.91,72.90,73.45
20160229,73.24,74.51,73.07,74.02
20160301,74.56,74.67,74.00,74.17
20160302,73.90,75.14,73.11,75.09
20160303,74.71,74.90,74.16,74.84
20160304,74.84,75.50,74.51,75.23
20160307,74.94,75.20,74.64,74.93
20160308,74.64,75.13,74.50,74.84
20160309,75.25,75.92,74.98,75.20
20160310,75.20,75.61,74.86,75.24
20160311,75.50,75.70,75.10,75.53
20160314,75.30,75.42,74.72,74.95
20160315,74.52,75.36,74.22,75.09
20160316,75.35,75.86,74.50,75.63
20160317,75.92,76.81,75.70,76.44
20160318,76.53,76.58,75.84,76.16
