Date,Open,High,Low,Close
20151127,13.13,13.16,13.01,13.14
20151130,13.14,13.21,13.04,13.11
20151201,13.17,13.34,13.09,13.30
20151202,13.34,13.41,13.10,13.13
20151203,13.20,13.24,12.92,12.95
20151204,13.01,13.44,12.92,13.41
20151207,13.38,13.40,13.16,13.24
20151208,13.13,13.24,13.00,13.04
20151209,12.98,13.18,12.69,12.85
20151210,12.88,13.22,12.81,13.01
20151211,12.80,12.91,12.68,12.74
20151214,12.76,12.95,12.50,12.70
20151215,12.87,13.20,12.87,13.13
20151216,13.24,13.41,12.98,13.37
20151217,13.40,13.47,12.99,13.00
20151218,12.91,12.93,12.65,12.67
20151221,12.73,12.85,12.63,12.84
20151222,12.92,13.04,12.72,13.00
20151223,13.08,13.35,12.95,13.34
20151224,13.32,13.40,13.29,13.33
20151228,13.27,13.31,13.12,13.30
20151229,13.38,13.46,13.30,13.42
20151230,13.38,13.38,13.25,13.25
20151231,13.17,13.37,13.13,13.19
20160104,12.99,13.03,12.85,12.96
20160105,13.01,13.08,12.75,12.85
20160106,12.69,12.81,12.59,12.62
20160107,12.43,12.58,12.15,12.18
20160108,12.29,12.34,11.89,11.92
20160111,11.99,12.07,11.75,11.94
20160112,12.10,12.12,11.75,12.05
20160113,12.13,12.18,11.58,11.68
20160114,11.78,11.92,11.55,11.83
20160115,11.36,11.58,11.28,11.51
20160119,11.65,11.69,11.25,11.33
20160120,11.10,11.32,10.78,11.20
20160121,10.88,11.47,10.84,11.17
20160122,11.36,11.57,11.26,11.32
20160125,11.28,11.31,10.81,10.85
20160126,10.91,11.07,10.85,10.94
20160127,10.89,11.28,10.86,10.92
20160128,11.13,11.25,10.96,11.08
20160129,11.15,11.20,10.95,11.16
20160201,11.25,11.25,11.02,11.08
20160202,10.91,10.91,10.70,10.76
20160203,10.83,10.85,10.32,10.78
20160204,10.74,11.00,10.72,10.91
20160205,11.02,11.10,10.77,10.80
20160208,10.68,10.69,10.44,10.55
20160209,10.37,10.73,10.34,10.64
20160210,10.74,10.80,10.45,10.52
20160211,10.17,10.19,9.88,10.00
20160212,10.19,10.59,10.15,10.49
20160216,10.81,11.08,10.59,10.91
20160217,11.04,11.15,10.86,10.93
20160218,10.98,10.98,10.50,10.64
20160219,10.56,10.77,10.49,10.70
20160222,10.84,10.94,10.77,10.93
20160223,10.90,10.91,10.57,10.63
20160224,10.47,10.57,10.23,10.54
20160225,10.58,10.73,10.49,10.69
20160226,10.79,10.87,10.62,10.72
20160229,10.71,10.73,10.45,10.55
20160301,10.60,10.99,10.57,10.90
20160302,10.91,11.31,10.91,11.31
