Date,Open,High,Low,Close
20151127,30.59,30.88,30.59,30.80
20151130,30.79,30.93,30.70,30.81
20151201,30.70,30.79,29.91,29.99
20151202,29.81,30.02,29.72,29.80
20151203,29.96,29.99,28.84,29.05
20151204,28.98,29.61,28.96,29.58
20151207,29.41,29.63,29.03,29.18
20151208,28.93,29.22,28.79,29.21
20151209,29.18,29.32,28.81,28.94
20151210,28.91,29.17,28.87,29.00
20151211,28.68,29.16,28.53,28.64
20151214,28.60,28.70,27.75,27.86
20151215,28.08,28.38,28.00,28.36
20151216,28.47,28.64,28.03,28.37
20151217,28.38,28.62,28.30,28.46
20151218,28.44,28.52,28.01,28.01
20151221,28.25,28.42,27.98,28.11
20151222,28.19,28.57,28.01,28.56
20151223,28.67,29.05,28.56,29.00
20151224,28.92,29.15,28.80,28.95
20151228,28.83,28.99,28.36,28.78
20151229,28.73,28.98,28.36,28.62
20151230,28.51,28.75,28.48,28.58
20151231,28.48,28.70,28.30,28.33
20160104,27.93,28.15,27.75,27.81
20160105,27.81,28.35,27.61,27.75
20160106,27.37,27.66,27.21,27.30
20160107,26.79,26.92,26.20,26.22
20160108,25.84,26.08,25.32,25.45
20160111,25.45,25.58,24.80,24.93
20160112,25.15,25.41,24.65,25.25
20160113,25.31,25.54,24.40,24.43
20160114,24.48,24.88,24.09,24.65
20160115,24.04,24.29,23.31,23.53
20160119,23.73,23.93,23.08,23.21
20160120,22.92,23.02,22.15,22.91
20160121,23.02,23.80,22.80,23.33
20160122,23.73,24.04,23.66,24.00
20160125,23.90,24.07,23.84,23.96
20160126,24.13,24.37,23.82,23.99
20160127,23.83,23.96,23.38,23.47
20160128,23.70,23.70,23.08,23.14
20160129,23.24,23.67,23.20,23.40
20160201,23.14,23.22,22.88,23.00
20160202,22.82,22.98,22.31,22.44
20160203,22.48,22.49,21.98,22.39
20160204,22.40,22.99,22.40,22.94
20160205,22.85,22.94,22.17,22.24
20160208,22.00,22.07,21.20,21.38
20160209,21.18,21.70,21.17,21.18
20160210,21.40,21.97,21.36,21.76
20160211,21.38,21.81,21.07,21.55
20160212,21.74,22.24,21.55,22.21
20160216,22.46,22.76,22.21,22.60
20160217,22.72,23.13,22.66,23.05
20160218,23.15,23.29,22.95,23.22
20160219,22.17,24.07,22.16,23.90
20160222,24.06,24.73,23.98,24.67
20160223,24.50,25.24,24.45,25.18
20160224,25.00,25.78,24.72,25.73
20160225,25.74,25.86,25.20,25.74
20160226,25.90,25.98,25.52,25.94
20160229,25.93,26.19,25.77,26.09
20160301,26.27,26.76,26.17,26.34
20160302,26.28,26.89,26.21,26.88
20160303,26.82,27.12,26.75,27.09
20160304,27.13,27.33,26.80,27.22
20160307,27.07,27.39,26.94,27.15
20160308,27.01,27.07,26.68,26.74
20160309,25.65,25.98,25.29,25.80
20160310,25.96,26.14,25.74,26.05
20160311,26.25,26.91,26.25,26.56
20160314,26.56,26.86,26.44,26.57
20160315,26.40,26.70,26.07,26.21
20160316,26.06,26.59,26.06,26.52
20160317,26.52,27.34,26.52,27.25
20160318,27.22,27.76,27.19,27.74
20160321,27.69,28.10,27.62,27.94
20160322,27.94,28.39,27.80,28.22
20160323,28.07,28.07,26.99,27.00
20160324,26.82,27.11,26.52,27.00
20160328,27.07,27.33,26.86,27.24
20160329,27.12,27.75,26.90,27.74
20160330,27.95,28.02,27.28,27.42
20160331,27.37,27.77,26.99,27.74
20160401,27.18,28.05,27.18,27.81
20160404,27.77,27.92,27.17,27.35
20160405,26.94,27.04,26.80,26.90
20160406,26.90,26.98,26.64,26.77
20160407,26.68,26.79,26.27,26.43
20160408,26.63,27.05,26.47,26.72
20160411,26.84,27.13,26.58,26.94
20160412,26.88,26.99,26.57,26.72
20160413,26.89,27.97,26.89,27.80
20160414,27.73,27.79,27.22,27.32
20160415,27.25,27.49,27.09,27.14
20160418,27.07,27.34,26.92,27.10
20160419,27.24,27.30,27.06,27.26
20160420,27.28,27.57,27.14,27.16
20160421,27.04,27.25,26.92,27.07
20160422,27.09,27.45,27.09,27.43
20160425,27.36,27.36,26.70,26.92
20160426,27.03,27.37,26.89,27.29
20160427,27.21,27.38,26.82,27.12
20160428,27.01,27.14,26.41,26.45
20160429,26.33,26.43,25.75,26.08
20160502,26.08,26.21,25.76,26.00
20160503,25.87,26.12,25.68,26.00
20160504,25.87,26.13,25.72,25.91
20160505,25.98,26.14,25.80,25.83
20160506,25.70,26.04,25.49,25.98
20160509,25.87,26.10,25.67,25.72
20160510,25.75,26.24,25.51,26.21
20160511,26.16,26.24,25.81,25.84
20160512,25.92,26.60,25.68,26.27
20160513,26.26,26.41,25.88,25.98
20160516,25.93,26.36,25.93,26.27
20160517,26.12,26.39,26.01,26.21
20160518,26.11,26.61,26.08,26.21
20160519,25.94,26.31,25.91,25.99
20160520,27.25,30.32,27.25,29.94
20160523,29.94,30.48,29.74,30.13
20160524,30.17,30.56,30.07,30.42
20160525,30.48,30.71,30.33,30.49
20160526,30.51,30.56,30.24,30.48
20160527,30.50,30.91,30.48,30.72
20160531,30.73,30.84,30.41,30.63
20160601,30.43,30.89,30.37,30.84
20160602,30.81,31.50,30.80,31.39
20160603,31.25,31.45,31.05,31.42
20160606,31.36,31.73,31.32,31.57
20160607,31.57,31.57,31.14,31.33
20160608,31.33,31.70,31.21,31.70
20160609,31.43,31.87,31.24,31.26
20160610,31.00,31.06,30.55,30.64
20160613,30.46,30.58,29.88,29.91
20160614,29.83,29.97,29.45,29.63
20160615,29.81,30.13,29.63,29.84
20160616,29.62,29.62,29.30,29.49
20160617,29.40,29.82,29.28,29.66
20160620,30.10,30.49,30.08,30.45
20160621,30.51,30.51,29.79,30.06
20160622,30.09,30.55,30.00,30.40
20160623,30.63,31.03,30.60,31.03
20160624,29.71,30.22,29.46,29.66
20160627,29.37,29.39,28.46,28.49
20160628,28.80,29.12,28.50,28.93
20160629,29.38,29.51,28.83,29.08
20160630,29.07,29.14,28.86,29.09
20160701,29.04,29.31,28.86,28.93
20160705,28.71,28.84,28.11,28.39
20160706,28.22,28.31,27.91,28.25
20160707,28.34,28.59,27.90,28.18
20160708,28.40,29.10,28.13,29.02
20160711,29.16,29.20,28.53,28.53
20160712,28.80,29.03,28.79,28.90
20160713,29.02,29.09,28.39,28.72
20160714,29.01,29.04,28.77,28.88
20160715,28.98,29.22,28.79,29.10
20160718,29.18,29.44,29.04,29.32
20160719,29.31,29.37,29.07,29.26
20160720,29.38,29.75,29.25,29.72
20160721,29.64,29.81,29.40,29.52
20160722,29.47,30.00,29.22,29.86
20160725,29.75,29.75,29.31,29.48
20160726,29.54,29.83,29.41,29.67
20160727,29.73,29.82,29.54,29.76
20160728,29.71,29.84,29.50,29.57
20160729,29.59,29.59,28.92,29.24
20160801,29.20,29.46,29.10,29.19
20160802,29.22,29.30,28.18,28.20
20160803,28.24,28.63,28.22,28.61
20160804,28.67,28.72,28.47,28.49
20160805,28.67,28.93,28.58,28.93
20160808,28.88,29.09,28.87,28.93
20160809,28.90,29.07,28.78,28.79
20160810,28.86,29.10,28.75,29.03
20160811,29.08,29.25,28.96,29.21
20160812,29.15,29.36,29.03,29.32
20160815,29.10,29.77,29.10,29.67
20160816,29.65,29.75,29.37,29.60
20160817,29.54,29.75,29.28,29.68
20160818,26.95,29.73,26.87,29.41
20160819,29.20,30.35,29.17,30.19
20160822,30.19,30.30,30.03,30.30
20160823,30.38,30.62,30.27,30.29
20160824,30.21,30.36,29.65,29.77
20160825,29.78,30.22,29.71,29.98
20160826,30.04,30.26,29.91,30.04
20160829,30.08,30.50,30.00,30.26
20160830,30.27,30.54,30.22,30.46
20160831,30.40,30.52,30.31,30.43
20160901,30.40,30.68,30.30,30.59
20160902,30.76,30.90,30.40,30.44
20160906,30.40,30.49,30.21,30.40
20160907,30.35,30.72,30.32,30.40
20160908,30.26,30.47,30.21,30.37
20160909,30.22,30.31,29.52,29.53
20160912,29.45,30.29,29.31,30.29
20160913,29.95,30.00,29.46,29.78
20160914,29.85,29.87,29.33,29.39
20160915,29.34,30.08,29.29,29.98
20160916,29.93,29.93,29.25,29.25
20160919,29.84,30.94,29.84,30.65
20160920,30.88,31.13,30.44,30.66
20160921,30.76,31.09,30.65,31.07
20160922,31.10,31.75,31.08,31.64
20160923,31.38,31.62,31.35,31.47
20160926,31.18,31.26,30.87,30.97
20160927,30.84,31.16,30.80,31.15
20160928,31.26,31.76,31.12,31.75
20160929,31.56,31.67,30.88,31.10
20160930,31.14,31.80,31.10,31.69
20161003,31.35,31.65,31.22,31.35
20161004,31.42,31.88,31.08,31.28
20161005,31.50,31.98,31.50,31.56
20161006,31.44,31.55,31.11,31.54
20161007,31.50,31.58,31.11,31.28
20161010,31.52,31.92,31.35,31.41
20161011,31.18,31.41,30.99,31.16
20161012,31.26,31.27,31.01,31.25
20161013,31.11,31.35,30.93,31.32
20161014,31.47,31.72,31.32,31.60
20161017,31.64,31.70,31.51,31.65
20161018,31.94,31.99,31.76,31.94
20161019,31.99,32.55,31.92,32.51
20161020,32.50,32.74,32.43,32.66
20161021,32.40,32.57,32.27,32.49
20161024,32.78,33.12,32.51,33.05
20161025,32.98,33.03,32.72,32.88
20161026,32.74,33.05,32.52,32.75
20161027,32.95,33.05,32.75,32.89
20161028,32.91,33.14,32.70,32.81
20161031,32.93,33.10,32.76,32.80
20161101,32.94,33.00,32.37,32.66
20161102,32.60,32.82,31.94,31.98
20161103,32.00,32.06,31.81,31.98
20161104,32.02,32.36,31.82,31.82
20161107,32.20,33.26,32.09,33.26
20161108,33.08,33.50,32.83,33.21
20161109,32.67,33.78,32.63,33.78
20161110,33.99,34.25,33.78,33.93
20161111,33.78,34.59,33.78,34.57
20161114,34.68,34.95,34.58,34.80
20161115,34.75,35.32,34.61,35.13
20161116,35.00,35.37,34.74,35.11
20161117,35.00,35.58,35.00,35.22
20161118,35.30,36.52,34.79,35.89
20161121,35.90,36.09,35.80,35.90
20161122,35.90,36.60,35.84,36.60
20161123,36.59,37.68,36.59,37.65
20161125,37.65,38.28,37.61,38.26
20161128,38.00,38.08,37.61,37.98
20161129,37.90,37.98,37.25,37.26
20161130,37.36,37.48,36.83,36.83
20161201,36.90,36.90,35.35,35.49
20161202,35.54,35.83,35.23,35.35
20161205,35.56,36.09,35.56,35.84
20161206,36.00,36.38,35.76,36.37
20161207,36.33,36.70,35.96,36.63
20161208,36.72,37.07,36.61,36.95
20161209,37.00,37.30,36.81,37.12
20161212,36.90,37.22,36.71,37.12
20161213,37.34,37.54,37.08,37.15
20161214,37.01,37.22,36.31,36.35
20161215,36.52,36.69,36.42,36.51
20161216,36.57,36.74,36.28,36.30
20161219,36.20,36.48,35.78,35.89
20161220,36.15,36.30,35.69,35.99
20161221,36.09,36.41,36.01,36.15
20161222,36.18,36.39,35.81,36.21
20161223,36.33,36.89,36.33,36.87
20161227,36.75,37.19,36.75,37.00
20161228,37.06,37.08,36.25,36.46
20161229,36.58,36.86,36.29,36.63
20161230,36.88,36.95,36.32,36.57
20170103,36.60,37.16,36.03,36.28
20170104,36.25,37.18,36.25,36.88
20170105,36.98,37.18,36.31,36.45
20170106,36.55,36.60,36.12,36.20
20170109,36.13,36.37,35.90,36.10
20170110,36.26,36.35,36.02,36.31
20170111,36.26,36.62,36.13,36.50
20170112,36.40,36.40,35.69,36.35
20170113,36.52,36.99,36.51,36.93
20170117,36.61,36.83,35.81,35.88
20170118,35.95,36.39,35.73,35.90
20170119,35.97,36.39,35.60,35.73
20170120,35.88,36.17,35.76,36.16
20170123,35.96,36.38,35.79,36.30
20170124,36.35,37.00,36.19,36.95
20170125,36.99,37.86,36.75,37.71
20170126,37.66,37.68,37.15,37.24
20170127,37.19,37.43,36.86,37.01
20170130,37.56,37.56,36.50,36.99
20170131,36.78,37.17,36.31,37.07
20170201,37.14,37.48,36.41,36.72
20170202,36.85,37.00,36.10,36.13
20170203,36.49,37.52,36.33,37.35
20170206,37.00,37.08,36.55,36.68
