Date,Open,High,Low,Close
20151127,74.57,75.00,74.22,74.61
20151130,74.52,74.86,73.50,73.69
20151201,74.23,75.00,73.80,74.47
20151202,74.21,74.62,72.92,73.04
20151203,73.30,73.68,71.09,71.46
20151204,71.40,72.73,71.07,72.22
20151207,71.92,72.21,70.85,71.43
20151208,71.00,71.65,70.59,71.53
20151209,71.16,72.17,70.50,70.90
20151210,70.83,71.33,70.51,70.84
20151211,70.09,70.69,69.39,69.69
20151214,70.07,71.08,69.77,70.97
20151215,71.73,72.75,71.65,72.01
20151216,72.61,73.20,71.89,73.01
20151217,72.95,73.30,71.90,71.92
20151218,71.42,71.94,70.63,70.67
20151221,70.52,71.66,70.37,71.38
20151222,71.64,73.19,71.32,72.93
20151223,73.30,74.78,72.99,74.51
20151224,74.81,74.81,73.88,73.96
20151228,73.71,73.78,72.89,73.42
20151229,73.65,74.86,73.40,74.69
20151230,74.65,74.96,73.71,73.75
20151231,73.37,73.50,72.63,72.76
20160104,71.38,72.85,71.35,72.70
20160105,72.74,73.58,72.28,73.39
20160106,72.20,73.68,72.03,73.53
20160107,72.01,72.99,71.85,71.90
20160108,72.19,72.47,71.10,71.18
20160111,71.35,72.53,70.77,72.27
20160112,72.85,73.35,72.13,73.23
20160113,73.19,73.44,70.64,70.81
20160114,70.96,71.53,70.30,70.74
20160115,68.90,70.15,68.18,69.20
20160119,70.01,70.52,69.55,70.17
20160120,69.28,71.58,68.74,71.17
20160121,72.00,73.33,71.33,73.05
20160122,73.60,74.50,72.51,74.39
20160125,73.70,74.67,73.34,74.03
20160126,73.37,76.00,73.37,75.98
20160127,75.87,77.15,75.15,75.97
20160128,76.27,76.99,75.48,76.16
20160129,76.90,78.22,76.40,78.06
20160201,77.37,77.48,75.67,77.01
20160202,75.97,76.80,75.72,75.97
20160203,76.37,76.37,73.83,74.89
20160204,75.04,75.20,72.92,74.15
20160205,74.28,74.56,72.14,72.78
20160208,72.09,72.20,70.18,71.22
20160209,70.60,71.96,70.01,71.51
20160210,72.07,73.30,71.71,72.11
20160211,70.90,71.96,70.17,71.44
20160212,72.20,72.45,71.02,71.92
20160216,72.90,73.06,71.92,72.31
20160217,73.00,74.39,72.50,74.24
20160218,74.08,74.29,73.34,73.45
20160219,72.90,73.69,72.83,73.52
20160222,74.39,74.39,72.21,73.33
20160223,73.10,73.49,72.56,72.82
20160224,72.33,73.33,71.82,72.99
20160225,73.41,74.98,73.33,74.96
20160226,78.80,78.90,76.65,77.84
20160229,77.28,78.00,76.93,77.02
20160301,77.66,77.92,76.92,77.66
20160302,77.61,77.80,76.12,77.49
20160303,77.30,77.55,76.46,77.37
20160304,77.91,77.92,76.26,77.20
20160307,77.01,77.39,76.14,76.50
20160308,76.01,77.15,75.94,76.29
20160309,76.67,77.00,75.80,76.63
20160310,76.98,77.15,75.55,76.22
20160311,77.26,77.35,76.41,76.95
20160314,76.88,77.77,76.10,77.57
20160315,77.46,77.82,76.82,77.78
20160316,77.98,78.11,76.95,78.03
20160317,77.58,78.10,76.74,78.01
20160318,78.38,78.39,76.77,77.31
20160321,76.97,77.50,76.17,76.59
20160322,76.99,77.03,76.03,76.44
20160323,76.57,77.06,76.21,76.81
20160324,76.77,77.27,75.86,76.46
20160328,76.62,77.93,76.06,77.76
20160329,77.58,78.81,77.03,78.80
20160330,78.92,79.05,78.27,78.90
20160331,78.95,78.95,78.28,78.56
20160401,78.53,79.16,78.11,79.08
20160404,78.97,79.09,78.38,78.85
20160405,78.47,78.85,77.89,78.01
20160406,78.42,78.42,77.50,78.36
20160407,78.02,78.29,77.03,77.50
20160408,77.97,78.60,77.54,78.47
20160411,78.73,79.00,77.85,77.91
20160412,78.00,78.63,77.54,78.33
20160413,78.68,78.73,77.09,77.40
20160414,77.40,77.82,76.89,77.17
20160415,77.56,78.29,77.13,78.05
20160418,77.92,78.36,77.27,78.34
20160419,78.34,78.88,77.86,78.30
20160420,78.34,78.68,77.50,77.92
20160421,77.79,77.92,76.64,76.74
20160422,76.70,78.15,76.70,78.10
20160425,77.88,78.84,77.54,78.73
20160426,78.71,79.55,78.51,78.70
20160427,79.22,79.50,77.99,79.10
20160428,78.55,79.23,78.09,78.36
20160429,77.61,78.29,77.13,78.07
20160502,78.07,80.25,78.00,79.52
20160503,79.02,79.29,78.22,78.68
20160504,78.48,80.30,78.29,79.98
20160505,82.96,84.17,82.50,82.97
20160506,82.83,84.04,81.94,84.00
20160509,84.00,84.79,83.64,84.26
20160510,84.44,86.20,84.23,86.14
20160511,85.97,86.54,85.19,85.20
20160512,85.48,86.66,85.15,86.34
20160513,86.03,86.45,84.72,85.13
20160516,85.33,86.24,85.04,85.87
20160517,85.69,86.06,81.77,82.16
20160518,81.95,82.28,80.46,81.18
20160519,80.85,83.02,80.61,83.00
20160520,82.40,82.86,81.82,82.42
20160523,82.51,83.25,82.42,82.81
20160524,83.13,84.38,82.70,84.22
20160525,83.56,84.78,83.13,84.27
20160526,84.02,84.82,83.76,83.81
20160527,83.66,84.26,83.50,84.10
20160531,84.16,84.44,82.67,83.19
20160601,83.09,83.99,83.00,83.95
20160602,83.88,84.79,83.55,84.78
20160603,85.00,85.42,84.70,85.30
20160606,85.50,85.60,84.69,84.99
20160607,85.17,85.68,84.62,84.75
20160608,85.06,85.42,84.33,85.18
20160609,84.92,85.73,84.78,85.62
20160610,85.60,85.60,84.71,85.34
20160613,85.27,85.75,84.64,84.95
20160614,84.94,85.29,84.33,84.88
20160615,85.00,85.39,84.36,84.84
20160616,84.68,85.32,83.98,85.28
20160617,85.34,85.37,84.02,84.82
20160620,85.49,86.50,85.24,85.50
20160621,85.54,86.44,85.49,85.69
20160622,85.94,85.99,85.08,85.21
20160623,85.94,86.39,85.43,86.37
20160624,83.70,85.10,83.42,83.73
20160627,83.23,83.85,82.50,83.63
20160628,83.88,84.79,83.00,84.77
20160629,85.03,86.33,84.70,86.10
20160630,86.39,88.63,86.17,88.48
20160701,88.58,89.40,88.15,88.24
20160705,88.19,89.49,87.50,88.74
20160706,88.65,89.76,88.25,89.74
20160707,89.57,89.82,88.81,89.31
20160708,89.93,90.26,89.13,89.85
20160711,89.93,90.15,89.31,89.84
20160712,89.49,89.72,87.63,87.80
20160713,87.83,89.08,87.63,89.02
20160714,89.14,89.25,87.86,88.34
20160715,88.90,89.22,88.13,88.86
20160718,89.08,89.30,88.54,89.10
20160719,88.84,89.11,88.26,88.97
20160720,88.87,88.95,87.94,88.17
20160721,88.10,88.19,87.33,87.64
20160722,88.02,88.49,87.82,88.16
20160725,88.16,88.43,87.83,88.41
20160726,88.54,88.79,87.04,87.06
20160727,87.38,87.46,85.20,85.63
20160728,85.68,86.21,85.24,85.96
20160729,86.23,86.63,85.86,86.39
20160801,86.30,86.58,85.52,85.97
20160802,85.75,85.75,84.64,85.15
20160803,85.31,85.48,84.25,84.90
20160804,85.13,85.64,84.68,85.54
20160805,89.85,90.49,88.50,88.79
20160808,88.71,88.79,87.59,88.75
20160809,88.93,89.99,88.74,89.78
20160810,89.77,89.95,88.97,89.35
20160811,89.71,90.43,89.29,89.44
20160812,89.23,90.47,89.23,89.56
20160815,89.71,89.89,88.85,89.08
20160816,89.03,89.17,88.25,88.96
20160817,89.05,89.47,88.24,89.41
20160818,89.30,89.86,89.10,89.76
20160819,89.60,90.20,89.35,89.92
20160822,89.88,90.39,89.52,89.97
20160823,90.25,90.48,89.35,89.47
20160824,88.84,88.99,88.03,88.95
20160825,88.99,89.94,88.69,88.90
20160826,89.04,89.45,87.92,88.17
20160829,88.35,88.81,88.13,88.57
20160830,88.63,88.82,87.77,87.97
20160831,88.11,89.82,88.11,89.49
20160901,89.57,89.71,88.54,89.48
20160902,89.90,90.54,89.11,89.61
20160906,89.69,90.18,89.14,89.74
20160907,89.23,89.81,88.96,89.79
20160908,89.70,89.79,88.71,89.19
20160909,88.24,88.37,85.95,85.97
20160912,85.58,88.70,85.35,88.56
20160913,89.27,89.27,87.45,88.27
20160914,88.13,88.82,87.38,87.68
20160915,87.36,89.26,87.32,89.17
20160916,88.83,89.13,87.65,88.94
20160919,88.88,89.00,86.90,86.97
20160920,87.48,87.72,87.10,87.12
20160921,87.26,88.16,86.76,87.91
20160922,88.63,89.16,88.34,89.05
20160923,89.19,89.50,88.67,88.83
20160926,88.78,88.98,88.06,88.53
20160927,88.76,89.49,88.52,89.23
20160928,89.58,89.62,88.81,89.55
20160929,89.23,89.43,88.41,88.57
20160930,89.00,89.91,88.85,89.51
20161003,89.25,89.46,88.75,89.08
20161004,89.29,89.29,87.69,88.02
20161005,88.32,88.32,87.34,87.38
20161006,87.03,87.66,86.78,87.49
20161007,87.76,87.76,86.70,87.40
20161010,87.44,88.67,87.44,88.50
20161011,88.24,88.50,87.06,87.24
20161012,88.46,88.46,87.00,87.14
20161013,86.79,87.32,86.50,87.05
20161014,87.34,88.70,87.06,88.53
20161017,88.72,89.00,88.03,88.83
20161018,90.09,90.15,88.90,88.93
20161019,88.93,88.95,87.55,88.08
20161020,87.22,88.76,87.22,87.96
20161021,87.65,88.18,86.98,87.92
20161024,88.61,89.22,88.51,88.91
20161025,89.23,89.68,88.17,88.36
20161026,88.51,88.70,87.91,88.08
20161027,88.17,88.37,87.18,87.69
20161028,87.48,88.67,87.48,88.08
20161031,88.44,89.16,88.31,88.95
20161101,89.00,89.18,88.11,88.37
20161102,88.63,88.69,87.98,88.15
20161103,88.12,88.37,86.13,86.25
20161104,82.03,85.24,81.00,84.05
20161107,85.32,86.09,84.30,86.03
20161108,86.23,88.84,86.07,88.34
20161109,86.18,86.97,84.18,84.94
20161110,85.03,85.53,80.56,81.42
20161111,81.00,81.74,80.16,81.21
20161114,81.01,81.63,79.92,80.08
20161115,80.57,81.72,80.22,81.14
20161116,81.38,82.75,81.29,82.40
20161117,82.31,82.84,81.50,82.84
20161118,82.70,82.93,82.02,82.53
20161121,82.53,83.82,82.21,83.64
20161122,83.86,84.47,83.70,84.09
20161123,83.80,84.31,81.73,82.44
20161125,82.63,83.29,82.63,82.95
20161128,82.95,83.67,82.36,83.22
20161129,83.40,84.50,83.13,84.00
20161130,83.10,83.51,81.65,81.65
20161201,81.51,81.78,79.93,80.49
20161202,80.74,81.52,80.35,80.91
20161205,80.91,81.15,80.11,80.28
20161206,80.61,80.88,79.69,79.96
20161207,80.44,83.21,80.27,82.95
20161208,82.59,82.79,81.86,82.31
20161209,82.55,83.79,82.07,83.78
20161212,83.60,84.83,83.29,84.20
20161213,84.60,85.60,84.03,84.94
20161214,84.98,85.40,83.72,84.36
20161215,85.13,86.06,84.13,85.37
20161216,85.88,86.56,84.86,86.46
20161219,86.35,86.89,85.72,86.60
20161220,86.28,86.60,85.33,85.98
20161221,85.93,86.99,85.80,86.61
20161222,86.45,87.29,86.30,87.28
20161223,87.10,87.62,86.96,87.57
20161227,87.66,88.08,87.30,87.58
20161228,87.50,87.77,87.03,87.31
20161229,87.30,88.15,87.30,87.93
20161230,88.02,88.16,87.07,87.32
20170103,87.85,87.97,86.40,87.53
20170104,87.52,87.97,86.90,87.03
20170105,86.90,87.30,86.08,86.53
20170106,86.53,86.63,85.83,86.31
20170109,86.25,86.47,85.59,86.07
20170110,85.85,86.30,85.41,85.91
20170111,86.12,87.04,86.04,86.76
20170112,86.83,87.77,86.50,87.42
20170113,87.42,87.43,86.58,87.03
20170117,86.71,87.97,86.71,87.92
20170118,87.80,88.59,87.80,88.35
20170119,88.18,88.43,87.55,87.85
20170120,88.35,89.00,88.01,88.95
20170123,88.66,88.95,88.20,88.80
20170124,88.91,89.19,88.32,88.69
20170125,88.93,89.27,88.41,88.84
20170126,89.49,89.90,88.71,89.41
20170127,88.96,89.77,88.78,89.43
20170130,89.09,89.50,88.63,89.08
20170131,88.90,89.56,88.83,89.29
20170201,88.89,89.33,88.31,88.41
20170202,88.51,89.10,88.32,88.61
20170203,89.21,89.35,88.64,89.27
20170206,89.30,89.40,88.64,88.70
20170207,88.71,89.02,88.50,88.81
20170208,88.81,89.31,88.79,89.19
20170209,89.27,90.39,89.04,89.78
20170210,89.60,90.54,89.34,90.20
20170213,90.31,90.60,89.69,90.58
20170214,90.57,91.06,90.10,90.81
20170215,91.13,91.30,90.26,91.10
20170216,89.10,89.84,86.35,87.28
20170217,92.00,97.77,91.85,96.65
20170221,91.82,95.48,91.35,94.87
20170222,94.85,95.00,92.99,93.36
20170223,93.29,93.62,92.35,92.94
20170224,93.51,93.80,92.57,93.08
20170227,92.60,92.87,90.33,90.61
20170228,90.68,91.98,90.35,91.51
20170301,91.77,91.91,90.65,91.43
20170302,91.50,91.69,90.78,91.28
20170303,91.25,91.50,90.81,91.50
20170306,91.02,91.51,90.79,91.16
20170307,90.81,91.44,90.72,90.80
20170308,90.67,91.17,90.44,90.90
20170309,90.77,91.58,90.62,91.53
20170310,92.08,92.09,91.26,91.51
20170313,91.37,91.50,91.02,91.18
20170314,91.16,91.35,90.67,91.06
20170315,91.59,92.14,91.09,91.84
20170316,92.74,93.27,92.16,92.77
20170317,93.60,93.67,91.82,91.98
20170320,92.03,92.95,91.89,92.36
20170321,92.31,92.78,91.59,91.90
20170322,92.25,92.75,92.04,92.29
20170323,92.05,92.78,91.90,92.01
20170324,92.24,92.40,91.32,91.68
20170327,91.50,91.59,91.09,91.25
20170328,90.78,91.67,90.78,91.41
20170329,91.20,91.60,91.06,91.49
20170330,91.43,91.67,91.04,91.10
20170331,90.88,91.19,90.57,90.81
20170403,90.80,91.28,90.63,91.06
20170404,90.70,91.25,90.27,91.22
20170405,91.10,92.42,91.03,91.42
20170406,91.49,91.79,90.65,90.95
20170407,91.17,91.49,90.67,90.70
20170410,90.65,91.00,90.16,90.89
20170411,90.89,91.07,90.39,90.83
20170412,91.03,92.14,91.01,91.93
20170413,92.05,92.05,91.48,91.50
20170417,91.80,91.96,91.03,91.58
20170418,91.54,92.63,91.33,92.50
20170419,92.43,92.45,91.69,91.85
20170420,92.11,92.40,91.55,92.04
20170421,92.13,92.24,91.56,91.60
20170424,92.01,92.87,92.01,92.56
20170425,92.64,92.89,92.28,92.29
20170426,92.32,92.33,90.88,90.92
20170427,90.92,91.42,90.66,90.83
20170428,91.20,91.23,89.83,90.39
20170501,90.65,90.75,89.35,89.47
20170502,89.64,89.83,88.76,89.00
20170503,90.22,90.22,88.90,89.14
20170504,88.00,91.80,87.14,89.70
20170505,89.86,90.10,89.18,89.63
20170508,89.58,89.77,89.00,89.48
20170509,89.23,89.65,88.87,89.20
20170510,89.11,89.40,88.94,89.33
20170511,88.80,89.46,88.80,89.28
20170512,89.34,89.45,88.67,88.95
20170515,88.76,89.47,88.56,89.45
20170516,89.26,89.83,88.85,89.11
20170517,88.91,90.14,88.51,89.51
20170518,89.65,90.73,88.91,90.16
20170519,89.75,90.55,89.40,90.28
20170522,90.11,91.33,90.04,91.18
20170523,91.21,92.00,91.01,91.87
20170524,92.00,92.66,91.78,92.59
20170525,92.69,93.01,92.38,92.81
20170526,92.90,93.09,92.52,92.99
20170530,92.94,93.00,92.19,92.46
20170531,92.63,92.95,91.97,92.20
20170601,92.35,92.74,91.42,92.73
20170602,92.94,93.55,92.38,93.54
20170605,93.58,93.70,93.05,93.44
20170606,93.45,93.87,93.08,93.21
20170607,93.45,93.88,93.14,93.77
20170608,93.46,93.67,92.47,92.57
20170609,92.48,92.54,90.46,90.83
20170612,90.60,92.42,90.43,91.25
20170613,90.68,91.66,90.17,91.59
20170614,92.15,92.45,90.99,91.46
20170615,91.16,91.84,91.01,91.65
20170616,90.87,91.22,88.91,89.41
20170619,89.96,90.24,89.02,89.85
20170620,89.66,89.77,89.14,89.28
20170621,89.31,89.70,89.11,89.40
20170622,89.47,89.75,88.89,89.10
20170623,89.40,89.40,88.57,88.85
20170626,89.53,89.73,88.87,88.94
20170627,88.76,88.95,87.48,87.51
20170628,88.11,88.49,87.21,87.82
20170629,87.69,87.81,85.45,85.76
20170630,87.20,87.27,85.50,85.64
20170703,85.96,86.10,84.39,84.47
20170705,84.46,84.76,83.64,83.79
20170706,83.30,83.61,82.62,82.82
20170707,82.58,83.90,82.20,83.04
20170710,83.39,83.73,82.76,82.77
20170711,82.20,83.99,82.20,83.75
20170712,84.33,85.18,84.29,84.70
20170713,84.74,85.04,84.33,84.85
20170714,85.31,85.70,84.83,85.65
20170717,85.68,85.75,85.09,85.60
20170718,85.69,85.85,85.17,85.60
20170719,85.63,85.85,85.21,85.69
20170720,86.10,86.10,85.67,85.90
20170721,85.66,86.19,85.41,86.16
20170724,86.12,86.31,85.60,86.22
20170725,86.24,87.61,86.14,87.42
20170726,87.50,90.38,87.41,87.66
20170727,87.53,88.22,87.31,88.19
20170728,87.80,88.07,87.07,87.64
20170731,87.79,87.99,86.98,87.46
20170801,87.38,87.77,86.55,86.67
20170802,86.29,87.14,85.48,86.87
20170803,86.90,87.60,86.33,86.51
20170804,87.58,87.58,85.98,86.66
20170807,86.54,87.23,86.26,87.02
20170808,86.64,86.98,86.02,86.16
20170809,86.00,86.74,85.51,86.46
20170810,85.92,86.40,85.58,85.89
20170811,85.90,86.57,85.64,86.47
20170814,86.75,87.29,86.50,87.02
20170815,87.05,87.20,86.50,86.74
20170816,86.45,86.68,86.28,86.50
20170817,86.27,86.76,85.08,85.11
20170818,84.92,85.28,84.16,84.49
20170821,84.73,84.73,84.25,84.55
20170822,84.76,85.13,84.65,85.05
20170823,84.95,85.16,84.48,84.75
20170824,84.50,84.59,82.69,82.80
20170825,83.28,83.32,82.45,82.60
20170828,82.78,83.00,81.62,82.14
20170829,81.78,82.11,81.09,81.44
20170830,81.50,82.19,81.23,81.93
20170831,81.10,82.10,80.29,80.75
20170901,80.75,81.10,80.10,80.85
20170905,80.72,81.50,80.55,81.15
20170906,81.23,81.40,80.83,81.33
20170907,81.45,81.72,80.83,81.46
20170908,81.45,82.02,80.66,81.72
20170911,82.10,82.56,81.96,82.55
20170912,82.82,82.98,82.06,82.18
20170913,82.26,82.35,81.67,81.91
20170914,81.98,82.00,81.00,81.28
20170915,81.33,81.88,80.52,81.43
20170918,81.24,81.61,81.04,81.40
20170919,81.30,81.42,80.60,80.83
20170920,80.49,80.56,79.13,79.87
20170921,79.99,80.46,78.94,79.01
20170922,79.01,79.24,77.40,77.52
20170925,77.60,78.45,77.47,78.42
20170926,78.60,78.91,78.03,78.59
20170927,78.64,78.80,77.80,78.23
20170928,78.28,78.75,77.73,77.97
20170929,78.03,78.27,77.44,77.55
20171002,77.55,78.27,76.89,77.85
20171003,77.95,78.14,77.29,77.82
20171004,77.23,78.15,76.76,77.77
20171005,77.95,78.49,77.70,78.25
20171006,78.84,78.94,77.99,78.18
20171009,78.29,78.62,77.19,77.33
20171010,77.75,78.25,77.66,78.14
20171011,78.06,78.66,77.92,78.19
20171012,78.35,78.65,78.04,78.15
20171013,78.55,78.60,77.66,77.74
20171016,77.79,78.10,77.48,77.65
20171017,77.73,78.01,77.34,77.54
20171018,77.41,77.46,76.67,77.10
20171019,77.00,77.09,76.31,76.47
20171020,76.77,77.10,76.12,76.71
20171023,76.88,77.10,76.45,77.06
20171024,77.12,77.42,76.93,77.22
20171025,76.73,77.42,76.23,77.33
20171026,77.59,77.94,77.15,77.30
20171027,76.82,77.47,76.24,77.30
20171030,77.20,77.22,75.21,75.27
20171031,76.18,77.40,76.02,77.33
20171101,77.71,77.86,77.08,77.70
20171102,76.84,78.19,75.51,78.03
20171103,77.87,78.19,77.57,78.00
20171106,78.09,78.22,76.51,77.00
20171107,76.93,78.64,76.49,78.18
20171108,78.64,80.09,78.22,79.58
20171109,79.26,79.94,79.02,79.41
20171110,78.97,79.88,78.97,79.72
20171113,79.66,80.37,79.60,79.85
20171114,79.54,79.88,79.03,79.38
20171115,79.49,79.89,78.57,78.78
20171116,78.72,80.16,78.51,79.68
20171117,79.63,80.07,79.28,79.63
20171120,79.70,80.96,79.63,79.93
20171121,80.12,80.29,79.76,80.01
20171122,80.04,80.20,79.59,79.82
20171124,80.25,80.35,79.54,79.76
20171127,79.76,80.04,79.45,79.61
20171128,79.70,79.86,78.71,78.98
20171129,78.95,81.56,78.83,81.09
20171130,81.44,82.18,80.50,81.37
20171201,80.95,81.60,80.29,81.21
20171204,81.32,82.29,81.17,81.92
20171205,82.05,82.48,80.51,80.64
20171206,80.75,81.14,80.24,80.49
20171207,80.17,80.50,79.31,79.36
20171208,79.60,79.71,77.93,78.48
20171211,78.18,78.39,77.19,78.37
20171212,78.33,79.09,78.12,78.95
20171213,79.25,79.60,78.77,79.28
20171214,79.28,79.70,78.87,78.98
20171215,79.80,79.83,79.01,79.54
20171218,79.98,80.36,79.29,79.37
20171219,79.52,79.82,78.39,78.52
