Date,Open,High,Low,Close
20151127,66.40,66.73,66.31,66.54
20151130,66.63,67.11,66.45,66.47
20151201,66.77,68.00,66.77,67.90
20151202,67.61,68.36,67.61,67.72
20151203,67.86,68.12,66.61,66.61
20151204,66.77,67.95,66.77,67.57
20151207,67.43,67.95,67.12,67.48
20151208,66.96,69.05,66.96,68.73
20151209,68.62,68.81,67.55,67.58
20151210,67.58,68.99,67.47,68.49
20151211,67.53,68.29,67.53,67.87
20151214,68.10,68.13,67.22,67.63
20151215,67.99,69.37,67.95,68.88
20151216,68.96,69.39,68.06,69.08
20151217,69.25,69.39,68.05,68.05
20151218,67.72,68.13,66.83,66.86
20151221,67.38,68.39,67.06,68.37
20151222,68.35,69.11,67.87,69.08
20151223,69.31,69.49,69.14,69.25
20151224,69.20,69.70,69.20,69.51
20151228,69.28,69.43,68.81,69.40
20151229,69.64,70.28,69.60,69.90
20151230,69.85,70.20,69.66,69.69
20151231,69.49,69.91,69.21,69.35
20160104,68.03,69.18,68.00,68.69
20160105,68.38,69.05,68.37,68.74
20160106,67.71,68.24,66.09,66.58
20160107,65.42,66.66,65.41,65.94
20160108,66.14,66.31,64.70,65.24
20160111,65.76,65.76,64.83,65.51
20160112,65.92,66.46,65.15,65.75
20160113,65.81,66.30,64.67,64.78
20160114,65.03,67.14,64.81,66.66
20160115,64.11,65.18,63.64,64.55
20160119,65.50,65.50,64.07,64.32
20160120,64.21,65.57,63.98,65.06
20160121,65.30,65.32,64.35,64.63
20160122,65.64,65.87,64.67,65.09
20160125,65.02,65.26,64.56,64.65
20160126,64.64,65.31,64.46,65.14
20160127,65.22,65.40,64.31,64.43
20160128,64.38,66.34,64.38,65.45
20160129,66.28,66.99,66.01,66.99
20160201,66.40,67.61,66.35,67.12
20160202,66.31,66.78,65.87,66.16
20160203,66.59,66.99,65.60,66.80
20160204,66.81,67.11,66.33,66.88
20160205,66.49,66.95,65.11,65.51
20160208,64.60,65.06,63.58,64.14
20160209,63.63,64.42,63.38,63.96
20160210,64.19,64.59,63.79,64.13
20160211,62.54,63.36,62.33,62.88
20160212,63.29,64.07,62.89,63.79
20160216,64.24,65.32,64.16,64.74
20160217,64.90,65.64,64.78,65.57
20160218,65.56,65.69,64.82,64.85
20160219,65.59,66.67,65.59,65.69
20160222,65.99,66.76,65.69,66.14
20160223,65.76,66.20,65.32,65.68
20160224,65.12,66.37,65.12,66.34
20160225,66.30,67.46,66.19,67.45
20160226,67.62,68.20,67.46,67.97
20160229,67.88,68.42,67.67,67.74
20160301,68.22,69.08,67.75,68.98
20160302,68.90,68.90,68.07,68.42
20160303,68.36,68.71,68.08,68.70
20160304,69.04,69.04,68.03,68.31
20160307,68.09,68.92,68.04,68.84
20160308,68.42,68.83,67.71,67.73
20160309,67.94,68.36,67.79,68.06
20160310,68.13,69.17,68.13,68.70
20160311,69.00,69.41,68.77,69.22
20160314,68.97,69.62,68.97,69.56
20160315,69.23,69.94,69.23,69.68
20160316,69.42,70.26,69.12,70.15
20160317,70.47,70.96,70.15,70.86
20160318,71.08,71.33,70.67,71.18
20160321,71.00,71.32,70.77,71.26
20160322,71.29,71.57,70.99,71.44
20160323,71.57,71.57,70.96,71.00
20160324,70.91,70.91,70.11,70.80
20160328,70.96,71.27,70.85,70.86
20160329,70.96,72.40,70.76,72.36
20160330,72.52,73.19,72.40,72.56
20160331,72.70,72.97,71.92,72.81
20160401,72.74,73.26,72.39,73.05
20160404,73.16,73.23,72.56,72.83
20160405,72.51,72.95,72.27,72.37
20160406,71.50,72.82,71.50,72.74
20160407,72.49,72.69,71.80,72.11
20160408,72.44,72.72,71.89,72.07
20160411,72.43,72.70,72.15,72.17
20160412,72.22,72.41,71.69,72.15
20160413,72.22,72.91,72.19,72.90
20160414,72.38,72.70,71.93,72.49
20160415,72.55,72.62,71.88,72.53
20160418,72.53,72.88,72.26,72.75
20160419,72.89,73.27,72.66,73.12
20160420,72.90,73.01,72.06,72.97
20160421,73.00,73.59,71.70,71.99
20160422,72.05,72.57,71.66,71.90
20160425,71.78,72.05,71.39,71.59
20160426,71.68,72.29,71.52,71.84
20160427,71.25,72.30,71.25,72.23
20160428,71.97,71.97,70.72,70.82
20160429,70.61,70.67,69.54,69.94
20160502,70.32,70.33,69.74,70.07
20160503,70.00,70.00,69.38,69.63
20160504,69.18,69.82,69.03,69.10
20160505,69.09,69.63,69.07,69.39
20160506,69.19,69.42,68.92,69.36
20160509,69.25,69.57,68.97,69.14
20160510,69.45,69.86,69.12,69.85
20160511,69.71,69.97,69.58,69.70
20160512,69.52,69.57,68.49,68.82
20160513,68.66,68.89,68.44,68.60
20160516,68.12,68.16,67.32,67.90
20160517,67.84,68.24,67.60,67.77
20160518,67.80,68.64,67.80,68.21
20160519,68.00,68.25,67.73,67.88
20160520,68.44,69.75,68.37,69.59
20160523,69.61,70.00,69.52,69.75
20160524,70.00,71.08,69.96,70.99
20160525,71.01,71.77,71.01,71.73
20160526,71.68,71.99,71.54,71.92
20160527,71.91,73.14,71.91,72.99
20160531,72.81,73.09,72.54,72.93
20160601,72.83,73.19,72.55,73.13
20160602,72.98,73.65,72.75,73.27
20160603,73.13,73.21,72.64,73.10
20160606,72.93,73.31,72.68,72.74
20160607,72.70,73.17,72.69,72.96
20160608,73.08,73.39,72.81,73.18
20160609,73.05,73.45,72.62,73.41
20160610,73.12,73.12,72.56,72.67
20160613,72.36,72.98,72.26,72.51
20160614,72.44,72.75,72.16,72.63
20160615,73.06,73.19,72.62,72.91
20160616,72.69,73.02,72.30,72.79
20160617,72.79,73.03,72.43,73.03
20160620,73.30,74.01,73.28,73.65
20160621,73.75,74.05,73.66,73.86
20160622,73.96,74.47,73.85,74.30
20160623,74.88,75.17,74.57,74.85
20160624,72.97,74.46,72.50,72.55
20160627,72.19,72.22,70.98,71.27
20160628,71.61,72.20,71.55,71.99
20160629,72.30,73.14,71.55,72.08
20160630,72.37,73.25,72.02,73.25
20160701,73.00,73.11,72.47,72.50
20160705,72.23,72.36,71.68,72.11
20160706,71.96,72.34,71.51,72.26
20160707,72.16,72.90,72.08,72.24
20160708,72.41,73.90,72.34,73.75
20160711,73.52,74.56,73.52,74.38
20160712,74.80,75.37,74.62,75.34
20160713,75.54,75.89,75.37,75.55
20160714,76.00,76.10,74.87,75.22
20160715,75.38,75.58,74.96,75.13
20160718,75.31,75.93,75.18,75.93
20160719,75.70,76.18,75.61,75.95
20160720,76.00,76.90,75.82,76.67
20160721,76.47,76.51,75.62,75.74
20160722,75.72,76.20,75.63,76.06
20160725,76.09,76.49,75.97,76.49
20160726,76.82,77.26,76.35,76.99
20160727,76.98,77.32,76.62,77.00
20160728,77.38,77.85,76.88,77.45
20160729,77.20,77.39,75.46,75.71
20160801,75.62,76.58,75.58,76.58
20160802,76.44,76.50,75.42,75.72
20160803,75.60,76.10,75.56,76.09
20160804,75.95,76.81,75.95,76.80
20160805,76.94,77.63,76.80,77.63
20160808,77.61,77.63,77.02,77.02
20160809,77.10,77.51,76.76,77.41
20160810,76.45,76.45,69.10,69.47
20160811,69.86,70.16,66.88,67.51
20160812,67.97,68.52,67.23,68.28
