Date,Open,High,Low,Close
20151127,120.77,121.08,120.31,120.85
20151130,121.06,121.13,119.05,119.15
20151201,120.00,121.94,119.32,121.13
20151202,120.26,121.22,119.56,119.77
20151203,120.28,120.56,117.52,118.25
20151204,119.16,121.37,118.76,121.30
20151207,121.15,122.15,120.80,122.11
20151208,121.08,121.98,120.10,121.56
20151209,120.63,122.77,119.84,120.28
20151210,120.39,121.45,119.77,120.33
20151211,119.18,119.68,118.57,119.20
20151214,120.58,122.84,120.58,122.65
20151215,123.19,125.08,122.82,124.44
20151216,124.75,126.11,123.81,125.92
20151217,125.80,126.23,125.15,125.84
20151218,125.27,125.46,123.52,123.54
20151221,124.31,125.00,123.93,124.92
20151222,125.51,126.59,124.27,126.37
20151223,126.49,128.13,126.37,127.06
20151224,127.06,127.38,126.64,126.88
20151228,126.70,128.50,126.23,128.23
20151229,128.72,129.76,128.44,129.54
20151230,129.51,129.89,129.07,129.43
20151231,128.50,129.28,127.29,127.30
20160104,125.91,126.57,124.56,126.48
20160105,127.00,130.05,126.64,129.08
20160106,127.84,129.73,127.60,129.02
20160107,126.92,128.93,126.60,126.86
20160108,127.20,127.50,124.95,125.23
20160111,125.52,126.44,124.28,125.71
20160112,126.32,127.17,125.25,126.13
20160113,126.62,127.53,125.38,125.46
20160114,125.93,127.83,125.55,127.21
20160115,125.41,126.29,124.30,125.36
20160119,126.15,127.37,125.05,125.88
20160120,124.37,124.89,121.71,123.69
20160121,123.99,125.34,123.01,124.95
20160122,125.79,127.28,124.59,126.72
20160125,123.22,125.54,121.50,122.69
20160126,122.77,126.50,122.56,124.89
20160127,124.83,126.25,123.80,124.20
20160128,124.64,126.79,123.70,126.27
20160129,126.97,129.33,125.85,128.42
20160201,127.38,129.55,127.38,129.01
20160202,128.45,129.24,127.28,128.01
20160203,129.17,130.88,127.85,130.37
20160204,129.58,130.25,128.07,128.75
20160205,128.75,129.60,128.19,129.15
20160208,127.86,129.83,126.72,129.43
20160209,128.33,131.59,127.64,130.79
20160210,131.11,132.43,129.63,129.96
20160211,127.95,128.28,124.65,126.42
20160212,127.15,129.41,126.33,128.63
20160216,129.92,129.94,127.40,128.71
20160217,128.84,131.27,128.76,130.50
20160218,130.36,130.99,129.40,129.75
20160219,129.69,130.64,128.56,130.43
20160222,131.80,132.66,130.74,131.37
20160223,131.29,131.91,130.91,131.53
20160224,130.53,132.60,129.72,132.35
20160225,132.50,133.53,131.88,133.50
20160226,133.31,133.73,130.71,131.30
20160229,131.20,132.12,130.24,130.30
20160301,130.99,131.94,130.35,131.64
20160302,130.03,131.60,128.77,131.57
20160303,131.11,131.71,130.17,131.63
20160304,131.63,132.89,130.88,132.54
20160307,131.65,132.57,130.80,131.59
20160308,131.13,133.97,130.81,132.35
20160309,132.50,133.50,131.52,131.97
20160310,132.69,133.07,130.46,131.88
20160311,132.25,133.27,131.70,133.15
20160314,133.22,134.78,132.84,134.72
20160315,134.24,135.05,133.51,134.63
20160316,134.29,135.70,133.39,135.23
20160317,135.18,136.61,134.97,136.01
20160318,135.91,136.50,134.89,135.54
20160321,136.08,136.08,134.20,135.26
20160322,134.92,134.97,132.85,133.64
20160323,133.73,135.38,133.66,133.98
20160324,133.66,133.87,132.82,133.55
20160328,133.88,135.05,133.84,134.24
20160329,134.02,135.17,133.74,134.99
20160330,135.50,136.32,135.10,135.71
20160331,135.27,135.87,134.40,134.51
20160401,133.33,136.39,133.02,136.20
20160404,136.18,136.90,135.61,136.26
20160405,136.18,136.97,135.91,136.25
20160406,136.06,137.31,135.73,137.27
20160407,136.55,136.99,136.00,136.65
20160408,137.31,137.60,136.52,137.49
20160411,137.62,138.76,137.08,137.25
20160412,137.53,138.20,136.76,138.13
20160413,138.39,138.39,135.49,135.66
20160414,135.98,137.55,135.74,136.04
20160415,136.13,136.83,135.76,136.47
20160418,136.47,137.06,135.76,136.65
20160419,136.84,137.84,136.04,137.11
20160420,137.00,137.48,135.59,135.65
20160421,135.38,135.49,131.74,131.75
20160422,125.52,127.24,123.78,126.88
20160425,125.92,126.32,124.35,126.21
20160426,126.65,126.86,123.52,123.81
20160427,124.28,126.12,123.99,125.70
20160428,125.16,126.83,125.00,126.24
20160429,125.74,126.25,123.91,125.19
20160502,124.88,125.99,123.83,125.22
20160503,124.80,127.19,124.70,126.13
20160504,125.95,128.33,125.57,127.93
20160505,127.90,129.20,127.08,127.36
20160506,127.50,128.12,126.91,127.92
20160509,128.00,128.96,127.77,128.13
