Date,Open,High,Low,Close
20151127,43.04,43.24,42.80,43.15
20151130,43.12,43.15,42.61,42.62
20151201,42.73,43.10,42.73,42.89
20151202,42.83,42.93,42.59,42.77
20151203,42.73,42.89,42.32,42.46
20151204,42.58,43.48,42.58,43.29
20151207,43.31,43.44,43.00,43.20
20151208,43.05,43.25,42.80,43.01
20151209,42.78,43.27,42.50,42.66
20151210,42.73,43.07,42.53,42.76
20151211,42.63,42.83,42.14,42.27
20151214,42.31,42.76,41.97,42.45
20151215,42.84,43.24,42.76,43.07
20151216,43.25,43.91,43.25,43.84
20151217,43.81,43.89,43.42,43.49
20151218,43.36,43.42,42.50,42.50
20151221,42.82,42.94,42.46,42.78
20151222,42.86,43.39,42.71,43.29
20151223,43.39,43.73,43.35,43.67
20151224,43.49,43.72,43.42,43.54
20151228,43.44,43.52,43.31,43.49
20151229,43.54,43.78,43.50,43.71
20151230,43.75,43.77,43.45,43.57
20151231,43.30,43.34,42.87,42.96
20160104,42.34,42.50,41.97,42.40
20160105,42.31,42.63,42.17,42.55
20160106,42.20,42.51,42.04,42.32
20160107,41.65,42.11,41.45,41.62
20160108,41.65,42.12,41.41,41.51
20160111,41.58,41.86,41.29,41.58
20160112,42.30,42.45,41.87,42.12
20160113,42.17,42.57,41.79,41.85
20160114,41.99,42.17,41.64,41.88
20160115,40.95,41.59,40.93,41.50
20160119,41.77,42.12,41.65,41.92
20160120,41.45,41.62,40.75,41.38
20160121,41.45,41.51,41.09,41.39
20160122,41.64,42.24,41.45,42.06
20160125,42.24,42.50,41.93,42.16
20160126,42.16,42.50,41.93,42.08
20160127,42.18,42.46,41.81,42.09
20160128,42.18,42.72,42.06,42.57
20160129,42.86,43.26,42.65,42.92
20160201,42.60,43.15,42.57,43.00
20160202,42.70,42.79,42.41,42.44
20160203,42.80,42.94,42.28,42.72
20160204,42.52,42.89,42.40,42.53
20160205,42.93,42.99,42.26,42.44
20160208,42.17,42.70,41.90,42.65
20160209,42.26,43.49,42.26,43.30
20160210,43.34,43.39,42.51,42.55
20160211,42.03,42.61,41.98,42.41
20160212,42.72,43.14,42.56,43.11
20160216,43.32,43.46,43.02,43.36
20160217,43.42,43.62,43.28,43.49
20160218,43.63,43.73,43.30,43.61
20160219,43.58,43.77,43.28,43.77
20160222,43.77,44.16,43.63,43.94
20160223,43.74,44.05,43.66,43.69
20160224,43.56,43.94,43.37,43.91
20160225,43.96,44.18,43.87,44.16
20160226,44.04,44.06,43.11,43.14
20160229,43.17,43.61,42.92,43.13
20160301,43.38,43.69,43.17,43.69
20160302,43.47,43.77,43.42,43.77
20160303,43.61,43.98,43.54,43.96
20160304,43.78,44.15,43.68,44.11
20160307,43.91,44.14,43.86,44.01
20160308,43.92,44.47,43.81,44.32
20160309,44.39,44.83,44.29,44.81
20160310,44.84,45.26,44.68,45.23
20160311,45.00,45.25,44.93,45.20
20160314,45.04,45.42,45.04,45.29
20160315,45.08,45.56,45.07,45.24
20160316,45.05,45.17,44.55,45.05
20160317,45.05,45.91,44.97,45.77
20160318,45.84,45.87,45.39,45.60
20160321,45.42,45.87,45.36,45.67
20160322,45.55,45.73,45.39,45.50
20160323,45.40,45.71,45.35,45.46
20160324,45.45,45.60,45.19,45.58
20160328,45.56,45.93,45.51,45.80
20160329,45.86,46.51,45.81,46.48
20160330,46.63,46.73,46.33,46.58
20160331,46.55,46.88,46.32,46.39
20160401,46.14,46.87,46.11,46.83
20160404,46.84,46.93,46.50,46.89
20160405,46.62,46.81,46.44,46.53
20160406,46.57,46.73,46.38,46.71
20160407,46.50,46.58,46.16,46.36
20160408,46.44,46.98,46.44,46.87
20160411,46.90,47.13,46.41,46.44
20160412,46.41,46.76,46.35,46.65
20160413,46.77,46.78,45.82,46.04
20160414,46.06,46.22,45.75,45.83
20160415,45.82,46.16,45.68,46.10
20160418,46.10,46.28,45.82,46.22
20160419,46.31,46.62,46.15,46.60
20160420,45.34,45.38,44.06,44.37
20160421,44.26,44.28,42.87,43.66
20160422,43.79,44.66,43.79,44.54
20160425,44.50,44.72,44.38,44.71
20160426,44.92,44.96,44.43,44.53
20160427,44.64,44.86,44.25,44.68
20160428,44.50,44.90,44.46,44.63
20160429,44.53,44.86,44.50,44.80
20160502,44.57,45.19,44.57,44.98
20160503,44.87,45.07,44.65,44.84
20160504,44.72,45.11,44.51,44.98
20160505,44.93,45.49,44.87,45.06
20160506,45.06,45.41,44.92,45.32
20160509,45.32,45.50,45.17,45.24
20160510,45.44,45.84,45.42,45.75
20160511,45.73,45.88,45.45,45.46
20160512,45.55,45.90,45.49,45.83
20160513,45.75,45.83,45.23,45.35
20160516,45.16,45.73,45.14,45.62
20160517,45.45,45.56,44.71,44.75
20160518,44.56,44.83,44.23,44.48
20160519,44.25,44.39,44.04,44.32
20160520,44.51,44.54,43.94,43.95
20160523,44.07,44.16,43.94,43.97
20160524,44.10,44.42,44.00,44.37
20160525,44.51,44.63,44.25,44.38
20160526,44.53,44.77,44.44,44.69
20160527,44.71,44.96,44.65,44.78
20160531,44.98,44.98,44.26,44.60
20160601,44.60,44.78,44.49,44.70
20160602,44.70,44.72,44.50,44.72
20160603,44.75,45.05,44.68,45.04
20160606,45.09,45.48,45.08,45.37
20160607,45.35,45.48,45.20,45.32
20160608,45.24,45.66,45.19,45.55
20160609,45.33,45.80,45.31,45.76
20160610,45.62,46.01,45.56,45.99
20160613,45.48,45.67,45.09,45.12
20160614,44.85,45.13,44.44,45.04
20160615,45.12,45.34,44.88,45.01
20160616,44.87,45.34,44.72,45.31
20160617,45.17,45.22,44.38,44.79
20160620,45.09,45.31,44.96,44.98
20160621,45.16,45.28,45.00,45.13
20160622,45.25,45.33,44.81,44.86
20160623,45.03,45.17,44.84,45.08
20160624,44.20,44.56,43.82,43.93
20160627,43.67,43.89,43.32,43.78
20160628,44.06,44.19,43.67,44.18
20160629,44.39,44.71,44.24,44.44
20160630,44.52,45.33,44.49,45.33
20160701,45.33,45.41,45.07,45.12
20160705,45.16,45.67,45.15,45.43
20160706,45.50,45.55,44.92,45.27
20160707,45.42,45.52,44.97,45.09
20160708,45.30,45.52,45.07,45.38
20160711,45.35,45.77,45.11,45.57
20160712,45.64,45.71,45.18,45.58
20160713,45.61,45.76,45.43,45.74
20160714,45.73,45.94,45.58,45.69
20160715,45.88,45.90,45.44,45.63
20160718,45.69,45.70,45.48,45.63
20160719,45.46,45.71,45.43,45.63
20160720,45.75,45.77,45.39,45.51
20160721,45.34,45.51,45.26,45.45
20160722,45.50,45.84,45.46,45.83
20160725,45.81,45.83,45.47,45.57
20160726,45.53,45.65,44.83,44.88
20160727,43.90,44.06,43.10,43.40
20160728,43.27,43.69,43.22,43.65
20160729,43.72,43.75,43.48,43.63
20160801,43.69,43.83,43.43,43.45
20160802,43.35,43.58,43.31,43.53
20160803,43.66,43.70,43.37,43.64
20160804,43.56,43.80,43.40,43.51
20160805,43.65,43.75,43.41,43.48
20160808,43.43,43.52,43.22,43.44
20160809,43.50,43.64,43.38,43.47
20160810,43.64,43.69,43.50,43.61
20160811,43.72,43.87,43.62,43.75
20160812,43.91,44.19,43.79,44.03
20160815,44.10,44.33,44.01,44.24
20160816,44.25,44.25,43.83,43.83
20160817,44.01,44.07,43.78,44.06
20160818,44.01,44.26,44.00,44.10
20160819,44.05,44.06,43.74,43.92
20160822,43.94,43.95,43.73,43.74
20160823,43.85,43.98,43.74,43.85
20160824,43.82,43.94,43.66,43.85
20160825,43.85,43.94,43.63,43.67
20160826,43.72,43.92,43.31,43.32
20160829,43.34,43.61,43.33,43.54
20160830,43.46,43.53,43.12,43.24
20160831,43.43,43.46,43.08,43.43
20160901,43.21,43.41,43.20,43.35
20160902,43.52,43.83,43.47,43.66
20160906,43.74,43.80,43.40,43.79
20160907,43.72,43.80,43.53,43.64
20160908,43.67,43.73,43.45,43.63
20160909,43.43,43.43,42.27,42.27
20160912,42.36,43.23,42.34,43.19
20160913,42.77,42.77,42.21,42.28
20160914,42.27,42.41,41.99,42.11
20160915,42.01,42.39,41.88,42.36
20160916,42.17,42.26,41.97,42.14
20160919,42.16,42.37,42.08,42.10
20160920,42.31,42.53,42.24,42.34
20160921,42.28,42.61,42.10,42.53
20160922,42.71,43.01,42.69,42.96
20160923,42.81,42.94,42.65,42.74
20160926,42.71,42.72,42.01,42.05
20160927,42.19,42.63,42.00,42.59
20160928,42.63,42.76,42.03,42.15
20160929,42.02,42.39,41.85,42.03
20160930,42.21,42.50,42.06,42.32
20161003,42.31,42.31,41.89,42.03
20161004,42.34,42.34,41.78,41.84
20161005,41.93,42.07,41.67,41.81
20161006,41.68,41.94,41.58,41.71
20161007,41.83,41.94,41.57,41.73
20161010,41.92,41.99,41.60,41.73
20161011,41.66,41.70,41.40,41.54
20161012,41.63,41.84,41.50,41.78
20161013,41.65,41.89,41.51,41.76
20161014,41.85,41.91,41.62,41.67
20161017,41.73,41.86,41.57,41.60
20161018,41.81,42.00,41.73,41.97
20161019,41.93,42.12,41.81,42.05
20161020,41.97,42.11,41.89,41.93
20161021,41.85,42.17,41.68,42.13
20161024,42.32,42.77,42.25,42.56
20161025,42.64,42.88,42.43,42.54
20161026,43.00,43.03,42.41,42.44
20161027,42.63,42.65,41.90,42.12
20161028,42.26,42.47,42.10,42.23
20161031,42.12,42.41,42.12,42.40
20161101,42.40,42.43,41.91,42.12
20161102,42.10,42.34,42.01,42.05
20161103,42.22,42.22,41.96,42.03
20161104,41.85,42.04,41.69,41.69
20161107,42.04,42.50,42.04,42.46
20161108,42.37,42.98,42.37,42.88
20161109,41.76,42.32,41.70,42.27
20161110,41.86,42.26,40.85,40.94
20161111,40.95,41.13,40.63,41.03
20161114,41.13,41.42,40.85,41.17
20161115,41.18,41.52,41.17,41.44
20161116,41.40,41.65,41.16,41.26
20161117,41.28,41.30,41.00,41.12
20161118,41.03,41.20,40.90,40.91
20161121,40.91,41.36,40.73,41.36
20161122,41.45,41.70,41.24,41.37
20161123,41.22,41.31,41.03,41.12
20161125,41.39,41.58,41.24,41.53
20161128,41.51,41.79,41.27,41.75
20161129,41.52,41.52,41.14,41.15
20161130,41.00,41.20,40.35,40.35
20161201,40.31,40.39,39.88,40.17
20161202,40.30,40.49,40.19,40.36
20161205,40.34,40.69,40.31,40.62
20161206,40.75,40.77,40.42,40.57
20161207,40.54,41.29,40.51,41.29
20161208,41.07,41.21,40.85,40.98
20161209,41.50,42.22,41.29,42.00
20161212,42.00,42.01,41.72,41.90
20161213,41.72,41.96,41.54,41.76
20161214,41.89,41.99,41.06,41.21
20161215,41.10,41.81,41.10,41.55
20161216,41.61,41.76,41.48,41.74
20161219,41.69,41.80,41.58,41.67
20161220,41.70,41.72,41.44,41.66
20161221,41.60,41.83,41.52,41.57
20161222,41.57,41.62,41.08,41.55
20161223,41.62,41.69,41.35,41.60
20161227,41.56,41.76,41.54,41.61
20161228,41.49,41.67,41.39,41.39
20161229,41.38,41.69,41.38,41.60
20161230,41.69,41.84,41.35,41.46
20170103,41.50,41.81,41.28,41.80
20170104,41.88,41.97,41.59,41.65
20170105,41.66,41.86,41.53,41.75
20170106,41.70,41.81,41.54,41.74
20170109,41.23,41.58,41.21,41.32
20170110,41.44,41.44,40.86,41.04
20170111,40.85,41.12,40.83,41.05
20170112,41.01,41.04,40.80,40.95
20170113,41.00,41.04,40.69,40.88
20170117,40.84,41.30,40.80,41.22
20170118,41.25,41.38,41.14,41.29
20170119,41.14,41.29,41.03,41.14
20170120,41.27,41.44,41.13,41.32
20170123,41.31,41.50,41.21,41.43
20170124,41.47,41.97,41.47,41.90
20170125,41.94,42.25,41.90,42.12
20170126,42.03,42.11,41.79,41.81
20170127,41.91,41.95,41.42,41.45
20170130,41.30,41.48,41.21,41.38
20170131,41.39,41.69,41.36,41.57
20170201,41.52,41.66,41.25,41.26
20170202,41.41,41.49,41.25,41.40
20170203,41.58,41.79,41.46,41.54
20170206,41.53,41.67,41.40,41.56
20170207,41.70,41.98,41.67,41.90
20170208,41.91,42.15,41.84,42.02
20170209,42.02,42.02,40.72,41.25
20170210,41.02,41.20,40.55,40.58
20170213,40.77,40.83,40.50,40.62
20170214,40.38,40.60,40.22,40.53
20170215,40.42,40.63,40.40,40.44
20170216,40.55,41.28,40.50,41.20
20170217,41.13,41.36,41.05,41.23
20170221,41.20,41.50,41.20,41.46
20170222,41.51,41.68,41.40,41.60
20170223,41.67,42.00,41.62,41.66
20170224,41.70,41.91,41.60,41.78
20170227,41.75,41.75,41.59,41.67
20170228,41.68,42.07,41.64,41.96
20170301,42.01,42.35,41.88,42.16
20170302,42.08,42.56,42.07,42.47
20170303,42.47,42.49,42.25,42.48
20170306,42.34,42.43,42.12,42.18
20170307,42.00,42.24,41.95,41.99
20170308,42.00,42.03,41.74,41.99
20170309,42.09,42.11,41.92,42.03
20170310,42.23,42.40,42.15,42.29
20170313,41.92,42.12,41.84,42.03
20170314,41.98,42.10,41.83,41.97
20170315,41.98,42.28,41.97,42.12
20170316,42.03,42.39,41.90,42.25
20170317,42.28,42.35,42.01,42.03
20170320,42.10,42.34,42.07,42.18
20170321,42.31,42.63,42.21,42.50
20170322,42.56,42.70,42.25,42.38
20170323,42.21,42.39,42.06,42.17
20170324,42.23,42.25,41.91,42.12
20170327,42.11,42.34,42.05,42.32
20170328,42.24,42.56,42.24,42.43
20170329,42.51,42.53,42.29,42.42
20170330,42.35,42.62,42.26,42.60
20170331,42.55,42.65,42.43,42.44
20170403,42.58,42.63,42.27,42.41
20170404,42.51,42.69,42.37,42.68
20170405,42.65,42.86,42.53,42.57
20170406,42.58,42.76,42.47,42.67
20170407,42.64,42.74,42.51,42.61
20170410,42.73,42.80,42.56,42.69
20170411,42.68,42.75,42.52,42.66
20170412,42.54,42.99,42.51,42.94
20170413,42.87,43.08,42.78,42.79
20170417,42.79,43.07,42.78,43.07
20170418,43.11,43.59,43.09,43.48
20170419,43.74,43.79,43.19,43.23
20170420,43.20,43.30,43.05,43.09
20170421,42.98,43.10,42.89,43.07
20170424,43.24,43.43,43.15,43.28
20170425,42.85,43.43,42.82,43.11
20170426,43.06,43.43,42.98,43.24
20170427,43.17,43.28,42.92,43.01
20170428,42.96,43.20,42.85,43.15
20170501,43.15,43.50,43.10,43.22
20170502,43.22,43.44,43.16,43.39
20170503,43.33,43.49,43.15,43.32
20170504,43.42,43.81,43.40,43.66
20170505,43.79,43.84,43.56,43.69
20170508,43.59,43.91,43.54,43.89
20170509,43.89,43.89,43.38,43.51
20170510,43.48,43.62,43.36,43.57
20170511,43.49,43.68,43.43,43.67
20170512,43.64,43.68,43.46,43.59
20170515,43.46,43.76,43.46,43.73
20170516,43.87,44.11,43.77,43.85
20170517,43.85,44.17,43.71,43.93
20170518,43.87,43.96,43.64,43.80
20170519,43.85,44.00,43.76,43.90
20170522,43.89,44.22,43.81,44.18
20170523,44.25,44.60,44.21,44.39
20170524,44.51,45.09,44.51,45.03
20170525,45.00,45.48,44.97,45.41
20170526,45.35,45.56,45.33,45.39
20170530,45.16,45.46,45.11,45.43
20170531,45.43,45.70,45.37,45.47
20170601,45.45,45.79,45.23,45.79
20170602,45.83,45.89,45.61,45.89
20170605,45.78,45.99,45.69,45.99
20170606,45.90,46.06,45.78,45.98
20170607,45.50,45.70,45.35,45.51
20170608,45.51,45.51,45.03,45.13
20170609,45.06,45.35,44.97,45.32
20170612,45.32,45.48,45.20,45.33
20170613,45.00,45.11,44.80,45.03
20170614,45.18,45.47,45.16,45.30
20170615,45.18,45.34,45.04,45.25
20170616,45.31,45.35,45.01,45.31
20170619,45.35,45.38,45.10,45.38
20170620,45.35,45.87,45.32,45.61
20170621,45.62,45.68,45.17,45.22
20170622,45.17,45.28,45.03,45.07
20170623,45.05,45.38,45.03,45.25
20170626,45.32,45.51,45.30,45.43
20170627,45.34,45.40,45.00,45.05
20170628,45.25,45.50,45.23,45.32
20170629,45.13,45.24,44.65,44.83
20170630,44.89,45.12,44.85,44.85
20170703,45.11,45.27,44.76,44.76
20170705,44.79,44.99,44.73,44.82
20170706,44.72,44.85,44.29,44.40
20170707,44.47,44.52,44.24,44.39
20170710,44.45,44.58,44.23,44.38
20170711,44.32,44.48,44.15,44.33
20170712,44.59,44.77,44.44,44.51
20170713,44.49,44.53,44.37,44.43
20170714,44.52,44.72,44.50,44.68
20170717,44.66,44.79,44.61,44.73
20170718,44.78,44.85,44.62,44.67
20170719,44.67,44.84,44.55,44.83
20170720,44.90,44.98,44.75,44.82
20170721,44.78,45.07,44.67,45.03
20170724,45.04,45.05,44.83,44.84
20170725,45.02,45.29,44.94,45.24
20170726,44.55,45.79,44.31,45.74
20170727,45.80,46.43,45.70,46.12
20170728,46.00,46.12,45.73,46.01
20170731,46.00,46.08,45.79,45.84
20170801,45.97,46.06,45.65,45.70
20170802,45.60,46.00,45.38,45.59
20170803,45.65,45.95,45.63,45.67
20170804,45.67,45.76,45.47,45.50
20170807,45.52,45.76,45.50,45.64
20170808,45.64,45.82,45.55,45.60
20170809,45.56,45.66,45.33,45.59
20170810,45.56,45.84,45.46,45.74
20170811,45.86,45.90,45.57,45.59
20170814,45.67,45.94,45.62,45.80
20170815,45.80,46.25,45.80,46.19
20170816,46.15,46.34,46.12,46.20
20170817,46.12,46.33,45.85,45.86
20170818,45.80,45.90,45.63,45.67
20170821,45.67,45.80,45.56,45.68
20170822,45.70,45.75,45.54,45.60
20170823,45.63,45.66,45.44,45.54
20170824,45.54,45.61,45.31,45.41
20170825,45.60,45.76,45.56,45.57
20170828,45.63,45.69,45.38,45.42
20170829,45.40,45.57,45.25,45.45
20170830,45.36,45.54,45.29,45.39
20170831,45.40,45.65,45.34,45.55
20170901,45.64,45.80,45.54,45.78
20170905,45.75,45.93,45.65,45.92
