Date,Open,High,Low,Close
20151127,37.37,38.17,37.24,38.01
20151130,38.05,38.25,37.51,37.66
20151201,38.01,38.35,37.85,38.20
20151202,38.24,38.34,37.90,38.11
20151203,38.72,40.33,38.36,39.91
20151204,39.90,40.58,39.68,40.55
20151207,40.88,41.68,40.84,41.43
20151208,41.28,41.60,40.80,41.41
20151209,41.11,41.65,40.71,41.25
20151210,41.36,41.60,41.06,41.13
20151211,40.72,41.45,40.72,41.08
20151214,41.23,41.87,41.11,41.86
20151215,42.09,42.58,41.92,42.31
20151216,42.48,42.56,41.85,42.43
20151217,42.37,42.38,41.93,41.94
20151218,41.56,41.73,40.64,40.64
20151221,41.06,41.24,40.64,41.21
20151222,41.48,42.14,41.41,42.10
20151223,42.28,42.46,42.03,42.31
20151224,42.31,42.67,42.27,42.46
20151228,42.30,42.60,42.15,42.45
20151229,42.59,42.67,42.33,42.64
20151230,42.69,42.75,42.26,42.31
20151231,42.09,42.14,41.67,41.83
20160104,41.16,41.27,40.67,41.16
20160105,41.29,42.11,41.26,42.09
20160106,41.76,42.42,41.75,42.05
20160107,41.33,41.52,40.88,41.07
20160108,41.26,41.35,40.65,40.80
20160111,41.08,41.44,40.86,41.28
20160112,41.53,41.69,40.67,41.24
20160113,41.21,41.34,39.14,39.20
20160114,39.58,39.62,38.24,39.03
20160115,38.17,38.81,38.06,38.49
20160119,38.65,38.83,37.79,38.19
20160120,37.68,38.08,36.44,37.85
20160121,37.87,37.87,36.92,37.15
20160122,37.55,37.89,36.83,37.12
20160125,37.26,37.35,36.58,36.67
20160126,36.66,36.97,36.50,36.78
20160127,36.89,37.89,36.81,37.46
20160128,37.54,37.98,37.27,37.82
20160129,38.00,38.84,37.89,38.81
20160201,38.74,40.26,38.61,40.11
20160202,39.75,40.23,39.52,40.15
20160203,40.29,40.47,39.56,40.18
20160204,39.72,39.89,38.85,38.96
20160205,39.00,39.14,37.47,37.63
20160208,37.08,37.15,35.42,36.82
20160209,36.26,37.10,36.26,36.73
20160210,36.74,37.76,36.66,36.85
20160211,36.42,36.99,35.78,36.43
20160212,37.14,38.34,36.91,38.33
20160216,38.64,39.02,38.13,38.49
20160217,38.50,39.55,38.40,39.42
20160218,39.00,39.25,37.70,38.06
20160219,37.79,38.12,37.42,37.82
20160222,38.10,38.43,37.85,38.27
20160223,38.12,38.97,37.93,38.78
20160224,38.44,38.77,38.10,38.70
20160225,38.88,39.51,38.75,39.46
20160226,39.55,39.95,39.20,39.45
20160229,39.70,40.46,39.60,39.91
20160301,40.36,40.74,39.91,40.62
20160302,40.68,40.91,40.45,40.65
20160303,37.81,38.44,36.89,37.80
20160304,37.62,37.70,36.46,36.84
20160307,36.59,37.65,36.54,37.05
20160308,36.93,37.68,36.85,37.02
20160309,37.10,38.06,37.09,37.81
20160310,37.81,37.96,37.25,37.73
20160311,37.90,38.68,37.88,38.64
20160314,38.43,38.85,37.98,38.39
20160315,38.01,38.46,37.66,38.14
20160316,37.87,38.69,37.82,38.61
20160317,38.45,38.56,37.98,38.09
20160318,38.14,38.88,38.00,38.56
20160321,38.38,38.60,38.09,38.13
20160322,38.18,38.32,37.69,37.95
20160323,37.92,38.02,37.35,37.59
20160324,37.20,37.69,37.10,37.65
20160328,37.64,38.09,37.53,38.06
20160329,37.81,38.15,37.74,38.03
