Date,Open,High,Low,Close
20151127,48.82,49.00,47.66,48.07
20151130,48.22,48.44,46.57,47.13
20151201,47.27,47.91,46.95,47.22
20151202,47.42,47.72,46.18,46.42
20151203,46.62,47.42,45.91,47.39
20151204,47.18,48.12,46.86,48.08
20151207,47.36,47.77,46.65,47.45
20151208,46.90,47.85,46.77,47.20
20151209,46.86,47.99,46.60,47.13
20151210,47.45,48.67,47.31,48.18
20151211,47.71,48.05,46.09,46.24
20151214,46.42,47.90,46.32,46.76
20151215,46.87,47.64,46.09,46.21
20151216,46.42,47.16,45.32,45.97
20151217,46.10,46.19,44.06,44.45
20151218,44.25,44.88,44.06,44.41
20151221,45.02,45.79,44.31,45.71
20151222,45.92,47.36,45.65,47.07
20151223,47.24,47.94,46.98,47.40
20151224,47.29,47.71,47.10,47.13
20151228,46.83,47.37,46.59,47.24
20151229,47.65,49.53,47.64,48.81
20151230,48.67,49.33,48.21,48.39
20151231,48.16,48.77,47.62,47.63
20160104,46.91,49.56,46.35,49.55
20160105,49.74,50.23,49.35,49.78
20160106,49.02,50.18,48.91,50.05
20160107,49.40,52.06,49.25,50.86
20160108,50.82,51.30,47.55,47.88
20160111,49.29,50.75,48.41,50.08
20160112,50.39,51.63,49.44,50.23
20160113,49.48,50.71,48.90,49.98
20160114,50.08,50.55,48.71,49.20
20160115,48.17,48.56,47.26,48.15
20160119,48.66,48.66,45.96,46.38
20160120,45.44,45.95,44.19,45.65
20160121,45.74,47.48,45.46,46.99
20160122,47.16,48.22,47.16,48.16
20160125,48.19,48.37,47.23,47.36
20160126,47.56,48.98,47.34,48.59
20160127,48.62,49.71,48.46,48.71
20160128,48.98,49.09,47.19,47.99
20160129,48.40,49.88,48.09,49.75
20160201,49.07,49.40,47.41,49.08
20160202,49.68,50.56,48.85,50.38
20160203,50.47,51.39,49.26,51.13
20160204,51.13,51.13,40.95,41.52
20160205,41.03,42.88,40.94,42.06
20160208,41.51,43.80,41.48,42.61
20160209,42.34,42.99,41.11,41.40
20160210,41.49,41.53,39.44,40.09
20160211,39.72,40.50,39.23,39.69
20160212,39.91,40.88,39.45,40.81
20160216,41.52,42.82,41.19,42.62
20160217,42.82,44.13,42.60,43.90
20160218,43.84,45.03,43.21,44.82
20160219,44.29,44.86,43.34,44.38
20160222,44.47,45.50,44.47,44.95
20160223,45.35,45.49,44.73,44.94
20160224,44.79,45.65,43.94,45.46
20160225,47.01,47.21,44.20,46.67
20160226,47.07,47.40,46.15,46.82
20160229,46.41,46.90,45.82,46.67
20160301,46.90,47.25,45.73,46.51
20160302,46.40,47.23,46.28,46.64
20160303,46.40,46.98,46.04,46.74
20160304,46.75,47.64,46.12,47.48
20160307,47.32,49.18,47.00,48.59
20160308,48.65,49.11,48.17,48.70
20160309,49.02,49.82,48.74,49.07
20160310,49.53,49.75,48.73,49.46
20160311,49.96,49.96,48.77,49.08
20160314,48.87,49.75,48.80,49.46
20160315,49.15,49.68,47.35,47.70
20160316,47.73,48.02,47.42,47.73
20160317,47.86,48.46,47.59,48.25
20160318,48.41,48.95,47.80,48.17
20160321,48.31,48.49,47.91,47.91
20160322,47.88,48.08,46.38,47.07
20160323,46.84,47.12,46.49,46.71
20160324,46.26,46.31,45.57,45.93
20160328,46.05,47.31,46.00,46.79
20160329,46.99,47.02,46.11,46.55
20160330,46.49,46.76,45.76,46.05
20160331,45.85,46.70,45.30,46.61
20160401,46.47,46.69,45.48,45.74
20160404,45.92,46.41,44.98,45.10
20160405,44.95,45.22,44.41,44.91
20160406,45.21,45.22,44.14,44.86
20160407,44.58,44.86,43.68,43.99
20160408,44.02,44.29,43.06,43.37
20160411,43.44,43.69,42.50,42.54
20160412,42.44,42.99,41.72,42.68
20160413,42.86,43.45,42.59,43.25
20160414,43.25,43.40,42.50,42.90
20160415,42.90,43.40,42.65,43.37
20160418,43.00,44.09,43.00,44.09
20160419,44.14,44.92,44.12,44.85
20160420,45.00,46.26,44.99,46.13
20160421,46.20,46.50,45.24,45.43
20160422,45.27,46.05,45.22,45.46
20160425,45.24,45.54,44.42,44.96
20160426,45.00,45.77,44.64,45.76
20160427,45.69,46.19,45.16,45.98
20160428,45.52,46.18,45.42,45.51
