Date,Open,High,Low,Close
20151127,91.65,92.72,91.15,92.26
20151130,92.44,92.71,90.74,90.92
20151201,91.02,91.97,90.66,91.63
20151202,91.18,91.18,84.06,85.12
20151203,84.97,85.49,81.54,82.69
20151204,81.75,82.41,80.61,81.98
20151207,81.57,81.96,79.37,79.47
20151208,78.36,78.36,76.64,76.71
20151209,76.36,77.39,75.14,76.11
20151210,76.09,76.82,74.52,74.69
20151211,74.22,75.68,74.00,74.63
20151214,74.50,75.35,73.25,74.08
20151215,74.36,74.90,73.04,73.72
20151216,73.95,76.05,73.60,75.84
20151217,75.78,76.41,71.85,71.92
20151218,71.39,71.57,69.79,70.01
20151221,70.69,71.00,69.70,70.13
20151222,70.60,72.38,70.18,71.89
20151223,72.30,74.19,72.01,73.88
20151224,73.68,74.34,73.27,73.77
20151228,73.52,74.04,72.90,73.54
20151229,73.41,74.86,73.30,74.41
20151230,73.93,74.90,73.35,74.27
20151231,73.57,75.99,73.53,74.67
20160104,73.18,74.58,72.87,73.72
20160105,74.03,74.36,73.18,73.98
20160106,73.18,74.00,70.39,70.58
20160107,69.48,70.44,69.03,69.17
20160108,69.44,70.41,68.81,69.73
20160111,70.01,70.54,68.66,69.77
20160112,70.30,71.43,69.52,71.27
20160113,71.49,71.62,67.74,68.36
20160114,68.45,69.44,67.31,68.42
20160115,66.30,68.06,66.30,67.66
20160119,68.63,68.63,65.39,65.88
20160120,64.60,65.37,62.21,64.35
20160121,63.48,65.03,62.20,64.54
20160122,70.28,72.21,66.06,67.41
20160125,67.13,67.18,64.62,65.20
20160126,65.85,68.11,65.47,67.47
20160127,67.64,68.80,66.67,67.06
20160128,68.22,69.92,67.96,69.35
20160129,69.64,71.76,69.08,70.88
20160201,70.00,72.52,69.86,72.27
20160202,71.41,71.82,69.94,69.99
20160203,70.74,71.39,69.60,71.35
20160204,71.32,76.33,71.32,75.68
20160205,75.53,76.51,74.86,75.71
20160208,74.62,77.82,73.50,77.26
20160209,76.49,79.57,76.02,78.59
20160210,79.03,79.58,77.27,78.25
20160211,76.85,78.08,75.37,77.54
20160212,78.78,79.97,77.50,79.40
20160216,80.30,81.18,79.02,80.63
20160217,81.17,82.74,80.98,82.67
20160218,82.33,82.41,80.01,80.50
20160219,80.19,82.81,79.61,82.71
20160222,83.50,84.76,82.70,83.01
20160223,81.74,82.63,80.15,81.30
20160224,80.33,81.40,79.07,81.17
20160225,81.41,82.46,79.88,82.34
20160226,83.60,85.27,82.70,83.93
20160229,83.72,83.97,81.54,81.71
20160301,82.52,84.88,82.04,84.38
20160302,84.49,85.62,84.03,85.55
20160303,85.44,86.68,84.49,86.42
20160304,86.25,88.00,85.59,86.65
20160307,86.07,86.55,84.81,86.53
20160308,86.12,87.03,83.29,83.79
20160309,84.47,85.08,82.99,83.44
20160310,83.78,85.30,81.43,82.43
20160311,83.14,85.41,82.74,85.32
20160314,85.00,86.43,84.59,86.04
20160315,84.94,85.00,82.81,84.60
20160316,84.56,85.60,83.56,84.92
20160317,85.14,87.46,84.23,87.35
20160318,87.37,88.84,87.27,87.51
20160321,87.51,88.00,86.35,86.52
20160322,85.85,86.14,85.06,85.45
20160323,85.31,86.23,84.60,85.35
20160324,84.45,85.39,83.58,84.94
20160328,84.83,85.05,83.14,83.93
20160329,83.33,85.41,82.87,85.32
20160330,85.69,86.27,84.52,85.80
