Date,Open,High,Low,Close
20151127,37.79,37.91,37.58,37.72
20151130,37.75,38.14,37.53,37.89
20151201,38.05,38.34,37.51,38.31
20151202,38.27,38.40,38.14,38.25
20151203,38.34,38.34,37.39,37.50
20151204,37.53,38.54,37.46,38.41
20151207,38.28,38.46,38.11,38.33
20151208,38.00,38.27,37.83,38.02
20151209,37.85,38.29,37.08,37.20
20151210,37.17,38.03,37.17,37.80
20151211,37.27,37.36,36.87,36.92
20151214,36.99,37.26,36.61,36.77
20151215,37.23,37.56,36.99,37.41
20151216,37.67,37.83,37.23,37.76
20151217,37.78,37.85,36.95,36.96
20151218,36.88,36.88,36.28,36.68
20151221,36.81,37.06,36.66,37.04
20151222,37.14,37.87,36.86,37.80
20151223,38.05,38.55,37.92,38.47
20151224,38.50,38.61,38.18,38.47
20151228,38.28,38.42,38.19,38.34
20151229,38.64,38.86,38.50,38.80
20151230,38.70,38.88,38.45,38.51
20151231,38.37,38.73,38.19,38.40
20160104,37.75,37.82,37.15,37.78
20160105,37.76,38.01,37.70,37.89
20160106,37.28,37.41,36.79,37.05
20160107,36.32,36.82,36.13,36.16
20160108,36.36,36.53,35.86,35.90
20160111,36.08,36.19,35.53,35.85
20160112,36.14,36.26,35.51,35.90
20160113,35.98,36.18,35.07,35.18
20160114,35.31,36.01,35.17,35.78
20160115,34.92,35.54,34.92,35.45
20160119,35.92,35.92,34.73,35.07
20160120,34.40,34.76,34.08,34.27
20160121,34.22,34.81,34.20,34.38
20160122,34.99,35.15,34.53,35.00
20160125,34.91,34.95,34.15,34.21
20160126,34.35,34.86,34.26,34.63
20160127,34.80,35.91,34.75,35.54
20160128,35.90,36.15,35.49,35.97
20160129,36.21,37.03,36.14,37.01
20160201,36.80,37.19,36.55,36.98
20160202,36.58,36.69,36.10,36.22
20160203,36.51,36.57,35.39,36.30
20160204,36.30,36.65,36.04,36.55
20160205,36.50,36.74,36.15,36.29
20160208,33.87,36.55,33.84,36.32
20160209,35.90,36.62,35.71,36.38
20160210,36.54,36.96,36.25,36.28
20160211,35.38,35.83,35.19,35.54
20160212,35.58,36.11,35.41,35.86
20160216,36.66,36.66,36.08,36.53
20160217,36.86,37.51,36.86,37.39
20160218,37.41,37.51,37.15,37.23
20160219,37.13,37.17,36.88,36.92
20160222,37.33,37.51,37.25,37.45
20160223,37.27,37.49,36.42,36.50
20160224,36.04,36.23,35.79,36.18
20160225,36.19,36.44,35.99,36.44
20160226,36.60,37.19,36.32,36.62
20160229,36.54,36.73,36.26,36.35
20160301,36.73,37.40,36.60,37.26
20160302,37.32,37.54,37.13,37.38
20160303,37.39,37.70,37.27,37.68
20160304,37.71,38.06,37.52,37.87
20160307,37.51,37.67,37.31,37.39
20160308,37.08,37.16,36.65,36.67
20160309,36.95,36.95,36.23,36.37
20160310,36.52,36.67,36.05,36.59
20160311,36.94,37.76,36.83,37.72
20160314,37.56,37.77,36.63,37.63
20160315,37.12,37.63,37.12,37.61
20160316,37.57,37.87,37.43,37.77
20160317,37.75,38.86,37.65,38.76
20160318,38.92,39.40,38.78,39.37
20160321,39.19,39.46,39.06,39.34
20160322,39.20,39.62,39.07,39.25
20160323,39.22,39.32,38.62,38.64
20160324,38.36,38.53,38.19,38.36
20160328,38.30,38.51,38.26,38.37
20160329,38.28,38.38,37.99,38.27
20160330,38.57,38.82,38.44,38.55
20160331,38.49,38.60,38.07,38.26
20160401,38.07,38.58,37.91,38.53
20160404,38.60,38.63,37.91,37.96
