Date,Open,High,Low,Close
20151127,97.06,97.43,95.79,96.68
20151130,97.01,97.58,94.90,95.41
20151201,95.84,96.40,95.15,96.03
20151202,96.32,96.70,95.50,96.10
20151203,96.52,97.67,94.93,95.87
20151204,96.04,99.59,96.04,99.47
20151207,99.41,99.49,97.71,98.25
20151208,97.57,98.72,97.10,98.26
20151209,98.00,99.83,96.93,97.64
20151210,97.99,99.27,97.69,97.86
20151211,97.10,97.97,96.15,96.56
20151214,96.83,97.80,95.81,97.21
20151215,98.00,98.98,96.97,96.97
20151216,97.73,98.72,96.98,98.35
20151217,98.35,98.67,96.55,96.58
20151218,96.58,97.19,95.57,95.77
20151221,96.13,96.50,94.35,94.95
20151222,95.35,96.93,94.90,96.53
20151223,96.79,97.93,96.16,97.59
20151224,97.32,97.47,96.49,96.82
20151228,96.53,97.10,95.94,96.66
20151229,97.46,98.71,97.10,97.88
20151230,97.97,98.06,96.60,96.67
20151231,96.52,96.95,95.80,95.82
20160104,94.60,94.72,93.31,94.00
20160105,94.43,96.87,94.05,96.49
20160106,95.34,96.32,93.70,94.64
20160107,94.00,97.33,93.90,96.52
20160108,96.95,97.39,92.84,93.23
20160111,93.64,94.62,92.30,93.02
20160112,94.23,96.80,93.95,95.12
20160113,95.32,95.79,92.06,92.25
20160114,92.18,94.79,90.67,94.20
20160115,92.39,93.65,90.90,92.34
20160119,93.18,94.27,92.19,93.15
20160120,91.81,92.54,88.66,90.78
20160121,90.95,93.71,90.39,93.38
20160122,94.32,96.01,93.64,95.92
20160125,95.81,96.39,94.93,95.27
20160126,95.34,96.78,94.85,95.66
20160127,95.63,95.77,93.29,93.97
20160128,94.96,95.40,93.37,94.48
20160129,95.45,96.80,95.04,96.15
20160201,95.72,97.14,95.34,96.56
20160202,96.20,97.35,94.49,95.20
20160203,95.74,95.94,93.53,95.17
20160204,91.40,93.00,88.53,88.57
20160205,88.13,88.13,84.59,85.06
20160208,84.61,84.77,79.93,81.11
20160209,80.83,83.57,80.82,82.31
20160210,82.66,84.64,82.50,84.03
20160211,82.81,85.05,82.81,84.00
20160212,84.00,85.60,79.35,81.87
20160216,82.84,83.32,81.55,83.31
20160217,81.34,82.66,81.28,81.85
20160218,81.22,83.83,80.71,83.70
20160219,83.22,84.07,82.28,83.94
20160222,83.94,84.48,83.04,83.95
20160223,83.91,84.76,83.27,83.92
20160224,83.70,83.85,81.87,83.19
20160225,81.15,85.93,81.04,85.67
20160226,85.52,86.23,84.24,84.38
20160229,84.40,85.90,83.59,84.79
20160301,85.39,86.93,84.63,86.93
20160302,86.39,87.49,86.01,87.17
20160303,87.21,87.25,85.15,86.68
20160304,87.01,87.93,86.79,87.50
20160307,87.14,88.14,85.37,85.89
20160308,85.71,86.62,85.45,85.94
20160309,86.19,86.34,85.20,85.72
20160310,86.32,87.03,85.35,86.33
20160311,87.00,87.14,85.76,86.32
20160314,85.96,86.79,85.84,86.56
20160315,86.38,87.82,86.28,87.00
20160316,86.77,87.45,86.31,87.09
20160317,85.92,87.03,85.51,86.77
20160318,87.07,88.77,86.87,87.82
20160321,87.80,87.85,86.61,86.77
20160322,86.55,86.66,85.43,85.73
20160323,85.75,85.76,85.00,85.30
20160324,85.19,86.47,85.10,85.79
20160328,86.27,87.64,86.03,86.78
20160329,86.58,87.10,86.10,86.96
20160330,87.27,88.55,87.26,88.37
20160331,88.29,88.76,87.58,87.81
20160401,87.70,88.74,87.47,88.08
20160404,88.10,88.37,86.23,86.70
20160405,86.15,86.32,85.46,85.63
20160406,85.48,86.68,85.01,86.10
20160407,86.01,87.16,83.75,84.15
20160408,82.99,83.55,79.87,80.50
20160411,80.84,81.28,79.18,79.28
20160412,77.30,79.47,75.91,79.07
20160413,79.43,80.14,79.04,79.81
20160414,79.57,81.07,79.09,80.87
20160415,81.00,82.31,80.63,82.26
20160418,81.92,82.15,80.62,81.37
20160419,81.62,81.90,79.20,79.33
20160420,78.83,79.20,77.31,78.16
20160421,77.88,78.68,77.02,77.21
20160422,77.43,77.51,76.45,76.76
20160425,77.38,78.47,76.76,77.89
20160426,78.26,78.72,77.71,78.45
20160427,78.61,78.95,78.27,78.81
20160428,79.24,80.08,78.76,79.50
20160429,79.10,79.15,77.50,78.29
20160502,78.58,80.04,78.37,79.54
20160503,79.54,79.54,78.20,79.16
20160504,78.73,80.20,78.32,80.18
20160505,72.52,73.37,70.14,70.53
20160506,70.63,70.63,69.00,69.59
20160509,69.30,70.86,69.24,70.03
20160510,69.53,70.03,68.75,69.16
20160511,68.36,68.94,67.42,67.44
20160512,67.36,67.86,66.99,67.42
20160513,67.24,68.03,66.62,66.74
20160516,66.60,67.24,66.37,66.37
20160517,66.90,67.66,65.00,65.37
20160518,64.72,64.90,62.99,63.78
20160519,60.00,63.32,60.00,60.62
20160520,61.28,64.09,61.08,63.54
20160523,63.66,64.00,62.76,63.28
20160524,64.35,64.61,63.87,64.26
20160525,64.25,66.47,64.25,66.15
20160526,66.47,66.59,66.01,66.45
20160527,66.40,67.93,66.30,67.92
20160531,67.65,68.68,67.26,68.55
20160601,67.95,68.75,67.29,68.41
20160602,69.80,71.45,69.07,71.33
20160603,71.03,71.46,70.95,71.02
20160606,70.80,71.27,69.99,70.43
20160607,70.02,70.57,70.00,70.26
20160608,70.30,70.52,69.37,69.76
20160609,69.65,69.67,68.27,69.02
