Date,Open,High,Low,Close
20151127,57.54,57.88,57.28,57.43
20151130,57.49,58.04,57.25,57.93
20151201,58.18,59.05,57.78,59.01
20151202,59.01,59.52,58.27,58.42
20151203,58.43,58.54,57.08,57.37
20151204,57.39,59.11,57.39,59.05
20151207,58.71,58.95,57.91,58.12
20151208,57.38,58.26,57.13,57.86
20151209,57.56,57.87,56.34,56.47
20151210,56.57,57.50,56.06,57.10
20151211,56.31,56.61,55.49,55.68
20151214,55.53,56.18,54.45,55.60
20151215,56.04,57.31,56.04,57.05
20151216,57.63,57.83,56.78,57.61
20151217,57.76,58.54,57.18,57.18
20151218,57.32,57.32,55.79,55.96
20151221,56.59,56.59,54.93,55.41
20151222,55.80,55.96,55.15,55.92
20151223,56.31,57.30,56.22,57.11
20151224,57.02,57.53,56.88,57.12
20151228,57.09,57.37,56.40,57.27
20151229,57.54,58.37,57.48,57.76
20151230,57.67,58.10,57.21,57.24
20151231,57.13,57.13,56.09,56.26
20160104,55.24,55.39,53.65,54.13
20160105,54.13,56.04,54.13,55.23
20160106,54.27,54.92,53.77,54.28
20160107,53.34,53.73,52.68,52.94
20160108,53.45,53.91,52.47,52.57
20160111,52.79,53.22,52.06,52.78
20160112,53.40,55.43,53.33,55.39
20160113,55.62,55.87,53.60,53.75
20160114,53.98,56.38,53.76,55.82
20160115,54.46,55.19,53.79,54.98
20160119,55.44,59.45,54.29,56.19
20160120,55.34,55.45,52.86,54.68
20160121,55.00,55.18,53.66,53.70
20160122,54.42,55.10,54.10,54.96
20160125,54.63,54.93,53.51,53.66
20160126,51.33,51.69,48.58,48.83
20160127,48.83,49.45,45.59,46.18
20160128,46.49,46.49,43.93,45.59
20160129,45.66,46.63,45.05,46.12
20160201,45.91,46.59,45.67,45.67
20160202,45.09,45.44,44.14,44.35
20160203,45.10,45.35,43.49,44.10
20160204,43.97,45.15,43.72,44.52
20160205,44.17,44.63,42.44,42.49
20160208,41.84,42.08,40.65,41.63
20160209,41.14,42.20,41.13,41.60
20160210,42.05,42.44,41.39,41.48
20160211,40.90,41.24,40.15,40.79
20160212,41.53,42.00,41.00,41.93
20160216,42.19,43.62,42.02,43.22
20160217,43.49,44.62,42.94,44.26
20160218,44.04,45.55,41.63,42.22
