Date,Open,High,Low,Close
20151127,50.92,51.31,50.65,51.09
20151130,51.22,51.26,50.29,50.35
20151201,50.56,51.61,50.37,51.44
20151202,51.48,51.56,49.92,50.44
20151203,50.52,50.67,48.89,49.25
20151204,49.41,50.61,49.07,50.53
20151207,50.33,50.72,50.14,50.61
20151208,49.98,50.34,48.86,49.26
20151209,49.06,49.52,48.01,48.46
20151210,48.55,49.40,48.40,48.95
20151211,48.38,48.49,47.81,48.09
20151214,48.02,48.21,47.25,47.80
20151215,48.13,48.82,47.94,48.40
20151216,49.04,49.82,48.68,49.65
20151217,49.79,49.94,47.85,47.87
20151218,48.36,48.57,45.92,46.70
20151221,47.17,48.18,46.70,47.25
20151222,47.39,48.41,46.84,48.18
20151223,48.22,49.02,47.26,48.00
20151224,47.94,48.53,47.85,48.06
20151228,47.86,48.42,47.49,48.35
20151229,48.71,49.14,48.40,48.77
20151230,48.90,49.27,48.44,48.53
20151231,48.40,48.80,48.07,48.09
20160104,47.35,47.48,45.12,45.93
20160105,46.24,46.36,45.33,46.01
20160106,45.35,45.92,44.24,44.64
20160107,43.74,44.05,42.53,42.70
20160108,43.17,43.20,41.21,41.41
20160111,41.83,42.07,41.10,41.69
20160112,42.06,42.64,41.08,42.36
20160113,42.68,43.11,40.61,40.81
20160114,40.85,41.02,39.78,40.36
20160115,39.33,40.82,38.86,40.23
20160119,41.02,41.18,39.82,40.29
20160120,39.83,40.50,38.35,39.99
20160121,40.17,41.38,40.04,40.50
20160122,41.21,42.43,40.96,41.50
20160125,41.20,41.36,39.67,39.92
20160126,40.44,42.04,39.72,41.78
20160127,41.61,41.94,40.82,41.12
20160128,41.53,41.96,40.50,40.59
20160129,40.85,41.63,40.58,41.45
20160201,41.13,41.56,40.76,40.92
20160202,40.34,40.65,39.43,39.52
20160203,39.94,40.21,38.40,39.69
20160204,39.58,40.59,39.48,39.84
20160205,39.62,40.15,38.78,38.87
20160208,38.30,38.43,37.23,37.80
20160209,37.16,38.25,37.13,37.78
20160210,38.24,38.99,37.75,38.34
20160211,37.65,38.00,36.52,37.17
20160212,37.81,39.07,37.72,39.04
20160216,39.55,39.88,38.84,39.63
20160217,39.85,40.29,39.44,39.84
20160218,39.88,40.04,39.06,39.33
20160219,39.22,39.87,39.01,39.30
20160222,39.70,40.18,39.31,40.16
20160223,40.00,40.51,39.50,40.35
20160224,40.00,40.42,39.23,40.41
20160225,40.42,41.63,40.41,41.53
20160226,41.69,42.10,41.31,41.53
20160229,41.49,42.01,41.21,41.24
20160301,41.66,43.11,41.66,42.90
20160302,42.85,44.04,42.71,44.02
20160303,44.02,44.90,43.98,44.88
20160304,44.85,45.08,44.35,44.62
20160307,44.30,45.25,44.25,44.96
20160308,44.75,44.96,43.37,43.79
20160309,44.02,44.59,43.32,44.45
20160310,44.50,44.96,43.41,44.11
20160311,44.50,45.47,44.22,45.45
20160314,45.02,45.36,44.56,45.00
20160315,44.59,44.95,44.51,44.71
20160316,44.46,45.77,44.35,45.69
20160317,45.64,46.64,45.46,46.44
20160318,46.64,47.43,46.47,46.86
20160321,46.93,47.35,46.04,46.49
20160322,46.24,46.62,46.10,46.26
20160323,46.18,46.46,45.42,45.43
20160324,45.76,45.78,45.09,45.58
20160328,45.74,46.13,45.13,45.92
20160329,47.20,47.78,46.13,47.37
20160330,47.82,47.90,46.86,47.01
20160331,46.87,47.63,46.87,47.55
20160401,47.08,47.20,46.50,46.66
20160404,46.66,46.71,45.59,46.07
20160405,45.81,46.41,45.28,46.01
20160406,46.06,47.13,45.98,46.87
20160407,46.75,47.29,46.57,46.84
20160408,47.36,47.44,46.71,46.79
20160411,47.26,47.41,46.60,46.62
20160412,46.62,47.02,46.27,46.83
20160413,47.08,47.97,46.95,47.85
20160414,47.80,48.14,47.23,47.50
20160415,47.44,47.55,46.70,47.12
20160418,47.02,47.14,46.64,46.97
20160419,46.79,47.41,45.96,46.53
20160420,46.51,47.56,46.01,47.00
20160421,47.23,48.01,47.03,47.35
20160422,47.35,47.84,46.33,46.54
20160425,46.42,46.73,46.09,46.41
20160426,46.42,46.97,46.30,46.69
20160427,46.79,47.25,46.55,46.90
20160428,46.50,46.62,44.93,45.03
20160429,44.88,45.00,43.65,44.55
20160502,44.82,45.22,44.55,45.04
20160503,44.64,44.74,43.87,43.97
20160504,43.57,43.81,42.92,43.70
20160505,43.80,43.87,43.13,43.27
20160506,43.11,43.63,42.66,43.12
20160509,43.17,43.60,43.01,43.16
20160510,43.24,43.73,43.05,43.73
20160511,43.45,43.75,43.22,43.38
20160512,43.52,43.67,42.72,42.97
20160513,42.90,43.54,42.71,42.86
20160516,42.86,43.34,42.75,43.06
20160517,42.94,43.76,42.88,43.12
20160518,43.02,43.70,42.57,42.96
20160519,42.56,42.96,42.21,42.76
20160520,43.00,43.80,43.00,43.57
20160523,43.47,43.77,43.16,43.25
20160524,43.91,45.55,43.67,44.93
20160525,45.25,45.46,44.80,44.89
20160526,44.85,45.06,44.48,44.70
20160527,44.77,45.17,44.69,44.98
20160531,45.05,45.07,44.58,44.81
20160601,44.81,45.19,44.28,45.04
20160602,44.90,45.16,44.44,45.01
20160603,44.88,45.06,43.96,44.95
20160606,45.16,45.29,44.82,45.04
20160607,45.07,46.75,45.07,46.18
20160608,46.29,47.12,46.15,46.96
20160609,46.63,47.12,46.62,46.86
20160610,46.44,46.50,45.99,46.14
20160613,45.86,46.18,45.28,45.31
20160614,45.23,45.51,44.39,44.82
20160615,44.95,45.66,44.67,45.04
20160616,44.73,45.00,44.26,44.88
20160617,44.93,45.52,44.69,45.43
20160620,46.05,46.53,45.87,45.88
20160621,47.23,47.37,44.81,45.37
20160622,45.37,46.12,44.84,45.20
20160623,45.77,45.88,45.40,45.80
20160624,44.13,44.84,43.81,43.98
20160627,43.95,43.95,42.39,43.01
20160628,43.61,44.37,43.44,44.28
20160629,44.87,45.28,44.41,45.05
20160630,45.11,45.51,44.51,45.33
20160701,45.23,46.32,45.23,45.64
20160705,45.65,45.72,44.63,45.57
20160706,45.29,46.25,45.18,46.23
20160707,46.28,46.96,46.28,46.70
20160708,47.13,48.48,47.04,48.34
20160711,48.37,48.65,47.90,47.94
20160712,48.34,48.44,47.92,47.96
20160713,48.18,48.44,47.69,47.90
20160714,48.36,48.36,47.79,47.95
20160715,48.03,48.04,47.48,47.84
20160718,47.94,48.15,47.55,48.07
20160719,48.14,48.39,47.78,47.84
20160720,47.84,48.29,47.77,48.13
20160721,48.23,48.23,47.73,48.03
20160722,48.07,48.28,47.28,47.88
20160725,47.89,48.42,47.84,48.33
20160726,48.19,48.30,47.52,48.28
20160727,48.43,48.77,47.60,47.80
20160728,47.92,47.97,47.47,47.47
20160729,47.35,47.36,45.84,46.02
20160801,45.93,46.28,45.70,45.97
20160802,45.81,46.02,44.64,44.77
20160803,44.64,45.32,44.47,44.98
20160804,45.00,45.28,44.50,45.04
20160805,45.36,46.13,45.36,46.02
20160808,46.18,46.31,45.75,45.84
20160809,45.73,46.09,45.66,46.05
20160810,46.12,46.19,45.63,46.02
20160811,46.18,46.57,46.02,46.37
20160812,46.34,46.48,45.74,45.97
20160815,46.11,46.97,46.11,46.51
20160816,46.35,46.51,46.00,46.33
20160817,46.26,46.39,45.57,45.99
20160818,45.97,46.19,45.64,46.10
20160819,45.87,46.02,45.63,45.72
20160822,45.72,45.91,45.44,45.78
20160823,46.18,47.63,45.81,47.14
20160824,47.03,47.14,46.35,46.56
20160825,46.40,46.87,46.14,46.40
20160826,46.53,46.54,45.29,45.55
20160829,45.63,46.30,45.44,46.04
20160830,46.10,46.54,45.89,46.54
20160831,46.47,46.65,46.08,46.51
20160901,46.58,46.80,45.78,45.93
20160902,46.14,46.59,45.58,45.78
20160906,45.84,46.11,45.46,45.85
20160907,45.84,46.70,45.75,46.54
20160908,46.42,46.47,46.05,46.09
20160909,45.60,45.62,44.23,44.42
20160912,44.02,45.27,44.02,45.10
20160913,44.65,45.15,43.82,43.96
20160914,44.02,44.43,43.71,43.99
20160915,43.99,44.53,43.77,44.26
20160916,44.05,44.20,43.45,43.60
20160919,43.90,45.03,43.85,44.34
20160920,43.91,43.94,42.09,42.77
20160921,42.70,43.12,41.74,42.72
20160922,43.23,43.95,42.69,42.87
20160923,42.79,43.24,42.38,42.39
20160926,42.15,42.67,41.97,42.23
20160927,42.15,42.63,41.98,42.01
20160928,42.03,42.60,41.88,42.48
20160929,42.30,42.59,41.32,41.48
20160930,41.71,41.87,41.35,41.63
20161003,41.39,41.48,41.09,41.40
20161004,41.39,41.58,40.66,40.85
20161005,41.10,41.49,41.00,41.14
20161006,40.98,41.62,40.82,41.43
20161007,41.38,41.94,40.81,40.85
20161010,41.15,41.36,40.81,41.02
20161011,40.97,41.00,40.47,40.88
20161012,40.98,41.35,40.71,41.09
20161013,40.66,40.80,39.99,40.28
20161014,40.50,41.10,40.45,40.67
20161017,40.99,41.47,40.64,40.91
20161018,41.32,41.70,41.03,41.21
20161019,41.39,41.61,40.83,41.27
20161020,40.97,41.19,40.48,40.71
20161021,40.33,40.63,40.23,40.53
20161024,40.86,41.17,40.78,41.04
20161025,40.86,40.88,40.25,40.52
20161026,40.35,40.76,40.13,40.54
20161027,40.76,40.78,39.61,39.67
20161028,39.87,40.91,39.61,40.65
20161031,40.94,41.31,40.83,40.99
20161101,41.00,41.24,40.24,40.57
20161102,40.55,40.66,39.84,40.18
20161103,40.29,40.45,39.94,40.07
20161104,40.15,41.65,39.97,40.71
20161107,41.33,41.58,40.99,41.24
20161108,40.84,40.88,39.90,40.74
20161109,39.82,40.79,39.02,40.41
20161110,40.59,41.41,40.28,41.14
20161111,41.21,41.41,40.26,40.56
20161114,40.83,41.81,40.51,41.62
20161115,42.10,42.45,41.26,41.53
20161116,41.17,41.44,40.94,41.38
20161117,42.14,43.15,41.92,42.49
20161118,42.39,42.84,42.22,42.74
20161121,42.89,43.26,42.31,43.20
20161122,43.26,43.28,42.58,42.80
20161123,42.63,43.24,42.62,43.14
20161125,43.22,43.71,43.17,43.54
20161128,43.42,43.42,42.69,42.98
20161129,43.05,43.67,42.94,43.50
20161130,43.57,43.66,41.77,41.83
20161201,41.89,42.36,41.14,41.32
20161202,41.37,41.93,41.20,41.31
20161205,41.53,41.82,41.13,41.71
20161206,42.04,42.80,41.78,42.69
20161207,42.67,43.93,42.56,43.92
20161208,43.95,45.49,43.95,44.91
20161209,44.80,44.93,43.49,44.08
20161212,43.82,44.56,43.66,44.40
20161213,44.70,44.73,43.83,44.51
20161214,44.55,44.67,43.18,43.26
20161215,43.27,44.13,42.36,42.62
20161216,42.67,43.12,42.40,42.69
20161219,43.81,44.37,42.50,42.67
20161220,42.62,43.21,42.13,42.28
20161221,42.32,43.07,42.18,42.74
20161222,42.74,42.77,42.17,42.20
20161223,42.28,42.35,41.76,41.85
20161227,42.01,42.65,41.95,42.64
20161228,42.73,42.80,42.25,42.44
20161229,42.46,42.79,42.16,42.18
20161230,42.25,42.33,41.88,42.21
20170103,42.67,42.67,41.52,42.20
20170104,42.38,43.39,42.23,43.24
20170105,43.05,43.72,43.02,43.68
20170106,43.90,43.97,42.92,42.96
20170109,42.87,42.93,42.41,42.82
20170110,42.90,43.28,42.55,43.00
20170111,42.92,43.29,42.65,43.29
20170112,43.19,43.77,42.55,43.69
20170113,43.61,43.95,43.43,43.72
20170117,43.50,43.90,43.33,43.66
20170118,43.79,43.87,43.27,43.56
20170119,43.56,44.20,42.93,43.00
20170120,43.21,43.36,42.91,43.12
20170123,43.11,43.48,42.73,43.02
20170124,43.98,45.74,43.90,45.59
20170125,45.88,46.66,45.67,46.15
20170126,46.21,46.79,45.81,45.92
20170127,45.77,45.86,44.86,45.02
20170130,44.66,44.72,43.86,44.70
20170131,44.53,44.55,43.53,43.90
20170201,43.99,44.41,43.30,44.14
20170202,44.18,44.45,43.80,44.06
20170203,44.36,44.46,43.91,44.39
20170206,44.30,44.60,43.90,44.02
20170207,44.22,44.23,43.33,43.87
20170208,43.87,44.59,43.78,44.43
20170209,44.40,44.59,43.90,44.43
20170210,45.26,46.18,44.93,46.03
20170213,46.20,46.32,45.75,45.92
20170214,45.82,45.92,45.01,45.44
20170215,45.51,46.34,45.42,46.12
20170216,46.01,46.28,45.37,45.41
20170217,45.24,45.68,44.99,45.68
20170221,45.94,46.26,45.75,46.23
20170222,47.12,47.14,46.15,46.52
20170223,46.79,46.79,45.93,46.36
20170224,46.16,46.74,45.89,46.64
20170227,46.64,47.69,46.43,47.56
20170228,47.53,48.18,47.38,47.97
20170301,48.33,49.60,48.30,49.17
20170302,49.07,49.25,48.71,48.91
20170303,48.75,49.24,48.27,49.07
20170306,48.80,49.35,48.60,49.13
20170307,49.24,49.96,48.97,49.86
20170308,49.80,51.54,49.75,51.38
20170309,51.38,52.02,50.43,51.06
20170310,51.53,52.89,51.52,51.84
20170313,51.97,52.11,51.02,51.05
20170314,50.93,50.97,50.19,50.74
20170315,50.99,51.42,50.38,51.26
20170316,51.45,52.38,51.01,52.08
20170317,52.03,52.40,51.75,51.95
20170320,51.92,51.94,51.28,51.80
20170321,51.29,51.52,49.97,50.41
20170322,50.52,50.53,49.40,49.86
20170323,49.92,50.48,49.79,50.01
20170324,50.20,50.47,49.85,50.19
20170327,49.53,50.25,49.38,50.13
20170328,49.90,50.81,49.89,50.50
20170329,50.18,50.80,50.18,50.64
20170330,50.54,50.71,50.18,50.44
20170331,50.34,50.52,50.17,50.33
20170403,50.39,50.63,49.61,50.06
20170404,49.86,50.14,49.59,49.79
20170405,50.02,50.55,49.73,49.79
20170406,49.71,50.43,49.61,50.06
20170407,49.88,50.21,49.79,49.83
20170410,50.11,51.31,50.06,50.62
20170411,50.55,51.11,50.33,51.05
20170412,50.75,51.03,50.29,50.43
20170413,50.56,51.56,50.56,50.92
20170417,51.07,51.54,50.91,51.47
20170418,51.19,51.89,50.96,51.55
20170419,51.81,52.01,51.45,51.72
20170420,52.01,52.11,50.52,51.02
20170421,50.86,51.21,50.51,51.14
20170424,51.68,51.82,50.55,50.71
20170425,50.43,50.51,49.48,49.85
20170426,49.98,50.47,49.77,50.12
20170427,50.15,50.41,49.77,50.26
20170428,50.12,50.17,49.06,49.66
20170501,49.88,50.09,49.43,49.45
20170502,49.41,49.62,49.02,49.34
20170503,49.28,49.56,48.52,48.90
20170504,48.96,49.28,48.85,48.95
20170505,49.17,49.26,48.83,48.96
20170508,48.95,49.17,48.74,49.02
20170509,48.98,49.89,48.98,49.81
20170510,49.69,49.74,49.18,49.72
20170511,49.62,50.22,49.36,50.14
20170512,50.10,50.10,49.45,49.55
20170515,49.71,50.38,49.66,50.18
20170516,50.38,50.58,49.76,50.57
20170517,50.57,50.57,49.31,49.43
20170518,49.42,50.64,49.10,50.25
20170519,50.43,51.45,50.25,51.28
20170522,51.43,51.84,51.26,51.57
20170523,51.95,52.43,50.65,50.77
20170524,50.65,51.18,50.16,51.11
20170525,51.41,51.53,50.61,50.87
20170526,50.66,50.88,50.50,50.67
20170530,50.58,50.78,50.08,50.63
20170531,50.85,50.88,50.12,50.45
20170601,50.50,51.13,50.15,51.06
20170602,51.11,52.01,51.11,51.85
20170605,51.82,51.87,51.35,51.55
20170606,51.11,51.53,50.89,51.34
20170607,51.37,51.97,51.31,51.53
20170608,51.53,51.82,51.15,51.27
20170609,51.35,51.45,50.88,51.13
20170612,51.04,51.85,51.04,51.81
20170613,51.97,53.08,51.72,52.75
20170614,52.95,53.92,52.73,53.03
20170615,52.67,53.16,51.97,52.21
20170616,52.02,52.11,51.40,52.05
20170619,52.11,52.42,51.73,51.86
20170620,54.56,54.82,52.36,52.97
20170621,52.89,53.36,51.91,52.36
20170622,52.22,52.32,51.52,51.53
20170623,51.62,51.96,51.22,51.25
20170626,51.41,51.71,51.20,51.58
20170627,51.62,51.93,51.22,51.22
20170628,51.64,52.18,51.25,51.98
20170629,51.87,51.97,51.16,51.82
20170630,52.02,52.89,51.99,52.43
20170703,52.34,52.61,51.67,51.68
20170705,51.56,51.87,51.06,51.52
