Date,Open,High,Low,Close
20151127,82.82,83.28,82.68,83.10
20151130,83.38,83.77,82.88,83.13
20151201,83.41,84.12,83.17,83.99
20151202,83.76,84.58,83.61,83.74
20151203,83.88,83.92,82.45,82.92
20151204,82.70,84.91,82.59,84.27
20151207,83.97,84.46,83.42,83.84
20151208,83.70,84.55,83.15,84.27
20151209,83.88,84.39,82.88,83.34
20151210,82.90,84.00,82.54,83.19
20151211,82.16,82.77,81.64,82.39
20151214,82.57,83.02,81.65,81.91
20151215,82.45,83.71,82.45,82.90
20151216,83.36,84.05,82.38,83.56
20151217,84.25,84.60,82.87,83.12
20151218,83.00,83.20,82.47,82.71
20151221,83.29,84.41,83.07,84.35
20151222,85.02,86.88,84.56,86.65
20151223,86.97,88.16,86.84,87.82
20151224,87.82,89.78,87.82,89.48
20151228,88.95,89.00,86.51,87.09
20151229,87.77,88.68,87.52,88.30
20151230,88.06,88.20,87.23,87.43
20151231,87.21,87.66,86.69,86.90
20160104,86.40,87.69,85.96,87.65
20160105,87.88,89.25,87.21,88.17
20160106,87.25,88.58,86.98,87.37
20160107,85.85,87.62,85.52,86.24
20160108,86.50,87.72,85.80,85.84
20160111,86.60,87.46,85.39,86.94
20160112,87.32,89.17,86.46,88.91
20160113,88.88,89.35,85.25,85.40
20160114,85.53,85.54,84.25,84.49
20160115,82.72,84.34,82.25,84.25
20160119,84.99,85.46,83.20,84.34
20160120,83.27,84.14,81.57,83.58
20160121,83.69,84.56,82.43,82.85
20160122,84.01,84.12,82.70,84.06
20160125,83.90,84.76,83.41,84.13
20160126,84.29,85.72,84.17,85.62
20160127,85.23,87.02,84.56,84.84
20160128,85.04,85.49,83.95,84.79
20160129,85.28,87.11,84.97,86.97
20160201,86.08,87.14,85.78,86.72
20160202,84.01,84.09,77.03,78.24
20160203,77.53,78.86,77.25,77.89
20160204,77.72,79.82,77.58,78.84
20160205,78.84,78.84,74.92,75.68
20160208,74.80,75.27,71.76,73.02
20160209,72.20,73.72,72.08,72.73
20160210,73.26,73.67,72.40,72.72
20160211,71.72,72.40,70.97,71.71
20160212,72.50,72.52,71.22,72.06
20160216,73.05,73.55,72.53,73.46
20160217,73.80,74.63,73.66,74.26
20160218,74.35,76.10,74.22,74.35
20160219,74.51,75.39,73.74,75.18
20160222,75.81,76.83,75.81,76.44
20160223,76.00,76.36,75.32,75.40
20160224,74.94,75.66,74.48,75.46
20160225,75.93,76.36,75.21,76.14
20160226,76.53,76.97,76.18,76.54
20160229,77.46,79.75,77.43,78.02
20160301,78.77,80.23,77.73,79.40
20160302,79.14,81.22,79.00,80.15
20160303,79.75,80.68,79.57,80.47
20160304,80.56,81.89,80.54,81.15
20160307,80.55,80.65,78.89,79.33
20160308,78.75,79.43,77.18,78.17
20160309,78.77,80.19,78.31,79.76
20160310,79.90,81.13,78.79,79.64
20160311,80.13,80.63,78.95,80.42
20160314,80.00,80.54,79.53,79.59
20160315,78.63,79.53,76.73,77.66
20160316,77.60,78.53,77.27,78.36
20160317,78.30,79.19,77.93,78.52
20160318,78.89,79.57,78.52,78.90
20160321,78.53,78.93,77.93,78.56
20160322,78.24,80.32,78.18,79.62
20160323,79.48,79.50,78.50,79.04
20160324,78.60,79.35,77.80,78.16
20160328,78.41,78.54,77.60,77.84
20160329,77.86,78.66,77.11,78.48
20160330,78.84,79.10,77.80,78.71
20160331,78.63,79.10,77.34,77.86
20160401,77.39,78.00,75.57,77.80
20160404,77.82,77.93,76.94,76.99
20160405,76.34,76.39,75.01,75.06
20160406,75.15,76.57,74.65,76.49
20160407,76.21,76.81,75.72,76.33
20160408,76.71,77.71,76.55,76.71
20160411,77.04,77.54,76.43,76.45
20160412,76.42,76.93,75.80,76.72
20160413,77.16,78.42,77.16,78.34
20160414,78.18,78.46,77.52,77.65
20160415,77.37,77.67,76.73,77.39
20160418,77.33,77.80,77.05,77.69
20160419,77.70,78.81,77.51,78.79
20160420,78.66,79.51,78.05,79.30
20160421,79.45,79.88,78.69,78.95
20160422,78.84,80.35,78.84,79.83
20160425,79.50,79.53,78.30,78.77
20160426,79.01,79.65,78.84,79.47
20160427,79.24,80.87,79.24,80.76
20160428,80.23,80.72,79.81,80.05
20160429,79.83,80.25,79.10,80.01
20160502,80.13,80.95,79.51,80.86
20160503,77.19,78.36,76.15,76.43
20160504,75.70,76.10,73.32,74.40
20160505,74.49,74.86,73.89,74.78
20160506,74.59,74.82,73.72,74.59
20160509,74.66,76.19,74.66,75.67
