Date,Open,High,Low,Close
20151127,113.08,114.26,112.93,113.91
20151130,113.66,114.18,112.57,112.80
20151201,112.25,112.36,110.17,112.03
20151202,111.55,112.12,110.22,110.36
20151203,110.13,110.50,107.92,109.06
20151204,109.57,110.36,109.01,110.28
20151207,109.66,110.12,109.09,109.56
20151208,108.19,109.16,106.59,106.72
20151209,106.93,108.14,106.62,107.06
20151210,106.46,107.56,106.28,106.68
20151211,104.94,106.05,104.94,105.30
20151214,105.16,105.55,104.03,104.72
20151215,105.50,106.50,105.25,105.81
20151216,106.62,107.08,104.56,105.99
20151217,106.27,106.51,102.87,102.92
20151218,102.33,102.67,101.47,101.52
20151221,102.04,102.59,101.30,102.12
20151222,102.55,103.54,102.02,102.81
20151223,103.58,105.00,103.39,104.74
20151224,104.38,104.85,104.14,104.51
20151228,104.02,104.10,103.22,103.78
20151229,104.67,104.84,104.03,104.40
20151230,104.16,104.32,103.18,103.18
20151231,102.80,103.71,102.28,102.40
20160104,101.03,101.77,100.52,101.67
20160105,102.51,102.53,99.96,101.32
20160106,99.83,101.39,99.64,100.30
20160107,98.84,100.07,97.60,97.79
20160108,98.04,99.22,97.33,97.85
20160111,98.37,99.09,97.63,98.44
20160112,99.50,100.01,98.30,99.89
20160113,100.59,102.32,97.55,98.01
20160114,98.24,100.34,97.51,99.79
20160115,99.41,99.79,96.51,97.39
20160119,98.48,98.60,96.63,98.18
20160120,96.57,98.81,96.00,97.82
20160121,98.25,98.79,97.19,97.96
20160122,99.40,99.69,97.64,98.09
20160125,97.60,98.15,96.00,96.13
20160126,96.52,98.38,95.94,98.14
20160127,97.81,99.63,97.74,98.10
20160128,98.64,99.20,97.91,98.20
20160129,96.77,100.02,95.60,100.00
20160201,99.83,100.98,98.37,100.53
20160202,97.83,99.26,97.78,98.15
20160203,99.33,103.30,98.95,103.29
20160204,103.35,106.99,103.35,105.53
20160205,104.97,105.52,103.68,105.10
20160208,104.52,104.80,100.47,101.93
20160209,101.77,104.20,101.49,103.82
20160210,104.31,105.29,103.00,103.37
20160211,101.74,103.16,101.26,102.06
20160212,102.76,103.95,102.21,103.83
20160216,105.04,105.04,103.46,104.00
20160217,104.87,105.40,104.32,104.50
20160218,104.31,104.86,104.08,104.50
20160219,104.41,104.56,102.97,103.31
20160222,103.89,105.05,103.57,104.22
20160223,103.53,103.81,101.60,102.22
20160224,100.92,102.14,100.80,101.89
20160225,102.21,102.91,101.04,102.61
20160226,103.30,104.22,102.44,103.24
20160229,103.37,103.93,101.75,101.79
20160301,102.85,105.53,102.39,105.34
20160302,104.71,105.26,103.33,104.14
20160303,103.57,105.98,102.72,105.84
20160304,106.06,110.09,105.92,108.79
20160307,109.18,109.73,107.63,108.59
20160308,107.53,108.69,106.63,108.14
