Date,Open,High,Low,Close
20151127,225.53,226.23,224.31,225.91
20151130,223.60,223.68,218.53,219.16
20151201,220.06,223.10,219.37,220.20
20151202,220.25,220.95,218.78,218.94
20151203,219.27,219.76,214.69,215.46
20151204,216.00,219.90,216.00,218.39
20151207,218.34,219.62,217.55,219.13
20151208,217.69,219.78,217.30,218.81
20151209,218.02,220.26,216.61,217.54
20151210,217.92,219.75,217.00,218.88
20151211,217.54,219.16,216.70,217.20
20151214,215.99,217.57,214.72,216.58
20151215,217.00,217.24,214.72,214.84
20151216,216.00,218.11,214.75,217.50
20151217,217.86,218.77,215.16,215.22
20151218,213.75,215.17,211.85,212.18
20151221,213.80,215.59,213.52,215.47
20151222,216.16,218.23,215.58,217.58
20151223,218.00,218.35,217.18,217.93
20151224,218.00,219.00,217.49,218.56
20151228,218.08,218.77,217.43,218.41
20151229,219.36,221.35,218.80,220.47
20151230,220.93,221.24,219.62,219.80
20151231,219.58,219.95,215.78,217.15
20160104,214.00,215.77,211.39,213.21
20160105,214.59,218.94,214.02,218.26
20160106,217.83,221.00,216.26,217.63
20160107,213.81,216.19,212.14,213.29
20160108,215.01,216.35,212.37,212.91
20160111,215.07,216.47,213.23,215.35
20160112,216.03,218.10,214.51,217.96
20160113,219.26,219.62,214.06,214.40
20160114,214.42,217.13,212.27,216.42
20160115,211.99,217.01,211.99,215.99
20160119,216.69,220.78,213.17,215.29
20160120,213.05,216.20,207.62,210.40
20160121,211.20,212.00,208.75,210.79
20160122,213.71,213.71,211.01,212.04
20160125,211.84,212.75,210.00,211.01
20160126,201.43,211.22,200.47,209.93
20160127,209.89,211.64,207.00,207.86
20160128,208.49,209.43,206.17,206.66
20160129,207.83,211.05,206.12,211.00
20160201,209.26,211.34,208.87,209.80
20160202,209.50,210.98,207.64,210.45
20160203,212.00,213.64,210.13,212.92
20160204,212.50,213.38,209.28,210.21
20160205,210.34,212.57,209.57,211.94
20160208,209.33,215.15,209.30,214.53
20160209,213.12,217.33,212.24,215.98
20160210,216.01,217.44,213.62,213.95
20160211,211.67,212.75,203.65,207.18
20160212,208.31,209.92,205.55,206.08
20160216,207.52,209.49,206.85,209.00
20160217,210.00,212.97,209.10,212.74
20160218,212.25,215.50,212.00,214.20
20160219,214.51,214.74,212.70,213.62
20160222,213.62,216.78,213.62,215.01
20160223,214.83,215.74,213.87,215.15
20160224,213.58,216.99,213.50,216.63
20160225,217.00,220.14,216.38,220.03
20160226,219.22,219.75,217.11,217.24
20160229,216.67,218.10,215.73,215.79
20160301,216.59,218.35,214.88,218.13
20160302,218.09,218.86,215.78,217.20
20160303,216.48,218.62,215.54,218.52
20160304,217.91,219.08,217.56,218.72
20160307,217.50,218.38,215.30,215.84
20160308,213.95,216.21,210.90,215.34
20160309,216.75,217.92,215.74,216.41
20160310,216.94,218.52,215.67,216.56
20160311,218.00,218.89,215.96,217.05
20160314,215.62,217.51,215.62,216.60
20160315,215.34,217.32,214.81,217.05
20160316,217.14,218.94,216.29,218.19
20160317,218.28,219.94,217.42,219.25
20160318,220.00,221.09,218.37,220.91
20160321,220.41,223.19,220.41,221.26
20160322,221.05,222.73,220.50,220.73
20160323,220.89,222.54,220.62,221.26
20160324,221.05,221.50,217.14,218.00
20160328,218.81,219.55,218.34,219.06
20160329,219.00,220.92,218.43,220.76
20160330,222.00,223.86,221.79,222.96
20160331,222.65,223.33,221.09,221.50
20160401,219.96,223.47,219.17,223.11
20160404,223.22,224.90,223.08,224.13
20160405,224.03,227.03,222.82,225.62
20160406,225.31,226.85,225.31,226.63
20160407,226.00,227.41,225.64,226.48
20160408,227.59,228.00,225.80,226.30
20160411,226.05,226.71,224.11,224.65
20160412,224.75,226.87,224.18,225.98
20160413,227.00,227.16,224.93,226.38
20160414,226.79,226.79,225.19,225.44
20160415,225.87,225.92,224.62,225.81
20160418,225.81,227.63,225.30,227.14
20160419,227.16,227.89,226.29,226.51
20160420,227.00,228.12,226.06,226.58
20160421,226.31,227.31,225.65,226.07
20160422,226.60,227.87,225.60,226.83
20160425,226.04,226.99,225.34,226.30
20160426,227.85,232.22,227.85,232.16
20160427,230.09,234.59,229.96,233.65
20160428,232.20,234.48,231.90,232.72
20160429,232.10,232.97,230.82,232.38
20160502,232.74,233.80,232.43,233.24
20160503,232.34,234.83,231.37,234.70
20160504,233.85,236.34,233.09,236.01
20160505,236.10,238.16,235.44,238.14
20160506,238.00,240.50,237.79,240.26
20160509,240.26,242.00,239.52,240.32
20160510,241.31,244.55,241.29,244.36
20160511,243.97,244.49,241.62,241.83
20160512,242.03,245.37,241.50,244.94
20160513,242.38,244.50,241.70,242.12
20160516,241.21,243.99,240.91,242.97
20160517,243.00,243.53,240.27,241.53
20160518,240.89,243.19,240.13,241.58
20160519,239.68,241.07,237.79,238.89
20160520,239.49,240.30,238.39,240.07
20160523,240.43,240.52,239.04,239.52
20160524,240.40,241.75,240.30,240.97
20160525,241.30,241.56,240.50,240.84
20160526,240.59,242.00,240.11,241.54
20160527,240.00,240.82,239.21,240.09
20160531,239.74,240.61,236.15,236.23
20160601,236.23,238.58,235.36,238.08
20160602,238.13,238.25,236.79,237.83
20160603,237.58,239.65,236.23,238.92
20160606,238.52,240.37,238.52,239.40
20160607,240.20,241.36,239.41,239.50
20160608,239.26,240.75,239.23,240.38
20160609,240.05,240.87,240.00,240.67
20160610,240.01,241.70,239.74,240.58
20160613,240.01,240.70,237.91,237.95
20160614,237.78,240.12,237.25,239.70
20160615,240.11,240.59,239.23,239.45
20160616,239.05,240.45,238.09,239.87
20160617,240.22,240.22,236.66,237.56
20160620,239.20,239.80,237.86,238.64
20160621,239.49,239.85,238.31,238.55
20160622,238.95,239.27,238.04,238.17
20160623,239.79,240.00,238.18,240.00
20160624,234.85,242.87,234.75,239.70
20160627,238.78,239.97,236.07,239.29
20160628,240.11,240.96,237.65,240.91
20160629,242.00,244.69,241.66,244.08
20160630,244.78,248.72,244.67,248.17
20160701,248.17,249.92,248.17,249.35
20160705,248.80,250.38,248.42,249.51
20160706,250.95,251.32,247.88,250.08
20160707,250.23,251.22,248.61,249.77
20160708,250.78,252.30,248.50,251.90
20160711,252.38,256.34,251.92,254.39
20160712,255.64,256.38,254.03,254.70
20160713,255.10,256.44,254.92,255.90
20160714,257.19,257.94,254.70,256.00
20160715,257.11,257.62,256.10,256.98
20160718,257.78,258.29,255.30,256.29
20160719,258.54,263.37,252.10,258.96
20160720,259.32,259.82,255.89,256.67
20160721,257.49,257.49,251.60,254.14
20160722,254.60,257.49,253.05,257.31
20160725,256.82,257.28,254.72,255.62
20160726,255.62,256.46,253.83,254.76
20160727,255.47,256.00,253.03,254.16
20160728,254.20,254.89,252.05,254.55
20160729,254.50,254.81,252.70,252.73
20160801,252.63,254.93,252.30,254.84
20160802,254.17,257.46,252.73,257.00
20160803,257.51,257.75,254.75,256.85
20160804,257.65,258.78,256.14,257.75
20160805,259.14,260.29,257.63,260.29
20160808,260.00,261.87,258.79,260.19
20160809,260.43,261.29,259.18,260.66
20160810,259.82,262.10,259.07,261.30
20160811,261.50,264.07,260.15,262.54
20160812,262.49,265.34,261.67,264.15
20160815,264.22,266.93,264.20,266.50
20160816,265.23,266.05,254.44,256.77
20160817,256.70,257.50,251.55,255.64
20160818,255.64,255.99,254.10,255.42
20160819,254.73,255.00,252.70,254.12
20160822,254.37,256.42,253.75,254.20
20160823,255.24,255.24,248.14,249.75
20160824,248.76,249.75,244.80,248.12
20160825,247.61,250.19,246.00,248.53
20160826,249.00,249.80,243.65,244.44
20160829,245.00,246.08,244.04,244.30
20160830,242.65,243.31,238.85,239.45
20160831,239.00,243.62,238.60,242.97
20160901,243.13,243.84,241.90,243.61
20160902,243.75,245.00,242.26,243.32
20160906,244.24,244.49,242.26,243.00
20160907,242.16,243.00,241.15,241.37
20160908,240.49,242.25,240.00,241.63
20160909,240.14,240.64,237.89,237.94
20160912,236.50,239.50,235.28,238.80
20160913,237.67,238.72,237.00,237.41
20160914,237.41,239.01,236.91,237.41
20160915,237.41,239.49,236.70,239.09
20160916,238.42,238.64,237.25,237.45
20160919,239.30,241.89,239.08,240.88
20160920,241.35,242.24,240.48,240.48
20160921,241.14,243.87,240.62,243.82
20160922,244.95,247.03,244.74,246.62
20160923,246.08,246.54,244.64,245.84
20160926,245.71,247.48,245.01,245.53
20160927,246.04,247.02,245.30,245.79
20160928,246.13,246.96,244.86,245.75
20160929,246.08,246.08,240.96,242.34
20160930,243.06,243.47,237.33,239.72
20161003,238.71,241.30,237.54,240.58
20161004,240.96,241.05,236.50,237.10
20161005,239.05,239.05,236.50,236.60
20161006,237.00,237.02,234.48,234.72
20161007,233.20,233.99,231.57,233.53
20161010,233.82,234.93,233.12,233.29
20161011,233.00,233.63,231.64,231.85
20161012,231.93,233.12,231.37,232.10
20161013,231.66,233.42,231.05,232.99
20161014,233.38,234.09,231.93,232.57
20161017,232.68,234.33,232.60,232.77
20161018,234.29,239.60,232.58,232.79
20161019,233.08,233.74,231.58,232.33
20161020,232.15,232.71,230.72,231.83
20161021,231.07,231.16,228.50,230.52
20161024,231.50,232.49,230.92,232.16
20161025,241.08,249.79,238.64,249.26
20161026,248.60,252.00,247.49,250.09
20161027,250.28,251.24,248.05,248.53
