Date,Open,High,Low,Close
20151127,54.85,54.99,54.45,54.93
20151130,55.09,55.26,54.57,54.99
20151201,55.40,55.73,55.06,55.50
20151202,55.72,55.83,54.83,54.93
20151203,55.37,55.61,54.29,54.49
20151204,54.67,55.92,54.32,55.80
20151207,55.66,55.69,54.36,54.57
20151208,53.78,54.02,53.10,53.37
20151209,53.26,53.95,51.90,52.22
20151210,52.20,53.32,52.09,52.73
20151211,51.65,51.92,50.27,50.62
20151214,50.66,51.32,49.86,50.37
20151215,51.07,51.53,50.52,51.30
20151216,51.93,52.13,50.96,51.94
20151217,52.02,52.03,50.24,50.24
20151218,49.63,49.81,48.52,48.67
20151221,48.99,49.33,48.49,49.00
20151222,49.52,50.03,48.90,49.80
20151223,50.19,50.79,49.44,50.73
20151224,50.72,50.91,50.53,50.65
20151228,50.48,50.71,50.09,50.60
20151229,51.20,51.27,50.48,51.11
20151230,51.14,51.23,50.80,50.83
20151231,50.38,50.91,50.21,50.26
20160104,49.17,49.17,47.97,49.10
20160105,49.30,49.51,48.49,49.14
20160106,48.02,48.24,46.59,46.92
20160107,45.54,45.95,45.13,45.36
20160108,45.86,46.34,44.12,44.24
20160111,44.53,44.70,42.43,43.20
20160112,43.78,44.13,42.72,43.50
20160113,43.50,43.92,41.52,41.78
20160114,41.97,42.14,40.90,41.51
20160115,39.90,40.62,39.49,40.42
20160119,41.00,41.17,39.40,39.69
20160120,38.34,38.65,36.73,38.20
20160121,38.19,39.39,37.66,38.57
20160122,39.65,40.36,39.38,39.59
20160125,39.40,39.62,38.40,38.53
20160126,38.87,39.59,38.67,39.13
20160127,39.08,40.18,38.60,38.88
20160128,39.42,39.63,38.31,38.57
20160129,38.85,39.49,38.41,39.46
20160201,39.13,39.42,38.78,39.23
20160202,38.45,38.45,37.30,37.51
20160203,38.00,38.19,36.23,37.51
20160204,37.06,37.63,35.22,35.91
20160205,35.90,36.85,35.52,35.78
20160208,34.90,34.96,33.03,33.40
20160209,32.61,33.97,32.47,33.80
20160210,34.14,35.03,34.04,34.28
20160211,33.01,33.04,30.39,30.78
20160212,31.62,32.99,31.50,32.65
20160216,33.38,34.24,32.89,33.92
20160217,34.40,36.10,34.38,35.88
20160218,35.84,36.09,35.56,35.92
20160219,35.57,35.99,35.29,35.96
20160222,36.72,38.15,36.51,36.72
20160223,36.47,36.73,35.33,35.87
20160224,35.02,35.64,34.16,35.50
20160225,35.33,36.40,35.27,36.40
20160226,36.76,38.09,36.76,37.51
20160229,37.38,37.50,36.53,36.53
20160301,36.91,38.95,36.91,38.89
20160302,38.88,39.83,38.64,39.24
20160303,39.17,40.00,39.01,39.80
20160304,40.12,40.47,39.05,39.53
20160307,39.24,39.84,39.03,39.44
20160308,38.58,39.18,37.42,38.05
20160309,38.49,38.74,37.63,38.11
20160310,38.47,39.06,37.58,38.13
20160311,38.88,40.11,38.80,40.06
20160314,39.76,40.67,39.66,40.39
20160315,39.84,40.03,39.37,39.94
20160316,39.87,40.90,39.68,40.29
20160317,40.02,41.16,39.74,40.85
20160318,41.05,41.96,40.93,41.67
20160321,41.44,42.06,41.00,41.47
20160322,40.92,41.41,40.69,41.14
20160323,41.04,41.17,40.22,40.32
20160324,39.17,39.62,38.58,39.27
20160328,39.56,40.05,39.28,39.87
20160329,39.50,39.71,38.92,39.59
20160330,39.98,41.23,39.56,39.97
20160331,39.89,40.13,38.94,39.20
20160401,39.05,39.86,38.38,39.81
20160404,39.75,40.06,39.34,39.47
20160405,38.97,39.09,38.49,38.58
20160406,39.00,39.58,38.33,38.65
20160407,38.22,38.67,37.12,37.37
20160408,37.98,38.22,37.37,37.52
20160411,37.82,38.79,37.79,38.26
20160412,38.49,39.34,38.28,39.27
20160413,39.88,41.11,39.76,40.99
20160414,40.89,41.45,40.49,40.99
20160415,40.93,40.93,40.39,40.70
20160418,40.48,41.05,40.25,41.02
20160419,41.13,41.85,41.12,41.78
20160420,42.02,43.39,41.82,43.21
20160421,43.30,43.81,43.27,43.54
20160422,43.76,44.72,43.58,44.34
20160425,44.00,44.19,43.16,43.79
20160426,44.05,44.51,43.87,44.50
20160427,44.21,44.80,44.08,44.63
20160428,43.95,44.42,43.60,43.73
20160429,43.53,44.14,43.01,43.45
20160502,43.56,44.21,43.04,44.13
20160503,43.16,43.22,42.27,43.16
20160504,42.15,42.80,41.95,42.64
20160505,40.65,41.79,40.16,40.87
20160506,40.45,41.74,40.30,41.42
20160509,41.43,41.88,41.23,41.60
20160510,41.94,43.30,41.84,42.99
20160511,42.89,43.96,42.78,42.95
20160512,43.52,43.89,42.44,43.04
20160513,42.91,43.80,42.51,42.59
20160516,42.72,43.57,42.55,43.14
20160517,43.02,43.97,42.90,43.28
20160518,43.31,45.57,43.31,45.07
20160519,44.77,45.28,43.92,44.38
20160520,44.74,45.50,44.48,44.59
20160523,44.41,44.74,44.12,44.26
20160524,44.69,45.34,44.47,45.01
20160525,45.37,46.43,45.37,45.84
20160526,45.82,45.91,45.11,45.27
20160527,45.52,46.16,44.81,46.16
20160531,46.49,46.69,45.43,45.85
20160601,45.31,45.87,44.37,45.71
20160602,45.48,46.05,45.28,46.05
20160603,45.06,45.06,43.75,44.43
20160606,44.55,45.67,44.45,45.49
20160607,45.44,45.89,44.86,45.50
20160608,45.39,46.09,44.72,45.65
20160609,45.18,45.22,44.20,44.33
20160610,43.50,43.57,42.87,43.04
20160613,42.65,43.35,42.38,42.83
20160614,42.65,43.16,41.86,42.07
20160615,42.37,43.03,41.95,42.01
20160616,41.47,41.99,40.97,41.95
20160617,42.05,42.47,41.71,42.11
20160620,43.09,43.58,42.56,42.60
20160621,42.78,42.93,42.17,42.58
20160622,42.70,43.20,42.60,42.66
20160623,43.59,44.37,43.51,44.37
20160624,41.06,41.90,38.44,38.47
20160627,37.53,37.62,35.27,35.50
20160628,36.47,36.87,36.01,36.77
20160629,36.89,38.00,36.32,37.94
20160630,38.09,38.77,37.55,38.77
20160701,37.64,39.06,37.64,38.75
20160705,37.90,38.23,36.57,37.10
20160706,36.61,37.63,36.00,37.61
20160707,37.55,38.68,36.96,37.49
20160708,38.38,39.30,38.36,38.88
20160711,39.30,39.76,38.93,39.55
20160712,40.36,41.78,40.26,41.39
20160713,41.14,41.39,40.23,40.96
20160714,42.17,42.96,41.76,42.87
20160715,43.03,43.34,42.13,42.69
20160718,42.48,43.49,42.27,43.22
20160719,42.78,43.37,42.62,43.31
20160720,43.51,43.66,42.93,43.43
20160721,43.55,43.81,43.18,43.32
20160722,43.45,43.51,42.96,43.45
20160725,43.36,43.40,43.04,43.22
20160726,43.05,43.75,43.01,43.70
20160727,43.70,43.92,43.10,43.37
20160728,43.34,43.79,42.84,43.71
20160729,43.37,43.86,43.21,43.67
20160801,43.84,43.91,43.00,43.27
20160802,43.24,43.63,42.24,42.81
20160803,42.91,44.85,42.85,44.80
20160804,44.21,44.35,42.75,43.00
20160805,43.84,45.87,43.54,45.51
20160808,45.79,46.40,45.54,46.14
20160809,46.19,46.46,45.85,46.11
20160810,45.99,46.01,45.08,45.13
20160811,45.27,45.86,45.10,45.66
20160812,45.01,45.34,44.68,45.22
20160815,45.59,46.14,45.59,46.08
20160816,45.95,46.45,45.81,46.10
20160817,46.05,46.33,45.92,46.19
20160818,46.09,46.18,45.39,45.63
20160819,45.41,45.98,45.32,45.85
20160822,45.32,45.75,45.27,45.65
20160823,45.96,46.45,45.90,45.92
20160824,46.17,46.40,45.80,45.91
20160825,45.78,46.46,45.78,46.43
20160826,46.59,47.28,46.20,46.58
20160829,46.62,47.60,46.62,47.21
20160830,47.21,48.26,47.21,48.08
20160831,48.11,48.48,47.40,48.03
20160901,48.20,48.47,46.98,47.44
20160902,47.75,48.24,47.40,48.06
20160906,47.99,47.99,46.56,47.00
20160907,46.85,47.07,46.47,46.93
20160908,47.09,47.26,46.69,47.14
20160909,47.08,48.14,46.96,46.97
20160912,46.46,47.52,45.75,47.26
20160913,46.53,47.32,46.30,47.11
20160914,47.11,47.25,46.27,46.82
20160915,46.80,47.80,46.69,47.59
20160916,47.11,47.16,46.14,46.26
20160919,46.66,47.14,46.24,46.49
20160920,46.93,46.99,46.30,46.41
20160921,46.84,47.30,46.45,47.16
20160922,47.37,47.52,46.35,46.65
20160923,46.26,46.95,46.03,46.30
20160926,45.56,45.94,45.25,45.52
20160927,45.22,46.17,44.74,46.05
20160928,46.24,46.61,45.67,46.57
20160929,46.54,47.04,45.58,45.87
20160930,46.39,47.33,45.94,46.98
20161003,46.71,47.41,46.62,47.15
20161004,47.45,48.37,47.29,47.80
20161005,47.94,49.26,47.77,49.08
20161006,49.73,50.00,48.72,49.20
20161007,49.30,49.30,48.29,48.66
20161010,49.14,49.59,49.07,49.28
20161011,49.25,49.44,48.54,48.73
20161012,48.80,49.14,48.55,48.90
20161013,48.19,48.47,47.36,48.24
20161014,49.03,49.54,48.67,48.90
20161017,48.80,49.31,48.58,48.82
20161018,49.67,49.71,48.78,48.82
20161019,49.02,49.33,48.87,49.14
20161020,48.91,49.17,48.49,48.83
20161021,48.15,48.56,47.71,48.48
20161024,48.89,49.15,48.57,48.77
20161025,48.78,48.99,48.08,48.24
20161026,47.97,49.00,47.97,48.93
20161027,49.50,50.16,49.14,49.71
20161028,49.61,50.33,49.02,49.43
20161031,49.72,49.97,49.06,49.09
20161101,49.39,49.76,48.12,48.83
20161102,48.49,48.91,47.90,48.46
20161103,50.47,52.45,50.04,51.37
20161104,51.37,51.67,50.23,50.28
20161107,51.42,52.16,51.42,52.14
20161108,51.98,52.93,51.23,52.66
20161109,54.05,58.00,53.86,57.51
20161110,58.44,60.71,57.87,59.02
20161111,58.25,60.22,58.14,60.11
20161114,60.95,62.86,60.52,61.40
20161115,61.12,62.77,60.31,62.43
20161116,61.59,62.12,60.79,61.48
20161117,61.58,62.62,61.01,62.62
20161118,62.46,63.08,61.83,62.24
20161121,62.85,63.39,62.16,63.19
