Date,Open,High,Low,Close
20151127,29.89,30.14,29.89,29.94
20151130,29.93,30.27,29.88,30.09
20151201,30.30,30.71,30.29,30.70
20151202,30.61,30.67,30.11,30.31
20151203,30.26,30.26,29.58,29.70
20151204,29.79,30.20,29.78,30.17
20151207,30.05,30.20,29.90,30.17
20151208,30.08,30.42,29.92,30.34
20151209,30.18,30.67,30.13,30.14
20151210,30.16,30.17,29.34,29.41
20151211,29.28,29.64,29.08,29.30
20151214,29.21,29.50,29.07,29.39
20151215,29.49,29.86,29.36,29.66
20151216,29.78,30.46,29.78,30.38
20151217,30.70,32.12,30.62,31.86
20151218,31.75,31.86,31.20,31.23
20151221,31.38,31.52,30.79,30.96
20151222,31.01,31.22,30.71,31.14
20151223,31.25,31.50,31.18,31.44
20151224,31.34,31.48,31.22,31.34
20151228,31.33,31.70,31.20,31.61
20151229,31.74,31.91,31.66,31.69
20151230,31.73,31.83,31.60,31.73
20151231,31.68,31.73,30.95,31.23
20160104,31.26,31.31,30.84,31.14
20160105,31.14,31.38,30.60,31.28
20160106,31.23,31.45,30.93,31.32
20160107,30.96,31.34,30.95,30.99
20160108,31.18,31.30,30.95,30.98
20160111,31.05,31.23,30.91,31.08
20160112,31.27,31.27,30.60,30.83
20160113,30.89,31.17,30.75,30.85
20160114,30.86,31.52,30.71,31.32
20160115,31.14,31.21,30.64,31.21
20160119,31.51,31.62,31.21,31.54
20160120,31.38,31.70,30.38,30.88
20160121,30.87,31.09,30.50,30.79
20160122,30.88,31.61,30.81,31.56
20160125,31.55,31.60,31.04,31.18
20160126,31.26,31.68,31.21,31.45
20160127,31.11,31.45,30.80,31.14
20160128,31.30,31.96,31.00,31.82
20160129,32.12,32.67,32.08,32.67
20160201,32.49,33.20,32.38,32.98
20160202,32.82,33.29,32.69,33.23
20160203,33.42,34.04,33.20,33.90
20160204,33.85,34.06,33.55,33.74
20160205,33.60,34.12,33.20,33.88
20160208,33.95,34.22,33.65,33.97
20160209,33.90,34.33,33.81,34.17
20160210,34.06,34.40,33.60,34.15
20160211,34.03,34.24,33.58,33.59
20160212,33.56,33.85,33.11,33.48
20160216,33.75,33.75,33.24,33.49
20160217,33.54,33.72,33.18,33.21
