Date,Open,High,Low,Close
20151127,77.90,78.00,77.15,77.34
20151130,77.39,77.47,76.43,76.60
20151201,76.91,77.38,76.46,77.13
20151202,76.88,77.32,76.24,76.30
20151203,76.19,76.52,74.88,75.12
20151204,75.33,76.87,75.09,76.76
20151207,76.46,76.72,75.73,76.45
20151208,76.32,77.49,75.93,77.17
20151209,76.90,77.63,75.87,76.12
20151210,75.97,76.75,75.92,76.17
20151211,75.36,76.13,74.77,75.01
20151214,75.26,75.96,74.77,75.65
20151215,76.13,76.76,74.85,74.90
20151216,75.04,76.34,73.89,76.13
20151217,76.22,76.60,74.66,74.90
20151218,74.76,74.77,73.87,73.89
20151221,74.50,75.10,74.04,74.89
20151222,74.91,75.45,74.32,75.16
20151223,76.11,76.43,75.44,76.16
20151224,75.83,76.64,75.75,76.28
20151228,75.99,76.56,75.86,76.44
20151229,76.93,77.67,76.83,77.13
20151230,76.98,77.53,76.79,76.86
20151231,76.46,76.93,76.02,76.04
20160104,74.69,75.57,74.50,75.28
20160105,75.44,76.47,74.91,75.44
20160106,74.51,74.75,73.40,73.94
20160107,72.84,73.88,71.75,72.07
20160108,72.67,72.80,70.68,70.88
20160111,71.45,73.09,71.29,72.68
20160112,73.28,74.28,72.37,73.27
20160113,73.64,73.73,69.54,69.90
20160114,69.85,70.61,67.65,69.91
20160115,67.75,70.36,67.74,68.99
20160119,70.81,71.04,68.79,69.46
20160120,68.87,69.52,66.93,68.07
20160121,68.57,69.94,68.25,69.32
20160122,70.36,70.90,70.19,70.50
20160125,70.66,71.00,69.84,69.90
20160126,70.67,70.69,69.60,70.00
20160127,70.02,70.95,69.02,69.55
20160128,69.89,70.00,68.92,69.23
20160129,70.00,71.77,69.55,71.66
20160201,70.54,72.89,70.54,72.66
20160202,72.30,72.63,71.31,71.87
20160203,71.38,71.38,65.06,67.42
20160204,67.84,68.32,66.30,67.96
20160205,68.08,68.52,65.52,65.84
20160208,65.38,65.39,62.62,63.55
20160209,63.07,64.86,62.90,64.15
20160210,64.45,65.40,64.00,64.06
20160211,63.08,63.97,62.68,63.40
20160212,63.40,64.93,63.40,64.87
20160216,66.90,67.69,65.55,67.43
20160217,68.00,68.28,67.56,68.00
20160218,68.28,68.33,66.94,67.72
20160219,67.78,68.57,66.84,68.52
20160222,68.52,69.87,68.52,69.47
20160223,71.46,71.48,67.84,67.90
20160224,66.09,69.25,64.85,68.62
20160225,68.62,69.63,67.90,68.70
20160226,69.40,69.85,68.83,69.10
20160229,68.84,69.75,67.47,67.53
20160301,68.18,69.13,66.92,69.04
20160302,68.85,69.53,68.47,69.09
20160303,68.59,69.97,68.50,69.93
20160304,69.69,70.98,69.48,70.39
20160307,69.85,71.20,69.83,70.77
20160308,70.32,71.88,70.15,70.99
20160309,71.09,71.66,70.50,70.85
20160310,71.25,71.73,69.84,70.70
20160311,71.36,72.25,71.22,72.12
20160314,72.00,73.10,71.96,72.75
20160315,72.30,74.32,72.22,73.10
20160316,72.68,74.24,72.56,73.78
20160317,73.52,74.23,73.18,74.02
20160318,74.08,75.16,73.97,74.93
20160321,74.65,75.36,74.30,75.22
20160322,74.73,75.60,74.73,75.25
20160323,75.26,75.52,74.64,74.78
