Date,Open,High,Low,Close
20151127,77.45,77.98,77.06,77.63
20151130,78.10,78.51,77.28,78.20
20151201,78.30,79.61,78.21,79.59
20151202,79.24,79.91,78.55,78.65
20151203,79.38,79.73,76.15,76.44
20151204,76.67,78.05,76.41,77.68
20151207,77.57,78.50,76.94,77.89
20151208,79.04,80.70,77.35,80.40
20151209,80.22,80.40,77.81,78.32
20151210,78.73,80.68,78.09,80.03
20151211,79.04,79.67,78.53,78.89
20151214,79.08,79.38,76.67,77.56
20151215,78.94,80.65,78.50,79.93
20151216,80.48,80.82,78.28,80.25
20151217,80.49,80.79,78.66,78.70
20151218,78.02,78.34,76.89,77.04
20151221,77.96,78.81,77.15,78.75
20151222,79.49,80.25,78.24,80.19
20151223,80.56,80.85,80.06,80.42
20151224,80.21,80.78,80.15,80.39
20151228,80.17,80.17,78.93,80.03
20151229,80.51,81.29,79.77,80.75
20151230,80.75,81.23,79.77,80.17
20151231,80.11,80.49,79.25,79.42
20160104,77.77,78.21,76.83,77.73
20160105,78.16,78.55,77.05,78.15
20160106,76.50,77.10,72.52,73.56
20160107,72.10,73.52,71.46,71.71
20160108,72.38,72.56,69.43,70.48
20160111,71.13,71.37,69.67,70.95
20160112,72.52,72.95,70.32,71.44
20160113,71.61,72.30,68.81,69.08
20160114,69.78,72.84,68.88,71.95
20160115,69.25,69.25,66.14,67.96
20160119,69.07,69.70,66.96,67.46
20160120,67.41,70.36,67.02,69.57
20160121,69.95,70.04,67.58,68.12
20160122,69.55,70.46,68.17,68.72
20160125,69.17,69.17,67.83,68.00
20160126,68.06,68.92,67.45,68.74
20160127,68.80,69.19,67.24,67.50
20160128,68.51,71.00,68.14,69.45
20160129,70.03,72.45,70.03,71.79
20160201,71.20,73.31,71.06,72.62
20160202,71.60,72.24,70.12,70.55
20160203,71.33,71.80,69.33,71.41
20160204,71.36,72.07,70.56,71.47
20160205,70.86,71.18,68.04,68.97
20160208,67.99,68.36,65.00,66.08
20160209,65.08,66.40,64.19,65.58
20160210,66.00,66.68,65.10,65.48
20160211,64.42,65.35,63.10,64.21
20160212,64.91,66.62,64.25,66.05
20160216,66.81,68.47,66.66,67.58
20160217,68.12,69.32,67.79,69.25
20160218,69.56,69.56,67.73,67.77
20160219,69.52,71.43,69.38,69.77
20160222,70.19,71.46,69.49,70.34
20160223,69.72,70.35,68.95,69.23
20160224,68.76,70.53,68.19,70.48
20160225,70.52,72.46,70.14,72.43
20160226,72.86,74.16,72.49,73.81
20160229,73.39,74.62,73.09,73.30
20160301,73.50,75.94,73.08,75.57
20160302,75.34,75.90,73.83,74.55
20160303,74.55,75.00,73.90,74.87
20160304,75.22,75.25,73.82,74.33
