Date,Open,High,Low,Close
20161110,32.04,32.35,29.82,30.33
20161111,29.80,30.09,28.85,29.89
20161114,29.34,30.43,28.75,30.19
20161115,29.64,30.70,29.62,30.43
20161116,30.77,32.04,30.61,31.70
20161117,31.40,33.06,30.64,32.51
20161118,32.14,33.10,31.79,32.68
20161121,32.26,32.50,31.29,31.74
20161122,31.52,33.15,30.43,32.70
20161123,32.70,33.47,32.50,33.02
20161125,32.76,32.78,32.27,32.59
20161128,32.27,33.50,32.17,32.74
20161129,33.05,33.36,32.72,33.19
20161130,33.26,34.30,33.00,33.48
20161201,33.04,33.26,32.19,32.51
20161202,32.16,33.21,32.01,32.99
20161205,32.87,33.76,32.75,33.65
20161206,33.45,33.86,33.21,33.82
20161207,34.07,34.98,34.00,34.75
20161208,34.91,36.00,34.61,35.93
20161209,35.82,36.51,35.60,36.38
20161212,36.38,37.22,36.31,36.73
20161213,36.97,37.09,35.67,36.58
20161214,36.62,37.00,34.97,35.15
20161215,35.06,35.26,34.15,34.38
20161216,34.34,35.47,34.28,35.26
20161219,35.31,35.84,34.27,34.48
20161220,34.22,35.11,34.20,34.95
20161221,34.64,35.22,34.46,35.02
20161222,35.00,36.62,34.80,36.33
20161223,36.41,37.07,35.97,36.85
20161227,36.65,37.49,36.61,37.34
20161228,37.25,37.66,37.01,37.23
20161229,37.37,37.96,37.14,37.77
20161230,37.74,38.52,37.67,37.85
20170103,37.71,38.60,37.36,37.49
20170104,37.67,38.41,36.42,36.98
20170105,36.98,37.71,36.48,36.62
20170106,36.42,36.96,36.06,36.83
20170109,36.81,37.09,36.10,36.89
20170110,38.79,38.96,36.19,36.84
20170111,36.70,37.20,36.02,36.89
20170112,36.69,37.01,36.12,36.96
20170113,36.89,37.30,36.55,37.22
20170117,37.14,37.22,36.75,36.89
20170118,36.75,36.88,36.41,36.64
20170119,36.79,37.00,36.33,36.96
20170120,36.95,37.56,36.77,37.11
20170123,36.98,37.42,36.47,36.77
20170124,36.66,37.67,36.59,37.49
20170125,37.45,37.80,36.44,36.67
20170126,36.39,36.87,36.25,36.33
20170127,36.40,36.54,35.81,36.44
20170130,36.20,36.93,36.20,36.78
20170131,36.68,37.55,36.68,37.36
20170201,37.58,37.97,37.16,37.77
20170202,37.70,38.81,37.61,38.42
20170203,38.49,39.47,38.46,38.90
20170206,39.13,39.35,38.72,39.24
20170207,39.25,39.80,38.98,39.41
20170208,39.28,39.69,38.58,39.16
20170209,39.16,39.52,38.69,39.08
20170210,39.00,39.57,38.60,39.27
20170213,39.24,39.71,38.83,39.43
20170214,39.33,39.74,39.25,39.65
20170215,39.50,39.75,39.20,39.63
20170216,39.57,40.16,39.56,39.90
20170217,39.77,39.95,39.30,39.62
20170221,39.56,40.13,39.30,39.62
20170222,39.41,40.00,39.41,39.85
20170223,39.95,39.95,39.27,39.50
20170224,39.50,39.66,39.32,39.58
20170227,39.70,39.70,39.08,39.48
20170228,39.44,39.79,39.19,39.19
20170301,39.10,40.04,39.07,39.95
20170302,39.70,40.39,39.56,40.22
20170303,40.08,40.47,39.53,40.40
20170306,40.37,40.61,40.06,40.42
20170307,40.26,41.05,40.04,40.74
20170308,40.65,41.08,40.42,40.72
20170309,40.79,41.10,40.54,40.98
20170310,41.02,41.60,40.86,41.40
20170313,41.39,41.61,41.31,41.53
20170314,41.50,42.25,41.32,42.21
20170315,42.44,43.47,42.28,42.36
20170316,42.28,42.50,41.75,41.99
20170317,41.94,42.39,41.67,42.25
20170320,42.31,42.63,42.09,42.48
20170321,42.59,43.12,42.54,42.87
20170322,43.02,43.48,42.43,42.44
20170323,42.40,43.28,42.22,43.01
20170324,43.00,43.24,42.67,42.67
20170327,42.53,43.02,42.22,42.96
20170328,42.86,43.20,42.66,42.92
20170329,42.88,42.95,42.52,42.64
20170330,42.70,42.70,42.06,42.09
20170331,42.07,42.15,41.81,42.06
20170403,42.01,42.25,41.75,42.00
20170404,42.08,42.22,41.54,42.19
20170405,42.13,42.50,41.70,41.74
20170406,43.12,43.40,40.61,43.14
20170407,42.13,43.26,41.75,42.99
20170410,42.94,43.01,42.18,42.76
20170411,42.78,42.89,42.09,42.88
20170412,42.90,42.95,42.08,42.16
20170413,42.18,42.34,41.87,41.87
20170417,41.89,42.26,41.76,42.23
20170418,42.27,42.44,41.99,42.38
20170419,42.29,42.39,42.01,42.20
20170420,42.31,42.74,42.02,42.60
20170421,42.57,42.57,42.04,42.26
20170424,42.53,42.71,42.20,42.67
20170425,42.84,42.93,42.28,42.46
20170426,42.33,42.38,41.96,42.24
20170427,42.14,42.85,42.13,42.64
20170428,42.59,42.64,41.55,41.75
20170501,41.86,41.97,41.35,41.80
20170502,41.68,42.02,40.91,41.39
20170503,41.17,41.44,40.83,40.90
20170504,41.18,41.40,40.75,41.26
20170505,41.18,41.63,41.18,41.57
20170508,41.42,41.62,41.12,41.58
20170509,41.62,41.90,41.31,41.75
20170510,41.68,42.47,41.65,42.47
20170511,42.33,42.50,41.92,42.20
20170512,42.07,42.37,42.07,42.20
20170515,42.14,42.96,42.14,42.93
20170516,43.23,44.51,43.10,44.47
20170517,44.47,44.71,44.03,44.17
20170518,44.05,44.22,43.72,43.94
20170519,44.42,44.84,44.05,44.38
20170522,44.50,44.75,44.29,44.58
20170523,44.51,44.73,44.16,44.22
20170524,44.68,45.51,44.40,45.49
20170525,45.58,45.92,45.40,45.63
20170526,45.55,45.81,45.31,45.66
20170530,45.50,46.32,45.41,46.17
20170531,46.31,46.82,46.31,46.41
20170601,46.48,47.40,46.33,47.32
20170602,47.56,47.99,47.00,47.38
20170605,47.15,47.46,46.41,46.71
20170606,46.65,46.71,45.94,46.67
20170607,46.76,47.21,46.33,46.91
20170608,46.90,46.91,46.48,46.50
20170609,46.58,46.76,45.85,46.03
20170612,46.16,46.28,45.20,45.43
20170613,45.60,46.24,45.47,45.98
20170614,45.80,46.13,45.46,45.59
20170615,45.46,45.64,45.06,45.32
20170616,45.18,45.27,43.89,45.07
20170619,44.96,45.65,44.96,45.55
20170620,45.86,45.93,45.48,45.73
20170621,45.91,46.18,45.57,45.82
20170622,45.83,46.01,45.41,45.59
20170623,45.54,45.73,45.31,45.56
20170626,45.62,45.74,45.06,45.34
20170627,45.28,45.37,44.52,44.69
20170628,44.86,45.74,44.65,45.37
20170629,45.30,45.31,44.04,44.13
20170630,44.29,44.51,43.96,44.04
20170703,44.02,44.16,43.32,43.86
20170705,43.67,44.07,43.26,43.27
20170706,43.13,43.24,42.74,42.90
