Date,Open,High,Low,Close
20151127,25.46,25.69,25.27,25.61
20151130,25.61,25.78,25.29,25.39
20151201,25.49,25.69,25.32,25.59
20151202,25.52,25.66,25.05,25.19
20151203,25.30,25.37,24.71,24.96
20151204,24.97,25.22,24.85,25.14
20151207,25.01,25.17,24.90,25.07
20151208,24.93,25.06,24.58,24.81
20151209,24.72,24.94,24.40,24.53
20151210,24.57,24.84,24.44,24.61
20151211,24.39,24.86,24.21,24.70
20151214,24.66,24.82,24.38,24.75
20151215,24.94,25.34,24.84,24.90
20151216,25.11,25.53,24.83,25.47
20151217,25.45,25.50,24.93,24.97
20151218,24.87,25.15,24.51,24.68
20151221,24.87,24.96,24.47,24.79
20151222,24.90,25.18,24.82,25.02
20151223,25.13,25.21,24.77,25.01
20151224,25.05,25.13,24.77,24.90
20151228,24.83,24.95,24.61,24.90
20151229,25.03,25.25,24.92,25.17
20151230,25.09,25.24,24.76,24.78
20151231,24.68,24.93,24.57,24.57
20160104,24.14,24.27,23.68,23.97
20160105,23.97,24.15,23.65,23.91
20160106,23.55,23.85,23.46,23.77
20160107,23.36,23.67,23.10,23.11
20160108,23.25,23.33,22.74,22.81
20160111,22.89,22.90,22.27,22.78
20160112,22.94,23.20,22.81,23.13
20160113,23.16,23.17,21.80,22.08
20160114,22.13,22.67,21.64,22.51
20160115,21.99,22.52,21.94,22.50
20160119,22.68,22.82,22.27,22.38
20160120,22.04,22.10,21.31,21.55
20160121,21.65,21.70,21.25,21.43
20160122,21.75,22.21,21.67,22.12
20160125,22.05,22.20,21.75,21.81
20160126,21.86,22.36,21.85,22.35
20160127,22.24,22.49,21.85,22.00
20160128,22.18,22.20,21.55,21.74
20160129,21.81,22.70,21.81,22.70
20160201,22.57,22.62,22.20,22.46
20160202,22.23,22.29,21.29,21.65
20160203,21.75,21.85,20.99,21.58
20160204,21.55,21.95,21.22,21.36
20160205,21.21,21.26,19.85,20.06
20160208,19.55,19.93,18.91,19.39
20160209,19.11,19.76,18.77,19.36
20160210,19.48,20.19,19.35,19.49
20160211,19.15,19.67,18.78,19.45
20160212,19.63,19.74,19.33,19.41
20160216,19.69,20.22,19.59,20.15
20160217,20.23,20.55,20.15,20.32
20160218,20.29,20.41,19.48,19.58
20160219,19.53,20.14,19.41,20.04
20160222,20.18,20.78,20.12,20.59
20160223,20.56,20.73,20.32,20.34
20160224,20.15,21.06,20.06,20.92
20160225,21.00,21.28,20.49,20.70
20160226,20.65,22.48,20.65,21.84
20160229,21.80,22.13,21.68,21.99
20160301,22.18,22.52,21.95,22.38
20160302,22.28,22.40,22.06,22.30
20160303,22.31,22.57,22.24,22.50
20160304,22.57,22.57,22.19,22.35
20160307,22.24,22.74,22.15,22.52
20160308,22.40,22.41,22.07,22.18
20160309,22.29,22.41,22.11,22.25
20160310,22.35,22.45,21.74,22.10
20160311,22.29,22.59,22.22,22.51
20160314,22.45,22.55,22.20,22.35
20160315,22.25,22.38,21.95,22.12
20160316,22.03,22.52,22.03,22.34
