Date,Open,High,Low,Close
20151127,71.65,71.92,71.37,71.48
20151130,71.38,71.40,69.89,70.91
20151201,71.51,72.38,71.07,72.26
20151202,72.08,72.68,71.52,71.69
20151203,71.75,71.88,68.55,68.78
20151204,70.49,71.09,69.24,71.04
20151207,70.75,71.00,69.15,69.50
20151208,69.28,69.91,68.48,69.58
20151209,69.08,70.02,67.57,68.02
20151210,68.73,68.91,67.87,68.23
20151211,67.12,67.83,66.71,66.85
20151214,66.78,67.21,65.55,66.43
20151215,67.07,67.16,66.02,66.62
20151216,67.16,68.10,65.93,67.16
20151217,67.36,67.83,66.01,66.03
20151218,65.89,66.54,64.64,65.11
20151221,65.37,65.92,64.99,65.17
20151222,65.76,68.91,65.26,68.49
20151223,68.31,69.00,67.92,68.85
20151224,68.86,69.30,68.55,68.77
20151228,68.00,68.96,68.00,68.85
20151229,69.09,69.28,68.37,68.75
20151230,68.84,68.96,67.86,68.02
20151231,67.99,68.21,67.04,67.04
20160104,65.93,66.20,64.97,65.38
20160105,65.48,66.03,65.23,65.59
20160106,64.47,64.68,62.53,63.62
20160107,62.27,63.13,61.68,61.82
20160108,62.36,63.81,62.01,62.65
20160111,63.15,63.50,62.12,63.16
20160112,63.22,64.50,63.17,64.32
20160113,63.83,64.03,60.13,60.27
20160114,60.21,62.12,58.92,60.74
20160115,59.02,60.15,58.33,59.55
20160119,60.44,60.50,57.62,58.38
20160120,57.63,60.60,56.43,59.81
20160121,59.75,62.56,59.15,61.65
20160122,62.58,63.61,61.61,62.46
20160125,62.40,62.40,60.00,60.12
20160126,60.71,62.06,60.28,61.94
20160127,61.81,62.45,60.01,60.64
20160128,61.27,61.64,58.80,59.21
20160129,59.89,61.31,59.37,61.28
20160201,60.32,61.90,60.01,61.42
20160202,60.40,60.76,58.99,59.07
20160203,59.16,59.73,57.69,59.39
20160204,59.28,60.90,58.89,60.71
20160205,60.68,60.71,59.13,60.01
20160208,59.59,59.80,57.89,59.44
20160209,59.00,61.63,59.00,60.77
20160210,61.63,62.84,61.18,61.38
20160211,60.50,62.18,60.10,61.59
20160212,62.06,63.89,61.63,63.80
20160216,64.27,65.55,63.98,65.06
20160217,65.74,67.88,65.65,66.68
20160218,64.10,65.68,64.00,64.94
20160219,64.50,65.81,64.25,65.71
