Date,Open,High,Low,Close
20151127,30.45,30.55,30.15,30.25
20151130,30.29,30.40,29.83,29.91
20151201,30.02,30.46,29.80,30.42
20151202,30.33,30.49,30.12,30.17
20151203,30.20,30.26,29.31,29.51
20151204,29.63,30.09,29.48,30.02
20151207,29.88,30.02,29.73,29.94
20151208,29.59,29.99,29.49,29.75
20151209,29.62,29.99,29.14,29.30
20151210,29.22,29.48,28.90,29.25
20151211,29.00,29.32,28.83,28.96
20151214,29.08,29.24,28.65,29.22
20151215,29.40,29.59,28.76,28.81
20151216,29.10,29.65,28.99,29.43
20151217,29.45,29.52,28.37,28.37
20151218,28.24,28.24,27.68,27.88
20151221,28.05,28.22,27.81,28.04
20151222,28.15,28.36,27.88,28.31
20151223,28.50,28.63,28.31,28.38
20151224,28.34,28.56,28.26,28.44
20151228,28.25,28.54,28.17,28.51
20151229,28.73,28.75,28.43,28.54
20151230,28.49,28.71,28.37,28.41
20151231,28.31,28.65,28.00,28.30
20160104,27.83,27.88,27.48,27.80
20160105,27.89,28.16,27.56,27.69
20160106,27.23,27.70,26.82,27.38
20160107,26.78,27.08,25.92,26.13
20160108,26.26,26.43,25.47,25.53
20160111,25.57,25.82,24.87,25.15
20160112,25.44,25.67,25.06,25.52
20160113,25.60,25.80,24.51,24.54
20160114,24.58,25.10,24.10,24.95
20160115,24.41,25.33,24.30,24.82
20160119,25.07,25.42,24.45,24.71
20160120,24.28,24.57,23.76,24.26
20160121,24.32,25.37,24.13,24.91
20160122,25.55,26.19,25.41,25.57
20160125,25.69,25.72,25.31,25.37
20160126,25.36,25.72,24.96,25.67
20160127,25.57,26.15,25.47,25.77
20160128,25.91,26.07,25.23,25.42
20160129,25.67,26.42,25.29,26.39
20160201,26.23,26.39,26.00,26.27
20160202,25.94,26.01,25.03,25.07
20160203,25.36,25.51,24.26,25.26
20160204,25.14,26.04,25.14,25.39
20160205,25.34,25.47,24.19,24.30
20160208,23.92,23.99,23.10,23.46
20160209,24.62,25.63,23.60,25.39
20160210,25.68,26.40,25.36,25.51
20160211,25.06,25.62,24.62,24.97
20160212,25.32,25.86,25.23,25.82
20160216,26.31,26.44,25.61,26.43
20160217,26.61,27.44,26.60,27.23
20160218,27.27,27.38,26.93,27.03
20160219,26.95,27.70,26.83,27.62
20160222,27.86,28.01,27.57,27.79
20160223,27.77,28.40,27.62,28.36
20160224,28.07,28.77,27.81,28.68
20160225,28.70,29.05,28.23,28.91
20160226,29.03,29.13,28.67,28.74
20160229,28.81,29.06,28.20,28.20
20160301,28.44,29.20,28.36,29.20
20160302,29.12,29.27,28.71,29.07
20160303,29.14,29.23,28.56,28.97
20160304,28.98,29.34,28.74,28.99
20160307,28.81,29.14,28.61,28.96
20160308,28.78,29.26,28.56,29.14
20160309,29.22,29.32,28.66,29.23
20160310,29.30,29.58,28.76,29.12
20160311,29.48,29.56,29.12,29.49
20160314,29.32,29.55,29.04,29.51
20160315,29.22,29.83,29.15,29.82
20160316,29.66,30.15,29.57,29.98
20160317,29.91,30.70,29.85,30.56
20160318,30.68,30.95,30.57,30.77
20160321,30.77,30.99,30.59,30.86
20160322,30.60,31.23,30.53,31.07
20160323,30.84,31.37,30.82,30.94
20160324,30.84,30.92,30.67,30.89
20160328,30.95,31.41,30.88,31.20
20160329,31.18,31.48,31.08,31.43
20160330,31.54,31.71,31.28,31.60
20160331,31.50,31.61,31.22,31.45
20160401,31.34,32.10,31.23,32.04
20160404,32.00,32.08,31.47,31.68
20160405,31.37,31.68,31.16,31.50
20160406,31.38,31.73,31.36,31.72
20160407,31.61,32.00,31.19,31.40
20160408,31.69,31.88,31.57,31.73
20160411,31.77,32.01,31.44,31.47
20160412,31.45,31.86,31.45,31.78
20160413,32.00,32.26,31.92,32.21
20160414,32.29,32.37,32.01,32.16
20160415,32.24,32.32,32.06,32.28
20160418,32.23,32.50,32.12,32.40
20160419,32.40,32.69,32.12,32.40
20160420,32.40,32.92,32.21,32.72
20160421,32.78,32.84,32.22,32.30
20160422,32.35,32.56,32.29,32.47
20160425,32.44,32.47,32.01,32.24
20160426,32.40,32.40,30.65,31.58
