Date,Open,High,Low,Close
20151127,113.71,114.39,113.53,114.23
20151130,114.38,114.49,113.56,114.16
20151201,114.52,114.93,113.79,114.45
20151202,114.10,114.27,113.45,113.72
20151203,113.61,114.44,112.91,113.39
20151204,113.75,116.39,113.42,116.20
20151207,115.81,116.51,115.75,116.42
20151208,115.95,116.86,115.26,116.53
20151209,116.21,117.30,115.90,116.58
20151210,116.61,117.51,116.20,117.20
20151211,115.86,116.61,115.62,116.08
20151214,116.17,117.07,114.65,116.26
20151215,117.50,118.24,116.84,116.93
20151216,117.49,118.75,116.49,117.84
20151217,118.34,118.90,117.49,117.50
20151218,116.74,117.28,115.89,116.66
20151221,116.96,117.74,116.61,117.69
20151222,117.96,118.04,116.64,117.72
20151223,118.02,118.85,117.75,118.80
20151224,118.75,118.99,118.50,118.57
20151228,118.10,118.90,118.05,118.75
20151229,119.00,120.23,118.82,120.07
20151230,119.64,119.99,119.23,119.43
20151231,118.82,119.18,117.94,118.14
20160104,117.25,117.73,115.87,117.58
20160105,117.41,119.23,117.29,119.20
20160106,118.00,119.27,117.81,118.40
20160107,117.44,117.97,115.59,115.66
20160108,115.75,117.47,115.26,115.48
20160111,115.65,117.06,115.58,116.69
20160112,117.03,117.74,116.17,117.44
20160113,117.69,117.87,115.08,115.12
20160114,115.59,117.13,113.00,116.62
20160115,114.26,116.45,114.21,115.18
20160119,116.63,117.71,115.96,117.50
20160120,116.97,118.00,114.38,115.78
20160121,116.51,118.44,115.79,117.84
20160122,118.44,118.75,117.37,118.40
20160125,121.85,121.90,118.20,119.20
20160126,119.60,121.30,119.00,120.43
20160127,120.88,121.62,119.83,120.87
20160128,121.10,122.60,120.20,122.38
20160129,122.77,124.35,122.75,123.78
20160201,123.08,124.83,123.02,124.61
20160202,124.05,124.34,123.10,123.95
20160203,124.36,124.58,120.84,121.47
20160204,121.04,121.24,118.72,120.66
20160205,120.65,120.65,114.96,115.40
20160208,114.05,116.36,112.71,116.05
20160209,115.54,117.80,115.35,117.01
20160210,118.02,118.53,117.26,117.54
20160211,115.74,117.50,115.69,116.73
20160212,116.72,118.33,116.10,117.93
20160216,118.42,119.18,117.60,119.18
20160217,119.18,119.40,116.72,118.64
20160218,118.81,119.46,116.93,117.17
20160219,117.00,117.35,115.81,116.53
20160222,116.53,118.16,116.53,117.67
20160223,117.35,118.15,116.85,116.90
20160224,116.32,117.33,115.80,117.06
20160225,117.43,118.50,117.16,118.37
20160226,117.98,118.27,116.17,117.06
20160229,116.80,118.37,116.71,117.19
20160301,117.91,119.19,117.77,118.85
20160302,118.56,118.73,117.66,118.48
20160303,117.48,117.48,115.32,116.69
20160304,116.72,117.45,115.90,117.18
20160307,117.03,117.57,116.12,117.15
20160308,116.21,119.08,116.21,118.42
20160309,119.24,120.20,118.46,119.64
20160310,119.91,120.86,118.66,119.98
20160311,120.49,122.01,120.36,121.55
20160314,121.81,123.49,121.45,122.90
20160315,122.30,123.76,122.21,123.43
20160316,123.33,124.06,122.67,123.52
20160317,123.27,123.85,123.11,123.16
20160318,123.43,124.12,122.75,124.08
20160321,123.66,124.50,123.05,123.81
20160322,123.79,124.39,123.56,123.82
20160323,124.10,125.00,123.86,124.19
20160324,123.69,124.00,122.66,123.29
20160328,124.00,124.20,123.12,123.17
20160329,123.43,124.57,123.34,123.97
20160330,124.90,126.10,124.60,125.83
20160331,126.15,126.96,125.61,125.68
20160401,125.19,127.39,124.87,127.02
20160404,127.05,127.87,126.88,127.57
20160405,126.84,127.78,126.39,127.38
20160406,127.47,127.69,126.84,127.52
20160407,127.37,128.52,127.02,128.14
20160408,128.28,128.74,127.28,127.96
20160411,128.35,128.69,127.45,127.56
20160412,128.08,128.28,126.89,127.61
20160413,127.71,127.92,126.08,126.89
20160414,127.14,128.09,127.04,127.51
20160415,127.08,128.04,126.96,127.78
20160418,127.78,128.91,127.68,128.85
20160419,128.91,129.35,128.12,128.86
20160420,129.31,129.80,128.51,128.55
20160421,128.55,128.75,125.60,125.79
20160422,128.17,128.40,125.36,125.50
20160425,125.07,127.53,125.01,127.46
20160426,127.42,128.34,127.03,127.71
20160427,127.94,128.56,127.78,128.30
20160428,127.86,128.85,127.44,127.92
20160429,127.93,127.93,126.10,126.49
20160502,126.65,128.22,126.50,128.20
20160503,127.40,128.99,127.38,128.40
20160504,127.57,130.43,127.57,129.33
20160505,129.31,129.98,129.00,129.28
20160506,129.38,130.58,128.59,130.58
20160509,130.65,131.50,130.35,130.83
20160510,130.85,131.96,130.85,131.60
20160511,131.24,131.62,129.14,129.14
20160512,129.74,130.54,129.16,130.12
20160513,129.74,130.16,128.71,128.83
20160516,128.51,129.73,128.05,129.64
20160517,129.60,129.97,127.30,127.69
20160518,127.05,127.47,125.73,126.21
20160519,125.48,125.60,124.68,125.29
20160520,124.74,125.00,122.14,122.56
20160523,122.76,123.73,122.47,122.81
20160524,123.39,124.77,123.01,123.95
20160525,123.75,123.99,123.03,123.26
20160526,123.38,123.98,123.23,123.79
20160527,124.27,124.68,123.12,123.25
20160531,123.30,123.41,121.62,122.06
20160601,122.06,122.74,121.50,121.97
20160602,120.70,121.51,120.55,121.17
20160603,121.09,121.67,120.34,121.35
20160606,121.79,122.17,121.21,122.00
20160607,122.34,123.38,121.90,121.90
20160608,121.98,122.49,120.89,122.11
20160609,122.07,123.09,122.07,122.79
20160610,121.80,122.66,121.61,122.36
20160613,121.95,123.97,121.85,122.99
20160614,122.54,123.19,121.93,122.51
20160615,123.15,123.32,122.13,122.25
20160616,121.84,122.63,120.95,122.47
20160617,122.23,122.71,121.42,122.27
20160620,123.32,124.08,123.27,123.42
20160621,123.92,124.00,122.31,122.63
20160622,121.31,121.45,120.05,120.62
20160623,121.48,121.75,120.64,121.21
20160624,118.76,121.11,118.29,119.44
20160627,118.16,118.16,116.08,116.30
20160628,117.20,118.64,116.83,118.50
20160629,119.16,119.96,119.00,119.49
20160630,119.68,120.45,119.30,120.34
20160701,119.72,120.86,119.66,120.40
20160705,120.12,120.80,120.10,120.76
20160706,119.29,120.96,119.00,120.63
20160707,120.89,121.24,120.41,120.92
20160708,121.22,121.69,121.08,121.31
20160711,121.69,122.12,121.46,122.00
20160712,122.00,122.59,121.96,122.25
20160713,122.36,123.02,122.16,122.82
20160714,123.70,124.21,123.01,123.93
20160715,124.42,124.44,123.39,123.61
20160718,124.00,124.00,123.39,123.80
20160719,124.08,126.60,123.75,126.50
20160720,126.84,126.87,125.56,126.06
20160721,126.42,127.23,125.93,127.18
20160722,127.29,128.60,127.29,128.26
20160725,127.95,127.95,126.86,127.40
