Date,Open,High,Low,Close
20151127,189.84,191.91,188.53,190.36
20151130,190.35,191.00,189.05,189.35
20151201,190.15,191.43,189.07,191.25
20151202,191.46,193.12,189.51,189.99
20151203,190.05,191.98,187.08,190.30
20151204,191.00,192.36,189.71,190.54
20151207,190.60,190.88,187.08,188.98
20151208,187.50,190.11,185.92,188.91
20151209,187.85,190.77,185.99,187.06
20151210,188.00,191.41,186.03,190.48
20151211,188.72,191.01,188.54,190.21
20151214,190.35,191.43,188.57,190.58
20151215,192.24,193.00,186.76,187.15
20151216,188.42,191.16,185.94,190.72
20151217,191.04,192.15,189.87,190.02
20151218,189.36,195.64,188.72,193.40
20151221,194.38,195.70,193.01,195.30
20151222,195.48,197.55,194.60,197.30
20151223,197.89,200.89,197.39,200.50
20151224,199.61,200.30,199.01,199.41
20151228,199.41,200.92,198.64,200.27
20151229,201.86,202.20,199.88,200.32
20151230,200.55,201.49,198.17,198.74
20151231,198.53,200.57,197.22,197.23
20160104,193.59,195.66,192.86,194.67
20160105,195.17,196.84,194.60,195.50
20160106,191.87,193.71,191.33,193.10
20160107,189.75,190.33,187.67,187.81
20160108,188.47,189.39,182.00,182.39
20160111,168.99,170.78,161.80,163.55
20160112,164.78,166.64,163.12,164.01
20160113,163.88,165.96,156.31,157.84
20160114,157.64,166.20,157.55,164.78
20160115,161.52,165.15,158.80,165.00
20160119,166.49,169.98,165.03,169.44
20160120,166.74,170.64,162.34,170.00
20160121,170.00,172.50,168.60,170.45
20160122,172.30,173.64,169.57,170.18
20160125,170.75,172.91,169.80,170.17
20160126,171.72,171.72,167.04,170.99
20160127,169.96,171.45,166.13,166.92
20160128,154.79,170.85,152.22,160.12
20160129,160.49,163.06,157.62,160.98
20160201,159.80,160.45,156.32,159.27
20160202,158.14,159.95,155.00,155.00
20160203,156.49,156.98,149.24,152.37
20160204,151.74,157.78,149.55,153.81
20160205,152.04,156.39,150.83,154.36
20160208,153.23,153.66,149.28,151.46
20160209,149.94,153.18,148.29,150.38
20160210,150.94,155.30,150.52,152.99
20160211,150.71,152.06,148.54,150.03
20160212,151.52,152.18,148.75,151.03
20160216,152.00,153.64,150.64,152.59
20160217,154.04,157.91,154.00,155.57
20160218,155.15,156.69,154.89,155.96
20160219,155.72,155.72,153.16,154.27
20160222,155.55,156.73,154.72,156.43
20160223,156.00,156.14,153.80,153.99
20160224,153.29,155.22,151.93,154.67
20160225,155.94,156.83,153.51,155.37
20160226,156.00,158.68,154.56,156.78
20160229,156.56,157.98,155.28,155.62
20160301,154.68,156.65,154.42,156.65
20160302,156.33,161.74,155.89,158.69
20160303,158.16,163.04,157.66,162.70
20160304,162.59,164.92,162.42,162.77
20160307,162.00,163.96,161.66,163.04
20160308,162.08,162.63,157.56,158.80
20160309,160.00,163.52,159.33,161.88
20160310,162.67,163.66,159.68,161.12
20160311,162.13,166.75,161.83,166.40
20160314,166.38,167.13,163.96,164.99
20160315,162.81,163.29,156.79,157.30
20160316,156.59,158.17,155.23,156.00
20160317,155.00,155.70,149.60,151.69
20160318,152.00,160.04,151.55,158.31
20160321,157.96,158.69,155.37,156.86
20160322,156.37,157.44,155.00,156.61
20160323,157.00,158.06,154.89,155.03
20160324,154.02,158.40,153.94,157.29
20160328,157.29,157.93,155.32,156.53
20160329,156.55,159.01,155.88,158.87
20160330,159.00,159.99,157.54,157.73
20160331,157.96,159.84,157.11,157.25
20160401,156.75,157.90,155.57,157.41
20160404,157.24,161.78,157.00,158.21
20160405,156.37,157.56,154.33,154.69
20160406,155.28,163.42,155.16,163.21
20160407,162.34,163.06,159.84,161.25
20160408,162.24,163.34,160.80,162.20
20160411,162.24,163.52,161.14,162.38
20160412,162.94,165.21,162.35,164.33
20160413,164.42,167.69,163.35,167.50
20160414,166.95,169.47,165.51,168.59
20160415,169.09,172.80,168.66,172.77
20160418,171.91,174.43,170.84,174.00
20160419,174.44,176.38,173.72,175.84
20160420,176.40,178.45,175.01,177.54
20160421,177.65,178.87,177.11,178.03
20160422,178.65,179.30,176.67,178.25
20160425,178.16,178.50,175.55,177.16
20160426,177.34,178.69,176.96,177.17
20160427,177.19,178.54,176.45,177.93
20160428,176.50,176.61,169.13,169.33
20160429,168.44,169.23,166.41,167.82
20160502,167.80,168.85,166.85,168.43
20160503,166.75,170.07,166.39,168.15
20160504,167.59,168.10,164.39,165.01
20160505,171.80,178.50,169.48,172.70
20160506,171.51,173.13,166.93,168.86
20160509,169.52,172.97,169.39,172.22
20160510,173.47,173.72,169.26,170.31
20160511,169.53,171.97,168.70,168.89
20160512,169.27,170.04,166.23,167.30
20160513,166.92,168.26,165.49,165.93
20160516,169.01,173.49,168.58,172.53
20160517,172.13,175.38,170.24,173.51
20160518,172.25,181.15,172.25,179.89
20160519,179.54,183.93,178.40,180.96
20160520,181.79,182.88,180.13,182.29
20160523,179.88,181.57,178.28,178.65
20160524,179.00,183.81,178.26,182.77
20160525,182.94,185.58,182.14,182.92
20160526,182.43,183.32,179.47,179.57
20160527,179.51,182.21,179.03,181.22
20160531,181.40,183.37,180.51,183.14
20160601,181.72,185.51,180.65,184.81
20160602,184.93,187.98,184.63,187.79
20160603,187.10,188.43,185.91,186.46
20160606,186.64,187.69,185.78,187.17
20160607,186.96,187.59,184.82,184.97
20160608,185.18,188.02,183.70,187.74
20160609,187.41,187.99,185.68,186.88
20160610,185.29,186.54,184.64,185.47
20160613,185.67,186.56,183.47,183.64
20160614,183.00,183.59,180.37,181.55
20160615,182.53,183.49,180.60,180.93
20160616,179.00,180.20,176.61,179.75
20160617,179.92,180.38,176.88,177.78
20160620,179.94,181.43,179.30,179.87
20160621,180.89,181.00,178.92,179.27
20160622,179.07,182.72,179.02,181.53
20160623,183.36,184.81,182.93,184.00
20160624,177.37,179.20,176.27,177.07
20160627,174.75,175.50,171.16,172.63
20160628,174.37,177.86,174.37,176.58
20160629,179.94,184.06,178.35,183.34
20160630,183.49,186.76,182.54,186.65
20160701,187.02,190.36,186.83,188.10
20160705,186.76,188.10,186.05,187.48
20160706,186.90,192.11,185.43,191.88
20160707,191.88,193.60,190.08,191.20
20160708,192.33,193.37,191.87,192.79
20160711,192.72,193.90,191.90,193.45
20160712,193.99,197.00,193.85,195.47
20160713,196.52,198.06,195.68,197.41
20160714,198.88,199.43,197.51,198.03
20160715,198.68,199.05,196.22,197.14
20160718,197.30,197.93,196.07,197.70
20160719,196.59,198.73,196.52,197.97
20160720,198.04,199.27,197.85,198.44
20160721,198.44,198.94,195.92,196.50
20160722,196.78,196.96,195.82,196.57
20160725,195.89,196.11,194.05,196.01
20160726,195.42,196.98,195.00,196.28
20160727,196.25,197.91,195.05,196.92
20160728,191.31,196.91,190.88,193.44
20160729,192.79,195.13,191.20,194.56
20160801,195.20,195.38,191.73,192.09
20160802,192.17,195.01,191.84,193.53
20160803,193.04,195.31,192.94,195.14
20160804,194.64,195.35,193.50,194.48
20160805,195.06,196.63,194.52,194.66
20160808,194.95,195.35,193.79,195.10
20160809,195.41,196.92,195.18,196.29
20160810,196.29,196.49,194.95,195.65
20160811,196.53,196.86,195.29,196.62
20160812,196.28,196.50,194.45,195.24
20160815,195.35,197.08,195.10,196.12
20160816,195.46,196.08,194.85,195.01
20160817,195.08,196.02,193.58,195.78
20160818,195.34,195.95,194.22,194.43
20160819,193.78,194.77,192.97,193.85
20160822,193.75,193.94,192.85,193.65
20160823,194.22,194.66,192.68,192.75
20160824,192.78,193.58,188.64,189.05
20160825,187.04,187.90,182.01,183.30
20160826,183.69,184.11,181.82,182.79
20160829,183.16,184.33,182.61,183.90
20160830,183.49,183.86,182.25,183.03
20160831,183.03,184.84,182.11,184.62
20160901,184.72,184.72,182.13,183.27
20160902,184.04,184.44,182.67,182.98
20160906,183.50,185.02,182.41,184.69
20160907,184.00,186.28,184.00,184.96
20160908,184.52,185.21,182.88,183.04
20160909,181.43,181.82,176.02,176.09
20160912,175.22,181.53,175.11,180.47
20160913,178.49,179.45,174.77,175.84
20160914,175.59,176.36,167.35,167.70
20160915,167.84,169.84,163.97,168.97
20160916,168.24,168.66,164.02,166.16
20160919,165.97,166.69,164.48,165.00
20160920,165.13,166.20,164.36,164.80
20160921,165.40,166.78,164.30,166.40
20160922,167.10,168.89,167.06,168.12
20160923,167.95,169.00,166.13,167.08
20160926,166.01,166.82,165.03,165.18
20160927,165.18,167.01,165.18,166.36
20160928,166.23,167.34,165.63,166.62
20160929,165.97,166.21,164.21,164.42
20160930,164.97,167.21,163.57,166.75
20161003,166.22,166.26,164.85,165.38
20161004,165.95,166.78,165.20,165.66
20161005,166.04,166.35,164.64,165.67
20161006,164.84,164.97,163.28,164.75
20161007,165.39,166.90,164.26,165.82
20161010,166.17,166.73,164.79,165.33
20161011,165.00,165.74,163.51,163.63
20161012,164.31,165.44,162.37,162.54
20161013,161.63,162.90,160.88,162.07
20161014,162.69,163.23,160.95,161.00
20161017,161.21,161.32,159.81,160.65
20161018,162.37,163.12,161.82,162.10
20161019,162.10,162.77,161.07,161.12
20161020,161.01,162.56,160.80,161.95
20161021,161.14,162.12,160.56,161.03
20161024,161.97,162.76,160.24,160.27
20161025,160.13,160.24,158.25,158.50
20161026,157.97,158.93,155.93,158.57
20161027,158.99,161.65,157.54,160.50
20161028,129.80,130.84,114.53,124.11
20161031,123.99,128.58,123.75,127.17
20161101,127.17,130.15,126.30,129.27
20161102,129.53,136.85,129.53,135.83
20161103,137.01,138.86,129.33,129.59
20161104,130.06,133.86,129.27,130.76
20161107,132.74,135.26,131.99,134.51
20161108,131.63,133.32,130.18,130.51
20161109,141.30,151.77,135.19,141.68
20161110,143.77,148.42,143.72,147.49
20161111,146.74,147.95,141.35,143.03
20161114,139.45,145.41,139.02,143.69
20161115,143.60,144.44,142.16,142.87
20161116,142.47,143.36,141.38,141.48
20161117,141.40,142.40,140.94,141.48
20161118,141.70,142.09,139.80,140.05
20161121,140.56,142.20,140.13,141.35
20161122,141.63,142.63,140.16,141.33
20161123,138.68,141.62,137.84,141.27
20161125,141.37,143.15,140.51,143.07
20161128,142.39,144.05,142.13,143.11
20161129,142.70,143.45,141.16,141.25
20161130,141.58,145.09,141.40,143.81
20161201,143.44,144.68,142.65,143.08
20161202,143.88,144.92,143.04,143.56
20161205,143.92,146.35,143.05,145.00
20161206,145.00,145.40,142.90,145.40
20161207,142.68,143.45,136.81,141.62
20161208,140.77,144.20,140.76,143.34
20161209,144.08,147.76,142.49,146.25
20161212,146.31,147.12,145.05,146.49
20161213,146.79,148.59,146.36,147.97
20161214,147.13,147.84,142.13,143.37
20161215,143.69,144.10,141.29,142.34
20161216,142.82,143.33,141.07,142.29
20161219,142.94,144.00,140.42,141.56
20161220,141.98,142.84,140.52,141.13
20161221,141.13,143.06,140.67,141.59
20161222,141.96,142.62,139.76,140.34
20161223,140.77,142.30,140.49,141.18
20161227,141.24,142.89,140.62,142.07
20161228,142.06,142.79,141.17,141.53
20161229,140.86,142.99,140.86,141.78
20161230,141.47,142.26,140.10,140.45
20170103,140.40,149.10,140.40,147.43
20170104,147.39,149.50,146.51,148.58
20170105,147.27,147.93,145.18,146.50
20170106,146.93,147.42,144.89,146.92
20170109,146.35,148.01,145.66,146.84
20170110,146.27,148.59,145.68,146.82
20170111,146.50,147.55,141.09,143.20
20170112,142.24,145.07,141.67,144.68
20170113,145.51,147.76,145.06,147.18
20170117,146.67,149.30,146.03,148.43
