Date,Open,High,Low,Close
20151127,103.17,104.02,102.74,103.79
20151130,103.75,104.09,102.97,103.12
20151201,103.49,103.81,102.59,103.44
20151202,103.60,103.70,102.63,102.90
20151203,103.13,103.35,101.09,101.36
20151204,101.69,104.05,101.48,104.02
20151207,103.05,104.23,103.00,104.05
20151208,102.98,103.58,101.37,101.49
20151209,100.97,102.32,99.24,99.34
20151210,99.70,100.26,99.38,99.53
20151211,98.25,98.95,95.22,95.73
20151214,96.01,97.00,95.37,96.78
20151215,97.87,99.89,97.19,98.66
20151216,99.38,100.32,98.06,99.32
20151217,99.58,100.39,97.82,97.88
20151218,97.19,98.16,96.70,97.46
20151221,98.17,99.58,98.07,99.21
20151222,99.53,99.53,98.00,99.03
20151223,99.30,100.31,98.93,99.85
20151224,99.40,100.66,99.24,100.11
20151228,99.96,100.74,99.46,100.66
20151229,101.32,101.69,100.18,101.56
20151230,101.45,102.13,101.07,101.11
20151231,100.80,101.86,100.32,100.34
20160104,98.44,98.70,96.16,97.22
20160105,97.51,99.09,97.20,98.57
20160106,96.90,97.59,96.00,96.81
20160107,94.07,94.61,92.10,92.72
20160108,93.20,93.61,89.98,90.08
20160111,90.92,91.32,89.69,90.86
20160112,91.81,91.86,90.06,91.17
20160113,91.72,91.89,86.65,87.11
20160114,87.61,88.80,86.37,88.12
20160115,86.02,86.71,84.55,85.99
20160119,87.14,87.98,85.58,86.43
20160120,84.86,87.05,82.09,86.13
20160121,86.57,87.61,85.59,85.80
20160122,87.29,88.46,86.92,88.42
20160125,88.42,88.93,86.61,86.75
20160126,86.85,88.53,86.64,88.33
20160127,88.15,89.52,87.59,88.01
20160128,88.77,89.10,86.79,87.13
20160129,88.09,89.25,87.11,89.14
20160201,88.87,89.20,87.56,88.01
20160202,87.06,87.06,85.11,85.63
20160203,86.18,86.52,83.21,85.59
20160204,85.44,87.50,85.44,87.11
20160205,88.50,88.50,82.27,83.70
20160208,81.68,81.75,78.51,79.38
20160209,78.45,80.58,78.01,80.03
20160210,80.92,82.84,79.99,80.07
20160211,78.23,79.87,77.76,78.45
20160212,79.80,82.35,79.26,82.31
20160216,83.84,84.90,82.32,83.72
20160217,84.17,85.93,83.68,85.72
20160218,85.65,86.20,84.64,85.73
20160219,85.45,85.97,84.68,85.66
20160222,86.47,88.22,86.24,88.12
20160223,87.53,88.63,86.67,86.95
20160224,85.90,87.10,83.71,86.65
20160225,86.72,88.67,86.72,88.64
20160226,88.35,89.38,88.14,88.60
20160229,88.18,89.84,87.95,88.80
20160301,89.57,93.23,89.57,91.54
20160302,90.88,92.54,90.82,92.30
20160303,91.99,95.02,90.91,94.86
20160304,94.98,95.75,94.08,95.40
20160307,94.48,94.81,93.60,94.46
20160308,93.27,93.62,92.62,92.78
20160309,93.58,93.62,92.25,93.06
20160310,93.14,94.79,92.24,93.13
20160311,93.81,94.90,93.61,94.50
20160314,93.93,94.49,93.08,93.68
20160315,93.09,93.83,92.56,93.60
20160316,93.00,94.94,92.98,94.72
20160317,94.74,98.34,94.74,97.50
20160318,97.64,98.56,96.81,97.06
20160321,96.90,97.00,95.41,95.94
20160322,94.75,96.46,94.66,95.91
20160323,95.51,96.24,94.15,94.26
20160324,93.52,93.52,91.93,92.95
20160328,93.15,93.70,92.39,92.98
20160329,92.89,95.53,92.89,95.52
20160330,95.86,96.33,95.50,95.86
20160331,95.72,96.78,95.39,96.56
20160401,95.64,97.79,95.58,97.56
20160404,97.69,98.11,96.20,96.25
20160405,94.95,95.37,93.59,93.77
20160406,93.78,94.70,93.25,94.44
20160407,93.09,94.42,92.61,92.86
20160408,93.71,94.58,92.88,93.31
20160411,93.80,95.19,93.39,93.97
20160412,94.30,95.54,94.02,95.32
20160413,96.04,98.43,96.04,97.96
20160414,97.86,98.31,97.41,97.99
20160415,97.99,98.25,97.04,97.79
20160418,97.54,98.98,97.06,98.64
20160419,99.21,100.08,98.94,99.59
20160420,99.55,100.97,99.15,100.77
20160421,100.45,100.99,99.62,99.63
20160422,98.88,99.85,98.50,98.78
20160425,98.70,99.35,98.42,98.88
20160426,98.34,99.91,98.00,99.69
20160427,99.10,100.13,98.88,99.80
20160428,99.54,100.82,98.82,99.10
20160429,95.80,95.89,92.12,95.72
20160502,95.79,96.40,94.60,96.01
20160503,95.25,95.76,93.82,94.57
20160504,93.75,94.15,92.90,93.67
20160505,93.80,94.42,93.14,93.29
20160506,93.00,94.84,93.00,94.46
20160509,94.51,94.90,94.04,94.66
20160510,94.98,96.41,94.56,96.29
20160511,95.86,96.52,94.88,94.90
20160512,95.55,95.97,93.90,94.74
20160513,94.54,95.25,93.42,93.82
20160516,94.00,95.25,93.78,94.77
20160517,94.29,95.01,93.54,93.70
20160518,93.37,94.92,92.96,94.16
20160519,93.96,94.09,92.40,93.07
20160520,93.61,94.29,93.50,93.83
20160523,93.80,94.18,93.25,93.71
20160524,94.56,98.04,94.43,97.80
20160525,98.02,98.61,97.94,98.12
20160526,98.00,98.22,97.32,97.56
20160527,97.87,98.74,97.87,98.73
20160531,99.20,99.34,98.26,98.64
20160601,98.64,98.95,97.68,98.86
20160602,98.72,99.59,98.35,99.59
20160603,98.66,98.94,97.79,98.76
20160606,98.81,101.36,98.81,101.00
20160607,101.30,101.47,100.17,100.19
20160608,100.12,101.25,99.61,101.07
20160609,100.47,101.21,100.13,101.07
20160610,99.97,100.14,98.89,99.44
20160613,99.00,99.49,98.31,98.32
20160614,97.90,98.58,97.48,98.24
