Date,Open,High,Low,Close
20151127,44.07,44.57,43.79,44.42
20151130,44.42,44.58,43.62,43.66
20151201,44.08,44.54,43.76,44.32
20151202,44.34,44.35,43.76,43.86
20151203,43.91,44.13,42.41,42.61
20151204,42.83,44.54,42.82,44.50
20151207,44.43,44.50,43.73,44.03
20151208,43.49,44.21,43.15,44.00
20151209,43.76,44.25,43.36,43.65
20151210,43.58,44.34,43.52,43.98
20151211,43.16,43.57,42.57,42.73
20151214,43.07,43.39,42.63,43.32
20151215,44.24,44.51,43.75,44.02
20151216,43.98,44.94,43.97,44.85
20151217,44.85,44.90,44.22,44.36
20151218,43.93,44.26,42.95,43.30
20151221,43.65,44.52,43.36,44.44
20151222,44.48,44.81,44.00,44.71
20151223,44.94,45.62,44.81,45.58
20151224,45.57,45.67,45.34,45.35
20151228,45.24,45.48,44.96,45.07
20151229,45.15,45.81,44.90,45.75
20151230,45.74,45.95,45.42,45.51
20151231,45.21,45.45,44.76,44.84
20160104,44.09,44.45,43.25,43.79
20160105,43.79,44.45,43.65,44.15
20160106,43.33,44.17,43.28,43.99
20160107,43.04,43.04,41.35,41.59
20160108,41.65,42.06,40.97,40.99
20160111,41.33,41.80,41.04,41.68
20160112,41.68,42.29,41.51,42.12
20160113,42.11,42.33,40.52,40.59
20160114,41.55,41.93,40.59,41.36
20160115,40.56,40.86,39.79,40.31
20160119,41.05,41.66,40.65,41.46
20160120,40.89,41.15,39.68,40.67
20160121,40.82,40.91,40.00,40.33
20160122,41.09,41.74,40.40,41.60
20160125,41.73,41.79,40.16,40.20
20160126,40.24,41.55,40.24,41.35
20160127,41.34,41.96,40.78,41.12
20160128,41.81,42.53,41.43,41.55
20160129,42.08,43.10,41.83,43.10
20160201,42.82,42.96,42.10,42.73
20160202,42.12,42.70,41.67,41.95
20160203,38.38,40.08,38.22,39.23
20160204,39.01,39.09,37.86,38.02
20160205,37.99,38.68,37.37,37.70
20160208,37.27,37.33,35.88,36.34
20160209,36.21,37.38,36.13,37.05
20160210,37.69,38.57,37.29,38.03
20160211,37.15,37.94,36.90,37.68
20160212,38.10,38.16,37.64,38.10
20160216,38.64,39.15,38.40,39.12
20160217,39.48,39.92,39.15,39.81
20160218,39.96,40.28,39.80,39.96
20160219,39.79,40.77,39.56,39.81
20160222,40.00,40.11,39.50,39.70
20160223,39.56,40.17,39.51,40.07
20160224,39.96,41.00,39.63,40.76
20160225,40.85,41.59,40.72,41.58
20160226,41.79,41.83,40.67,40.69
20160229,40.54,41.17,40.50,40.53
20160301,40.99,41.42,40.67,41.33
20160302,40.96,41.28,40.55,41.22
20160303,41.12,41.89,40.94,41.88
20160304,41.97,42.54,41.77,42.13
20160307,41.71,42.33,41.56,41.73
20160308,41.38,41.76,41.10,41.38
20160309,41.55,42.21,41.30,41.95
20160310,41.91,42.16,41.11,41.67
20160311,41.97,42.42,41.56,42.36
20160314,42.03,42.35,41.79,42.24
20160315,41.93,42.15,41.55,41.64
20160316,41.57,42.21,41.33,41.72
20160317,40.55,41.29,40.09,40.78
20160318,41.04,41.17,40.67,40.74
20160321,40.52,40.91,40.52,40.69
20160322,40.56,40.70,39.77,39.91
20160323,39.96,40.20,39.50,39.94
20160324,39.96,40.06,39.49,39.51
20160328,39.67,39.70,39.21,39.44
20160329,39.50,40.19,39.24,40.10
20160330,40.49,40.59,40.00,40.46
20160331,40.56,40.58,40.08,40.12
20160401,40.00,41.30,39.53,41.24
20160404,41.14,41.29,40.83,41.22
20160405,40.70,41.15,40.70,41.03
20160406,40.45,41.89,40.32,41.88
20160407,41.59,41.82,41.32,41.52
20160408,41.69,42.35,41.67,42.32
20160411,42.87,42.95,42.11,42.16
20160412,42.07,42.53,41.95,42.40
20160413,42.66,42.98,42.30,42.70
