Date,Open,High,Low,Close
20151127,76.83,77.00,76.27,76.46
20151130,76.55,76.76,75.32,75.34
20151201,75.84,76.59,75.38,76.51
20151202,76.39,76.45,75.62,76.11
20151203,76.69,78.61,76.41,76.67
20151204,76.99,78.35,76.91,78.14
20151207,78.28,78.50,77.27,77.95
20151208,77.60,78.22,77.41,78.08
20151209,77.89,78.78,77.10,77.56
20151210,77.72,78.28,77.19,77.44
20151211,76.50,77.13,76.13,76.65
20151214,76.64,77.19,75.59,76.65
20151215,77.21,78.04,76.81,77.10
20151216,77.85,78.64,76.98,78.57
20151217,78.50,78.92,77.87,77.90
20151218,77.44,77.50,76.31,76.31
20151221,77.02,77.26,76.05,76.68
20151222,76.78,77.34,76.24,77.32
20151223,77.70,77.97,77.40,77.65
20151224,77.51,78.07,77.51,77.63
20151228,77.37,77.50,76.97,77.18
20151229,77.62,78.03,77.25,77.85
20151230,77.85,78.06,77.36,77.53
20151231,77.06,77.67,76.85,76.92
20160104,75.83,76.12,75.11,75.77
20160105,75.77,76.25,75.64,75.99
20160106,74.80,76.29,74.78,76.20
20160107,74.63,75.64,74.36,74.41
20160108,74.68,75.29,73.57,73.78
20160111,74.01,74.52,72.31,73.00
20160112,73.87,76.74,73.67,76.44
20160113,76.97,77.88,74.49,74.65
20160114,74.83,75.77,74.29,74.79
20160115,73.05,74.68,72.92,73.92
20160119,74.40,75.13,73.82,74.58
20160120,73.71,74.99,72.28,74.57
20160121,74.77,75.63,73.60,74.60
20160122,75.38,75.95,75.31,75.92
20160125,75.90,76.54,75.61,75.70
20160126,75.67,76.24,75.12,75.59
20160127,75.59,76.36,74.86,75.49
20160128,75.96,76.17,73.62,73.91
20160129,74.36,76.16,74.30,75.92
20160201,74.51,77.25,74.27,76.85
20160202,76.03,76.99,75.92,76.51
20160203,77.35,77.60,74.99,76.15
20160204,76.10,76.26,75.01,76.20
20160205,76.04,76.14,74.09,74.46
20160208,73.53,73.95,71.36,72.63
20160209,71.27,73.69,71.03,73.08
20160210,73.86,75.37,73.61,74.16
20160211,73.21,73.71,72.13,72.62
20160212,72.98,73.49,72.28,73.40
20160216,73.99,75.05,73.68,74.74
20160217,75.32,75.80,74.47,75.60
20160218,75.53,75.92,74.79,74.97
20160219,74.95,75.68,74.65,75.38
20160222,75.87,76.70,75.64,76.68
20160223,76.24,76.69,75.74,75.80
20160224,75.05,76.49,74.89,76.43
20160225,76.68,77.70,76.31,77.66
20160226,77.74,78.03,77.23,77.29
20160229,77.46,78.25,77.31,77.39
20160301,74.29,74.47,73.06,74.18
20160302,74.45,75.22,73.82,74.59
20160303,74.34,74.97,73.64,74.92
20160304,74.72,75.84,74.54,75.61
20160307,75.27,76.12,75.23,76.01
20160308,75.74,75.88,75.30,75.44
20160309,75.92,76.00,75.02,75.55
20160310,75.65,76.80,75.36,76.27
20160311,76.65,77.40,76.55,77.35
20160314,76.86,77.92,76.80,77.53
20160315,76.97,77.26,76.37,76.85
20160316,76.85,77.05,76.06,76.65
20160317,76.91,77.06,74.85,75.50
20160318,75.66,76.65,75.12,76.26
20160321,76.12,76.25,75.14,75.21
20160322,74.67,75.34,74.10,74.94
20160323,74.76,75.19,74.38,74.50
20160324,74.02,74.23,73.47,73.97
20160328,74.07,74.24,73.76,73.98
20160329,73.69,75.63,73.39,75.48
20160330,75.73,75.91,75.28,75.42
20160331,75.42,75.55,74.83,75.00
20160401,74.56,75.51,74.35,75.37
20160404,75.92,76.94,75.69,76.30
20160405,75.49,75.95,74.63,75.49
20160406,75.24,77.48,75.18,77.31
20160407,77.31,77.46,75.75,76.14
20160408,76.44,76.80,76.05,76.37
20160411,76.37,76.67,75.59,75.66
20160412,75.80,76.77,75.75,76.62
20160413,77.00,77.41,76.83,77.34
20160414,77.50,77.79,77.02,77.37
20160415,77.28,77.65,76.50,77.10
20160418,77.07,77.78,76.83,77.63
20160419,77.86,78.11,77.65,78.11
20160420,78.23,79.11,77.95,78.68
20160421,78.58,79.00,78.05,78.52
20160422,78.65,79.31,78.26,78.99
20160425,78.78,79.75,78.68,79.39
20160426,79.55,79.85,78.56,78.72
20160427,78.97,79.69,78.66,79.45
20160428,78.97,80.74,78.86,79.78
20160429,79.41,79.68,78.77,79.15
20160502,78.91,80.01,78.79,79.35
20160503,79.17,79.80,79.01,79.44
20160504,78.91,79.42,78.63,78.82
20160505,79.14,79.91,79.10,79.50
20160506,79.38,79.87,78.85,79.74
20160509,79.83,80.71,79.83,80.33
20160510,80.78,81.23,80.41,81.23
20160511,81.25,81.56,80.96,81.11
20160512,81.17,81.67,80.82,81.34
20160513,81.00,81.50,80.55,80.71
20160516,80.66,82.00,80.65,81.89
20160517,81.50,81.82,80.48,80.81
20160518,80.64,81.21,80.08,80.60
20160519,80.43,80.67,79.64,80.00
20160520,80.44,80.92,80.18,80.52
20160523,80.57,80.67,80.24,80.30
20160524,80.84,81.66,80.47,80.94
20160525,81.08,81.46,80.94,81.08
20160526,81.01,81.40,80.90,81.18
20160527,81.00,81.69,80.97,81.69
20160531,81.39,81.43,79.77,80.48
20160601,80.11,80.80,79.89,80.52
20160602,80.51,83.29,80.36,82.99
20160603,82.99,83.21,82.35,82.94
20160606,82.70,83.43,82.69,83.32
20160607,83.33,84.13,83.24,83.72
20160608,83.72,84.86,83.58,84.79
20160609,84.50,85.87,84.47,85.78
20160610,85.50,85.86,85.32,85.70
20160613,85.42,86.31,85.42,85.70
20160614,85.45,85.65,85.09,85.49
20160615,85.87,85.92,84.15,84.23
20160616,84.23,84.75,83.59,84.59
20160617,84.58,84.60,83.46,84.14
20160620,85.00,85.34,84.35,84.47
20160621,84.84,84.98,83.93,84.59
20160622,84.55,85.14,84.23,84.26
20160623,85.10,85.77,84.65,85.77
20160624,83.77,84.81,83.05,83.26
20160627,81.27,82.65,80.52,82.38
20160628,82.83,84.29,82.76,84.14
20160629,84.34,85.73,84.34,85.45
20160630,85.75,86.91,85.71,86.77
20160701,86.87,87.38,86.56,87.03
20160705,86.82,87.99,86.79,87.05
20160706,86.47,87.55,86.36,87.45
20160707,87.17,88.10,87.13,87.49
20160708,87.87,88.56,87.52,88.36
20160711,88.36,88.91,88.22,88.51
20160712,88.73,89.25,88.50,88.92
20160713,88.92,89.23,88.46,88.75
20160714,89.19,89.24,88.66,88.83
20160715,89.25,89.27,88.08,88.36
20160718,88.43,88.69,88.01,88.19
20160719,88.07,88.58,88.01,88.38
20160720,87.86,89.01,87.86,88.75
20160721,88.42,88.66,87.84,87.94
20160722,87.83,87.83,86.25,87.10
20160725,87.20,87.27,86.39,86.92
20160726,86.57,88.35,86.55,88.25
20160727,88.14,88.30,86.90,87.48
20160728,87.42,88.18,86.96,87.42
20160729,87.11,88.18,87.08,87.63
20160801,87.41,88.26,87.14,88.06
20160802,87.99,88.20,87.10,87.64
20160803,87.57,87.62,86.46,86.67
20160804,86.57,86.95,86.16,86.76
20160805,86.83,87.14,86.74,87.09
20160808,87.29,87.40,86.58,86.96
20160809,87.15,88.07,86.97,87.74
20160810,87.70,87.70,86.99,87.29
20160811,87.32,87.94,87.11,87.80
20160812,87.71,87.91,87.33,87.54
20160815,87.43,88.17,87.18,87.91
20160816,87.49,87.83,87.26,87.27
20160817,87.27,87.72,86.37,87.13
20160818,87.00,87.23,86.38,87.08
20160819,86.77,87.32,86.44,87.04
20160822,87.17,87.73,87.00,87.32
20160823,87.78,88.65,87.62,87.80
20160824,87.61,87.88,86.56,86.65
20160825,85.99,86.32,84.28,85.39
20160826,85.62,86.85,85.60,86.60
20160829,86.77,87.66,86.50,87.46
20160830,87.46,87.63,86.71,86.85
20160831,86.88,87.40,86.04,87.03
20160901,87.09,87.21,86.32,86.98
20160902,87.22,87.86,87.18,87.32
20160906,87.50,87.62,86.63,87.17
20160907,86.89,87.10,85.99,86.15
20160908,85.77,86.63,85.77,86.26
20160909,85.91,85.91,84.85,84.87
20160912,84.45,86.38,84.39,86.20
20160913,85.60,86.01,84.66,84.84
20160914,84.77,85.31,84.38,84.68
20160915,84.66,86.00,84.38,85.66
20160916,85.76,86.09,85.55,86.01
20160919,86.02,86.77,85.93,85.99
20160920,86.48,86.89,86.22,86.36
20160921,86.44,87.36,86.10,87.14
20160922,87.52,88.05,87.40,87.82
20160923,87.61,88.00,87.43,87.71
20160926,87.28,87.46,86.29,86.56
20160927,86.16,86.78,85.73,86.67
20160928,86.56,86.89,86.16,86.74
20160929,86.86,87.46,85.06,85.40
20160930,85.40,86.68,85.40,86.40
20161003,86.00,86.44,85.71,86.39
20161004,86.51,86.62,85.83,86.11
20161005,86.12,86.62,86.04,86.30
20161006,86.18,86.26,85.63,85.95
20161007,86.22,86.50,85.59,85.96
20161010,86.18,86.75,85.96,86.17
20161011,85.96,85.99,82.27,83.20
20161012,83.42,84.04,83.20,83.68
20161013,83.37,83.85,82.86,83.31
20161014,83.43,83.78,82.70,82.71
20161017,82.53,82.78,82.40,82.57
20161018,83.09,83.86,82.70,83.55
20161019,83.77,84.03,83.45,83.67
20161020,83.66,84.31,83.31,84.02
20161021,83.32,84.03,83.21,83.91
20161024,84.39,84.64,83.29,83.30
20161025,83.34,83.43,82.29,82.47
20161026,81.89,81.90,80.71,81.12
20161027,81.30,81.69,80.83,81.13
20161028,81.04,82.33,80.91,81.93
20161031,80.95,82.12,80.88,82.02
20161101,82.02,82.40,80.45,80.92
20161102,81.04,81.78,80.94,81.09
20161103,81.39,81.68,81.19,81.60
20161104,81.69,83.02,81.64,82.14
20161107,83.28,84.17,82.97,83.95
20161108,83.85,85.09,83.50,84.34
20161109,82.67,84.07,81.65,82.86
20161110,83.59,83.59,82.35,82.72
20161111,82.18,82.61,81.73,82.07
20161114,82.22,82.22,76.39,78.75
20161115,79.40,80.59,79.29,80.27
20161116,80.25,81.05,79.75,80.89
20161117,81.10,81.81,81.01,81.80
20161118,81.71,81.91,80.82,80.93
20161121,81.22,81.69,80.51,80.58
20161122,74.25,75.36,72.03,73.60
20161123,73.26,76.10,73.19,75.78
20161125,76.41,76.44,75.08,75.52
20161128,75.45,75.61,73.88,73.99
20161129,74.40,74.71,72.77,73.42
20161130,73.71,73.98,72.35,73.01
20161201,73.01,73.24,71.04,71.88
20161202,72.55,72.64,71.79,72.01
20161205,72.56,72.66,71.53,71.67
20161206,72.06,72.43,71.58,72.11
20161207,71.90,72.30,71.05,72.22
20161208,72.11,72.20,71.42,72.07
20161209,72.25,73.41,72.07,73.35
20161212,73.36,74.09,73.31,73.71
20161213,73.92,74.31,73.07,73.37
20161214,73.49,73.81,72.84,73.30
20161215,73.33,73.98,72.93,73.44
20161216,73.63,74.26,73.32,73.46
20161219,73.52,73.78,73.01,73.10
20161220,73.08,73.37,72.32,72.44
20161221,72.12,72.32,71.22,71.58
20161222,71.50,72.07,71.13,71.74
20161223,71.76,72.24,71.53,71.95
20161227,72.03,72.29,71.69,71.77
20161228,71.87,72.49,71.72,71.81
20161229,71.73,71.98,71.33,71.54
20161230,71.79,72.00,71.08,71.23
20170103,70.25,71.03,69.35,70.61
20170104,70.90,71.66,70.82,71.27
20170105,71.48,71.51,70.59,70.83
20170106,71.14,72.88,71.11,72.87
20170109,73.30,74.11,73.20,73.82
20170110,74.27,75.27,74.12,74.90
20170111,75.12,75.12,73.38,74.44
20170112,74.06,75.23,73.74,75.11
20170113,75.00,75.30,74.66,75.09
20170117,75.06,75.95,74.37,75.82
20170118,76.27,76.27,75.21,75.67
20170119,75.30,75.72,74.94,75.30
20170120,75.51,75.68,74.72,74.99
20170123,74.72,75.14,74.36,74.77
20170124,74.64,74.73,73.59,73.83
20170125,73.99,74.61,73.59,74.49
20170126,74.49,74.58,73.89,74.04
20170127,74.54,75.23,74.47,74.95
20170130,74.68,74.94,74.32,74.67
20170131,74.59,76.23,74.27,76.02
20170201,75.28,76.04,75.23,76.00
20170202,75.58,76.29,75.44,75.92
20170203,76.13,76.50,75.67,76.34
20170206,76.32,76.34,75.52,75.98
20170207,75.87,76.16,75.52,76.12
20170208,76.07,76.14,75.52,75.60
20170209,75.60,75.88,75.44,75.71
20170210,75.85,76.26,75.71,76.15
20170213,76.27,76.93,76.15,76.92
20170214,77.00,77.30,76.46,77.05
20170215,76.64,77.89,76.57,77.70
20170216,77.72,78.00,77.16,77.99
20170217,77.86,78.98,77.80,78.88
20170221,80.00,80.98,79.80,80.56
20170222,80.25,80.47,79.24,79.62
20170223,80.25,80.93,79.95,80.74
20170224,80.54,81.05,80.44,81.03
20170227,81.03,81.16,80.65,80.75
20170228,80.51,81.13,80.46,80.91
20170301,81.31,82.28,80.96,82.07
20170302,81.90,82.47,81.49,81.99
20170303,81.62,82.00,81.34,81.86
20170306,81.42,81.86,81.28,81.54
20170307,81.18,81.72,81.10,81.40
20170308,81.40,82.40,81.27,82.22
20170309,82.15,82.88,81.89,82.79
20170310,83.00,83.19,82.58,83.04
20170313,82.99,83.19,82.44,82.89
20170314,82.66,84.00,82.14,82.52
20170315,82.60,83.45,82.57,83.30
20170316,83.24,83.47,81.61,81.83
20170317,81.81,82.35,81.70,82.23
20170320,82.16,82.24,81.28,81.42
20170321,81.80,81.90,80.72,81.12
20170322,80.70,81.19,80.36,81.00
20170323,80.74,81.35,80.68,80.86
20170324,80.85,81.47,80.85,81.00
20170327,80.70,81.16,80.39,81.03
20170328,80.92,81.05,80.62,80.74
20170329,80.83,81.33,80.45,81.14
20170330,81.04,81.22,80.50,80.99
20170331,80.75,81.11,80.55,80.56
20170403,80.85,81.16,80.21,81.03
20170404,81.00,81.07,80.48,80.62
20170405,80.92,81.09,80.21,80.24
20170406,80.68,80.68,79.82,80.22
20170407,80.25,80.65,80.14,80.37
20170410,80.30,80.61,80.12,80.30
20170411,80.11,80.35,79.79,80.15
20170412,79.77,80.16,79.65,80.10
20170413,80.00,80.50,79.88,80.01
20170417,80.17,80.41,79.91,80.36
20170418,80.68,80.68,80.12,80.33
20170419,80.75,80.75,80.27,80.32
20170420,80.16,81.24,79.91,81.02
20170421,80.99,81.07,80.29,80.48
20170424,81.36,81.54,80.60,80.65
20170425,80.76,82.21,80.75,81.76
20170426,82.24,82.97,82.07,82.14
20170427,82.22,83.50,82.12,83.13
20170428,83.04,83.11,82.66,83.09
20170501,83.01,84.06,83.01,83.74
20170502,83.65,84.79,83.65,84.75
20170503,84.71,84.71,83.91,84.09
20170504,84.10,84.41,83.84,83.91
20170505,84.15,84.21,83.79,84.00
20170508,83.98,83.98,83.10,83.30
20170509,83.33,83.77,83.19,83.34
20170510,83.24,83.24,82.58,82.89
20170511,82.45,83.02,82.20,83.01
20170512,82.87,83.88,82.81,83.42
20170515,83.41,84.25,83.13,84.14
20170516,84.09,84.33,83.46,83.94
20170517,83.94,83.94,82.59,82.66
20170518,81.59,82.90,81.50,82.40
20170519,82.45,83.51,82.23,83.23
20170522,83.26,84.35,83.26,83.99
20170523,84.10,84.92,83.94,84.61
20170524,84.80,85.20,84.09,84.70
20170525,85.21,86.00,83.86,85.58
20170526,85.58,85.82,84.60,85.09
20170530,85.11,85.33,84.50,84.86
20170531,84.99,85.40,83.78,84.28
20170601,84.61,86.08,84.37,86.08
20170602,86.12,86.72,85.54,85.82
20170605,85.59,86.02,85.41,85.95
20170606,85.88,86.55,85.68,86.00
20170607,86.37,86.46,85.84,85.98
20170608,85.98,86.34,85.64,85.94
20170609,85.85,86.64,85.75,86.51
20170612,86.61,88.16,86.53,87.63
20170613,87.58,88.20,87.12,87.20
20170614,87.56,88.00,87.35,87.65
20170615,87.33,87.98,87.14,87.66
20170616,88.00,88.35,87.53,88.08
20170619,88.08,89.07,88.04,88.99
20170620,88.73,89.52,88.56,88.82
20170621,88.97,89.14,88.57,88.79
20170622,88.97,89.59,88.71,89.09
20170623,89.44,89.50,88.89,89.20
20170626,89.22,89.72,88.98,89.15
20170627,89.15,89.43,88.79,88.79
20170628,89.13,89.61,88.94,89.30
20170629,89.38,89.39,88.12,88.71
20170630,88.75,89.17,88.57,88.75
20170703,88.80,89.20,88.75,88.81
20170705,88.52,89.10,88.28,88.90
20170706,88.70,88.98,87.26,87.26
20170707,87.65,88.10,87.40,87.96
20170710,87.86,88.00,87.05,87.20
20170711,87.05,87.41,86.68,87.26
20170712,87.75,88.25,87.40,87.81
20170713,87.93,88.00,87.30,87.81
20170714,87.81,88.82,87.66,88.57
20170717,88.57,88.79,85.84,86.06
20170718,86.00,86.43,85.78,85.85
20170719,85.98,86.14,85.46,85.65
20170720,85.91,86.09,85.51,85.67
20170721,85.67,85.95,84.94,85.17
20170724,85.21,85.31,84.71,85.09
20170725,85.40,86.01,85.03,85.93
20170726,85.82,86.28,85.39,85.74
20170727,85.86,85.86,84.33,84.68
20170728,84.57,84.81,84.17,84.29
20170731,84.50,84.68,83.92,83.97
20170801,84.11,84.38,83.49,83.52
20170802,83.52,83.61,82.98,83.20
20170803,82.96,83.49,82.83,83.29
20170804,83.54,83.96,83.23,83.68
20170807,83.77,84.55,83.70,84.37
20170808,84.29,84.53,83.67,83.83
20170809,83.75,84.02,83.51,83.95
20170810,83.58,83.86,83.02,83.04
20170811,83.32,84.24,83.09,83.71
20170814,84.05,85.07,84.05,84.47
20170815,84.58,85.01,84.42,84.59
20170816,84.83,84.92,84.54,84.60
20170817,84.48,84.85,83.64,83.67
20170818,83.32,83.81,83.12,83.41
20170821,83.33,84.02,82.94,83.52
20170822,81.46,82.15,81.00,81.76
20170823,81.32,81.57,79.45,79.75
20170824,79.69,80.10,79.11,79.24
20170825,79.42,79.85,79.03,79.06
20170828,79.57,79.87,79.40,79.59
20170829,79.36,79.90,79.02,79.72
20170830,79.70,79.92,79.34,79.86
20170831,80.00,80.72,79.80,80.62
20170901,80.70,80.75,79.88,80.05
20170905,79.88,80.40,79.57,79.82
20170906,79.92,80.08,79.36,79.87
20170907,79.92,80.28,79.71,79.95
20170908,79.90,82.48,79.90,82.03
20170911,82.25,82.50,81.19,81.56
20170912,81.50,82.36,81.09,82.30
20170913,82.13,82.45,81.70,81.93
20170914,81.88,81.93,81.07,81.80
20170915,81.63,82.14,81.38,82.12
20170918,82.37,82.54,81.75,82.40
20170919,82.65,82.74,81.13,81.19
20170920,81.19,81.51,79.34,80.16
20170921,80.14,80.55,79.50,79.53
20170922,79.48,79.89,79.11,79.70
20170925,79.49,79.59,77.90,78.27
20170926,78.25,78.88,78.07,78.37
20170927,78.67,78.87,77.45,77.84
20170928,77.70,77.91,77.17,77.71
20170929,77.66,78.01,77.55,77.77
20171002,78.06,78.23,77.50,78.05
20171003,78.18,78.20,77.58,78.11
20171004,78.25,78.90,78.20,78.63
20171005,79.37,79.86,79.00,79.51
20171006,79.57,79.81,79.26,79.81
20171009,77.80,78.26,76.52,76.93
20171010,76.95,77.38,76.91,77.29
20171011,77.08,78.48,77.08,78.24
20171012,77.72,77.96,77.10,77.92
20171013,77.89,78.23,77.46,78.07
20171016,78.03,78.44,77.71,77.73
20171017,77.76,78.24,77.39,78.00
20171018,78.00,78.89,77.91,78.59
20171019,78.57,78.99,78.44,78.48
20171020,78.77,78.88,78.17,78.34
20171023,78.72,79.25,78.34,79.02
20171024,79.11,79.20,78.44,78.66
20171025,78.58,79.31,78.24,79.20
20171026,78.90,80.72,78.86,80.44
20171027,80.89,81.69,80.70,81.30
20171030,81.04,81.06,79.50,80.53
20171031,80.47,80.81,80.14,80.52
20171101,80.42,81.16,80.01,80.31
20171102,80.30,80.58,77.17,77.87
20171103,77.62,78.71,77.06,78.43
20171106,78.46,78.49,77.63,77.69
20171107,77.90,78.19,77.65,78.01
20171108,78.16,78.16,77.22,77.81
20171109,80.14,81.12,79.46,80.81
20171110,80.40,80.47,78.31,79.33
20171113,79.28,79.42,78.26,79.20
20171114,78.94,79.37,78.63,79.16
20171115,79.00,79.14,78.62,78.68
20171116,79.02,79.68,78.97,79.26
20171117,78.83,80.09,78.74,79.49
20171120,79.38,79.72,78.89,78.90
20171121,83.00,84.11,82.50,82.66
20171122,82.76,82.97,82.05,82.34
20171124,82.69,83.50,82.61,83.25
20171127,83.26,83.54,81.06,81.41
20171128,81.67,82.58,81.36,82.46
20171129,82.31,82.98,81.97,82.11
20171130,82.66,82.78,82.04,82.13
20171201,82.46,82.57,80.61,81.27
20171204,81.32,81.37,79.74,79.87
20171205,79.57,81.47,79.57,80.92
20171206,81.57,81.80,80.92,81.50
20171207,81.61,82.09,80.29,80.57
20171208,80.92,81.12,80.54,81.07
20171211,81.20,81.54,80.85,81.27
20171212,82.49,82.69,81.80,82.00
20171213,81.80,82.16,81.53,81.92
20171214,81.95,82.48,81.72,81.83
20171215,82.44,83.70,82.44,83.50
20171218,83.61,83.78,83.08,83.43
20171219,83.72,84.11,82.00,82.04
20171220,82.39,82.97,81.29,81.38
20171221,81.54,82.46,81.36,81.48
20171222,81.56,81.96,81.27,81.54
20171226,81.57,81.88,81.39,81.47
20171227,81.63,81.93,81.44,81.76
20171228,81.33,81.58,81.08,81.34
20171229,81.58,81.80,80.73,80.75
20180102,82.16,82.69,81.95,82.21
20180103,82.20,84.82,82.17,83.92
20180104,84.45,84.90,83.14,84.12
20180105,84.53,85.74,84.01,85.54
20180108,85.50,85.69,85.21,85.51
20180109,85.86,86.75,85.66,85.88
20180110,85.55,85.99,84.52,85.49
20180111,85.94,85.94,85.08,85.73
20180112,85.85,85.99,85.30,85.45
20180116,85.58,86.13,84.87,85.32
20180117,85.88,86.45,85.44,86.11
