Date,Open,High,Low,Close
20151127,45.18,45.56,44.96,45.42
20151130,45.36,45.61,44.96,45.53
20151201,45.65,46.10,45.55,45.95
20151202,46.00,46.11,45.23,45.33
20151203,45.63,45.66,44.37,44.62
20151204,44.84,45.68,44.47,45.52
20151207,45.31,45.49,44.47,44.67
20151208,44.19,44.36,43.52,43.88
20151209,43.69,44.54,42.99,43.31
20151210,43.34,44.18,43.14,43.56
20151211,42.85,42.88,41.62,42.00
20151214,42.16,42.46,41.02,41.37
20151215,42.10,42.58,41.88,42.40
20151216,42.88,43.58,42.58,43.40
20151217,43.54,43.60,42.17,42.31
20151218,41.99,42.23,41.35,41.40
20151221,41.68,42.01,41.35,41.73
20151222,41.92,42.30,41.59,42.08
20151223,42.50,43.03,42.26,42.94
20151224,42.96,43.26,42.87,43.02
20151228,42.78,43.09,42.50,43.01
20151229,43.37,43.76,43.35,43.68
20151230,43.65,43.74,43.35,43.43
20151231,43.00,43.52,42.87,42.97
20160104,42.00,42.18,41.24,42.17
20160105,41.88,42.20,41.18,41.37
20160106,40.76,40.78,39.26,39.55
20160107,38.60,38.73,37.71,37.89
20160108,38.69,38.69,37.40,37.46
20160111,37.72,37.79,36.52,37.17
20160112,37.79,37.97,36.85,37.42
20160113,40.38,40.38,38.19,38.24
20160114,38.87,39.22,37.78,38.77
20160115,37.58,38.57,37.44,38.40
20160119,39.09,39.29,37.74,38.09
20160120,37.34,38.00,36.34,37.62
20160121,37.72,38.80,37.55,38.06
20160122,38.87,39.47,38.84,39.39
20160125,39.02,39.39,38.25,38.32
20160126,38.40,39.10,38.40,38.78
20160127,38.64,39.44,38.31,38.56
20160128,39.00,39.25,38.48,39.02
20160129,39.39,39.87,38.65,39.80
20160201,39.49,39.63,39.06,39.47
20160202,38.77,38.86,37.83,38.11
20160203,38.16,38.19,36.72,37.39
20160204,36.20,36.40,35.00,35.43
20160205,35.61,35.69,34.40,34.59
20160208,34.15,34.18,32.66,33.11
20160209,32.33,33.36,31.91,33.12
20160210,33.53,33.84,32.83,32.86
20160211,31.68,31.85,31.19,31.38
20160212,31.38,33.74,31.38,33.36
20160216,34.06,34.15,33.48,33.89
20160217,34.36,35.21,34.25,35.00
20160218,35.04,35.16,34.71,34.94
20160219,34.72,34.91,34.30,34.86
20160222,34.86,35.60,34.76,34.95
20160223,34.82,34.89,33.78,34.24
20160224,33.65,34.46,33.23,34.37
20160225,34.41,35.14,34.23,35.13
20160226,35.49,36.20,35.12,35.73
20160229,35.69,35.86,35.15,35.26
20160301,35.62,37.25,35.59,37.15
20160302,37.31,37.65,37.01,37.44
20160303,37.44,37.84,37.22,37.78
20160304,38.05,38.18,37.25,37.73
20160307,37.41,38.29,37.33,38.19
20160308,37.66,37.86,36.79,37.24
20160309,37.69,37.84,37.06,37.43
20160310,37.61,38.26,37.09,37.66
20160311,38.30,39.55,38.24,39.44
20160314,39.04,39.36,38.74,39.13
20160315,38.88,39.04,38.30,39.03
20160316,39.06,39.50,38.49,39.01
20160317,39.00,39.45,38.46,39.29
20160318,39.41,39.91,39.21,39.87
20160321,39.76,40.06,39.41,39.67
20160322,39.23,39.57,39.08,39.30
20160323,39.22,39.22,38.56,38.69
20160324,38.15,38.15,37.17,37.70
20160328,37.94,38.48,37.80,38.32
20160329,38.03,38.04,37.46,37.84
20160330,38.15,40.90,38.14,39.87
20160331,39.99,40.20,39.08,39.16
20160401,38.94,39.78,38.73,39.71
20160404,39.78,39.78,38.81,38.93
20160405,38.57,38.57,38.07,38.23
20160406,38.25,38.37,37.70,38.31
20160407,37.87,38.04,37.01,37.36
20160408,37.75,37.97,37.15,37.34
