Date,Open,High,Low,Close
20151127,22.66,22.98,22.51,22.77
20151130,22.86,22.99,22.61,22.74
20151201,22.95,23.33,22.81,23.28
20151202,23.20,23.78,23.11,23.43
20151203,23.58,23.60,22.29,22.39
20151204,22.37,22.72,22.19,22.63
20151207,22.63,22.69,22.19,22.32
20151208,21.83,22.21,21.35,21.91
20151209,22.27,22.64,21.61,22.06
20151210,22.13,22.35,21.73,22.06
20151211,21.71,21.80,20.99,21.05
20151214,20.97,21.12,20.18,20.81
20151215,21.01,21.41,20.94,21.15
20151216,21.44,22.18,21.30,22.08
20151217,22.23,22.24,21.44,21.45
20151218,21.39,21.73,21.14,21.17
20151221,21.18,21.64,21.05,21.62
20151222,21.68,21.87,21.37,21.74
20151223,21.98,22.62,21.68,22.50
20151224,22.42,22.58,22.30,22.51
20151228,22.33,22.74,22.16,22.63
20151229,22.79,23.05,22.60,22.94
20151230,22.81,23.00,22.50,22.52
20151231,22.43,23.04,22.40,22.72
20160104,22.72,22.72,21.75,22.25
20160105,22.40,22.97,22.21,22.75
20160106,22.23,22.61,22.01,22.39
20160107,21.72,21.80,20.35,20.62
20160108,20.83,21.21,20.35,20.49
20160111,20.78,21.09,20.41,20.83
20160112,21.09,21.71,20.62,21.13
20160113,21.35,21.50,19.91,20.02
20160114,20.02,20.57,19.51,20.27
20160115,20.08,20.46,19.47,19.86
20160119,20.30,20.30,19.26,19.63
20160120,19.14,19.50,17.55,19.11
20160121,19.16,19.37,18.66,19.02
20160122,19.50,19.77,19.01,19.34
20160125,19.40,19.75,18.86,18.89
20160126,18.94,19.16,18.57,19.11
20160127,19.22,19.79,19.13,19.47
20160128,19.92,20.34,19.12,19.28
20160129,19.47,20.17,19.44,20.08
20160201,20.03,20.25,19.50,20.05
20160202,19.81,19.87,18.96,19.09
20160203,19.32,19.36,17.89,18.55
20160204,18.63,19.18,18.47,18.77
20160205,18.76,18.76,17.62,17.88
20160208,17.70,17.77,16.36,16.87
20160209,16.50,17.21,16.18,16.56
20160210,16.75,17.80,16.75,17.17
20160211,16.76,17.15,16.51,16.93
20160212,17.34,18.23,17.33,18.11
20160216,18.60,19.19,18.50,19.15
20160217,19.27,20.14,19.27,20.07
20160218,19.38,19.42,18.19,18.40
20160219,18.23,18.23,17.34,18.06
20160222,18.89,19.08,18.60,18.76
20160223,18.65,18.81,18.14,18.22
20160224,17.98,18.30,17.48,18.25
20160225,18.30,18.46,17.74,18.34
20160226,18.69,19.00,18.50,18.87
20160229,18.87,19.18,18.74,18.93
20160301,19.35,20.13,19.09,19.93
20160302,20.09,20.46,19.77,20.27
20160303,20.11,20.38,19.67,20.33
20160304,20.38,20.39,19.56,19.81
20160307,19.51,20.01,19.49,19.82
20160308,19.52,19.84,19.28,19.33
20160309,19.66,20.18,19.55,20.05
20160310,20.20,20.49,20.02,20.34
20160311,20.51,20.83,20.50,20.81
20160314,20.73,21.19,20.70,20.94
20160315,21.17,21.43,20.47,20.67
20160316,20.66,21.30,20.63,21.20
20160317,21.20,21.58,20.87,20.95
