Date,Open,High,Low,Close
20151127,193.20,193.55,192.00,192.71
20151130,192.80,193.56,190.18,190.72
20151201,192.02,192.55,189.28,191.02
20151202,191.26,192.27,189.07,190.06
20151203,190.40,190.40,183.14,184.14
20151204,184.97,189.69,184.14,189.48
20151207,189.48,191.79,188.20,190.83
20151208,189.62,193.94,189.40,192.40
20151209,190.75,195.66,189.60,190.23
20151210,190.91,192.48,188.75,190.70
20151211,188.32,191.99,188.32,190.39
20151214,191.06,192.84,187.29,191.76
20151215,192.81,195.34,191.78,193.69
20151216,194.76,200.42,194.05,199.85
20151217,200.35,200.36,193.22,193.34
20151218,193.00,193.00,187.53,188.02
20151221,188.61,191.08,187.58,189.45
20151222,190.16,190.57,187.79,189.76
20151223,190.77,192.77,189.61,192.53
20151224,192.13,192.95,190.52,190.71
20151228,189.61,190.91,187.40,190.44
20151229,191.46,192.99,190.70,192.51
20151230,192.01,193.93,189.78,189.89
20151231,189.29,191.10,188.78,189.39
20160104,189.00,189.00,183.40,186.45
20160105,187.37,188.32,185.40,186.05
20160106,183.08,185.24,180.49,182.12
20160107,178.44,181.18,175.82,176.75
20160108,177.78,179.09,176.38,176.82
20160111,177.59,179.23,173.43,175.68
20160112,177.54,180.34,174.76,178.97
20160113,179.42,182.00,169.10,169.50
20160114,169.66,172.36,167.01,170.57
20160115,166.50,168.17,163.16,165.44
20160119,166.73,168.35,161.40,163.34
20160120,160.25,164.78,153.15,162.56
20160121,163.09,166.93,162.20,165.25
20160122,168.00,170.33,165.29,166.99
20160125,166.06,167.07,164.20,164.43
20160126,165.28,167.79,164.19,166.37
20160127,165.99,167.67,163.57,164.69
20160128,166.12,167.71,162.70,163.38
20160129,164.26,166.53,163.65,166.41
20160201,166.01,168.40,163.73,167.62
20160202,166.69,166.95,162.60,163.16
20160203,165.00,165.38,157.66,161.49
20160204,161.27,165.73,160.66,165.03
20160205,164.94,164.96,159.45,159.92
20160208,157.73,158.20,149.43,151.78
20160209,149.72,155.79,148.56,153.70
20160210,155.48,159.48,154.35,157.86
20160211,155.51,156.67,151.30,152.82
20160212,155.40,155.63,152.85,155.21
20160216,157.55,159.89,154.89,159.52
20160217,160.41,164.20,159.95,163.07
20160218,163.08,164.29,160.99,163.07
20160219,162.59,166.56,161.31,165.68
20160222,166.25,167.84,164.92,166.47
20160223,165.79,167.42,165.13,166.58
20160224,164.30,171.24,163.26,170.67
20160225,170.43,173.37,166.97,171.04
20160226,175.04,179.60,175.04,178.49
20160229,178.74,182.96,178.50,179.73
20160301,182.06,185.52,180.60,184.86
20160302,184.53,186.21,183.35,186.05
20160303,185.19,187.48,184.87,186.89
20160304,186.50,189.76,185.42,186.82
20160307,185.46,186.53,180.60,180.95
20160308,180.31,180.66,176.59,179.39
20160309,180.70,181.33,177.79,180.00
20160310,180.92,182.63,178.06,180.29
20160311,181.68,185.71,180.71,185.24
20160314,184.32,186.11,183.76,185.30
20160315,181.70,185.38,181.54,182.86
20160316,182.49,184.14,180.44,183.36
20160317,183.40,186.59,182.72,186.50
20160318,187.02,190.29,186.97,188.48
20160321,188.60,190.08,187.67,188.50
20160322,188.37,189.39,186.22,188.03
20160323,187.77,187.77,185.84,186.31
20160324,185.07,187.05,184.43,186.82
20160328,186.90,189.98,185.59,188.85
20160329,188.89,192.80,187.66,192.43
20160330,193.31,193.59,190.33,191.12
20160331,190.90,192.08,189.34,190.90
20160401,190.20,192.62,189.53,192.41
20160404,192.62,192.62,189.64,189.90
20160405,188.00,189.65,186.16,189.22
20160406,189.41,193.18,188.41,192.52
20160407,192.17,193.75,190.35,191.78
20160408,193.71,195.90,192.86,193.92
20160411,194.58,197.41,194.37,194.37
20160412,194.29,196.72,193.84,195.27
20160413,196.82,198.84,196.08,198.19
20160414,198.47,198.82,196.37,196.69
20160415,196.99,197.76,195.42,197.04
20160418,196.68,198.80,195.87,198.02
20160419,199.35,199.44,195.58,197.89
20160420,198.04,200.77,196.77,199.72
20160421,199.36,200.41,196.67,196.80
20160422,196.80,198.50,195.18,196.22
20160425,197.00,198.32,195.83,197.56
20160426,198.63,198.84,195.79,197.89
20160427,197.99,198.52,195.64,197.28
20160428,195.59,196.98,192.38,192.83
20160429,192.74,193.32,190.16,192.63
20160502,194.11,196.68,193.12,196.05
20160503,194.50,195.20,192.64,193.18
20160504,191.84,193.50,190.93,192.72
20160505,192.40,196.07,192.21,193.53
20160506,194.10,199.53,192.32,195.58
20160509,196.12,198.05,195.51,195.96
20160510,196.39,200.57,196.39,200.55
20160511,199.90,200.63,196.34,196.63
20160512,197.74,197.74,194.14,195.98
