Date,Open,High,Low,Close
20151127,85.77,86.05,85.22,86.03
20151130,86.48,86.49,85.73,85.92
20151201,85.65,87.15,85.65,86.72
20151202,86.29,86.89,85.39,85.51
20151203,85.47,86.15,83.95,84.54
20151204,84.83,86.51,84.82,86.46
20151207,86.44,87.46,86.23,87.40
20151208,86.96,86.96,86.29,86.54
20151209,86.21,87.37,85.72,86.17
20151210,86.06,86.13,85.12,85.18
20151211,84.54,84.86,83.50,83.85
20151214,84.03,84.65,83.57,84.59
20151215,85.08,85.61,84.09,84.74
20151216,85.12,86.58,84.94,86.42
20151217,86.33,86.33,84.79,84.79
20151218,84.42,84.64,83.68,83.68
20151221,84.08,84.71,83.94,84.63
20151222,85.09,85.71,84.06,85.53
20151223,85.92,87.00,85.79,86.86
20151224,86.71,87.01,86.27,86.70
20151228,86.32,87.21,86.22,87.19
20151229,87.07,87.46,86.65,87.26
20151230,87.26,87.28,86.43,86.60
20151231,86.17,86.28,85.45,85.56
20160104,84.45,84.92,83.55,84.28
20160105,84.40,85.26,84.00,84.42
20160106,83.93,84.70,83.63,84.27
20160107,83.80,84.31,83.11,83.69
20160108,83.97,84.38,83.46,83.63
20160111,83.85,84.44,82.96,84.10
20160112,84.61,85.70,84.39,85.51
20160113,85.74,86.20,84.73,84.88
20160114,84.95,85.63,84.28,85.03
20160115,83.99,84.14,82.64,83.71
20160119,82.50,82.80,80.80,81.28
20160120,80.33,80.86,78.45,80.30
20160121,80.30,80.69,78.55,79.78
20160122,80.45,81.79,80.16,81.69
20160125,81.66,81.86,80.56,80.94
20160126,81.05,82.91,81.05,82.77
20160127,82.78,83.00,81.88,82.19
20160128,82.75,86.40,82.45,85.41
20160129,86.18,88.81,86.11,87.97
20160201,87.84,88.74,87.29,88.17
20160202,88.11,88.68,87.32,87.69
20160203,87.62,88.39,85.95,86.98
20160204,86.90,87.40,85.28,85.83
20160205,85.92,86.67,85.20,85.89
20160208,85.54,87.99,85.10,87.87
20160209,87.17,88.84,86.77,88.24
20160210,88.79,91.25,88.53,90.50
20160211,89.47,90.84,88.77,90.34
20160212,91.14,91.31,89.11,89.67
20160216,90.25,90.42,89.33,90.38
20160217,90.85,91.53,89.77,91.26
20160218,90.65,91.04,89.36,90.93
20160219,90.82,92.10,90.14,92.02
20160222,92.24,92.49,91.34,91.53
20160223,91.46,93.03,91.46,92.87
20160224,92.47,93.01,91.00,92.90
20160225,92.94,94.17,92.88,94.10
20160226,94.09,94.43,92.96,93.53
20160229,93.38,94.35,93.01,93.26
20160301,93.99,94.13,93.13,93.38
20160302,93.22,93.60,92.13,93.52
20160303,93.20,93.77,92.55,93.75
20160304,93.80,93.98,93.17,93.93
20160307,93.47,93.88,92.88,93.28
20160308,92.91,93.84,92.43,93.60
20160309,93.94,94.45,93.46,93.87
20160310,94.36,94.41,92.36,93.65
20160311,94.37,94.84,93.47,94.23
20160314,93.99,94.56,93.16,94.31
20160315,93.81,94.09,93.18,93.77
20160316,93.60,94.92,93.13,94.75
20160317,94.84,96.19,94.55,95.74
20160318,95.74,96.20,94.40,94.43
20160321,94.17,94.54,93.75,94.14
20160322,94.05,94.56,93.09,94.02
20160323,94.31,96.10,94.01,95.84
20160324,95.52,96.46,95.14,96.33
20160328,96.47,97.81,96.05,97.36
20160329,98.90,100.53,97.76,99.59
20160330,99.53,100.22,98.86,99.75
20160331,99.70,99.94,99.12,99.48
20160401,99.26,100.80,99.02,100.53
20160404,100.50,100.91,99.53,100.71
20160405,100.26,100.66,98.80,99.09
20160406,98.83,99.61,97.95,99.61
20160407,99.07,99.91,98.62,99.42
20160408,99.71,100.05,99.15,100.03
20160411,100.41,100.66,98.46,98.53
20160412,98.53,98.96,97.78,98.90
20160413,98.60,98.77,96.60,96.72
20160414,96.75,96.97,94.81,94.83
20160415,94.91,95.42,94.47,95.06
20160418,95.05,95.22,94.33,95.08
20160419,95.37,95.84,94.78,94.99
20160420,95.13,95.99,93.11,93.73
20160421,93.48,93.50,91.20,91.39
20160422,91.45,92.16,90.84,91.76
20160425,91.67,93.60,91.65,93.29
20160426,93.64,94.08,92.83,93.06
20160427,93.25,93.71,92.03,93.00
20160428,92.59,93.68,92.39,93.37
20160429,93.09,93.87,92.82,93.78
20160502,94.00,94.79,93.79,94.32
20160503,94.05,94.65,93.28,93.60
20160504,93.50,94.98,93.31,94.72
20160505,94.66,95.72,94.64,94.80
20160506,94.82,95.65,94.25,95.50
20160509,95.63,97.09,95.61,96.99
20160510,97.34,97.98,96.52,97.98
20160511,97.94,98.35,97.12,97.51
20160512,97.52,98.89,97.52,98.85
20160513,98.77,99.49,97.85,98.34
20160516,98.37,98.88,97.60,98.79
20160517,98.29,98.62,95.79,96.37
20160518,95.97,96.29,94.24,95.26
20160519,95.00,96.15,94.67,96.07
20160520,96.21,96.77,94.89,95.56
20160523,95.62,96.38,95.52,95.72
20160524,95.94,96.72,95.58,96.71
20160525,96.63,96.95,95.92,96.72
20160526,96.82,97.85,96.49,97.52
20160527,97.52,97.97,97.35,97.78
20160531,97.99,98.00,96.59,97.07
20160601,97.11,97.79,96.67,97.26
20160602,97.09,97.49,96.65,97.18
20160603,97.08,98.57,97.02,98.48
20160606,98.39,98.44,97.12,97.52
20160607,97.76,98.35,97.42,97.87
20160608,98.21,98.91,97.79,98.79
20160609,98.77,100.22,98.24,100.10
20160610,99.61,100.15,99.36,99.81
20160613,99.85,100.28,98.87,98.96
20160614,98.84,99.53,98.07,99.38
20160615,99.28,100.02,98.86,99.69
20160616,99.62,100.90,99.42,100.47
20160617,100.28,100.40,99.07,100.06
20160620,100.50,101.32,100.14,100.18
20160621,100.55,101.42,100.15,100.83
20160622,100.66,101.01,100.10,100.17
20160623,101.52,102.40,100.87,102.40
20160624,100.00,102.48,100.00,101.57
20160627,101.32,101.95,100.71,101.65
20160628,102.15,102.23,100.97,102.02
20160629,102.72,103.41,101.75,102.71
20160630,101.37,107.16,101.00,106.67
20160701,106.97,107.09,105.73,105.87
20160705,106.08,107.84,105.67,107.07
20160706,106.48,107.34,106.18,106.67
20160707,106.69,107.39,105.50,105.91
20160708,106.19,107.03,105.16,106.96
20160711,106.86,106.98,105.84,105.94
20160712,105.77,106.04,104.64,104.76
20160713,104.95,105.76,104.62,105.26
20160714,104.75,105.64,104.68,104.86
20160715,105.11,105.32,104.70,105.02
20160718,105.14,105.57,104.56,104.89
20160719,104.73,105.01,104.43,105.01
20160720,105.34,105.34,104.00,104.03
20160721,104.03,104.03,103.43,103.82
20160722,103.85,104.56,103.66,104.26
20160725,104.27,104.70,103.73,104.36
20160726,104.52,104.82,103.41,103.47
20160727,103.50,103.50,101.29,101.58
20160728,101.72,102.12,101.02,101.96
20160729,102.01,102.61,101.64,102.25
20160801,102.16,102.31,101.34,102.18
20160802,102.10,102.29,101.21,101.42
20160803,101.49,101.57,100.01,100.26
20160804,100.48,100.90,100.22,100.63
20160805,100.84,101.25,100.01,100.32
20160808,100.57,100.89,100.17,100.72
20160809,100.62,101.02,100.00,100.89
20160810,100.88,101.55,100.78,101.52
20160811,101.79,101.90,101.17,101.59
20160812,101.64,102.00,101.53,101.78
20160815,101.65,101.65,100.80,101.19
20160816,101.30,101.49,100.31,100.36
20160817,100.55,101.14,100.18,101.11
20160818,101.25,101.70,101.05,101.46
20160819,101.34,101.87,100.89,101.86
20160822,101.89,102.62,101.66,102.53
20160823,102.80,102.91,101.85,102.41
20160824,102.21,102.56,101.20,101.64
20160825,101.62,102.47,101.32,101.64
20160826,101.38,102.41,101.11,101.30
20160829,101.58,102.23,101.38,102.20
20160830,101.92,102.18,101.12,101.37
20160831,101.40,102.06,101.12,101.96
20160901,101.85,101.85,100.50,101.16
20160902,101.33,102.03,101.27,101.86
20160906,101.86,102.22,101.28,101.98
20160907,101.74,101.74,100.04,100.59
20160908,100.18,100.44,99.35,99.60
20160909,98.91,98.91,96.16,96.18
20160912,96.18,98.17,96.12,98.04
20160913,97.45,98.46,97.25,97.35
20160914,97.64,97.77,96.61,96.90
20160915,96.72,98.14,96.39,98.05
20160916,95.70,96.53,95.10,95.86
20160919,95.75,96.67,95.49,96.38
20160920,96.74,97.03,96.19,96.23
20160921,96.35,96.59,95.51,96.47
20160922,97.17,97.55,96.69,97.20
20160923,97.13,97.30,96.52,96.71
20160926,96.47,96.83,96.10,96.66
20160927,97.12,97.74,96.61,97.55
20160928,97.42,97.88,97.22,97.77
20160929,97.54,98.32,97.12,97.39
20160930,100.04,100.83,98.69,99.92
20161003,98.16,99.90,96.93,96.93
20161004,97.98,97.98,96.17,96.47
20161005,96.44,96.63,95.59,95.83
20161006,94.98,95.32,94.28,95.23
20161007,95.41,95.95,94.73,95.56
20161010,95.75,96.79,95.09,95.32
20161011,94.96,95.45,93.89,94.16
20161012,94.01,94.68,94.01,94.41
20161013,94.11,94.91,93.99,94.61
