Date,Open,High,Low,Close
20151127,55.31,55.50,55.08,55.39
20151130,55.56,55.59,55.17,55.30
20151201,55.57,56.05,55.45,56.01
20151202,56.03,56.30,55.76,55.83
20151203,55.88,56.10,55.01,55.35
20151204,55.48,56.88,55.48,56.86
20151207,56.58,57.00,56.34,56.79
20151208,56.37,56.48,55.72,55.87
20151209,55.50,56.32,55.21,55.55
20151210,55.56,56.20,55.18,55.98
20151211,55.18,55.93,54.77,54.89
20151214,55.05,55.36,54.24,54.97
20151215,55.58,56.70,55.27,56.42
20151216,56.80,57.44,56.59,57.33
20151217,57.33,57.46,55.76,55.78
20151218,55.50,55.62,54.49,54.51
20151221,54.91,55.13,54.07,54.58
20151222,54.97,55.16,53.97,54.95
20151223,55.20,55.52,54.79,55.51
20151224,55.35,55.76,55.23,55.54
20151228,55.25,55.59,55.06,55.54
20151229,56.00,56.40,55.92,56.35
20151230,56.36,56.53,56.06,56.10
20151231,55.93,56.21,55.45,55.45
20160104,54.48,54.57,53.79,54.32
20160105,54.26,55.03,54.16,54.77
20160106,53.97,54.66,53.70,54.11
20160107,53.13,53.83,53.04,53.70
20160108,53.81,53.96,52.89,52.95
20160111,52.44,53.16,51.77,52.18
20160112,52.54,52.74,51.86,52.67
20160113,53.43,53.56,52.08,52.23
20160114,52.40,54.02,52.21,53.57
20160115,52.01,53.04,51.84,52.21
20160119,52.76,52.83,51.87,52.15
20160120,51.02,52.07,50.81,51.54
20160121,51.66,51.78,50.99,51.29
20160122,52.03,52.48,51.86,52.29
20160125,52.27,52.30,51.54,51.57
20160126,51.87,52.33,51.76,51.93
20160127,51.90,52.43,51.32,51.62
20160128,51.94,52.06,51.45,51.80
20160129,52.21,53.37,52.08,53.33
20160201,53.21,53.48,52.82,53.27
20160202,52.63,52.65,52.11,52.35
20160203,52.60,52.91,51.25,52.84
20160204,53.34,54.66,52.95,54.17
20160205,54.19,54.73,54.11,54.65
20160208,53.98,55.33,53.97,55.00
20160209,54.64,55.63,54.61,55.28
20160210,55.56,56.68,55.46,55.51
20160211,54.33,55.29,54.32,54.95
20160212,55.79,56.17,55.53,56.08
20160216,56.46,56.77,56.26,56.50
20160217,56.77,57.46,56.77,57.37
20160218,57.23,57.61,57.14,57.50
20160219,57.24,57.56,57.10,57.31
20160222,57.54,57.88,57.37,57.55
20160223,57.34,57.68,57.01,57.09
20160224,56.70,57.65,56.51,57.45
20160225,57.59,57.77,57.27,57.76
20160226,58.00,58.17,57.48,57.50
20160229,57.50,57.65,57.02,57.05
20160301,57.46,58.12,57.27,58.09
20160302,57.82,58.06,57.61,57.84
20160303,57.64,57.85,57.24,57.75
20160304,58.00,58.10,57.37,58.01
20160307,57.48,57.97,56.98,57.69
20160308,57.37,58.16,57.29,57.44
20160309,57.38,57.88,57.11,57.71
20160310,57.91,58.30,57.23,57.73
20160311,58.20,58.77,57.83,58.74
20160314,58.48,58.96,58.41,58.83
20160315,58.36,59.14,58.21,59.14
20160316,58.80,59.25,58.71,58.92
20160317,59.00,60.13,58.79,59.85
20160318,59.92,60.11,59.57,59.80
20160321,60.00,60.00,59.52,59.77
20160322,59.40,60.22,59.20,59.73
20160323,59.72,59.88,59.45,59.54
20160324,59.28,59.86,59.11,59.80
20160328,59.83,60.25,59.77,60.04
20160329,60.00,60.59,59.78,60.56
20160330,60.83,60.95,60.46,60.74
20160331,60.74,60.96,60.37,60.79
20160401,60.64,61.46,60.56,61.37
