Date,Open,High,Low,Close
20151127,157.51,158.49,156.94,157.99
20151130,158.10,158.47,156.57,156.58
20151201,156.41,157.67,156.17,156.90
20151202,156.88,157.25,155.51,155.70
20151203,156.56,156.90,153.71,154.38
20151204,154.79,158.39,154.57,158.22
20151207,157.53,158.00,156.81,157.75
20151208,156.44,157.86,155.68,156.79
20151209,156.17,158.24,154.94,156.05
20151210,155.73,158.69,155.59,157.52
20151211,155.55,156.40,154.42,154.83
20151214,155.29,157.77,154.34,157.63
20151215,151.99,153.02,147.08,148.13
20151216,148.15,150.54,147.74,149.95
20151217,150.15,150.86,148.83,148.85
20151218,148.21,148.60,146.76,146.92
20151221,147.58,148.33,146.69,147.48
20151222,148.12,149.49,147.28,148.97
20151223,149.69,151.58,149.52,151.16
20151224,150.82,151.80,150.58,151.19
20151228,151.13,151.77,150.27,151.22
20151229,152.20,153.26,152.00,152.89
20151230,152.79,153.70,151.73,151.91
20151231,151.73,152.12,150.63,150.64
20160104,148.05,148.32,145.40,146.82
20160105,146.82,147.50,145.61,147.46
20160106,145.59,145.76,143.42,144.49
20160107,142.52,143.13,140.63,140.97
20160108,141.36,142.50,140.22,140.49
20160111,140.97,141.43,139.41,140.46
20160112,141.36,142.15,139.13,140.86
20160113,140.89,142.19,138.54,138.72
20160114,139.74,142.44,138.86,141.18
20160115,138.30,140.10,137.21,138.69
20160119,140.10,140.80,137.41,138.39
20160120,136.95,137.75,134.64,136.96
20160121,136.96,138.67,136.15,137.76
20160122,140.14,140.43,138.08,139.52
20160125,138.96,139.37,137.53,137.57
20160126,141.79,145.02,140.33,144.78
20160127,144.95,147.97,144.05,145.55
20160128,146.16,147.84,145.22,147.32
20160129,148.24,151.00,148.00,151.00
20160201,149.33,149.79,148.10,148.73
20160202,147.59,148.28,146.05,147.87
20160203,149.36,152.85,148.96,152.52
20160204,152.42,154.38,151.78,153.44
20160205,153.20,153.88,151.82,153.47
20160208,151.63,154.43,151.01,153.90
20160209,152.95,155.76,152.45,154.74
20160210,154.43,155.49,152.12,152.45
20160211,149.91,152.00,149.00,150.67
20160212,150.67,154.07,150.67,153.96
20160216,155.00,155.90,154.26,155.53
20160217,156.00,157.13,155.60,156.62
20160218,156.35,156.97,155.97,156.78
20160219,157.00,157.09,155.87,156.45
20160222,156.45,158.48,156.45,157.70
20160223,157.63,157.69,155.17,156.17
20160224,154.84,157.62,153.64,157.22
20160225,157.54,159.00,157.01,158.99
20160226,159.15,159.50,158.08,158.27
20160229,158.01,159.12,156.82,156.87
20160301,158.75,159.70,157.61,159.59
20160302,158.88,159.88,158.54,159.41
20160303,159.41,159.69,158.51,159.38
20160304,159.46,160.29,158.92,160.07
20160307,159.98,160.57,158.17,160.57
20160308,159.40,160.61,159.35,160.20
20160309,160.50,160.78,159.52,160.09
20160310,160.77,160.80,158.28,159.89
20160311,161.14,162.05,160.65,161.88
20160314,161.61,162.77,161.00,161.81
20160315,160.16,162.50,159.35,162.41
20160316,161.96,163.30,161.52,162.89
20160317,163.16,164.36,162.84,163.75
20160318,164.15,165.33,163.90,165.33
20160321,165.05,165.31,164.41,164.84
20160322,164.50,165.50,164.39,164.91
20160323,164.60,164.99,163.46,164.27
20160324,163.68,164.54,163.05,164.46
20160328,164.93,166.65,164.58,166.28
20160329,164.93,164.99,163.12,164.39
20160330,165.37,167.22,165.16,166.75
20160331,166.75,167.50,166.50,166.63
20160401,165.63,167.74,164.79,167.53
20160404,167.11,167.49,165.92,166.40
20160405,165.18,166.55,164.65,165.81
20160406,165.34,167.08,164.84,166.81
20160407,165.88,167.23,165.25,167.16
20160408,167.71,167.99,166.10,166.63
20160411,167.12,167.96,166.57,166.59
20160412,167.01,168.40,166.93,168.03
20160413,168.47,168.90,167.71,168.59
20160414,169.00,169.00,167.88,168.16
20160415,168.32,169.00,168.20,168.78
20160418,168.47,169.87,168.39,169.55
20160419,169.92,170.77,169.07,169.65
20160420,170.14,170.45,168.62,168.94
20160421,168.97,169.70,168.41,168.66
20160422,169.09,169.76,167.85,168.66
20160425,168.00,168.51,166.64,168.38
20160426,167.50,167.79,164.97,166.18
20160427,166.99,168.38,166.10,167.76
20160428,166.85,168.77,166.20,167.00
20160429,166.98,167.78,166.50,167.38
20160502,167.30,168.50,166.94,168.34
20160503,167.39,168.07,166.66,167.97
20160504,166.37,167.70,166.29,167.16
20160505,167.46,168.33,167.19,167.77
20160506,167.84,169.05,167.00,168.89
20160509,168.59,169.05,167.69,168.52
20160510,169.23,170.39,169.00,170.26
20160511,170.20,171.27,169.57,169.77
20160512,169.86,170.63,168.76,170.15
20160513,170.05,170.38,167.82,168.32
20160516,168.50,169.90,168.43,169.55
20160517,169.57,169.94,167.09,167.81
20160518,166.50,167.93,165.76,166.82
20160519,165.37,166.06,163.17,165.11
20160520,165.25,166.47,164.93,165.01
20160523,165.28,166.56,164.52,166.11
20160524,167.16,168.79,166.70,168.63
20160525,169.00,170.36,168.75,169.99
20160526,170.01,170.77,168.53,168.91
20160527,168.91,169.03,168.28,168.89
