Date,Open,High,Low,Close
20151127,52.14,52.55,51.86,52.18
20151130,52.24,52.78,51.45,51.54
20151201,51.85,52.75,51.67,52.41
20151202,52.33,52.60,51.50,51.60
20151203,51.45,52.69,50.70,51.02
20151204,51.03,52.76,51.03,52.23
20151207,53.40,53.50,51.47,51.86
20151208,51.58,52.54,51.17,52.17
20151209,51.83,52.14,50.19,50.67
20151210,50.43,51.19,50.34,50.61
20151211,50.01,50.62,49.71,49.91
20151214,49.97,50.71,49.74,50.64
20151215,50.88,51.27,50.30,50.86
20151216,51.06,51.41,50.26,51.10
20151217,51.47,51.47,49.88,50.10
20151218,49.68,50.00,48.51,48.61
20151221,49.07,49.72,48.65,49.16
20151222,49.37,49.43,48.54,49.17
20151223,49.59,49.97,49.11,49.16
20151224,49.28,49.90,49.18,49.61
20151228,49.54,49.76,49.04,49.39
20151229,49.70,50.35,49.51,50.06
20151230,49.97,50.37,49.60,50.08
20151231,49.82,50.30,49.43,49.65
20160104,48.84,49.21,47.36,48.11
20160105,48.11,48.79,48.09,48.69
20160106,47.98,48.90,47.53,48.77
20160107,47.89,48.79,47.72,48.40
20160108,48.45,48.69,47.99,48.08
20160111,48.60,49.25,48.08,48.68
20160112,48.93,49.77,48.74,49.10
20160113,48.70,49.79,47.81,47.89
20160114,48.08,48.28,46.86,47.47
20160115,46.30,47.37,46.14,47.04
20160119,47.70,48.67,47.53,48.25
20160120,47.77,47.82,45.15,46.67
20160121,47.19,47.33,45.61,46.01
20160122,46.53,48.14,45.93,48.05
20160125,47.75,47.95,46.63,46.70
20160126,46.75,47.13,46.10,46.35
20160127,46.48,46.49,45.70,45.99
20160128,46.27,46.36,45.35,45.73
20160129,45.68,45.68,42.84,45.01
20160201,45.75,46.16,45.08,45.81
20160202,45.50,46.17,44.93,45.37
20160203,45.62,46.09,44.40,44.97
20160204,44.87,44.92,42.56,42.82
20160205,42.42,42.72,41.06,41.24
20160208,40.55,40.68,38.58,39.24
20160209,38.86,40.25,38.68,39.64
20160210,40.22,40.45,38.57,38.94
20160211,38.29,39.95,37.69,39.63
20160212,40.62,41.21,39.72,40.79
20160216,41.12,41.82,40.72,41.44
20160217,41.44,42.31,41.25,41.81
20160218,41.86,42.46,41.69,42.02
20160219,41.94,43.13,41.54,42.53
20160222,42.86,43.44,42.68,43.27
20160223,43.02,43.60,42.68,42.93
20160224,42.68,44.39,42.06,44.13
20160225,44.00,44.47,43.53,44.37
20160226,42.58,44.56,42.21,43.60
20160229,43.49,43.49,41.83,41.83
20160301,42.03,43.29,41.75,43.24
20160302,43.04,43.16,42.33,42.58
20160303,42.48,42.86,42.07,42.82
20160304,42.94,43.11,42.49,42.96
20160307,42.63,42.93,42.17,42.66
20160308,42.48,43.72,42.29,43.11
20160309,42.99,43.55,42.91,43.36
20160310,43.66,44.17,43.28,43.88
20160311,44.23,44.83,43.90,44.62
20160314,44.42,44.62,43.67,43.99
20160315,43.79,44.25,43.43,43.99
20160316,44.44,45.48,44.33,45.39
20160317,45.28,45.55,44.94,45.39
20160318,45.49,45.88,45.20,45.51
20160321,45.24,45.32,44.75,44.84
20160322,44.64,45.14,44.34,44.87
20160323,44.57,45.16,44.26,44.28
20160324,44.18,44.18,43.08,43.75
20160328,43.98,44.83,43.93,44.41
20160329,44.20,44.74,44.20,44.54
20160330,44.91,45.23,44.44,44.97
20160331,44.88,44.97,44.37,44.46
20160401,44.45,45.20,44.03,44.93
20160404,44.95,45.14,44.40,44.92
20160405,44.72,45.27,44.44,44.87
20160406,44.87,44.93,44.23,44.72
20160407,44.50,44.69,43.55,43.99
20160408,44.30,44.49,43.96,44.19
20160411,44.12,44.38,43.46,43.55
20160412,43.54,43.72,42.96,43.40
20160413,43.56,43.60,42.59,42.96
20160414,42.91,43.44,42.10,42.81
20160415,42.91,43.21,41.93,42.78
20160418,42.80,42.96,42.48,42.55
20160419,42.61,43.41,42.00,43.10
20160420,43.05,43.23,42.17,42.23
20160421,42.01,42.22,41.43,41.51
20160422,41.31,41.48,40.52,41.00
20160425,40.77,41.89,40.51,41.64
20160426,41.60,41.76,41.19,41.26
20160427,41.22,41.36,40.30,41.14
20160428,41.26,42.75,41.19,42.61
20160429,47.89,48.63,46.67,48.07
20160502,48.14,50.23,48.12,49.31
20160503,49.03,49.25,48.50,48.77
20160504,48.36,49.10,48.09,48.78
20160505,49.07,49.29,48.39,48.65
20160506,48.57,49.55,48.37,49.38
20160509,49.49,49.87,49.21,49.60
20160510,50.33,51.32,50.33,51.03
20160511,50.76,51.12,49.85,50.14
20160512,50.28,50.47,49.69,50.06
20160513,49.83,50.06,49.26,49.54
20160516,49.50,50.33,49.50,50.24
20160517,50.00,50.22,49.58,49.77
20160518,49.64,50.24,49.45,49.61
20160519,49.24,49.77,49.16,49.49
20160520,49.51,49.79,49.19,49.30
20160523,49.38,49.69,49.24,49.44
20160524,49.75,50.19,49.56,50.04
20160525,49.92,50.35,49.67,49.84
20160526,49.91,50.27,49.91,50.00
20160527,50.10,50.33,49.95,50.17
20160531,50.16,50.43,49.71,50.00
20160601,50.03,50.70,49.83,50.47
20160602,50.34,50.83,50.24,50.82
20160603,50.78,51.16,50.53,50.95
20160606,50.88,51.72,50.83,51.45
20160607,51.70,51.78,51.05,51.27
20160608,51.17,52.31,51.00,51.73
20160609,51.87,52.90,51.01,51.67
20160610,51.32,51.66,50.96,51.18
20160613,51.18,51.20,50.24,50.26
20160614,50.25,51.17,49.79,50.99
20160615,51.27,51.83,51.19,51.21
20160616,50.96,52.15,50.70,51.94
20160617,51.84,52.22,51.37,51.99
20160620,52.20,52.42,51.99,52.06
20160621,52.17,52.78,51.99,52.61
20160622,52.47,52.56,52.18,52.31
20160623,52.83,52.87,51.99,52.47
20160624,50.72,51.84,50.72,51.15
20160627,51.01,51.76,50.45,51.60
20160628,51.54,51.82,51.00,51.49
20160629,51.63,52.62,51.56,52.62
20160630,52.73,53.62,52.25,53.57
20160701,53.64,53.97,53.16,53.24
20160705,53.15,53.99,53.00,53.64
20160706,53.56,53.91,53.35,53.75
20160707,53.93,54.11,53.37,53.71
20160708,53.97,54.06,53.66,53.83
20160711,53.83,54.19,53.45,53.67
20160712,53.70,53.88,53.33,53.60
20160713,53.80,54.26,53.45,53.93
20160714,54.03,54.07,53.56,54.04
20160715,54.18,54.22,53.31,53.87
20160718,52.97,53.16,50.92,51.85
20160719,51.65,52.62,51.55,52.46
20160720,52.54,52.79,52.29,52.70
20160721,52.70,53.07,52.50,52.69
20160722,53.10,53.64,52.91,53.53
20160725,53.45,53.52,53.08,53.36
20160726,53.30,53.36,52.61,52.87
20160727,52.71,52.96,51.95,52.50
20160728,52.51,53.39,52.27,53.15
20160729,53.25,53.66,53.04,53.54
20160801,53.45,54.06,53.40,53.69
20160802,53.55,53.64,52.54,53.10
20160803,53.18,53.18,52.39,52.59
20160804,52.68,53.15,52.16,52.86
20160805,54.17,55.50,53.93,54.17
20160808,54.03,54.14,52.76,52.99
20160809,52.93,53.76,52.87,53.04
20160810,53.07,53.81,53.00,53.63
20160811,53.92,54.19,53.63,53.90
20160812,53.71,53.96,53.49,53.73
20160815,53.71,53.91,53.53,53.81
20160816,53.80,53.87,53.19,53.21
20160817,53.12,53.61,52.62,53.24
20160818,53.40,53.65,53.30,53.48
20160819,53.58,53.87,53.07,53.15
20160822,53.22,53.30,52.87,53.06
20160823,52.89,53.07,52.44,52.46
20160824,52.36,52.72,52.14,52.31
20160825,52.22,52.89,52.22,52.49
20160826,52.59,52.82,52.20,52.35
20160829,52.18,52.35,51.73,51.98
20160830,51.95,52.04,51.04,51.27
20160831,51.32,51.50,50.98,51.30
20160901,51.44,51.73,50.97,51.44
20160902,51.57,51.84,51.04,51.28
20160906,51.21,51.31,50.58,51.29
20160907,51.28,51.39,50.63,50.72
20160908,50.69,50.83,50.35,50.71
20160909,50.18,50.71,49.17,49.18
20160912,49.05,49.73,48.77,49.43
20160913,49.05,49.07,47.82,47.97
20160914,47.90,48.39,47.44,47.63
20160915,47.73,49.06,47.55,48.78
20160916,48.63,48.97,48.28,48.77
20160919,48.94,49.28,48.60,49.15
20160920,49.28,49.44,48.93,49.03
20160921,49.00,49.20,48.50,49.03
20160922,49.33,49.83,49.25,49.65
20160923,49.75,49.87,49.44,49.49
20160926,49.29,49.49,48.83,49.20
20160927,49.15,49.51,49.09,49.25
20160928,49.45,49.58,48.81,48.94
20160929,48.91,48.92,48.29,48.46
20160930,48.72,49.16,48.46,48.94
20161003,48.69,48.74,48.35,48.60
20161004,48.87,48.95,48.35,48.43
20161005,48.62,48.80,48.30,48.41
20161006,48.34,49.18,48.33,48.91
20161007,49.04,49.04,48.21,48.61
20161010,48.66,48.97,48.60,48.74
20161011,48.72,48.72,47.59,47.71
20161012,47.74,48.43,47.52,48.39
20161013,48.21,48.79,47.99,48.66
20161014,47.93,49.05,46.93,48.36
20161017,48.33,48.35,47.67,48.10
20161018,48.45,49.54,48.45,48.91
20161019,49.00,49.36,48.74,49.16
20161020,49.30,49.42,48.71,48.87
20161021,48.94,49.12,48.46,49.09
20161024,49.38,50.63,49.36,50.04
20161025,50.10,50.34,49.83,49.94
20161026,49.96,49.96,48.68,48.70
20161027,48.83,48.83,47.66,47.77
20161028,47.76,48.26,47.76,47.97
20161031,48.02,48.36,47.75,48.11
20161101,48.72,48.86,47.64,47.88
20161102,47.98,48.75,47.98,48.10
20161103,48.27,48.33,46.63,46.74
20161104,43.51,46.30,42.17,45.08
20161107,45.52,45.57,44.55,45.38
20161108,45.42,45.66,44.81,45.33
20161109,43.85,45.01,43.34,44.20
20161110,44.78,44.86,42.30,42.33
20161111,42.39,42.66,41.43,41.92
20161114,41.79,42.30,40.64,40.87
20161115,41.02,41.85,40.86,41.62
20161116,41.53,42.54,41.47,42.06
20161117,42.02,42.34,41.51,41.97
20161118,41.74,42.00,41.61,41.68
20161121,41.63,43.71,41.55,43.59
20161122,43.73,45.65,43.59,45.26
20161123,45.02,45.64,44.61,44.74
20161125,44.73,45.03,44.63,44.85
20161128,44.77,45.47,44.68,45.29
20161129,45.27,45.74,45.08,45.28
20161130,45.23,45.29,44.55,44.75
20161201,44.50,44.80,43.53,43.64
20161202,45.00,45.00,43.44,44.44
20161205,45.48,45.48,44.43,44.89
20161206,44.88,44.98,43.85,44.37
20161207,44.37,44.76,44.25,44.47
20161208,44.37,44.53,43.00,43.05
20161209,43.07,44.22,43.06,44.04
20161212,43.85,44.50,43.85,44.27
20161213,44.16,45.20,43.89,45.00
20161214,44.99,45.10,43.80,44.02
20161215,43.81,44.56,43.75,44.29
20161216,44.28,44.75,43.91,44.50
20161219,44.40,44.50,43.69,43.87
20161220,43.91,44.00,43.46,43.54
20161221,45.28,45.77,44.37,45.37
20161222,45.51,45.59,44.49,45.30
20161223,45.05,46.02,45.03,45.57
20161227,45.60,46.09,45.14,45.53
20161228,45.63,45.63,44.70,44.91
20161229,44.91,45.24,44.69,45.03
20161230,45.10,45.19,44.11,44.34
20170103,44.65,45.55,44.57,45.54
20170104,45.70,46.13,45.54,46.02
20170105,45.99,46.30,45.63,46.19
20170106,46.15,46.30,45.35,45.62
20170109,45.46,45.57,44.20,44.40
20170110,44.25,44.49,43.39,43.50
20170111,43.54,44.48,43.51,43.99
20170112,44.00,44.00,42.98,43.11
20170113,45.25,45.25,43.95,44.51
20170117,44.49,44.70,43.83,43.94
20170118,43.96,44.15,43.14,43.46
20170119,43.32,43.77,43.17,43.35
20170120,43.56,43.85,43.16,43.51
20170123,43.45,43.76,43.30,43.52
20170124,43.71,43.78,42.85,43.71
20170125,43.91,44.24,43.08,43.13
20170126,43.11,43.46,42.26,42.67
20170127,42.82,42.86,42.03,42.30
20170130,42.26,42.48,41.95,42.43
20170131,42.50,42.81,42.30,42.60
20170201,42.52,42.52,41.66,41.82
20170202,41.85,42.21,41.78,41.81
20170203,42.17,43.11,41.78,42.64
20170206,42.58,42.92,42.36,42.73
20170207,42.75,43.21,42.66,43.08
20170208,42.94,43.81,42.91,43.67
20170209,43.64,43.97,43.26,43.78
20170210,43.86,44.05,43.65,44.01
20170213,44.92,44.98,43.38,43.42
20170214,43.42,43.50,42.97,43.38
20170215,43.33,43.59,43.13,43.35
20170216,43.52,43.63,43.07,43.45
20170217,43.45,43.79,43.33,43.63
20170221,43.71,44.07,43.40,43.99
20170222,44.05,44.48,43.91,43.94
20170223,43.97,44.19,43.69,43.91
20170224,44.20,44.34,43.36,43.55
20170227,43.31,43.45,41.90,42.09
20170228,42.01,42.24,41.02,41.44
20170301,41.41,42.23,41.29,42.01
20170302,47.85,48.94,46.67,47.37
20170303,46.96,48.15,46.34,48.04
20170306,47.74,47.99,46.97,46.98
