Date,Open,High,Low,Close
20151127,31.47,31.52,30.82,31.05
20151130,31.08,31.82,30.61,31.64
20151201,31.50,32.25,31.28,31.82
20151202,31.81,31.85,30.43,30.71
20151203,30.94,31.15,30.54,31.03
20151204,31.00,31.05,30.09,30.88
20151207,30.72,32.26,30.37,32.05
20151208,31.82,31.93,30.00,30.02
20151209,30.23,30.99,30.19,30.84
20151210,30.82,31.45,30.02,30.07
20151211,29.86,29.94,29.28,29.37
20151214,29.36,29.49,28.27,28.70
20151215,28.84,29.62,28.84,29.47
20151216,29.68,30.13,28.94,30.09
20151217,30.03,30.14,28.82,28.84
20151218,28.73,29.38,28.50,28.54
20151221,28.71,28.80,26.96,27.24
20151222,27.40,28.96,27.37,28.70
20151223,28.96,30.50,28.90,30.01
20151224,30.09,30.45,29.63,29.75
20151228,29.60,29.63,28.62,28.98
20151229,29.17,29.35,28.52,28.87
20151230,28.91,29.08,28.17,28.35
20151231,28.06,28.30,27.53,27.59
20160104,27.31,28.43,27.22,28.42
20160105,28.66,28.67,27.87,28.30
20160106,27.83,27.85,26.27,26.44
20160107,26.17,26.34,25.34,25.53
20160108,25.50,25.60,24.77,24.91
20160111,25.00,25.07,23.52,23.80
20160112,24.30,24.77,23.65,24.56
20160113,24.75,25.17,24.03,24.14
20160114,24.08,25.38,23.76,25.06
20160115,24.44,25.68,24.23,25.47
20160119,25.76,25.95,24.25,24.83
20160120,24.38,24.40,22.69,23.93
20160121,24.11,24.97,23.79,24.62
20160122,25.25,26.23,23.37,23.85
20160125,23.22,23.22,22.16,22.40
20160126,22.43,23.09,22.40,22.85
20160127,22.81,23.20,22.16,22.57
20160128,22.49,23.18,22.05,23.00
20160129,23.44,24.10,22.79,24.10
20160201,23.95,24.07,23.02,23.92
20160202,23.63,23.63,22.02,22.10
20160203,22.44,23.94,22.43,23.93
20160204,24.00,25.37,23.96,24.80
20160205,24.70,25.46,24.21,24.86
20160208,24.50,24.59,23.06,23.58
20160209,23.09,24.06,22.58,23.86
20160210,24.19,24.50,23.34,23.42
20160211,23.17,25.77,22.37,24.75
20160212,24.68,24.91,22.51,22.91
20160216,22.86,23.62,22.20,23.54
20160217,23.79,25.51,23.68,25.30
20160218,25.43,25.89,24.76,25.72
20160219,25.59,25.60,24.10,24.40
20160222,24.40,25.22,24.40,25.16
20160223,25.06,25.07,24.12,24.38
20160224,24.08,25.08,23.11,24.97
20160225,24.97,25.68,24.50,25.42
20160226,25.73,27.07,25.62,26.82
20160229,26.60,27.20,26.33,26.65
20160301,26.56,27.35,26.48,27.10
20160302,26.75,28.42,26.63,28.15
20160303,28.19,28.62,27.89,28.49
20160304,28.55,29.82,28.50,29.61
20160307,29.59,31.10,29.59,30.37
20160308,30.02,30.37,29.10,29.13
20160309,29.35,30.16,29.04,30.13
20160310,30.19,30.35,28.92,29.46
20160311,29.50,29.80,28.50,28.70
20160314,28.60,29.91,28.32,29.46
20160315,29.03,29.19,28.27,28.54
20160316,28.08,29.23,28.04,29.10
20160317,29.51,30.25,29.29,29.87
20160318,30.07,30.30,29.34,29.72
20160321,29.58,30.21,29.51,29.72
20160322,29.51,29.70,28.92,29.15
20160323,28.70,28.83,27.89,28.02
20160324,27.75,27.75,26.86,27.26
20160328,27.51,28.06,26.82,27.96
20160329,27.64,28.06,26.95,27.97
20160330,27.85,28.41,27.69,28.12
20160331,28.16,28.31,26.88,27.00
20160401,26.89,27.03,25.79,26.84
20160404,26.38,26.65,25.65,25.81
20160405,25.60,25.80,25.17,25.37
20160406,25.41,25.50,24.52,25.40
20160407,25.19,25.40,24.52,24.75
20160408,25.11,25.67,24.87,24.96
20160411,24.96,25.15,24.65,24.87
20160412,24.98,25.64,24.57,25.53
20160413,25.89,26.56,25.68,26.52
20160414,26.02,26.11,25.18,25.47
20160415,25.42,26.24,25.11,26.11
20160418,25.96,26.72,25.80,26.50
20160419,26.44,28.25,26.38,28.22
20160420,28.50,28.93,28.06,28.52
20160421,28.84,29.66,28.59,28.71
20160422,28.80,29.17,28.38,28.55
20160425,28.28,29.16,28.09,28.28
20160426,28.34,28.69,27.72,28.55
20160427,28.58,28.83,28.24,28.54
20160428,27.98,29.26,27.52,28.57
20160429,28.42,28.74,27.70,27.99
20160502,28.27,28.59,27.43,28.52
20160503,28.19,28.39,27.41,27.51
20160504,27.07,27.89,26.04,27.11
20160505,27.28,27.33,25.96,26.08
20160506,25.92,26.45,25.84,25.99
20160509,25.74,25.74,24.91,24.93
20160510,25.03,26.18,24.81,26.06
20160511,26.05,26.67,25.67,26.07
20160512,26.68,26.90,25.38,25.44
20160513,25.31,25.60,24.75,24.84
20160516,25.03,25.89,25.01,25.80
20160517,25.78,26.59,25.67,26.20
20160518,25.95,26.55,25.10,25.23
20160519,25.22,25.82,25.05,25.67
20160520,25.78,26.36,25.70,25.94
20160523,25.80,26.72,25.65,26.31
20160524,26.51,26.59,25.84,25.96
20160525,26.14,26.63,26.03,26.49
20160526,26.68,26.81,26.00,26.13
